Text,Date,Favorites,Retweets,Tweet ID
Congrats Earl!https://www.linkedin.com/feed/update/urn:li:activity:6337623199555031042 …,2017-11-19 14:04:13,2,0,932248149909016577
Watch video & decide urself if that's what I said.I suprt skills tng for retrning citizns.Join me visit a correctional inst & see for urselfhttps://twitter.com/saraheshera/status/903653737109053442 …,2017-09-02 16:14:42,3,2,904014730964197376
Blatantly shameful abuse of power!https://www.google.com/amp/s/amp.cnn.com/cnn/2017/08/25/politics/sheriff-joe-arpaio-donald-trump-pardon/index.html …,2017-08-26 00:59:44,14,7,901247757075095552
Trump’s solution to racism is ‘jobs.’ It’s not that simple.https://www.washingtonpost.com/news/wonk/wp/2017/08/16/trumps-plan-to-cure-racism-is-more-jobs-its-not-that-simple/ …,2017-08-16 22:17:43,8,2,897945493950439424
At this rate @realDonaldTrump will have 6 in 3 years.https://twitter.com/realdonaldtrump/status/156829591267328000 …,2017-07-29 23:09:02,19,6,891435424845090816
This is a major step backwards.https://twitter.com/votevets/status/890204741229137921 …,2017-07-26 17:28:18,260,67,890262516755988491
Representing 78 million Americans in congressional districts around the country around the country.https://twitter.com/officialcbc/status/887381142944591873 …,2017-07-18 22:44:23,8,2,887442955958661120
We're recruiting a few good women and men.https://twitter.com/votevets/status/882731309889720321 …,2017-07-07 20:32:17,338,116,883423447145000960
My top priority is serving you and all of my constituents. Thanks for giving us the opportunity to do so.,2017-07-05 21:25:32,0,0,882712069560086529
Beautiful night on the National Mall. Biggest crowd yet of 2017!  God Bless America!pic.twitter.com/2mlfocZRbl,2017-07-05 00:02:55,25,7,882389289765679104
Doesn't sound right. I have full staff of constituent svc reps in my Largo&Annapolis offices. Check contact infohttps://anthonybrown.house.gov/ ,2017-07-02 16:00:56,0,0,881543220013957120
@realDonaldTrump has neither responded to our requests nor fulfilled the promises he made from our first meeting.https://twitter.com/officialcbc/status/877604448113217536 …,2017-06-21 21:30:56,2,0,877640000854249473
MD is already committed to reducing emissions by 40%. No reason why @LarryHogan shouldn't join bipartisan #ClimateAlliance,2017-06-07 19:34:03,6,3,872537156992061440
"Despite what @realDonaldTrump thinks, #climatechange is real. The time to #ActOnClimate is now. MD must uphold #ParisAgreement #mdpoliticspic.twitter.com/V3QGVKQRRu",2017-06-07 19:17:27,24,12,872532978223788033
Visit National Harbor or Historic Annapolis (just outside my district in Anne Arundel County).,2017-05-29 20:28:55,1,1,869289472197840896
I'm a very proud Dad today.  Fifteen years later and today my child has graduated from the University of Maryland. So proud and grateful.pic.twitter.com/DDgcRiMJwh,2017-05-20 21:51:57,56,6,866048877325160450
AG Sessions will do more harm than good in our communties.http://tinyurl.com/mv84ot9 ,2017-05-20 12:22:24,27,13,865905546637062144
Tony Walker was a great Dad and loving husband. Remembering the fallen men and women of The Thin Blue Linehttps://twitter.com/repanthonybrown/status/865635364928499712 …,2017-05-19 18:58:07,5,1,865642744483528704
High crimes and misdemeanors,2017-05-16 21:55:28,28,13,864600209334165504
