Text,Date,Favorites,Retweets,Tweet ID
What's disappointing is @realDonaldTrump's refusal to work with Democrats to reach an agreement avoiding a government shutdown. Sad.https://twitter.com/NolanDMcCaskill/status/935563945280262144 …,2017-11-28 18:13:46,22,12,935572438817046529
Wishing you and your family a safe and Happy Thanksgiving.pic.twitter.com/gvvNJBsYAX,2017-11-23 18:53:29,12,4,933770495421501440
"You are a fighter, Jesse. You are in my prayers.https://twitter.com/abc/status/931572731753189376 …",2017-11-17 22:34:54,3,1,931651890487726083
I don't know why Rev. Jamie Johnson was appointed to be the Director of DHS' Center for Faith-Based and Neighborhood Partnerships with his history of racist and islamophobic rhetoric. I sent a letter to Acting Secretary Duke to get answers to my concerns.pic.twitter.com/VWgSFzpKBM,2017-11-17 20:08:42,35,16,931615096492711936
Republicans voted to endanger the middle-class. This is exactly why I voted No on the #GOPTaxScam!https://twitter.com/washingtonpost/status/931232909771624449 …,2017-11-16 19:52:55,6,2,931248739196588032
"@AARP and it’s 38 million members are opposed to the #GOPTaxScam, noting that it would result in nearly 5 million taxpayers aged 65+ seeing a tax increase.",2017-11-16 15:40:20,0,1,931185174313951234
Happy Veterans Day Weekend to all of those who bravely serve fighting for Americans every day. Special thanks to all of the veterans residing in Mississippi's Second Congressional District and throughout our great state. We honor you. #VeteransDay2017pic.twitter.com/wJpHUG4UO7,2017-11-10 14:14:24,19,8,928989220680753152
"Always in for the fight, Keith! Let's take down this tax bill.https://twitter.com/keithellison/status/928284790847090693 …",2017-11-08 15:40:00,8,1,928285987695972352
Want to know how the GOP Tax Plan will affect Mississippians? Check out the @iteptweets' analysis.pic.twitter.com/UYcfhkGegO,2017-11-07 17:10:27,7,7,927946361592532997
Did you know the #BillionairesFirst tax plan attacks the mortgage interest deduction? Not very pro-middle class if you ask me.pic.twitter.com/tWjJciXBH8,2017-11-06 18:18:11,4,2,927601020410257408
"Today, I talked to @rolandsmartin about Kelly's disrespectful assertion on the Civil War and the @OfficialCBC's efforts to combat him.pic.twitter.com/mMqsQKWCJF",2017-11-02 22:07:45,19,12,926209239554641923
"Yesterday, @SenatorWicker and I sent a letter to @EPA concerning contaminated water, air and soil impacting residents of Grenada.pic.twitter.com/buNCxs0eFv",2017-11-02 20:17:42,6,4,926181544263331842
