Text,Date,Favorites,Retweets,Tweet ID
"This close vote sends a clear message to the Senate that this legislation is politically toxic and should not even be considered, much less passed. Minnesotans and Americans must keep making our voices heard to #SaveTheBWCA.",2017-11-30 19:43:58,6,3,936319917057507330
"However, the vote was close and showed the broad, bipartisan opposition to a foreign conglomerate threatening our Boundary Waters with toxic mining. I am very appreciative that 22 Republicans broke ranks and joined 182 @HouseDemocrats voting against this destructive bill.",2017-11-30 19:42:49,11,3,936319628191596545
"The polluters won today, but the fight is not over. I am deeply disappointed that the U.S. House is now on the record supporting toxic sulfide-ore copper mining on the doorstep of the Boundary Waters.https://twitter.com/RepCloakroom/status/936306707587895297 …",2017-11-30 19:42:12,10,6,936319468841721857
"As the House prepares to vote on H.R. 3905, I'm urging my colleagues to vote NO on this destructive legislation. It is simply wrong to put our Boundary Waters at risk to help a foreign mining conglomerate. #SaveTheBWCApic.twitter.com/VGORfqCnKW",2017-11-30 18:05:00,33,19,936295010382819328
"H.R. 3905 shortcircuits a careful environmental review and fundamentally alters federal environmental protections to benefit a Chilean mining conglomerate with a poor environmental record. 

To #SaveTheBWCA, we must defeat this dangerous bill.",2017-11-30 16:30:03,21,11,936271114472427521
"The U.S. House will vote today on H.R. 3905, which paves the way for dangerous sulfide-ore copper mining on the doorstep of the Boundary Waters. 

I'm urging my colleagues to join me and vote NO on this dangerous bill. We must #SaveTheBWCA.",2017-11-30 15:13:28,70,42,936251841901408256
"ICYMI: I'm joining colleagues on both sides of the aisle opposing H.R. 3905, which paves the way for dangerous sulfide-ore copper mining that will likely destroy the Boundary Waters forever. We must #SaveTheBWCA.pic.twitter.com/wCXk0b2P0Z",2017-11-30 03:02:01,106,27,936067765370109952
I met today with Ramsey County Attorney John Choi and Saint Paul Police Chief Todd Axtell about need for gun violence prevention legislation and our strong opposition to gun lobby-backed bills that take us backwards. #StopCCR #StopGunViolencepic.twitter.com/S4ClZgvVAb,2017-11-30 01:02:01,31,16,936037567950196737
"The Fond du Lac, Grand Portage, and White Earth Bands of Minnesota Chippewa all oppose dangerous sulfide-ore copper mining adjacent to the #BWCA. 

That's one reason I'm fighting to stop H.R. 3905. #SaveTheBWCA",2017-11-29 23:15:02,59,20,936010645148971011
Thank you to my Minnesota colleagues @keithellison and @RepErikPaulsen for speaking out today against H.R. 3905. People of both parties know we must #SaveTheBWCA!,2017-11-29 22:18:24,180,37,935996390777540608
"I strongly oppose H.R. 3905, a bill that paves the way for toxic sulfide-ore copper mining next to the Boundary Waters. #SaveTheBWCApic.twitter.com/NbcwsPbrMU",2017-11-29 21:13:13,138,54,935979986753867776
"I'm speaking on the House Floor now in strong opposition to H.R. 3905 and in support of the #BWCA. 

Tune in on @CSPAN or http://houselive.gov ",2017-11-29 20:38:23,27,4,935971223821053952
".@SportsmenBWCA understand the value of Minnesota's #BWCA for solitude, recreation, hunting and fishing. 

I stand with you in opposition to H.R. 3905. We must #SaveTheBWCA.pic.twitter.com/nSBd2NknPo",2017-11-29 20:23:06,29,15,935967375379353600
"The Boundary Waters are ""a place of healing for many veterans suffering from trauma or having difficulty readjusting to life at home."" I stand with Veterans for the Boundary Waters supporting the #BWCA and opposing H.R. 3905. #SaveTheBWCApic.twitter.com/B1UMU67aeT",2017-11-29 19:35:39,34,11,935955435911294978
".@realDonaldTrump’s hateful anti-Muslim tweets today reflect his toxic worldview: bigoted, racist & ugly. Once again, he is dividing our country at home and embarrassing us in the world.https://twitter.com/business/status/935935016609120257 …",2017-11-29 18:27:23,50,23,935938256893612034
Thank you to the Girl Scouts of @GSMWLP who are speaking out in support of our Boundary Waters and urging Congress to vote NO on H.R. 3905. #SaveTheBWCApic.twitter.com/AyRgo5EjI9,2017-11-29 17:20:37,24,6,935921452590817280
"I agree with @GovMarkDayton: ""Industry should not dictate the stewardship of taxpayer-owned public lands, nor use Congress to short-circuit sound decision-making — especially regarding pristine Wilderness Areas like the #BWCA."" We must stop H.R. 3905.pic.twitter.com/senU4KD5H9",2017-11-29 16:02:46,29,13,935901862888386562
"Today the House is considering a destructive bill that paves the way for dangerous sulfide-ore copper mining on the doorstep of the Boundary Waters. 

We must #SaveTheBWCA and stop H.R. 3905.",2017-11-29 14:44:55,70,41,935882270405165056
"H.R. 3115 undermines due process, environmental safeguards & the treaty rights of our Native American brothers and sisters. I'm voting NO.pic.twitter.com/aPMgzLzG3N",2017-11-28 22:54:31,124,30,935643095017967616
You can watch my remarks opposing this anti-environment bill on @CSPAN or at http://houselive.gov ,2017-11-28 21:51:53,6,2,935627329463816192
"I'm heading to the House Floor now to speak against H.R. 3115, which undermines due process, environmental safeguards & the treaty rights of Native Americans, all to expedite construction of the Polymet mine.",2017-11-28 21:36:52,112,29,935623552837054466
".@HouseDemocrats and @SenateDems are focused on putting the American people first, not playing @realDonaldTrump's silly political games. A good thread from @NancyPelosi.https://twitter.com/NancyPelosi/status/935547402278395910 …",2017-11-28 18:10:17,18,4,935571562299822080
"Just when we thought the #GOPTaxScam couldn't get any worse, @SenateGOP is buying support for their bill with even bigger giveaways to the top 1 percent.http://nyti.ms/2iXsbzQ ",2017-11-28 17:02:24,76,99,935554481466630150
"Navajo code talkers are heroes who deserve to be honored at the White House. But @realDonaldTrump’s remarks today disparaged Native Americans & demeaned the Presidency.  

It is truly sad that the President can’t honor our heroes without being disrespectful & divisive.",2017-11-28 02:24:32,404,90,935333558310391808
"This week, the U.S. House will consider two Minnesota-specific bills that make it easier for companies to engage in dangerous sulfide-ore copper mining. You can count on me to vote NO on these anti-environment bills. https://www.facebook.com/repbettymccollum/posts/1561809910541035 …",2017-11-27 22:31:33,152,50,935274926348652544
"Nonpartisan @USCBO confirms that most Americans making less than $75,000 a year will lose out under the #GOPTaxScam. We must stop this terrible bill.https://twitter.com/washingtonpost/status/934987474924863488 …",2017-11-27 15:42:59,76,79,935172108388306946
"As @StarTribune reports, the message of my recent Congressional delegation to Burma and Bangladesh is clear: We must not tolerate violence, discrimination & human rights abuses anywhere in the world.http://strib.mn/2Bf7iHo ",2017-11-26 23:01:00,18,7,934919949591699457
"I’m joining @Ali_Lucia on @WCCO at 10:30 AM to talk about my recent Congressional delegation to Burma and Bangladesh, the harmful #GOPTaxScam & other news of the day. Tune in!",2017-11-26 16:23:36,16,8,934819939025907712
"Today is #SmallBizSaturday! Support small, locally-owned businesses and #ShopSmall today! cc: @MetroIBA",2017-11-25 15:01:00,15,3,934436767360368640
My thoughts and prayers are with the victims and the people of #Egypt in the wake of today’s heinous terrorist attack.http://www.cnn.com/2017/11/24/africa/egypt-sinai-mosque-attack/index.html …,2017-11-24 16:18:59,28,6,934094002294583300
A great new post-Turkey Day tradition: Check out @mndnr's #FreeParkFriday!https://twitter.com/mndnr/status/933352119415005184 …,2017-11-23 22:00:03,5,3,933817447072845824
Happy #Thanksgiving! I hope that today we can all spend time with loved ones and reflect on the blessings in our lives and our communities.pic.twitter.com/AVG0ur610t,2017-11-23 14:58:00,29,9,933711235828170752
"Each November we commemorate contributions of First Americans with Native American Heritage Month. 

My statement →http://bit.ly/2hXhe46 ",2017-11-22 22:00:03,19,6,933455058313797632
"We are insisting that Burma provide humanitarian access, freedom of movement & citizenship rights for Rohingya, safe repatriation, and accountability for the atrocities that have taken place. Learn more → http://bit.ly/2hJd8J7 pic.twitter.com/2VDafBKqm4",2017-11-22 17:27:30,15,4,933386471171649541
Our delegation visited refugee camps and met with government officials in both countries to get a better understanding of how the United States can help alleviate the suffering and solve this crisis.pic.twitter.com/QpWk63ZD2w,2017-11-22 17:26:58,8,1,933386334563131392
I just concluded a Congressional delegation to Burma and Bangladesh. Our fact-finding mission saw firsthand the humanitarian crisis that has been caused by the persecution of the Rohingya people.pic.twitter.com/Q3b7sc2qmP,2017-11-22 17:26:15,26,6,933386155026014209
"#NetNeutrality is essential to keeping the Internet free and open for our families, businesses & communities. Americans must keep raising our voices to #SaveNetNeutrality.https://twitter.com/JRosenworcel/status/933016345201045504 …",2017-11-22 15:09:08,76,55,933351648604368898
Thank you to the team at @TheGoodAcreMN for connecting our community's students to local food through the Farm 2 School program! http://bit.ly/2zU1mpX ,2017-11-21 23:03:00,15,4,933108514683281410
"A nonpartisan analysis shows that @SenateGOP's tax bill will raise taxes on 82 million middle class families, while giving new tax breaks to billionaires. 

We must stop the #GOPTaxScam.http://cnb.cx/2hRHMny ",2017-11-21 17:01:02,21,16,933017420427493381
"Congratulations to Maj. Marisol Chalas, a @USArmy Congressional Fellow who works in my office, on being recognized by @USCIS as an Outstanding American by Choice!https://twitter.com/USCIS/status/932290265603297282 …",2017-11-20 20:00:35,8,2,932700219866836993
College students: my offices in St. Paul and Washington are hiring interns for the spring 2018 semester. Learn more and apply → http://bit.ly/2vxCuC3 pic.twitter.com/S2vwBRNpOH,2017-11-19 16:01:01,16,8,932277540403720193
