Text,Date,Favorites,Retweets,Tweet ID
No wonder why so many Americans oppose the #GOPTaxScam – it will saddle our children & grandchildren with at least $1.5 trillion in debt.pic.twitter.com/BVoeOPCxEp,2017-11-30 14:52:01,501,473,936246443119128576
"It is disgusting when the President of the United States amplifies a vile video from far-right, racist extremists. I wish @realDonaldTrump would oppose hatred in all forms, not divide communities by spreading fake videos. Remember, when you're @POTUS, even RTs are endorsements.https://twitter.com/abc/status/935901242899025920 …",2017-11-29 22:14:12,368,154,935995336778289152
"Spoke at Congressional briefing on refugee resettlement today with @madeleine, former Bush NSA Stephen Hadley & @DMiliband.

As a nation of immigrants, America has a moral imperative to take a leadership role in humanitarian crises by welcoming thoroughly-vetted refugees.pic.twitter.com/0eg99n07w7",2017-11-29 19:16:19,34,14,935950568694087680
Who pays for the $1.5 trillion the #GOPTaxScam adds to the deficit? Our kids and grandkids.pic.twitter.com/FPDij9IqZI,2017-11-29 16:44:29,51,43,935912361034121217
"House just passed #HR2228, bipartisan bill ensuring law enforcement mental wellness is a priority from day they're hired to day they retire.pic.twitter.com/Hbh7IY7l2r",2017-11-28 23:15:04,70,19,935648264036200449
"Democrats were excluded from #HealthCare and #TaxReform discussions, but at the 11th hour and under insult @POTUS expects us to come to the table. We are not going to be chess pieces on his board. Bipartisanship is a two-way street.https://twitter.com/NancyPelosi/status/935547402278395910 …",2017-11-28 18:06:22,512,256,935570579847106560
The wealthiest 1% get at least 50% of the tax cuts. Meanwhile...pic.twitter.com/9OkY10P5LH,2017-11-28 16:35:29,48,43,935547707199979524
"Republicans are more interested in protecting the very banks that defraud hard-working Americans than in protecting those Americans from financial fraud & abuse — or preventing another financial crisis.

#DefendCFPBpic.twitter.com/tDFzkNVMID",2017-11-28 15:46:05,58,31,935535275224260609
"Not just damaging for low-income Americans. Most people earning less than $75,000 a year would be worse off by 2027. #GOPTaxScamhttps://twitter.com/washingtonpost/status/935115227783487489 …",2017-11-27 19:53:44,275,234,935235210849013761
Plans on http://HealthCare.gov  are more affordable than ever this year for most people - even some with $0 premiums. Financial assistance for healthcare is available. #GetCoveredhttps://twitter.com/BillPascrell/status/930493859351678977 …,2017-11-27 18:07:55,35,29,935208580504047619
"Hoping you have the opportunity to visit with family and friends, the means to share a meal, and the time to contemplate all that we have to be thankful for. Have a peaceful Thanksgiving!pic.twitter.com/Wxd1K2H3Je",2017-11-23 15:23:00,72,14,933717525908484101
"Every single N.J. Representative voted ""No"" on the Republican tax hike bill, but for one.

RT if you’d like to see me and @RepTomMacArthur at a forum to discuss how the plan impacts our state.https://twitter.com/NJ_Opinion/status/932940535484026881 …",2017-11-22 14:53:25,315,281,933347691249184768
"Any delay in getting these much-needed resources to law enforcement jeopardizes their ability to maintain law and order and do their job effectively.
http://www.njspotlight.com/stories/17/11/21/play-or-pay-feds-threaten-to-cut-law-enforcement-grants-to-sanctuary-cities/ …",2017-11-21 18:18:36,11,6,933036941163065344
"Making #Paterson more sustainable, thanks to the Great Falls. Hamilton would be proud.http://patersontimes.com/2017/11/20/proposed-microgrid-at-patersons-great-falls-will-outage-proof-critical-infrastructure-says-mroz …",2017-11-21 12:54:41,22,11,932955424114073601
Speaking with author and baseball historian @davidkrell about the lasting legacy of Lou Costello in my hometown of Paterson.pic.twitter.com/NbDs2V86IR,2017-11-20 19:53:00,17,7,932698309852041217
Congratulating new graduates of the @PatersonFire Academy. Letting them know how important their work is and that I'll have their backs.pic.twitter.com/kSoMZZTHY1,2017-11-20 16:00:23,45,13,932639769284300805
"Don't forget, we've been warned by the @USCBO that the #GOPTaxScam will trigger $25 billion in cuts to Medicare immediately, and $300 billion in the next decade!https://youtu.be/jCQFVT-2nZw?t=15m14s …",2017-11-17 14:50:35,90,111,931535040948948992
.@HouseGOP just voted to raise taxes on 36 million middle-class American families.https://twitter.com/HerbNJDC/status/931233971974868993 …,2017-11-16 18:59:31,181,220,931235297144332290
I'm voting 'NO' right now to the #GOPtaxScam! This bill is terrible for New Jersey taxpayers.https://twitter.com/HouseBudgetDems/status/931173117841625090 …,2017-11-16 18:41:36,224,89,931230788267409408
Section 6103(f)(1) of the Internal Revenue Code,2017-11-16 16:50:37,14,8,931202859932307458
"The IRS is using a safe to secure the President's #TaxRuturns.

Q: Guess who has the key?

A: @WaysandMeansGOP
#CongressMustRequesthttps://www.politico.com/magazine/story/2017/11/15/john-koskinen-taxes-215830 …",2017-11-16 16:50:28,55,60,931202823211094016
Corporate America sees a windfall while our middle class families are left in the dust under this ill-conceived and loophole-ridden package.pic.twitter.com/2JhfUecaQV,2017-11-16 16:17:32,106,72,931194533425106945
"The @HouseGOP list of #TaxReform priorities includes permanent tax breaks for corporations & protection of preferences used by hedge fund managers and golf course owners.

Today, the House votes. Watch live debate here. I'll be speaking this morning: https://www.facebook.com/housebudgetdems/videos/10155208702794952/ …",2017-11-16 14:45:43,58,49,931171429214760960
"The main reason #NJ gets hit with a $137M tax hike under the #GOPTaxScam: ending the state and local tax deduction, or SALT.

Today, my amendment to restore #SALT was blocked from a full floor vote by Republicans.

Middle class families, left in the dust.

https://pascrell.house.gov/media-center/press-releases/republicans-block-pascrell-tax-reform-amendment-to-restore-salt …pic.twitter.com/dxNMBSKfzf",2017-11-15 21:35:08,130,139,930912073382596608
Nor does this bill ensure victims have the time they need to file an appeal and require FEMA to respond so victims are able to move the claims process forward.,2017-11-15 20:53:57,18,14,930901711006453762
This bill does not address problems in the claims process that caused unnecessary delays for victims in receiving their fair share.,2017-11-15 20:53:43,19,11,930901650008629248
The bill allows companies who profited off Superstorm Sandy victims while committing widespread fraud to expand their presence in the flood insurance market.https://twitter.com/phillydotcom/status/930872651547119617 …,2017-11-15 20:53:31,54,37,930901598628384771
New Jersey's federal tax bill increases $137 million under the #GOPTaxScam. Reprehensible.https://twitter.com/JDSalant/status/930796285195702272 …,2017-11-15 16:58:19,135,144,930842410107711488
"In the five years since #Sandy devastated the Northeast, we in #NJ have learned first-hand of many problems with the National Flood Insurance Program.

This legislation will not prevent victims of future storms from facing the same troubles as those in New Jerseyhttps://twitter.com/frankpallone/status/930513834376343552 …",2017-11-15 02:30:46,53,21,930624083984879616
Go to http://healthcare.gov  today and #GetCovered!pic.twitter.com/wa9FLRe5xP,2017-11-14 17:53:18,17,25,930493859351678977
"The #GOPTaxScam makes homeownership, housing, and education more expensive for New Jersey families.https://twitter.com/NJTVNews/status/930216211354447875 …",2017-11-14 15:58:21,74,47,930464930230358016
There should not be one representative from the state of New Jersey who would even consider this #GOPTaxScam bill. Not one.http://observer.com/2017/11/murphy-democratic-congress-members-call-gop-tax-plan-a-scam/ …,2017-11-13 21:47:21,135,81,930190371908354048
"These federal funds allow police departments to put cops on the street, where they can work with our communities to build partnerships.https://twitter.com/TAPintoPaterson/status/930117689179242496 …",2017-11-13 21:14:00,42,14,930181979466711040
NJ stand in opposition to the #GOPTaxScam. Watch live->https://twitter.com/frankpallone/status/930122385067597824 …,2017-11-13 17:17:51,39,24,930122550591582208
Standing with @PhilMurphyNJ & my Democratic colleagues from the Garden State to let everyone know that the @HouseGOP#TaxBill will devastate homeowners in New Jersey and hurt our economy overall.pic.twitter.com/UC5m9gBm6r,2017-11-13 17:15:15,106,79,930121896133386246
"It is stupid! Feeder states like New Jersey subsidize the federal government, not the other way around. #stupitpic.twitter.com/6YIqUMql9M",2017-11-10 21:29:19,127,62,929098669693001728
"In the past, big things like this were done in bipartisan fashion. Not any more. #GOPTaxBillhttps://twitter.com/aarpnj/status/929052789828964352 …",2017-11-10 20:02:53,76,37,929076919462715392
Discussing access to gender-specific health care services in VA facilities; Post-Traumatic Stress Disorder (PTSD); military sexual assault and trauma; and family caregiving.,2017-11-10 17:32:46,15,5,929039139978334208
#VeteransDay2017: Participating in a women veteran’s roundtable at the Garfield VFW. Grateful to host Senator @CoryBooker and all of our service members who took part.pic.twitter.com/Kw8zssWbO3,2017-11-10 17:32:13,30,9,929039001499074560
Middle class Americans suffer at the behest of corporations. Let your representatives know: this isn't what we asked for. Vote no!https://twitter.com/denverpost/status/927936274790567936 …,2017-11-10 12:43:26,142,82,928966326013648896
