Text,Date,Favorites,Retweets,Tweet ID
This is inaccurate in many regards. That discussion had nothing to with Conyers.https://twitter.com/DraperRobert/status/935985854304210944 …,2017-11-29 22:59:17,95,68,936006680130785280
"Congress must streamline the process, protect victims that wish to be protected, and ensure all allegations of wrongdoing are investigated with professionalism, urgency and due process. Read my full statement here, http://bit.ly/2j4LxDx ",2017-11-29 22:41:36,25,14,936002231899447296
"The House Ethics Committee should conduct a prompt, deliberate and thorough investigation. (3/3)",2017-11-22 16:45:46,23,8,933375965442424832
"The allegations against Congressman John Conyers are very disturbing, and I am aware he has emphatically denied them. (2/3)",2017-11-22 16:44:42,16,8,933375700479901699
Sexual harassment is a very serious matter and cannot be tolerated. (1/3),2017-11-22 16:43:32,22,12,933375403489718272
"Mr. Speaker, paying for pass-through gimmicks and tax giveaways to multi-millionaires by raising taxes on moderate and middle-income Americans is reprehensible. Read my full statement on the #GOPTaxScam: http://bit.ly/2m7xS2o ",2017-11-08 22:31:58,49,27,928389661684391936
"In case you missed the Faith and Congressional Leaders @Souls2Enroll Press Conference on #ACA Open Enrollment, watch it here: http://bit.ly/2zHLIyu  #Souls2Enroll #SoulsToEnroll #ACAworks #GetCovered",2017-11-08 22:18:18,8,8,928386222258565120
"As a past recipient of the @LBJFoundation's Liberty & Justice for All Award, I'm looking forward to tonight's annual dinner, and I extend my congratulations to this year's recipient, David Rubenstein.",2017-11-08 22:08:40,24,6,928383799305625605
#Souls2Enroll #SoulsToEnroll #GetCovered #ACAworks #OpenEnrollmentpic.twitter.com/NxZPaRz0w4,2017-11-02 20:53:57,14,11,926190666186620933
It was great to join @TheRevAl and @SenSchumer at the @NationalAction Annual Legislative & Policy Conference this morning.pic.twitter.com/QViHwJcV5B,2017-11-02 16:41:56,21,9,926127244476547074
#OpenEnrollment has started. #GetCovered today! #ACAworks #Souls2Enroll #SoulsToEnrollpic.twitter.com/Ou27OqTn92,2017-11-02 15:14:40,43,35,926105284006825984
Watch live now at http://www.facebook.com/faithinpubliclife …pic.twitter.com/mpUxq92Bjt,2017-11-01 18:40:11,4,4,925794617781612544
Tune in Live. Starting soon. #SoulsToEnroll #Souls2Enrollpic.twitter.com/s6U2FLC6kU,2017-11-01 18:08:10,9,3,925786559823171584
#Souls2Enroll #SoulsToEnroll #GetCovered #ACAworkspic.twitter.com/5SX6lMGNfj,2017-10-31 21:16:46,14,13,925471632180875264
pic.twitter.com/Vek9bJQXIq,2017-10-31 21:13:59,25,26,925470934743617536
"47 million Americans will see a tax increase under the #GOPBudget tax framework. GOP, is that #FairerTaxes?pic.twitter.com/anUhUcvu8S",2017-10-26 17:11:10,48,69,923597885450735616
"I stand in opposition to this unfair, immoral #GOPBudget.http://bit.ly/2zFJRWI ",2017-10-26 14:02:25,36,10,923550386220359682
I'm in full support of my colleague @RepWilson.http://bit.ly/2xln0Pw ,2017-10-24 23:15:14,106,36,922964729743773696
Pleased to speak at @UTAustin's @TheLBJSchool today.pic.twitter.com/0Zlwv16g0X,2017-10-20 19:09:09,19,4,921453252754968576
Looking forward to speaking at the Dean’s Distinguished Lecture Luncheon at @TheLBJSchool tomorrow at @UTAustin.,2017-10-19 21:13:07,18,3,921122061195661312
Excited to keynote the 6th Annual Opening Lecture for @UTArlington’s Center for African American Studies tonight. @UTArlingtonCAAS,2017-10-19 17:43:56,75,19,921069419463356423
"Instead of the Republicans terrible #GOPBudget, we need smart investments to grow the economy and target funding where it is needed most.",2017-10-05 16:04:33,26,8,915970975027613696
Republicans’ immoral budget = reverse Robin Hood – robbing from hardworking Americans to provide tax cuts for the rich.,2017-10-05 16:01:28,65,28,915970202562637824
My thoughts and prayers are with the victims of the Las Vegas shooting. Congress needs to pass common sense reform of our gun laws.,2017-10-02 17:33:09,216,61,914906111349743616
The collapse of latest version of #Trumpcare is welcome news. We need bipartisan effort to repair #ACA and help people enroll come Nov 1,2017-09-27 13:49:17,62,18,913037833975336960
Fight to #ProtectOurCare! (2/2),2017-09-19 17:00:05,16,11,910186745517498368
Newest version of #Trumpcare would terminate #Medicaid for millions eliminate thousands of jobs & decimate hundreds of rural hospitals (1/2),2017-09-19 16:59:33,36,35,910186612025364480
".@RepDWStweets, @RepBarbaraLee, @repjohnlewis & @RepBetoORourke were denied a vote on amendments to protect the #JohnsonAmendment.  (4/4)",2017-09-07 19:03:51,4,5,905869241173381122
"4,000 faith leaders; 5,500 nonprofits; 99 religious orgs & the public wants to keep #JohnsonAmendment strong: http://bit.ly/2gHbIhk  (3/4)",2017-09-07 19:03:07,8,4,905869055537664000
"Today, the @USHouseRep will vote on an appropriations bill that weakens the #JohnsonAmendment. (2/4)",2017-09-07 19:01:44,2,3,905868708354158593
The #JohnsonAmendment protects the integrity of houses of worship & other charitable organizations: http://bit.ly/2f3Opyf  (1/4),2017-09-07 18:59:16,7,4,905868085692960768
"It's my #Twitterversary! I have been on Twitter for 7 years (since 7 Sep 2010).
And you?http://TwiAge.com ",2017-09-07 05:02:19,19,3,905657461536833537
We can never let injustice win. Congress must pass the DREAM Act NOW and #ProtectDREAMers!,2017-09-05 17:26:11,726,266,905119884161548289
"As a former teacher and lifelong student of history, I look forward to speaking with students at @USCSumter on #ConstitutionDay next month.",2017-08-30 20:45:30,21,4,902995718700503044
Our thoughts & prayers are with the people of #gulfcoast enduring devastating floods. Congress must provide emergency aid in a timely manner,2017-08-28 19:27:43,49,12,902251366902587392
"Welcome to all visitors in #SouthCarolina for #SolarEclipse2017.  Have fun, be safe and spend money $$$!",2017-08-21 16:20:32,52,9,899667547171287041
Click here to watch my interview with @wolfblitzer on @CNN today.http://bit.ly/2fMJmp0 ,2017-08-16 22:27:32,15,2,897947966446518272
Click here to watch my interview with @mitchellreports on @MSNBC today.http://bit.ly/2v2B26M ,2017-08-16 22:26:09,15,5,897947615203016704
"Merck's Ken Frazier stood 10 ft tall resigning from WH advisry council ""to take a stand against intolerance and extremism."" #Charlottesville",2017-08-14 16:48:53,143,35,897137965394268160
We must speak with one voice in condemnation of the bigoted hatred and violence on display in #Charlottesville.,2017-08-13 15:16:27,155,50,896752315247595521
Click here to read my op-ed in The State:http://www.thestate.com/opinion/op-ed/article165469972.html …,2017-08-07 21:32:08,17,18,894672533169065986
There are similar stories at #HBCUs across the country. We have an obligation to be stewards of these cultural treasures. (3/3),2017-06-27 22:34:30,29,13,879830326645837825
"Grant funds through this program restored historic Chappelle Auditorium @AllenU., which hosted the event in 1947. #HBCUs (2/3)",2017-06-27 22:33:56,17,5,879830182579892231
Rev. J.A. DeLaine was inspired by an @NAACP event at @AllenU. to lead the petitioners who filed Briggs v. Elliott. #HBCUs (1/3),2017-06-27 22:33:13,25,10,879830002249990144
There are over 100 #HBCUs in the country and 8 of them are in South Carolina. I proudly represent seven HBCUs and am a graduate of one.,2017-06-27 22:32:13,135,49,879829751858429954
"Today the House passed my bill, H.R. 1135, to reauthorize the #HBCU Historic Preservation Program. My statement: http://bit.ly/2sjuG1h ",2017-06-27 20:51:46,110,64,879804471630589954
#CBO confirms #Trumpcare means more costs and less coverage and less protections for everyone.  It is immoral.  Congress must reject it!,2017-06-26 23:30:16,68,32,879481969842823170
@BernieSanders & I will announce legislation today on Community Health Centers. #ACA #ProtectOurCare,2017-06-26 16:25:58,1026,272,879375190786019329
pic.twitter.com/cIR895henO,2017-06-17 14:30:02,83,36,876084524051906560
We cannot allow Republicans to roll back critical civil rights protections by making #Trumpcare the law of the land.pic.twitter.com/2lNgq3aZn4,2017-06-17 13:30:03,1096,499,876069430240854017
"Today, I delivered the Weekly Democratic Address, click here to watchhttp://bit.ly/2ski3Vm ",2017-06-16 19:41:29,24,7,875800517968113665
Praying for @SteveScalise & everyone affected by today’s tragic events. Thanks @CapitolPolice for your dedication & service.,2017-06-14 13:45:48,105,56,874986232610160640
Republicans’ #WrongChoiceAct would strip away consumer protections for seniors & service members saving for retirement.,2017-06-06 18:53:22,12,9,872164528125083649
Wall Street’s irresponsibility led to 10% unemployment during the financial crisis. #WrongChoiceAct would make that behavior legal again.,2017-06-06 18:46:04,18,13,872162693184147456
Republicans’ #WrongChoiceAct will drag Americans back to the depths of the financial crisis. We will fight them.,2017-06-06 18:40:11,26,11,872161209977622528
New #CBOscore confirms #Trumpcare would be devastating to millions of American families. It must be rejected. #ProtectOurCare,2017-05-24 22:18:38,58,23,867505143373152256
Click here to watch my interview with @ChrisJansing on @MSNBC today.http://bit.ly/2quhvx8 ,2017-05-17 22:38:48,10,9,864973505628123136
Today I joined my colleagues in signing a discharge petition to force the House to vote on the Protecting Our Democracy Act #FollowtheFacts,2017-05-17 22:23:50,61,19,864969737440305152
President Trump's ‘Election Integrity’ Commission is a distraction from Russian meddling & pretext for suppression. http://bit.ly/2q88dGM ,2017-05-11 20:21:42,110,72,862764676031053824
Click here to read my floor statement in opposition to #Trumpcare. http://bit.ly/2pKVurv ,2017-05-04 20:47:47,39,25,860234522113323009
#ACA is the Civil Rights Act of 21st century. Putting discrimination back into healthcare is a backwards step that history will not forgive.,2017-05-04 16:13:27,78,61,860165485295538176
#Trumpcare will harm rural communities all across South Carolina by making it harder to access care.,2017-05-04 16:12:22,43,27,860165212518920192
#Trumpcare is an unnecessarily cruel attack on sick people and hardworking Americans pushed by the GOP to pay for tax cuts for the rich.pic.twitter.com/y8xCCJzD6d,2017-05-04 16:01:06,41,34,860162379027501056
5) #Trumpcare = Medicare raids (shortens the life of the Medicare Trust Fund and undermines seniors’ long-term care) (6/6)pic.twitter.com/zFQelSJoz9,2017-05-04 15:59:42,28,25,860162023388327936
"4) #Trumpcare = Crushing age tax (50-64 yr olds will pay five times more than others, no matter how healthy) (5/6)",2017-05-04 15:58:50,23,19,860161806358249474
3) #Trumpcare = Gutting key health protections (waives protections for pre-existing conditions and essential health benefits) (4/6),2017-05-04 15:57:48,9,6,860161545854214144
2) #Trumpcare = Less coverage (24 million people will lose insurance) (3/6)pic.twitter.com/sV3nahh9ZQ,2017-05-04 15:57:13,23,21,860161398227300358
"1) #Trumpcare = Higher costs (higher premiums, deductibles & out-of-pocket expenses) (2/6)",2017-05-04 15:56:07,11,8,860161125077352448
All Americans will #PayMoreForLess under #Trumpcare. Five key takeaways: (1/6),2017-05-04 15:55:26,15,11,860160952741666817
Watch the #ACA debate & my remarks at http://houselive.gov . (2/2),2017-05-04 15:45:36,4,5,860158475363647489
@HouseGOP voting today to repeal #ACA & impose disastrous #Trumpcare on hardworking Americans. (1/2),2017-05-04 15:39:27,0,0,860156928391041026
Upton amendment is a fig leaf but won't mask #Trumpcare's gutting of protections for people with preexisting conditions,2017-05-03 19:46:20,83,90,859856670985523200
"#Trumpcare is a bad bill because it eliminates essential health benefits and creates a new ""age tax"" on older Americans",2017-05-03 19:40:17,30,25,859855148172103680
#Trumpcare would allow insurance company CEOs to reap more profits by discriminating against people based on health status,2017-05-03 19:33:13,32,22,859853368688336900
#Trumpcare is a bad bill because it guts protections for people with preexisting conditions and their families,2017-05-03 19:27:55,34,21,859852038586478592
Any review will only find that it has successfully preserved & protected our nation’s most significant historic & natural treasures. (2/2),2017-04-28 19:36:43,33,12,858042313431539715
I’m proud of the use of the @AntiquitiesAct in SC and around the country.(1/2),2017-04-28 19:35:02,55,23,858041887047004165
President Obama wisely set the Atlantic coast off limits to oil drilling. We should not gamble with our state’s #1 industry: tourism,2017-04-28 19:16:45,82,31,858037287841673216
"Celebrating SC’s own @CongareeNPS for #NationalParkWeek, made possible by the Land and Water Conservation Fund #FindYourPark @LWCFCOALITIONpic.twitter.com/ElDZj5V0Ja",2017-04-21 15:22:38,45,14,855441656228851712
I'm deeply honored to receive the 2017 Harry S Truman Lifetime of Leadership award & hope to live long enough to prove myself deserving.,2017-04-19 19:31:51,171,22,854779596310552576
I'm looking forward to going to KC tomorrow to attend the @TrumanLibInst's Wild About Harry dinner with @repjohnlewis & @repcleaver,2017-04-19 19:27:18,12,7,854778451340996609
Congrats to @dawnstaley and the entire @GamecockWBB team! Proud to have shared historical moments with true champions! #Gamecocks #FinalFour,2017-04-03 21:49:55,69,14,849016137107091456
Congratulations to @GamecockMBB on a great run! Good luck to @GamecockWBB in tonight's big championship game! Go #Gamecocks!,2017-04-02 19:09:38,65,14,848613412938686467
Friendly wager on tomorrow night's championship game. SC BBQ vs @BennieGThompson 's MS catfish. Go @GamecockWBB! Go #Gamecocks!,2017-04-01 19:39:29,31,10,848258534999511041
Best of luck to @dawnstaley and @GamecockWBB tonight and to @FrankMartin_SC and @GamecockMBB tomorrow! #FinalFour #GoGamecocks,2017-03-31 20:34:48,29,5,847910069563994113
Congratulations to @dawnstaley and the @GamecockWBB for going to the #WFinalFour! You make us proud!,2017-03-28 14:43:44,17,9,846734555772076032
Good luck to @GamecockWBB in tonight's big game!  Go #Gamecocks!pic.twitter.com/cJt7NpqAgd,2017-03-27 22:59:21,47,6,846496895954550784
Congratulations to @GamecockMBB on today's amazing comeback victory!  On to the Final Four!,2017-03-26 20:46:43,99,31,846101130228748293
Click here to watch my response to House Republicans’ pulling the American Health Care bill.https://youtu.be/EwBHPSU6rLg ,2017-03-24 21:36:53,42,15,845388977293135872
My mother worked saved all her life & had health insurance. When she got sick her coverage ran out in 2 mos all her savings went to her care,2017-03-24 20:04:48,156,94,845365804686331905
Repealing #ACA and putting discrimination back into #healthcare is a backward step history will not forgive. #KillTheBill,2017-03-24 19:59:00,104,36,845364344330186752
I have called the #ACA the Civil Rights Act of the 21st Century because it bans discrimination against sick people.,2017-03-24 19:57:00,141,64,845363842406244352
"After the #ComeyHearing, it is more clear than ever that we need a bipartisan commission like we had after 9/11 to follow the facts",2017-03-20 20:56:18,580,219,843929214948691970
Congratulations to both @GamecockMBB and @GamecockWBB for making it to the NCAA Sweet Sixteen!  You make all of SC proud,2017-03-20 18:33:26,62,14,843893261488046081
Click here to watch Members of the #DemFaithWorkGroup respond to House Republicans' plan to repeal #ACA. http://bit.ly/2mze7MN  #ACARepeal,2017-03-16 21:07:33,17,11,842482491403485184
"#TRyancareless Health Plan slashes Medicaid to provide massive tax breaks to the wealthy, insurance company CEOs. Very sad for workers.",2017-03-14 22:35:37,58,31,841779880484306947
Non-partisan CBO confirms #TRyancareless Health Plan will rip away coverage from 24 million Americans.  Very sad.,2017-03-14 22:33:56,63,23,841779457010618368
#TRyancareless Health Plan cuts Medicare Trust Fund by 3 years.  Very sad for seniors.,2017-03-14 22:32:16,22,11,841779037991251968
#TRyancareless Health Plan means Less Coverage and Less Covered.  Sad.,2017-03-14 22:30:53,26,8,841778690178617344
A woman is free if she lives by her own standards and creates her own destiny - Mary McLeod Bethune Celebrating #IWD2017 w/ some of my staffpic.twitter.com/YSjeD5IGqd,2017-03-08 23:22:51,74,36,839617439352631302
"HBCUs are National Treasures, Show Them the Money. Read my op-ed in the Huffington Post today. http://bit.ly/2mgpABy ",2017-03-07 22:31:52,28,22,839242219240505344
Click here to watch the Democratic Faith Working Group video.http://bit.ly/2mjEGs4 ,2017-03-03 18:30:48,4,3,837732003566989312
Congratulations to Chelsea Evans on her election as the first African American to serve as editor-in-chief of the SC Law Review!,2017-03-02 18:43:43,143,48,837372865204928513
"I agree with my colleagues that at a minimum #Sessions should recuse himself, BUT I am not a minimalist, #Sessions should resign.",2017-03-02 17:12:28,1131,404,837349901650518016
"Pleased to meet with the Palmetto Chapter of the Gold Star Wives of America, Inc. earlier today.pic.twitter.com/6Ihl0Hus6x",2017-02-23 20:23:04,38,6,834861151976620032
"You were a good friend, great public servant and outstanding political leader. RIP Bob Michel.",2017-02-17 21:34:30,33,8,832704801079123968
Honoring #HBCUs; Salute to @DenmarkTechSC and @VoorheesCollege. #BHMhttp://bit.ly/2lSFswM ,2017-02-17 14:44:02,27,13,832601504871747585
"Watergate was a cancer on the presidency. Trump/Russia mess is an attack on our democracy. We need an independent investigation, now.",2017-02-16 21:07:32,1084,496,832335628100583425
Honoring #HBCUs; Salute to #ClintonCollege and @MorrisColl1908. #BHMhttp://bit.ly/2lSKXbA ,2017-02-16 16:42:45,9,5,832268992807108613
Honoring #HBCUs; Salute to @BenedictEDU. #BHMhttp://bit.ly/2lSBOQ6 ,2017-02-16 15:35:59,16,5,832252191616405504
Honoring #HBCUs; Salute to @AllenUniv. #BHMhttp://bit.ly/2kBZCWE ,2017-02-16 15:04:44,7,5,832244325362700288
SC Rep @JosephNeal3 was a true friend and a real champion for 'the least of these.’ His voice and passion are going to be missed #RIPJoe,2017-02-15 19:24:55,38,11,831947417885016075
Now is the time for an independent investigation of Russian meddling in our election & support for the @EACgov.http://bit.ly/2kQJCnd ,2017-02-14 22:50:28,425,187,831636758655856644
Trump Administration is doing exact opposite of Candidate Trump’s promise to be a hero of working people.http://bit.ly/2lHZEBA ,2017-02-14 22:50:06,58,23,831636663155773440
"""The time is ripe to do right for the American people."" Click here to see more of my floor remarks on #ACA & #BHM.http://bit.ly/2lNETAj ",2017-02-14 22:49:31,36,15,831636518229917698
"Despite his campaign promises, Trump’s actions to date favor Big Banks & special interests over working people #MakeAmericaBrokeAgain",2017-02-03 19:24:31,223,156,827598663111241733
"If extreme vetting is good for refugees, it's good for nominees...click here to watch my CNN interview.http://bit.ly/2jDG2sS ",2017-02-01 17:36:15,359,197,826846639247728640
Turning away refugees is not who we are as Americans. Any religious test for entry is unconstitutional. No #MuslimBan,2017-01-29 20:02:00,482,216,825796153312673793
