Text,Date,Favorites,Retweets,Tweet ID
"Join me for a live discussion on Tax Reform.

https://www.facebook.com/mike.conaway/videos/1486460598057452/ …",2017-11-14 22:37:27,2,2,930565370162933760
"Great to see you on the Hill today, @SecretarySonnyhttps://twitter.com/SecretarySonny/status/928265185114120193 …",2017-11-08 23:00:05,6,2,928396737630392325
Heroes are everywhere.http://bit.ly/2Ad7xBZ ,2017-11-06 11:42:33,192,63,927501455157874688
Suzanne & I are praying for the victims of the terrible act of violence in Sutherland Springs. Our hearts are breaking for the community.,2017-11-06 11:37:08,17,3,927500089312018438
Part of #RussiaInvestigation: to look at role of social media in disseminating malign content from Russian actors https://intelligence.house.gov/calendar/eventsingle.aspx?EventID=814 …,2017-11-01 18:37:12,2,0,925793865457655808
"Watch live as @Twitter, @facebook, & @Google testify before #HPSCI on Russian social media ads  https://intelligence.house.gov/ ",2017-11-01 18:24:36,1,1,925790694849024002
"It's time the tax code worked for businesses in our communities, not against them #TaxReformhttps://twitter.com/mwtnews/status/920327301388210177 …",2017-10-24 20:24:34,2,0,922921780699840512
"We’ve all gotten makeovers since the 80s, it’s time the tax code got one too. #throwbackpic.twitter.com/VjLT7btVq1",2017-10-24 14:03:08,3,3,922825790647164934
Ever wonder what a day on Capitol Hill looks like? Here's a behind the scenes look: https://www.facebook.com/mike.conaway/videos/1456941974342648/ …,2017-10-12 21:07:00,11,5,918583806789128192
"House passes disaster relief funding package, including emergency funds for Texas #TexasStrong",2017-10-12 19:54:45,9,5,918565622275100674
"In agreement w/ @mwtnews: while overdue, this legislation is a great thing.http://www.mrt.com/opinion/editorials/article/Editorial-House-makes-right-call-with-vote-to-12258627.php …",2017-10-07 14:20:35,5,4,916669590624702465
Miss last night's interview about the June 14th shooting on @FoxNews? Watch it in full here: http://bit.ly/2hNscsz pic.twitter.com/M6K9OAr906,2017-10-05 13:58:21,16,7,915939217510977536
Our interview welcoming @SteveScalise back to Congress is coming up on @FoxNews shortlypic.twitter.com/MKyfNJ82Sx,2017-10-04 23:37:17,27,9,915722521198112771
Less than two hours until our exclusive interview with @marthamaccallum airs on #FoxNewshttps://twitter.com/FoxNews/status/915658682570035200 …,2017-10-04 21:17:39,7,2,915687382103490562
"Tune in to #TheStory w/ @marthamaccallum tonight as @JeffFlake, @RepBradWenstrup & I welcome @SteveScalise back to Congresspic.twitter.com/3Y0LxbMeei",2017-10-04 20:31:49,83,27,915675849818542081
"Meet the Young family, our 2017 Angels in Adoption #TX11
http://bit.ly/2y17lrT pic.twitter.com/XNReYt2Eb7",2017-10-04 16:02:56,12,2,915608182843723783
"Proud to join @CCAInstitute in recognizing a #TX11 family's inspiring story of love, patience, and miracles http://bit.ly/2y17lrT ",2017-10-04 15:52:33,3,3,915605568747855872
Please join Suzanne and I in prayer for the victims of this horrific act of violence in Las Vegas.,2017-10-02 13:47:33,33,10,914849334184857600
Beyond glad to have @SteveScalise back in the House.https://twitter.com/ABCPolitics/status/913419296016965633 …,2017-09-28 15:52:19,14,4,913431182246899712
"Starting the day with @SecretarySonny at King Mesa Cotton Gin in Lamesa, TX talking with producers on how we can strengthen #TheNextFarmBillpic.twitter.com/XIHK8jNTiY",2017-09-22 14:31:04,16,3,911236408039309313
"This afternoon, a vehicle traveling w/ @SecretarySonny and I was involved in a traffic accident in TX. Grateful that all are OK.pic.twitter.com/615FhXdIuq",2017-09-21 21:14:26,44,19,910975533088956416
"American innovation built this country, and keeps it growing. I’m proud to support the technologies leading the wayhttp://bit.ly/2x4KFpG ",2017-09-14 21:15:11,7,1,908439003686490112
"The Carbon Capture Act does it all: creates jobs, promotes American energy independence, and reduces emissions  http://bit.ly/2x4KFpG ",2017-09-14 21:14:32,15,6,908438840867786753
May we never forget the sacrifices made daily for our freedoms. #NeverForgetpic.twitter.com/fS6EHeCz0X,2017-09-11 19:30:56,26,8,907325605737361413
"Americans deserve a tax system that works for all of us, not against us.

https://fairandsimple.gop/?utm_source=repmikeconaway …pic.twitter.com/742PTkAIYx",2017-09-11 14:53:47,41,10,907255860593917952
A beautiful and solemn reminder of all the lives lost on this day 16 years ago #NeverForgethttps://twitter.com/AngeloStateYAF/status/907237380477812741 …,2017-09-11 13:45:46,22,8,907238740875202560
It's an easy equation: a simpler tax code plus fewer regulations equals more jobs for hardworking Texanshttp://bit.ly/2eZYqg5 ,2017-09-05 16:19:11,7,5,905103025638957056
"Texas Railroad Commissioner Ryan Sitton: ""we are not running out of fuel."" See more here:https://twitter.com/gosanangelo/status/903354284397527041 …",2017-08-31 20:46:24,10,11,903358332655865857
"I had a blast this morning with @NACSonline and Kent Kwik! Met some great folks while being a ""cashier for a day""! #NACSInStorepic.twitter.com/KwNO5TrJHr",2017-08-10 15:12:25,17,4,895664135484174336
Yesterday's listening session in MN on #TheNextFarmBill was another great opportunity for @HouseAgNews. ICYMI:http://bit.ly/2vpAQ5A ,2017-08-04 15:36:15,10,4,893495808762540033
"Thanks for another productive farm bill listening session, Minnesota. See you soon, California! #TheNextFarmBill #HouseAgListens",2017-08-04 15:32:28,12,0,893494855900344320
Nice groupie of our #agselfie? Great start to our time in Minnesota  listening to producers across America.pic.twitter.com/8aW9aFBcGJ,2017-08-03 16:59:25,9,3,893154348548673536
"On toward @MineralWellsTX! The town hall kicks off at 3:30PM  

Tag me with #TX11 or on instagram!",2017-08-02 19:23:14,3,0,892828151881052160
"Great to talk with folks in Breckenridge! Thanks for coming out! #TX11pic.twitter.com/Pfq2JYcv3c – at Breckenridge, Texas",2017-08-02 19:12:54,1,0,892825553207791616
Want to see what I'm up to in #TX11? Check out my instagram for a behind the scenes look: https://www.instagram.com/mikeconawaytx11/ …,2017-08-02 18:45:22,3,0,892818626377547777
"Thanks to all who came out for the Baird, TX town hall this morning! See you  Breckenridge #TX11pic.twitter.com/aDAiHGiOde – at Baird, TX",2017-08-02 14:53:56,6,0,892760383945101312
Thank you @USChamber for this honor! I'm humbled to have been chosen for Spirit of Enterprise Award #SOE17pic.twitter.com/u3Z7SnYvfI,2017-08-01 18:36:55,19,4,892454109143588868
"Incredibly grateful for the 500+ farmers, ranchers, & members of the food industry who came out yesterdayhttp://bit.ly/2whHDv6 ",2017-08-01 16:19:36,27,8,892419555112497152
A successful turnout at @HouseAgNews Listening Session! Thank you to all who tuned in and @AngeloState for hosting! #FarmBill2018pic.twitter.com/qPsdNDm2D0,2017-07-31 21:00:17,35,9,892127800618102786
Watch #HouseAg in #TX11 here: http://bit.ly/2vg2qSk  #HouseAgListens #TheNextFarmBill,2017-07-31 20:06:51,4,1,892114356338601984
Thanks for the #agselfie @RodneyDavis! Let's get to listening #farmbillpic.twitter.com/ppwACm3Afb,2017-07-31 19:18:05,9,0,892102081255002113
Join the @HouseAgNews listening session to hear from the communities affected by the 2018 #farmbillhttp://bit.ly/2hhod6L ,2017-07-31 18:43:07,7,6,892093282846728192
Thank you Bollman Industries for the wool scouring tour this morning  #AmericanMadeMatterspic.twitter.com/vqqCFIKgcP,2017-07-31 15:05:37,12,3,892038548899147776
Strong Texas values are at the heart of the next #FarmBillhttp://bit.ly/2eUcWZg ,2017-07-28 15:13:47,16,2,890953439815094273
I remain incredibly grateful for the brave first responders who put their lives on the line to save ours on June 14.https://twitter.com/WhiteHouse/status/890657218999316480 …,2017-07-27 20:21:51,15,3,890668578642558976
Safe travels to California and show California how #TX11 can knock it out of the park! Proud of you boys!http://www.gosanangelo.com/story/sports/2017/07/27/san-angelo-western-little-league-advances-first-ever-world-series/515348001/ …,2017-07-27 13:59:50,7,1,890572441801695232
"Congratulations @USNavy, the first in class aircraft carrier #USSGeraldRFord has been commissioned!pic.twitter.com/yHh8YTzD6u",2017-07-24 16:06:24,6,0,889517129510383616
"Stay courageous @SenJohnMcCain, Suzanne and I have faith in your will to fight this. Our prayers are with you.",2017-07-20 13:59:29,10,3,888035638523637760
My prayers are w/ the #AmarnathYatra pilgrims who were victims of the Jul 10 terrorist attack. #ReligiousFreedom is the bedrock of liberty.,2017-07-13 14:09:43,279,89,885501498498666497
"Human trafficking has no place in our society. Today, the House passed sweeping reforms to #EndTraffickinghttps://usat.ly/2uSZoRh ",2017-07-12 22:16:17,17,10,885261557315362816
The @USNavy needs a 12th carrier to properly execute its mission. My #12CarrierAct gets us there. #FY18NDAApic.twitter.com/gXhBCaWTy9,2017-06-28 19:54:19,13,4,880152402321657857
Statement on the start of #HASC #FY18NDAA mark uppic.twitter.com/DVP3gtdGny,2017-06-28 14:32:23,3,3,880071383656673281
We'll be starting the #HASC mark up of #FY18NDAA shortly. @HASCRepublicans are live streaming here: http://bit.ly/1QcjHLf pic.twitter.com/TRFtHlPYCt,2017-06-28 13:53:11,5,3,880061517349126144
"Today’s @EPA announcement is an important first step to getting the federal government out of America’s backyards, fields and ditches #WOTUS",2017-06-27 18:49:01,159,65,879773579763748864
Looking forward to meeting with you soon @jimmydawson to talk about the great work you're doing for the @AMSpirateshttps://twitter.com/jimmydawson/status/877935687324094464 …,2017-06-22 17:39:34,12,6,877944163718660096
Maintaining 12 operational aircraft carriers will enable @USNavy to provide coverage we need w/o overworking our sailors & ships #FY18NDAA,2017-06-22 17:14:42,7,2,877937904294744064
Thanks to @HASCRepublicans for including my #12CarrierAct bill in today's #seapower mark of #FY18NDAApic.twitter.com/xHHQqD8Y5B,2017-06-22 17:13:13,2,2,877937530041237504
Thanks to @TTUSystem @ChancellorRLD for stopping by my office to say hi to the two #RedRaider interns in my office!pic.twitter.com/l43qWpt6h4,2017-06-22 15:06:08,16,4,877905550729785345
Terrific news on the continued good progress @SteveScalise is makinghttps://twitter.com/medstarwhc/status/877556730619670530 …,2017-06-21 16:09:26,14,1,877559090863628289
My opening statement from this morning's #HPSCI hearing with former DHS Sec. Jeh Johnson: http://bit.ly/2sAFg63 ,2017-06-21 14:13:46,4,4,877529983773814785
Congrats to these two scholar athletes!https://twitter.com/MidlandHigh/status/837003121696129039 …,2017-03-01 19:54:30,18,2,837028291596980226
"Good governance = good government. Thank you @TheIIA for 75 years of promoting effective, efficient governance. #IIA75",2016-07-15 20:06:34,22,11,754044507159662594
Watch live as @HASCRepublicans receive an update from @DeptofDefense on 2017 audit goal -->https://www.youtube.com/watch?v=QnZs7jjCfKg …,2016-06-15 14:09:56,2,4,743083121046921216
"Happy 92nd birthday to a truly great American, @GeorgeHWBushpic.twitter.com/53qfRnxsEm",2016-06-12 21:20:24,33,13,742104289280155648
There is a #BetterWay to fight poverty in America. Watch live here: https://www.youtube.com/watch?v=_XeYeGl60zk …,2016-06-07 13:44:14,11,7,740177549754531840
"Today, as global threats to our safety increase so too must our number of carriers http://bit.ly/1QsVlNB ",2016-04-22 19:40:09,2,0,723597277965737984
.@HouseAgNews is dedicated to serving all of #ruralAmerica. Energy production directly impacts our nation’s #farmers and #ranchers.,2016-04-13 13:20:14,4,3,720240179781378049
The aircraft carrier is still a cornerstone of U.S. Naval strategy- critical to nat'l security now & in the futurehttp://onforb.es/1VbSTS7 ,2016-03-31 20:28:33,14,11,715636926863249408
"NDAA: Signed, sealed, delivered to the President's desk. Now it's his turn to #SignTheBill #NoVeto",2015-10-20 22:51:41,6,3,656603725029593088
"Tonight, the Speaker signed the the National Defense Authorization Act to protect our troops and country #SignTheBill #NoVeto",2015-10-20 22:29:40,6,3,656598182944743424
"Cool things are happening in #Midland, like this #OrbitalOutfitters spaceport facility http://on.fb.me/1MpUpwu pic.twitter.com/ve00dcwLtN",2015-10-11 17:53:58,7,6,653267308702371841
"In this week's #ConawayChronicle: Delivering the weekly #GOP Address, House votes to #LiftTheBan, and more: http://1.usa.gov/1LGwyKb ",2015-10-11 00:53:38,2,1,653010536091811840
"The weekly #Republican address, on a topic that is very important to #TX11: America's energy future. Watch it here:http://bit.ly/1L4OCdi ",2015-10-10 12:50:03,3,3,652828439184076801
Looking forward to delivering the weekly #Republican address on the need to #LiftTheBanhttp://1.usa.gov/1JXVHIL ,2015-10-09 22:22:24,1,1,652610089824686081
Bill to lift the oil export ban passes the House with resounding majority clearly signaling that it's time to #LiftTheBan,2015-10-09 17:25:15,5,4,652535308941172738
RIGHT NOW: I am leading a discussion on the @HouseFloor on the importance of lifting the oil export ban. Watch live: http://www.c-span.org/networks/?channel=c-span …,2015-10-08 21:22:00,4,1,652232501415575552
Happy to support my friend and fellow Texan @PeteSessions for Majority Whip,2015-09-30 14:45:21,2,3,649233575359971328
Always happy to see 11th district athletes succeed. Send Davene #Carter of @tarletonstate to the #CollegeSLAM Championship!,2015-04-02 23:30:03,9,7,583773418115342336
"Kelsey, one of my interns in Midland, has a truly incredible story. Watch @Big2News's interview with her here: http://www.permianbasin360.com/news-article/d/story/single-mother-receives-opportunity-after-teen-preg/24757/LzFUEcQE4EuGfYZHc97Xfg …",2015-03-24 16:37:16,5,5,580408048797237248
Talking to Craig Anderson on KWEL this morning. Turn on your radio to listen live!pic.twitter.com/cNtGzJ3g6D,2015-02-18 13:33:30,4,5,568040613356003328
"Stopped by @newswest9 this afternoon to talk about immigration, obamacare, and the fight against ISILpic.twitter.com/vYQH1RWNxr",2015-02-17 20:25:24,9,8,567781883119824896
"I'll be on @cspan in just a few min to talk about U.S. relations with Russia, Ukraine, & the fight against ISIL. Tune in to watch live!",2015-02-13 12:47:30,4,5,566217098654146561
TUNE IN NOW: @DeptAgNews Secretary Vilsack testifying before @HouseAgNewshttp://www.ustream.tv/channel/hclive22 …,2015-02-11 15:32:55,1,6,565533948680613888
Thank you @GovAbbott for declaring today #ChrisKyleDay to honor the memory of this American hero & all his sacrifices for this country.,2015-02-02 19:39:17,8,12,562334459941621763
"The Senate voted to approve construction of #KeystoneXL. Mr. President, it's time to listen to Congress. It's #TimetoBuild the #KXLPipeline",2015-01-29 21:21:18,4,11,560910581754908674
What did you think of the #SOTU address last night? Read my full response to the President's speech here:http://conaway.house.gov/news/documentsingle.aspx?DocumentID=397913 …,2015-01-21 16:23:20,2,5,557936491272228864
The agreement announced today is a poorly negotiated deal for America and for the #Cuban people. The Committee will review this next year.,2014-12-17 17:44:52,2,5,545273436176941056
Time to act on the #KeystoneXL Pipeline. House has passed 9 bills authorizing construction of the #KeystonePipelinepic.twitter.com/ZekbyL1bDF,2014-11-17 18:31:33,5,7,534413549658202112
#Lamesa #Cotton Day. A great day with the farmers and the men & women at the King Mesa Gin. #Agriculture #johndeerepic.twitter.com/U8I0hxaG9k,2014-11-07 18:15:17,5,3,530785575893479424
@PCGNews @TexasFarmBureau & Lames Cotton Growers put together a #Cotton Field Day in #Lamesa #Texas on Fridaypic.twitter.com/n1ry8Sm1bl,2014-11-03 21:35:40,2,0,529386453277474817
I want to welcome @giancarloCFTC to Twitter. I also want to see a picture of his '73 Buick Convertible.,2014-10-31 18:54:37,2,1,528258760301887488
"""Our Constitution was made only for a moral and religious people."" #JohnAdamspic.twitter.com/oqIiYDcddz",2014-10-31 18:28:14,6,5,528252121658163201
"""Swim or sink, live or die, survive or perish, I am with my country. You may depend upon it."" #JohnAdamspic.twitter.com/saAqLpfKz7",2014-10-31 18:26:08,5,2,528251590600577025
#TBT Photo from 2007 with #SanAngelo #Marine Sarah Ford in Afghanistan  She now owns #RanchRoadBootspic.twitter.com/8uXgyY9zsL,2014-10-16 20:05:16,5,3,522840720760004609
"On this day in 1942, the Japanese executed Dean E. Hallmark, an #DoolittleRaid hero & Robert Lee #Texas native.pic.twitter.com/o71pcOku42",2014-10-15 17:13:45,1,4,522435171455623168
“I’m unpersuaded with the reasons they’ve told me so far why they can’t get this done.” #APH #CropInsurance #FarmBillhttp://kdhnews.com/news/texas/farm-bill-delay-could-affect-cotton-planting/article_f991b5ac-5284-11e4-98a1-0017a43b2370.html …,2014-10-15 12:43:39,1,3,522367195754807296
"#USDA needs to implement #APH 
High Risk and ""Crazy High"" Premiums for #Texas #farmers #CropInsurance #FarmBill
http://www.dtnprogressivefarmer.com/dtnag/common/link.do;jsessionid=33CEEFBBC5C80E60F7701E2A2045D7EC.agfreejvm2?symbolicName=/free/news/template1&paneContentId=5&paneParentId=70104&product=/ag/news/topstories&vendorReference=4cc08f7f-92c8-437d-b7b8-4bbf769e5028 …",2014-10-06 15:20:24,2,2,519145153555365888
#Texas Revolution began on this day in 1835. #ComeAndTakeIt cannon was used to fire the first shot.pic.twitter.com/19IAIgLdAK,2014-10-02 19:16:16,4,7,517754961254678529
"An #AmericanHero, a Marine's #Marine will be laid to rest in #ArlingtonCemetery today https://www.facebook.com/mike.conaway/photos/a.203542246349300.50628.203482063021985/724396330930553/?type=1&theater …pic.twitter.com/e8EdOiJNBF",2014-09-30 14:44:05,1,1,516961684968448000
#OldYeller Days in #MasonTexas tomorrow.  Great event in the hometown of Old Yeller author Fred Gipson.pic.twitter.com/XwsPXSXis4,2014-09-26 18:48:26,1,1,515573628902313985
#EricHolder has run roughshod over the law. Effort to get answers from him will not end with his #resignation.pic.twitter.com/4eMeor5rxU,2014-09-26 14:15:45,1,1,515505006624382976
Great meeting with #MartinCounty #Texas #Cotton Growers.  #USDA needs to implement #APH as directed in the #FarmBillpic.twitter.com/wfAQ0fXoJK,2014-09-24 17:56:52,0,4,514835876493668352
"""I only regret that I have but one life to give for my country."" Nathan Halepic.twitter.com/WppQC2uZTq",2014-09-22 20:27:55,2,0,514149112199913473
Record breaking #watermelon grown by the Hodges family in #DeLeonTexas in #TX11 Tipped the scales at 246 lbspic.twitter.com/S2SSUTAwk0,2014-09-12 17:55:04,4,4,510486766768644096
The investigation of what happened in #Benghazi will continue until every question is answered.pic.twitter.com/oe24B0nJyY,2014-09-11 15:15:42,0,1,510084275996483584
Never forget the sense of visceral horror we all had on as we witnessed the events of 9/11 #September11pic.twitter.com/IvfNxT7GJN,2014-09-11 13:47:52,0,1,510062169304875008
"#Miles #Texas #Cotton Festival this Friday & Saturday
http://www.milestexas.com/ pic.twitter.com/MBd62XHYSw",2014-09-10 17:44:53,1,0,509759431471808512
#Netanyahu It was a honor to meet the Israeli Prime Minister last weekpic.twitter.com/xetlBCzti1,2014-09-09 21:41:25,1,1,509456568975626240
Voting for a resolution that condemns the President for failing to notify Congress.  #USSecurity,2014-09-09 19:00:01,1,1,509415949800570880
Voting for a bill that would block the EPA's attempt to seize control of bodies of water that are under local & state sovereignty #EPA,2014-09-09 18:58:18,1,2,509415516201840640
@USDAFoodSafety will be hosting two #FoodSafety webinars on 9/10 & 9/17. Register @ http://go.usa.gov/mFMx  #foodsafetymonth,2014-09-08 18:39:12,0,0,509048323102498818
September is #foodsafetymonth Register @ http://go.usa.gov/mFMx  to hear from microbiologists & food safety experts,2014-09-08 18:38:06,0,0,509048044730716160
"#tbt  to1895 William Carrol Crawford, last surviving signer of the #Texas Declaration of Ind died in #ErathCountypic.twitter.com/XdGGIYMHR8",2014-09-04 20:34:33,1,0,507627800199565312
