Text,Date,Favorites,Retweets,Tweet ID
"It's hard to conceive of all the devastating effects the #GOPTaxScam will have - but this is a big one. With massive cuts to Medicare and gutting of the ACA, vulnerable seniors will see their healthcare premiums rise by THOUSANDS of dollars.https://www.aarp.org/politics-society/advocacy/info-2017/senate-tax-premiums-fd.html?intcmp=AE-HP-FLXSLDR-SLIDE1&cmp=SNO-ADV-TW-AO&socialid=1181947094 …",2017-11-29 21:12:33,8,12,935979819061399557
"Last night we introduced legislation to condemn the targeting of hospitals in #Syria by Assad and Putin. We must protect civilians, defend international law, and bring a swift end to this horrific conflict. https://boyle.house.gov/media-center/press-releases/congressmen-boyle-kinzinger-introduce-legislation-condemn-syrian …pic.twitter.com/OY972GC598",2017-11-29 18:41:37,21,15,935941838820823040
"The #GOPTaxScam will make it harder for Americans to pay for medical expenses, go to college, and buy a home. This bill moves our country in the wrong direction.",2017-11-29 17:12:50,28,26,935919492630220801
President Trump promised us an infrastructure plan in his first year. 33 days left in that first year---and counting. We're waiting @POTUShttp://www.politifact.com/truth-o-meter/promises/trumpometer/promise/1348/invest-550-billion-infrastructure-and-create-infra/ …,2017-11-28 17:50:42,23,15,935566636630847490
An honor to contribute to the recent #Ukraine Dialogue hosted by @ManorCollege at the re-opening of their Ukrainian Heritage Museum – Ukraine is one of our most important allies and needs our strongest support for its sovereign democracy.pic.twitter.com/u5xTcf5Bpm,2017-11-28 17:29:16,9,5,935561240386113537
Middle class families shouldn’t suffer so that millionaires & billionaires can enjoy a tax break. RT if you agree. #GOPTaxScampic.twitter.com/NsuOzRFEcG,2017-11-28 16:57:33,1126,1354,935553258663350273
"-Food Stamps
-Pell Grants
-Medicare
-Medicaid
The GOP will put them all on the chopping block after the #GOPTaxScam explodes the deficit.",2017-11-28 16:34:22,801,626,935547423426048000
"#DREAMers need us to stand with them. They're our neighbors, classmates, service members, & colleagues. Congressional Leaders & the White House must #ProtectDreamers by passing the #DreamAct before the end of the year.",2017-11-27 21:18:58,17,10,935256660523847680
"It has delivered $12 billion in financial relief to 29 million defrauded consumers. It should be strengthened, not weakened or politicized. If the President stood for the middle class, he would agree.",2017-11-27 15:33:03,12,13,935169605848436736
The #CFPB was created in the wake of the financial crisis to protect American consumers from the fraud and abuse that wrecked the middle class and nearly tanked our economy.,2017-11-27 15:32:33,20,16,935169481185390592
Thank you to all who attended the 6th annual Abington Ministerium Interfaith Thanksgiving Service this week at Temple Beth Am. Gathering with you in the spirit of unity and gratitude is such a restorative part of the holiday season and a beautiful tradition in our community.pic.twitter.com/tEFUzZfvpO,2017-11-26 13:00:14,18,3,934768762858897410
