Text,Date,Favorites,Retweets,Tweet ID
Congratulations to the South Central Community Action Center for their contributions to the Magic Valley for the last 50 years.pic.twitter.com/7x8ovibcAN,2017-10-23 19:15:04,9,4,922541904562212864
Wildfires out West are burning millions of acres and blanketing cities in smoke. It's time to pass H.R. 2862 to fix fire funding problems.,2017-09-07 20:30:12,15,12,905890969521975298
"The only time I'll get the last word with Cecil. Goodbye, my friend.http://www.ktvb.com/news/local/celebration-of-life-for-cecil-andrus/469627913 …",2017-09-01 14:53:42,28,10,903631961264095234
New VA Healthcare Facility in Pocatello will provide hundreds of additional veterans with state-of-the-art care. http://idahostatejournal.com/news/local/new-pocatello-va-clinic-to-open-tuesday/article_f931a253-81d0-5da3-aeb6-e7a9026386c9.html …,2017-08-30 18:55:39,6,1,902968074399252484
Idaho lost a great statesman and conservationist last night. Kathy and I send our thoughts & prayers to former Gov. Cecil Andrus' family.,2017-08-25 15:02:14,65,19,901097393982029824
Thanks to Dr. Collins @NIHDirector for spending time in Idaho this week looking at biomedical research taking place @boisestatelive.https://twitter.com/NIHDirector/status/900171288764964864 …,2017-08-23 19:37:43,13,4,900441942290554881
Was happy to spend time @INL yesterday looking at some of their important national security work.https://twitter.com/inl/status/896061628726222848 …,2017-08-11 18:37:39,5,3,896078172751409152
The U.S. Small Business Administration will be in Boise tomorrow hosting a free regulatory reform discussion with small businesses.https://twitter.com/AdvocacySBA/status/883082311004286976 …,2017-07-11 03:33:52,5,4,884616704269078528
2-We are grateful and humbled by the amazing law enforcement who put their lives in harm's way to protect our citizens.,2017-06-14 15:12:15,11,5,875007988574171136
"1-Kathy and I are praying for @SteveScalise, staff, and the @CapitolPolice that were injured.",2017-06-14 14:59:19,12,5,875004731265036288
Idaho Veterans can now schedule appointments at the Boise VAMC from their smart phone tablet or computer. More info in the attached flyer.pic.twitter.com/cdUAadmPfn,2017-04-28 18:44:15,7,2,858029110303621120
Congratulations to Sanjay Mehrotra on being named the next CEO of @MicronTech. Welcome to Idaho!,2017-04-27 21:16:52,6,3,857705125804113924
