Text,Date,Favorites,Retweets,Tweet ID
Recorded podcast with American Jail Association to discuss criminal justice reform & issues #CTE #Literacy #Addiction #MentalIllness #AJA,2017-11-30 20:02:40,0,0,936324619778347008
It was great to see you!https://twitter.com/OrganicTrade/status/936257028623880192 …,2017-11-30 17:06:34,1,1,936280306595848194
In #NaturalResource markup of HR1778 Imposing that a moratorium on Federal coal leasing not take effect without a joint resolution approval – at House Committee on Natural Resources,2017-11-30 15:42:38,0,1,936259180062806016
"On Floor to congratulate Dr. Lorraine Rosamilia, a dermatologist named 1 of #Pennsylvania's Top Physicians Under 40 by PA #Medical Society – at Floor of The House of Representatives",2017-11-29 14:59:52,3,1,935886033274712064
Starting the AM speaking to the Organic Trade Association Farmers Advisory Council Breakfast #agriculture #farmersfeed,2017-11-29 12:48:40,2,1,935853015197802497
On Floor to note today as #GivingTuesday & celebrate charitable giving by Americans as a force for good in our communities caring for others – at Floor of The House of Representatives,2017-11-29 00:07:13,2,1,935661389905002499
"BREAKING NEWS: The Tax Cuts and Jobs Act just passed the House! We promised more jobs, bigger paychecks, & fairer taxes.. & we're delivering",2017-11-16 19:21:49,14,5,931240912658804736
On Floor to support for HR 1 the #TaxCuts & #Jobs Act.  82% of #PA05 taxpayers who file jointly will double their standard deduction to $24K – at Floor of The House of Representatives,2017-11-16 14:13:31,2,1,931163325689450496
I asked @SecretaryAcosta today during the @EdWorkforce hearing for his thoughts on my #CTE bill to help close the skills-gap and help more Americans find family-sustaining careers. #WhyCTE #NationalApprenticeshipWeekpic.twitter.com/9csL8jOxGX,2017-11-15 22:21:44,6,4,930923801486987264
On Floor to highlight #Freedom #5K For #PTSD started by #PennState cadets to raise awareness about #veterans suffering Post-Traumatic Stress – at Floor of The House of Representatives,2017-11-15 17:02:40,3,1,930843506519760897
In #Education & #Workforce Committee Hearing on Examining the Policies & Priorities of the U.S. Department of Labor with Secretary Acosta – at Education & the Workforce Committee Room,2017-11-15 15:48:22,1,2,930824808413237251
On Floor to highlight National #ApprenticeshipWeek2017 as a pathway to a family-sustaining career #CTE #SkillsBasedEducation – at Floor of The House of Representatives,2017-11-15 14:55:41,2,4,930811549702377474
The House just approved #FY18NDAA to strengthen our military and ensure that our servicemen and women have the resources and care they deserve. Thank you to all who keep us safe and free.pic.twitter.com/o6t7p74dRg,2017-11-14 22:27:52,12,6,930562955934076933
Proud to vote in favor of the 21st Century Flood Reform Act to address underlying issues with the program and propose reforms.pic.twitter.com/feNy6qSdL4,2017-11-14 22:23:53,6,3,930561954804092928
#NaturalResources Committee Oversight Hearing on The Need for Transparent Financial Accountability in Territories’ Disaster Recovery Efforts – at House Committee on Natural Resources,2017-11-14 19:16:30,3,2,930514795907944448
On Floor recognizing Tracy Becker on her 2017 Keystone Award highest honor from #Pennsylvania Association of #Chamber Professionals #Clarion – at Floor of The House of Representatives,2017-11-14 17:10:39,0,1,930483125452406785
On Floor to recognize #Rural #Health Week in the Commonwealth of #Pennsylvania & issues that impact health in rural America – at Floor of The House of Representatives,2017-11-14 14:51:50,1,2,930448193929785344
On Floor to recognize Hank Yeagley on 20 years of service to Central #Pennsylvania Institute of #Science & #Technology #CPI #CTE #education – at Floor of The House of Representatives,2017-11-13 23:54:23,6,2,930222340931284992
Speaking tonight at #Ridgeview #Healthcare & #Rehab #VereransDay Event in #Curwensville #ClearfieldCounty honoring our #American #heroes,2017-11-12 01:41:22,2,2,929524489402056704
In #ErieCounty this AM speaking at #Erie VA Medical Center #VeteransDay2017 Ceremony,2017-11-11 15:39:59,4,1,929373145680707584
Thanking #Veterans for their service & sacrifice on this #VeteransDay2017 weekend!pic.twitter.com/cr8D3tmQGE,2017-11-10 20:29:26,9,3,929083602167615488
Thanking Lillian Hockenberry on #VeteransDay2017 for her brother who was  #KilledInAction at age 21 in #WW2pic.twitter.com/LgaIJZ9BMV,2017-11-10 20:27:22,0,1,929083080865927174
Attending #Quehanna Industrial Development Corporation #Coal meeting to provide a #Washington update to support affordable #energy & #jobs,2017-11-10 15:45:11,2,1,929012065326518272
In #Philipsburg #CentreCounty speaking at #WindyHillVillage #VeteransDay Ceremony honoring our #American #heroes,2017-11-10 14:44:16,3,1,928996735053070336
"Thank you for having me, @michaeldykesdc!https://twitter.com/michaeldykesdc/status/928722775786827776 …",2017-11-09 21:12:39,1,0,928732086877523970
Tomorrow is the 242nd birthday of the @USMC. I'm proud to have a Marine serving in my Washington office. Happy birthday to the U.S. Marine Corps! Thank you for your service. #MarineCorpsBirthdaypic.twitter.com/vSZlgDJHI8,2017-11-09 19:55:23,6,3,928712643766038529
On Floor to celebrate 242nd birthday of #Marine Corps.  Thank you to Marine Paul Camacho serving in my D.C. Office as a legislative fellow! – at U.S. Capitol - House of Representatives,2017-11-09 16:55:25,1,1,928667352874569734
Led specialorder on Food Assistance for #DisasterRelief programs ie #SNAP D & how benefited Hurricane/Wildfire victims #USDA #FNS #Nutrition – at Floor of The House of Representatives,2017-11-09 00:39:42,3,4,928421807857848320
On Floor recognizing Michael Firestine for recieving the prestigious Bruning Award from  the #ABA Center for #agricultural #rural #banking – at Floor of The House of Representatives,2017-11-08 22:53:26,0,1,928395063985655809
Proud to attend Congressional Dedication of Commemorative Chair honoring  American Prisoners of War/Missing in Actionpic.twitter.com/Kg6PzXsQp2,2017-11-08 20:44:45,4,1,928362678380310530
In #NaturalResource markup HR4239 by @SteveScalise Strengthening #Economy with Critical Untapped Resources to Expanded American Energy Act – at House Committee on Natural Resources,2017-11-08 15:30:26,0,1,928283577443344385
Started AM meeting with Secretary of #Agriculture Sonny Perdue talking #Ag issues including #dairy & #nutrition,2017-11-08 15:23:32,3,2,928281843291643904
On Floor to celebrate #VeteransDay2017 & discuss the Reboot #Combat Recovery program for #Veterans & spouses to share struggles & heal – at Floor of The House of Representatives,2017-11-08 14:56:20,2,2,928274996505595904
"On Floor to highlight outstanding work by #Pregnancy Resource Clinic located in #StateCollege.
Thank you for your #Christ centered service! – at Floor of The House of Representatives",2017-11-08 14:53:53,2,1,928274379779313670
Today the House passed the #VETSAct to expand access to telemedicine in the VA system. Thank you @JuliaBrownley26 @HouseVetAffairspic.twitter.com/Z4sPp6t7UA,2017-11-07 21:09:08,28,18,928006426261442560
Legislation I sponsored with @JuliaBrownley26 VETS Act HR 2123 to expand access to quality healthcare for Veterans passes House! – at Floor of The House of Representatives,2017-11-07 20:51:59,0,1,928002113036279808
On Floor speaking in support of HR2123 Veterans E-Health & #Telemedicine Support Act VETS Act expanding access to quality care #telehealth – at Floor of The House of Representatives,2017-11-07 20:29:16,1,1,927996394048311296
In #Energy & #Mineral Resources hearing on distribution of revenues from oil/gas leasing on outer continental shelf & for other purposes. – at House Committee on Natural Resources,2017-11-07 19:25:24,0,0,927980322184146944
.@penn_state honors Veterans this week during Military Appreciation Week + Homecoming. @PennStateFball plays Rutgers on #VeteransDay #WeArepic.twitter.com/iNJYoTjSPA,2017-11-07 19:21:50,24,9,927979426528268288
On Floor to mark #Saturday as #VeteransDay originating as #ArmisticeDay on 11/11/1919 & encouraging my colleagues to support #VETS Act today – at Floor of The House of Representatives,2017-11-07 17:07:24,0,2,927945592583737344
In #NaturalResources Hearing: Examining Challenges in #PuertoRico Recovery & the Role of the Financial Oversight & Management Board – at House Committee on Natural Resources,2017-11-07 16:16:13,1,1,927932711112728576
On Floor to recognize #PennState #Military Appreciation Week in conjunction with its #Homecoming celebrations this weekend on #VeteransDay,2017-11-07 15:00:08,3,2,927913565348159489
Finished Sunday attending #EagleScout Court of Honor for Ross Martin in #Ridgway #ElkCounty #bsa #NESA,2017-11-07 00:24:17,5,1,927693152827400192
On Floor discussing #School #Milk #Nutrition Act to ease unnecessary regulation preventing milk consumption in school lunch program #GotMilk – at Floor of The House of Representatives,2017-11-07 00:19:52,6,3,927692037389987840
Back in DC attending the Bipartisan #Heroin Task Force Roundtable this afternoon looking at successful intervention programs #SubstanceAbuse,2017-11-06 20:47:30,4,2,927638595539755010
Thank you to the Pregnancy Resource Clinic in State College for hosting me this weekend and for the wonderful services you provide!pic.twitter.com/xdxynV6VWl,2017-11-06 20:41:14,0,1,927637018414387200
