Text,Date,Favorites,Retweets,Tweet ID
This level of instability is less than reassuring at a time when we're assessing just how advanced North Korea's ICBMs are.https://www.nytimes.com/2017/11/30/us/politics/state-department-tillerson-pompeo-trump.html?_r=0 …,2017-11-30 19:30:17,5,3,936316471378153472
Here's the video of that exchange on whether the President of the United States should believe Vladimir Putin when he denies Russian interference in the 2016 election.pic.twitter.com/POQBsM4Fsh,2017-11-29 23:38:50,6,2,936016635332366337
"I questioned Chris Krebs of the Department of Homeland Security on Russian interference in the 2016 elections. Mr. Krebs agrees with our intelligence community that Russia did interfere, so I asked him: are you saying @realDonaldTrump is wrong to take Putin's word they didn't?pic.twitter.com/GyiYyAfXGx",2017-11-29 23:34:16,42,16,936015484201381890
"Anthony Senerchia's courage, leadership, and commitment under the most difficult of circumstances improved the lives of so many individuals and families touched by ALS. His loss is profound, but so were his contributions.  #icebucketchallengehttp://www.ledger-enquirer.com/news/nation-world/national/article187067048.html …",2017-11-29 22:43:14,11,4,936002642177937409
I really shouldn't be surprised that one of the best cyber/nat sec journalists out there was watching our subcommittee hearing on protecting voting systemshttps://twitter.com/KimZetter/status/935975357236125696 …,2017-11-29 22:24:58,12,1,935998044230815744
"Last night, I spoke on the House floor in opposition to the Senate Republican tax plan which would raise taxes on more than 80 million American families within ten years while cutting Medicare by billions and destabilizing our entire health care system. It must not pass.pic.twitter.com/Ye7UTdT8Jq",2017-11-29 19:52:34,33,6,935959693394169861
"As Ranking Member of the Oversight Committee's health care subcommittee, I opened our hearing earlier this month by discussing the need to streamline our health care system and how my approach is informed by my background as the president of several small businesses.pic.twitter.com/WMpWWWQn7g",2017-11-29 00:08:21,15,2,935661675553882112
The tax plan that the Senate Budget Committee just approved would hurt working family's in Illinois in many ways. One of the most damaging of its provisions would be the elimination of the state and local tax (SALT) deduction. Here's my op-ed:https://www.huffingtonpost.com/entry/congress-shouldnt-rub-salt-in-the-wound_us_5a1dbfd1e4b069379df3edcf …,2017-11-28 20:11:13,51,39,935601995603415046
"That's correct but only comes into effect once he's testifying: during earlier phases of the investigation he'd be in a position to evade & ignore pressures that could otherwise be applied by Mueller, given evidence. Under normal circumstances, none of this would matter but...",2017-11-28 17:44:41,1,1,935565122935951360
"Joking aside, @POTUS could have already pardoned Flynn to prevent him from cooperating because, under current law, President Trump can issue secret, pre-emptive pardons which would allow his allies not to cooperate with Mueller, or find a new ""florist.""https://www.theonion.com/so-what-did-i-miss-asks-michael-flynn-tilting-large-1820779582?utm_content=Main&utm_campaign=SF&utm_source=Twitter&utm_medium=SocialMarketing …",2017-11-28 14:49:38,10,6,935521066713276421
