Text,Date,Favorites,Retweets,Tweet ID
"Thank you to Dr. Kreines and Dr. Bekal for the great op-ed on my bipartisan bill, the Restoring the Patient’s Voice Act, with Republican and fellow doctor Rep. Brad Wenstrup:https://morningconsult.com/opinions/step-therapy-reform-will-help-physicians-put-patients-first/ …",2017-11-30 02:36:00,13,5,936061220913864704
Today the House passed a long-overdue bill to require anti-harassment and anti-discrimination training for members and staff. I require this of my staff and every Member should do the same.,2017-11-29 23:10:05,63,13,936009398471798784
"Wishing you a Happy Thanksgiving from me, my wife Monica, and my girls Sky and Sage!",2017-11-23 18:45:55,66,5,933768589626171392
…Consumer protections that allow everyone to have control of the content they see online and small business to thrive digitally. I will continue to fight for #netneutrality to ensure all Americans have access to a free and open internet.,2017-11-21 20:23:51,39,13,933068461856604160
"We all rely on the internet — to apply for jobs, further our education, stay in touch with our family and friends, and even read this tweet. Unfortunately, today's proposal by the FCC to roll back existing #netneutrality oversight will eliminate critical consumer protections…",2017-11-21 20:23:26,63,38,933068356378288128
"I take the issue very seriously & my office has a long-standing, zero tolerance policy for such behavior. I require my staff to complete annual harassment training & believe all Congressional offices should be required to. I encourage every employer in America to do the same. 3/3",2017-11-18 00:31:35,20,7,931681255091068928
"Sexual harassment and abuse have no place in any work setting, whether farm fields, movie studios, corporate boardrooms, newsrooms, or the halls of Congress. 
2/3",2017-11-18 00:31:16,24,5,931681173998325762
I am grateful for the courage survivors of sexual harassment and abuse have shown in telling their stories and am furious at the unacceptable behavior they have experienced. 1/3,2017-11-18 00:30:42,42,12,931681033401094144
"Confirmed by @USCBO: the current tax proposal will trigger a $25 billion cut to Medicare next year alone and over $100 billion in the next 4 years, all to give massive tax cuts to the wealthy.pic.twitter.com/zWtS0SqNhk",2017-11-16 17:21:34,4,19,931210649866244096
Millions of middle-class families will see a tax increase under the current tax proposal. Retweet if you oppose raising taxes on millions of hardworking Americans.,2017-11-16 17:20:58,24,48,931210498942611456
"It does all this while giving tax breaks to millionaires, billionaires, and big corporations that ship jobs overseas. This is unacceptable; we must protect Medicare, middle class families, seniors, and veterans. 3/3",2017-11-16 00:12:40,31,12,930951720020185089
"Unfortunately, the current plan double taxes families in my district, raises taxes on 38 million middle class families, cuts Medicare up to $100 billion within four years, and makes it harder for veterans who are unemployed or homeless to get help. 2/3",2017-11-16 00:12:21,28,13,930951637421707264
"I do want to simplify our tax code and I do want tax reform, a tax reform that relieves the burden on the middle class, seniors, veterans, and students. 1/3",2017-11-16 00:11:36,38,7,930951450989080579
"We need clarity in leadership and an adaptable, rapid-response plan to help Puerto Rico fully recover and rebuild. Click to watch my remarks from today's @EnergyCommerce hearing:https://youtu.be/6bdI7ajCUsE ",2017-11-14 19:28:55,13,11,930517921469730816
We need clarity in leadership & coordinated field relief efforts so Puerto Rico can recover. More from @blrshepherd:http://ijr.com/2017/11/1012588-rep-raul-ruiz-argues-renewed-fema-plan-key-puerto-rican-aid/ …,2017-11-08 21:39:26,16,12,928376441288437762
We need a hearing on burn pits immediately to get answers for our veterans. Click to watch my speech on the House floor:pic.twitter.com/8XSQFbw6xO,2017-11-07 22:29:50,18,8,928026737375621120
"Watch my speech on my bipartisan, commonsense bill to get rid of the IPAB and protect Medicare:pic.twitter.com/F0gNmZhh1o",2017-11-02 22:30:34,8,2,926214983423266817
"Proud to have worked across the aisle with Rep. @DrPhilRoe on H.R. 849, a commonsense, bipartisan change to the ACA.pic.twitter.com/HZWUZUjH4E",2017-11-02 22:29:12,11,4,926214638236250113
Breaking News – My bipartisan bill to amend the ACA and protect Medicare from arbitrary cuts passed the House!,2017-11-02 22:27:55,115,43,926214315392331776
Open Enrollment starts TODAY! Visit Covered CA or call 800-300-1506 to find a health care plan that works for you: http://www.coveredca.com ,2017-11-01 17:50:05,20,14,925782005857574912
Tomorrow is the first day of Open Enrollment for health care coverage. Be sure to visit http://www.coveredca.com  to #GetCovered!,2017-10-31 18:06:25,54,38,925423728611250176
This @KaiserFamFound study is more evidence ACA sabotage is harming health of millions of Americans. Click to readhttp://kaiserf.am/2hogp0P ,2017-10-31 14:29:15,5,3,925369078151344128
I promised to work across aisle to strengthen Medicare - proud to be doing so. Read @Forbes on bipartisan BENES Acthttp://bit.ly/2zHJHOu ,2017-10-26 13:23:28,13,6,923540583536386048
Open Enrollment starts in just 1 week! Now is the time to #GetCovered & pick a plan that works for you & your family https://www.coveredca.com ,2017-10-25 20:53:26,28,16,923291435562078211
We must give voice to the voiceless and protect health and environmental future of vulnerable communities across our nation.,2017-10-24 18:48:20,24,10,922897561849139200
"Bill strengthens protections for vulnerable communities, gives a path to hold bad actors accountable, and provides $ to mitigate injustice.",2017-10-24 18:48:06,17,6,922897505003720704
This is environmental injustice – and it's why I joined with Sen @CoryBooker to introduce the Environmental Justice Act of 2017.,2017-10-24 18:47:41,32,12,922897399542140928
…threats like contaminated drinking water or polluted air caused by powerful businesses that do not live in the area affected.,2017-10-24 18:46:38,7,8,922897136693534721
"Rural, underserved communities are more vulnerable to environmental and health threats...",2017-10-24 18:46:11,22,13,922897023195582464
“Patients aren't one-size-fits-all. Their treatment plans shouldn't be either.” A bipartisan fix w/ @RepBradWenstruphttp://bit.ly/2xQSkVQ ,2017-10-21 13:00:02,27,18,921722747864023040
Glad Gov Brown signed SB 5. I wrote to him on importance of this $ to mitigate health/economic impacts of Salton Seahttp://ca.audubon.org/press-release/governor-brown-signs-parks-and-water-bond-legislation-which-includes-funding-salton …,2017-10-20 23:00:02,29,8,921511353348706304
Pleased to announce successful work to expand high-speed internet in CA-36. We must close the digital divide and unlock our full potential!pic.twitter.com/DnzKwLHrUk,2017-10-20 20:23:13,14,8,921471890547527680
President Trump must end politically-motivated sabotage of the health care market that is hurting hardworking Americans #ProtectOurCare,2017-10-20 16:08:57,15,11,921407900958019584
We must permanently fund cost-sharing subsidies that help families afford critical care like doctor visits and medications #ProtectOurCare,2017-10-20 16:08:43,125,53,921407842799816705
Trump admin’s cruel decision to end CSRs means skyrocketing premiums and fewer options as insurers leave the marketplace.,2017-10-20 16:08:17,9,2,921407735861858309
"Ending health care CSRs raises premiums & destabilizes the marketplace, intentionally hurting American people for political gain. Shameful!",2017-10-20 16:07:56,2,2,921407647701700608
"Last week, Trump admin continued the harmful sabotage of the ACA by ending cost-sharing subsidies. Fight to #ProtectOurCare continues!",2017-10-20 16:07:27,26,9,921407523235815429
This is good news that will help reduce premiums and stabilize the markets. Must continue working in a bipartisan way to find solutions.https://twitter.com/cnnbrk/status/920361935278878726 …,2017-10-17 20:11:13,25,7,920381705973846016
"""We Have An Obligation To Provide Aid To Our Fellow Americans In Puerto Rico.” Click to read my op-ed in @HuffPosthttps://www.huffingtonpost.com/entry/we-have-an-obligation-to-provide-aid-to-our-fellow-americans-in-puerto-rico_us_59dfbcaae4b04d1d5180603b?ncid=engmodushpmg00000004 …",2017-10-13 19:43:56,49,19,918925291292151810
Congress must come together now and pass my #MartketplaceCertaintyAct to fund subsidies permanently and stabilize markets. #timetoact,2017-10-13 03:35:53,32,15,918681670273904640
Intentionally harming American people for political gain is shameful. 7M people depend on these subsidies to afford co-pays & deductibles.https://twitter.com/cnn/status/918676218215587840 …,2017-10-13 03:35:22,469,267,918681539915010049
Unacceptable. We must help our fellow Americans in their time of need NOW before the death toll rises.https://www.nbcnews.com/politics/donald-trump/trump-attacks-puerto-rico-threatens-pull-emergency-responders-n810036 …,2017-10-12 20:29:56,63,32,918574479957286912
On National #ComingOutDay be an ally to people living openly as their authentic selves and celebrate the pride of #LGBTQHistoryMonth!,2017-10-11 21:50:37,27,10,918232393315770369
"Palm Springs Police Officer Jose “Gil” Vega 
Palm Springs Police Officer Lesley Zerebny
End of Watch, October 8, 2016pic.twitter.com/wgN1fcX6ua",2017-10-06 20:35:10,22,6,916401468076302336
The 3.6 million U.S. citizens in #PuertoRico & #USVI deserve our focused attention. RT to show your support for our #OurFellowAmericans.,2017-10-06 18:35:32,38,41,916371362633175042
I agree!https://twitter.com/nytimes/status/915751156437196800 …,2017-10-05 19:17:38,25,3,916019567054397440
I oppose #HR36 because it will stand in the way of a doctor’s ability to best care for patients. Click to watch:pic.twitter.com/2x0iAU5WyA,2017-10-05 01:35:50,73,28,915752358730137600
Let’s put people over politics & work to lower health care premiums. I called for a hearing on market stabilization:http://bit.ly/2ymC4An ,2017-10-04 23:37:49,25,9,915722656909025280
I urge Gov. Brown to get us on track to a healthy and sustainable Salton Sea and reduce CA’s future economic burden. Click for more:pic.twitter.com/tlS4PMAW5P,2017-10-04 21:26:44,34,17,915689670293454848
Dreamers – just TWO more days left to apply to renew your DACA status. Info here:https://www.uscis.gov/humanitarian/consideration-deferred-action-childhood-arrivals-process/renew-your-daca …,2017-10-03 23:07:06,13,6,915352539855548416
"We must come together to address the senseless gun violence plaguing our nation, because if we do nothing, nothing will change.",2017-10-02 16:10:22,32,10,914885277096738821
Gave my family an extra hug today and praying for anyone who lost a loved one or was injured by the horrific events in Las Vegas last night.,2017-10-02 16:09:32,48,14,914885067440345088
I will be closely monitoring relief efforts over the weekend. We must all #StandWithPR 8/8,2017-09-29 21:21:06,9,5,913876312112209922
Gen Jeffrey Buchanan was appointed to lead military relief efforts & naval hospital ship USNS Comfort is finally deploying this weekend 7/8,2017-09-29 21:20:55,5,5,913876267539353600
Today Gov @ricardorossello announced new website w/ updates on status & where to get supplies. Visit http://status.pr  6/8,2017-09-29 21:20:32,7,10,913876170944466944
"Our efforts must be immediate and more robust, suffering will only increase if we do not act 5/8",2017-09-29 21:19:43,8,7,913875964500815872
"Without access to clean water, food, and medical supplies, people will get water-borne illnesses and vulnerable populations may die 4/8",2017-09-29 21:19:24,5,7,913875886109286406
I worked with the 82nd Airborne in Haiti after the earthquake and I know what a massive early deployment can do to help save lives 3/8,2017-09-29 21:18:59,9,7,913875781557932032
I am outraged at the pace and magnitude of support to the island. We must help our fellow Americans. 2/8,2017-09-29 21:18:37,12,6,913875689249665024
Puerto Rico suffered a major disaster that will only get worse without immediate and robust relief efforts. 1/8,2017-09-29 21:18:17,28,16,913875602964451328
So glad to have you back @SteveScalise!https://twitter.com/stevescalise/status/913405166178783232 …,2017-09-28 15:16:45,19,3,913422233518923777
