Text,Date,Favorites,Retweets,Tweet ID
It's an honor & privilege to serve the citizens of the 7th District!  I'm humbled to be elected to another term. https://goo.gl/kRbvGx ,2016-11-09 03:28:53,46,17,796192813541113856
It’s not too late if you haven’t voted yet! There’s still time to get to the polls before they close. #Vote https://g.co/kgs/YQdS4d pic.twitter.com/UQvltQURmP,2016-11-08 22:30:03,3,1,796117607560646657
Devote a little of your lunch break to casting your vote. It won’t take long & the future of America depends on it. https://g.co/kgs/YQdS4d pic.twitter.com/0HYaaz0Jyx,2016-11-08 17:00:18,3,3,796034624552103936
"The future of America is on the line.  If we don't vote, we lose. Find your polling place & let’s win! https://g.co/kgs/YQdS4d pic.twitter.com/pj1Cr4w3Xh",2016-11-08 15:52:35,4,0,796017582935601152
Tomorrow is the day! We must get to the polls and support @realDonaldTrump we cannot afford a HRC Presidency. https://goo.gl/Q9UgZN pic.twitter.com/A6mzrAjb3C,2016-11-07 22:35:48,4,4,795756668135075840
We’re only days away from Election Day now. Do you know where to cast your vote to #MakeAmericaGreatAgain Tuesday >> https://goo.gl/Q9UgZN ,2016-11-04 21:21:46,2,0,794650874081673217
Our housing market is a key part of a strong economy. I’m honored to have the endorsement of the @NAHBhome >>https://goo.gl/EmDTVw ,2016-11-03 22:34:13,4,0,794306718721155072
Wishing everyone a Happy Halloween! Will you be trick-or-treating tonight?pic.twitter.com/aq3MIQ7bIM,2016-10-31 21:15:41,1,1,793199789319925760
"Following news of #Obamacare premiums rising by double digits, the White House scolds us for not buying their plans.https://goo.gl/bkieS7 ",2016-10-29 20:30:02,0,0,792463524047958016
Even the Clinton team knows her email server setup was “insane”.  She is untrustworthy and irresponsible..https://goo.gl/fqq9jZ ,2016-10-27 23:27:13,2,0,791783338499411968
High premiums & fewer choices. Still in denial Obama claims these are just “growing pains.” #Obamacare has to go!https://goo.gl/BLlRNr ,2016-10-25 17:14:22,2,3,790964731385294849
"Long lines for early voting may be inconvenient, but they are a good sign for turnout in North Carolina!https://goo.gl/G0RkoO ",2016-10-21 16:14:57,4,1,789500227531055104
I am meeting with other local officials and emergency personnel so that we can best help everyone affected.https://goo.gl/Jly6rC ,2016-10-20 16:40:01,3,1,789144149572198400
Early voting starts today!  The idea of a Hillary presidency weighs heavy.  See how you can vote early in NC. >> https://goo.gl/HdUvcj pic.twitter.com/Z3SE5GUxP5,2016-10-20 12:00:12,1,0,789073730655825920
.@realDonaldTrump & @GovPenceIN will take radical Islam seriously & stand with our allies. #MakeAmericaGreatAgainhttps://goo.gl/uG4C2p ,2016-10-19 16:36:05,0,0,788780770651312128
Media bias has reached an unprecedented level. They've grown so bold as to not even try and hide their bias anymore.https://goo.gl/RHGIkZ ,2016-10-18 19:45:35,4,2,788466073590870017
Cozy with Clinton? The mainstream media has been in Hillary’s pocket from the get go.https://goo.gl/TP2exg ,2016-10-12 13:22:00,2,1,786195216139104256
"Hurricane Matthew has moved on but we’re not out of danger yet. With ongoing flooding, please remain cautious.https://goo.gl/bp3OmP ",2016-10-11 13:46:27,2,1,785838981074198532
Hurricane Matthew is expected to hit our state starting Sat am. Be safe & stay updated >> https://www.readync.org/EN/Index.html ,2016-10-07 17:51:49,0,1,784451177983336450
Our Riverwalk needs repairs. I’m making sure it's prioritized so we can address it sooner rather than later. https://goo.gl/AC7Uz7 ,2016-10-06 17:27:49,4,4,784082749229371392
Do you think Gov Pence won the debate? Or did Kaine’s interruptions throw him off? Take my poll and let me know! https://goo.gl/hL4VAh ,2016-10-05 19:05:21,1,0,783744904031633408
Will Governor Pence make the case for change in the VP debate? LIKE and RT if you’ll be watching!https://goo.gl/Xn172t ,2016-10-04 17:21:55,1,2,783356489641504768
I am hopeful the President will sign the Technical & Clarifying Amendments to the P&S Act of 2016 into law >> https://goo.gl/t2j5kU ,2016-10-03 20:46:09,0,0,783045495597871104
.@realDonaldTrump had his first chance to debate Hillary one on one last night. Do you think he won? Take my poll >> https://goo.gl/r3spBv ,2016-09-27 21:13:23,1,1,780878023901917184
75% of American are expected to tune into tonight’s debate. Will you be one of them?https://goo.gl/WBmITi ,2016-09-26 18:46:41,0,0,780478716619034624
The #IRS doesn’t want you opting out & is sending letters suggesting you buy into this failing policy. https://goo.gl/6zi3k0  #obamacare,2016-09-23 23:34:59,0,1,779464107309223936
Keep the fine citizens of Charlotte and our law enforcement officers in your prayers.pic.twitter.com/nWBwde7dqj,2016-09-22 18:54:54,6,0,779031233628020736
1st Amendment rights can be taught without desecrating the flag. We should expect more from our educators.https://goo.gl/hsFdLR ,2016-09-21 18:11:24,5,3,778657897739792384
My bill modernizing the buying & selling of livestock has been reported out of committee. Strong progress!https://goo.gl/tUnvQC ,2016-09-16 15:22:52,4,2,776803546079440896
Hillary Clinton’s default setting is to deceive the public.  How could we ever trust her in the White House?http://goo.gl/fGAohu ,2016-09-13 16:53:51,0,1,775739280299655169
It has been 15 years since 9/11. The suffering and lives lost are not forgotten.pic.twitter.com/L1ar9Pct5d,2016-09-11 16:56:51,3,2,775015258091982848
#FF my good friend and colleague @Burrforsenate,2016-09-09 14:01:06,0,0,774246252712034304
When funding goes to the VA Americans rightfully expect it go to caring for our veterans — not art.  Unacceptable.http://goo.gl/1D5WWG ,2016-09-07 22:10:57,1,1,773644754630250496
.@realDonaldTrump can defeat Hillary Clinton. The polls are close and we must unite to win on November 8th!http://goo.gl/kf7PRs ,2016-09-06 17:00:48,1,0,773204312789057536
The White House continues to talk in circles on the #IranDeal.  It was a bad deal — period.http://goo.gl/XRJjTR ,2016-09-02 22:10:33,1,1,771832713258991616
"Good policy is undermined by activist judges. Voter ID laws ensure the integrity of elections. 1 person, 1 vote.http://goo.gl/8yzPhL ",2016-09-01 16:53:53,6,0,771390632585670657
John Kerry's comment that the media should not report as much on acts of terrorism does not help protect our nation.http://goo.gl/liZfTN ,2016-08-30 17:50:02,2,1,770679989956075520
.@CatoInstitute reports NC is making gains in economic & personal liberty thanks to Gov McCrory & state legislature! http://goo.gl/lz4BeS ,2016-08-29 16:03:59,2,1,770290911175507968
Turn up your AC & thank the linemen of @DukeEnergy who do the grueling work that allows us all to live comfortably.http://goo.gl/bD0VBq ,2016-08-26 20:00:16,3,3,769263213334540288
The House GOP “Better Way” tax plan is good news for our economy. Streamlined & built for growth. REAL reform >>http://goo.gl/2QEMgI ,2016-08-24 12:57:05,1,1,768431937325105156
"ICYMI: The House GOP has a tax blueprint built for growth! We are overdue for real reform & growth, not stagnation.http://goo.gl/eoiPpd ",2016-08-22 18:28:23,0,0,767790535939465219
Obama Admin admits $400 million given to Iran was contingent upon prisoner release & yet denies it was ransom...http://goo.gl/63RA4f ,2016-08-19 19:48:10,0,0,766723449968402432
The extent this administration goes to in order to manipulate information & lie to the American people is alarming.http://goo.gl/5Odkix ,2016-08-11 16:54:17,2,0,763780588645920768
Terror leaves visible footprints in Israel. We must be there for our allies. Sign-up now & stand with Israel! http://goo.gl/i3P13k ,2016-08-10 18:22:05,2,0,763440296977760256
NC will play an important role in November. I’m excited to be joining @realDonaldTrump Tuesday in Wilmington.http://goo.gl/X9nlNK ,2016-08-08 21:08:42,13,9,762757450609098753
Will you be watching the #Rio2016 opening ceremonies tonight?  Best of luck to Team USA and our competitors from NC!pic.twitter.com/mhfpU23XRJ,2016-08-05 13:11:29,7,2,761550193317728257
Visiting Israel is a small step in understanding dangers they face every day. We must stand firm beside Israel.http://goo.gl/o5IK1c ,2016-08-04 21:43:13,9,2,761316587831894016
The Obama White House flew $400 million to Iran.  More secrets & more concessions to Iran.http://goo.gl/OrySz6 ,2016-08-03 17:04:29,3,2,760884053885149184
Perceived weakness emboldens our enemies. ISIS targets American soldiers in the U.S.http://goo.gl/tEU3BQ ,2016-08-02 21:45:07,0,0,760592288418496512
We’ve known the #IRS is corrupt & in need of an overhaul. http://goo.gl/Al1ZcG  Check out http://www.better.gop  for a better way.,2016-08-01 20:23:17,1,1,760209306704674817
Forbes nails it! #Obamacare has done nothing to make healthcare affordable & instead caused premiums to skyrocket.http://goo.gl/lBqciJ ,2016-08-01 16:35:59,2,4,760152105197850624
"Iran continues to exploit America's weak foreign policy, pushing the limits while marching towards a bomb.http://goo.gl/vhOuyH ",2016-07-26 16:20:46,3,0,757973946977452032
Tonight @realDonaldTrump will be addressing the #RNCinCLE as our nominee for 2016! Will you be watching? http://goo.gl/M7vNtR ,2016-07-21 20:09:12,0,0,756219495006416896
"Trump will keep our country safe, repeal onerous regs & nominate a #SCOTUS Justice to uphold the Const.  Let's unite behind him!",2016-07-20 20:54:58,8,4,755868626477981696
President Obama must stop playing politics and take a strong stance against the murder of our Police Officers.pic.twitter.com/qXNsR6IJ0g,2016-07-18 19:22:14,9,4,755120511839932416
"We grieve for Nice, but must get tough and take the fight to the enemy. #PrayForNicepic.twitter.com/Ufrhw1BpLo",2016-07-15 19:56:55,5,3,754042076073893888
NC has been working hard to promote biz-friendly policies. I’m proud we’ve made the top 5 states to do business in!http://goo.gl/9kzmKs ,2016-07-14 14:56:22,2,1,753604056438874113
Today I am proud to endorse @realDonaldTrump for President.pic.twitter.com/MMg6nHwAjE,2016-07-13 16:43:54,6,5,753268728423444480
May the prayers of all Americans be lifted up for Dallas and our great law enforcement officers.pic.twitter.com/mu9NVU9I37,2016-07-08 17:18:37,3,1,751465525343973376
Do you believe Hillary broke the law and should be held accountable? Let me know! http://goo.gl/GPQlNE ,2016-07-07 17:29:21,1,0,751105837171564544
"The Constitution protects our freedoms and liberties. To preserve them, we must protect the Constitution. Happy 4th! #IndependenceDay",2016-07-04 12:00:11,5,0,749935836678934528
"The attacks in Orlando, Brussels, and Istanbul are not desperation, they are signs we must get tougher on terrorism.http://goo.gl/eqmuo3 ",2016-07-01 16:52:08,0,2,748922145787424770
"Our deadline is less than 12 hours away, help us close strong & send the liberals packing! https://causes.anedot.com/rouzer-eoq-6-30 pic.twitter.com/moteq4p0Gl",2016-06-30 15:13:47,0,0,748535008336371714
"Our tax code is overcomplicated, unfair, and works against us.  The @HouseGOP is working to change that >>http://goo.gl/Myz7OB ",2016-06-29 21:45:01,1,1,748271076224831490
How long do we allow terrorists to destroy lives before this administration gets serious about Islamic radicals?http://goo.gl/zJ2JwE ,2016-06-29 18:45:13,2,1,748225826823475204
