Text,Date,Favorites,Retweets,Tweet ID
"BIG NEWS: Tyndall AFB was chosen as the Air Force’s location for its new MQ-9 Reaper wing. Tyndall is a perfect location for this new wing, and this community will welcome the new airmen and their families who come to live and work here with open arms.https://dunn.house.gov/media/press-releases/dr-dunn-statement-new-mq-9-reaper-wing-tyndall …",2017-11-28 23:03:53,10,2,935645450882945024
An important development: the Senate budget committee has approved the tax cut bill. Now it goes to the Senate floor.http://www.rollcall.com/news/policy/budget-committee-approves-tax-overhaul?utm_content=buffera960d&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer …,2017-11-28 22:16:10,5,3,935633444226437120
The young men and women on the front lines work hand in glove with Afghan forces and are the best ambassadors any nation could have. Thank you to all who serve in our armed forces. (2/2)pic.twitter.com/dfJGnFgifB,2017-11-27 20:33:38,16,6,935245251631091712
"More photos from last week, when I had the honor of traveling to the Middle East and Central Asia to meet many of our deployed troops downrange. These men and women exemplify professionalism and bravery, and I could not be more proud of the work they are doing. (1/2)pic.twitter.com/NJgntwvNWt",2017-11-27 20:32:46,9,3,935245030796742656
"Serving Thanksgiving dinner to our deployed troops abroad with the leader of U.S. Forces Afghanistan, General Nicholson, was an incredibly humbling experience. I am very thankful for all of those who are away from their families this holiday season and fighting for our freedom.pic.twitter.com/xN0rkLrHEl",2017-11-24 22:25:56,27,9,934186350475128833
"In sharing this tradition with all of you, this Thanksgiving we are thankful for our soldiers, first responders, and citizens who work tirelessly to serve our communities. God bless them and God bless each of you and your families. (2/2)",2017-11-23 18:09:05,18,3,933759323909558273
"Leah and I want to wish you a Happy Thanksgiving. As a tradition in our home, when we gather with family and friends before celebrating, we each say what we are thankful for. (1/2)pic.twitter.com/QGqUl1bO53",2017-11-23 18:08:48,10,4,933759252530958337
Honored to spend time w/ deployed Tyndall Airmen. They are spending their holidays fighting for our freedom & serving our country.pic.twitter.com/NDqxrXSQIf,2017-11-22 00:30:26,27,4,933130516332732416
"Today is a historic day. In a once-in-a-generation vote, we passed legislation to cut taxes for the middle class and unleash the power of the American economy.pic.twitter.com/BSddP2o5dz",2017-11-16 19:47:52,16,5,931247467731013632
Great news for our veterans – my legislation to help veterans build STEM careers passed @HouseScience. This bill is a common sense step to honor our commitment to America’s veterans.https://dunn.house.gov/media/press-releases/science-committee-oks-dunn-bill-help-veterans-tech-careers …,2017-11-15 22:28:18,15,3,930925452608319489
"Tax reform is the single best thing we can do for our economy, and for our future.https://www.youtube.com/watch?v=5NPGxAFYPqs&feature=youtu.be …",2017-11-15 19:17:29,4,1,930877431275245568
Learn more about NDAA here -->https://dunn.house.gov/media/press-releases/national-defense-bill-passes-house …,2017-11-14 22:24:26,1,1,930562092058497024
"PASSED: The National Defense Authorization Act
 Largest pay raise for military in 8 years
 Strengthens military readiness
 Reinforces missile defense
 Increases cybersecuritypic.twitter.com/6D1fozwXiJ",2017-11-14 22:23:47,3,1,930561929420201984
It’s full steam ahead with tax reform here in the House. I’m committed to cutting taxes and putting more money back in your pockets.https://www.youtube.com/watch?v=GdSpkrO4Wf4&feature=youtu.be …,2017-11-14 21:40:46,13,2,930551101493006338
Check out the column @AustinScottGA08 and I wrote on protecting US farmers during NAFTA renegotiations.http://thehill.com/blogs/congress-blog/foreign-policy/359614-prioritizing-anti-dumping-policies-in-nafta-renegotiation?rnd=1510247803 …,2017-11-13 22:37:36,2,1,930203017122664448
Freedom is not free. Thank you to all of our veterans and those who continue to serve. #VeteransDaypic.twitter.com/mo9PTZIQ4N,2017-11-11 21:42:36,30,9,929464399777140736
Please see my Veterans Day column in @thehill. Thank you to all who have bravely served this great nation.http://thehill.com/opinion/national-security/359511-fighting-for-our-veterans …,2017-11-09 18:13:52,11,5,928687094985314304
PASSED: The VICTOR Act - expands veterans' access to organ transplants. https://dunn.house.gov/media/press-releases/dunn-veterans-transplant-bill-passes-house …pic.twitter.com/XtnkGfkcA7,2017-11-07 21:14:05,46,21,928007674012332034
"Thank you to the good Samaritans, officers, and first responders who immediately took action. (3/3)",2017-11-06 23:16:06,5,2,927675992335843329
We send our condolences for those killed and wounded and their families. (2/3),2017-11-06 23:15:52,3,1,927675931480809473
Leah and I grieve for the many lives lost in Texas yesterday. One man’s act of evil in a place of worship cut short many lives. (1/3),2017-11-06 23:15:37,3,1,927675868658520065
It’s time to take back the power 15 unelected bureaucrats have over your Medicare coverage. #IPABRepealhttps://www.youtube.com/watch?v=nxA8evcjrEc&feature=youtu.be …,2017-11-02 21:38:16,7,2,926201820371931136
"The House just passed the Protecting Seniors' Access to Medicare Act – a repeal of Obamacare’s Independent Payment Advisory Board, or IPAB.",2017-11-02 21:37:47,16,3,926201698405797894
"PASSED: My bill to expand veterans’ access to organ transplants just passed @HouseVetAffairs 
 --> https://dunn.house.gov/media/press-releases/dr-dunn-s-veterans-transplant-bill-passes-committee …pic.twitter.com/Pgi0E9mBI4",2017-11-02 19:59:30,16,9,926176962900643840
PASSED: Resilient Federal Forests Act of 2017-to address the economic & environmental threats facing our foresters.https://www.youtube.com/watch?v=XtRJiAv3nH8&feature=youtu.be …,2017-11-02 13:07:33,4,2,926073295635734529
Honored to be a cosponsor of this important legislation that will help ensure our veterans receive the care they have earned.https://twitter.com/reprutherfordfl/status/925432849817374721 …,2017-10-31 19:03:10,8,3,925438010883272704
GCSC has a fantastic cybersecurity program where students get hands-on experience in computer security & anti-hacking techniques. 2/2pic.twitter.com/JdP1TgOIZU,2017-10-31 12:53:42,3,3,925345031908741122
Learned about the great work Gulf Coast State College is doing in the field of cybersecurity from Pres John Holdnak and Prof Guy Garett. 1/2pic.twitter.com/ULOyeopRIi,2017-10-31 12:52:26,1,2,925344712193662976
"Had the pleasure of attending Bay Building Industries Association's lunch w/ FL CFO @JimmyPatronis & BBIA Executive Officer, Gloria Feeney.pic.twitter.com/5XDgyWZ4GV",2017-10-30 20:36:59,5,1,925099234361257984
I commend President Trump's call to action on the opioid epidemic.pic.twitter.com/nZIyqQZh73,2017-10-27 01:37:52,13,3,923725403969282048
It's National Day of the Deployed. Thank you to all our brave service members who have deployed & fought for our freedom. #DayOfTheDeployedpic.twitter.com/LavbnCvW17,2017-10-26 22:20:20,9,3,923675691757031425
Budget? Passed. Tax reform? Next. -->https://dunn.house.gov/media/press-releases/congressman-dunn-s-statement-final-passage-budget-resolution …,2017-10-26 15:57:07,8,2,923579251751882752
"Congratulations to Panama City’s own Honor Allen, who won the 2017 U.S. oyster shucking competition!http://www.wjhg.com/content/news/Local-man-now-two-time-national-oyster-shucking-champion-452493173.html …",2017-10-26 14:36:40,4,2,923559005141831680
"Twenty years ago we designated Hizballah as a Foreign Terrorist Organization, yet they still remain a threat to the United States.pic.twitter.com/VnBTofyNGw",2017-10-26 01:08:58,8,2,923355740684931072
