Text,Date,Favorites,Retweets,Tweet ID
7 things you may really hate about the Trump-backed Senate Republican tax billhttp://www.nj.com/politics/index.ssf/2017/11/7_reasons_you_wont_like_the_senate_republican_tax.html …,2017-11-30 20:58:46,0,2,936338738380263427
#NetNeutrality repeal would simply accelerate the internet becoming a “corporate playground”.https://www.nytimes.com/2017/11/29/technology/internet-dying-repeal-net-neutrality.html …,2017-11-30 20:35:30,4,3,936332886067896320
The #GOPTaxScam’s latest victim: graduate students.pic.twitter.com/k80McACaFZ,2017-11-30 18:47:04,3,8,936305598156738560
"It's unclear why cabinet members would repeatedly abuse taxpayer funds w costly travel when more economical options were available. It's critical that we ensure there are effective controls to prevent the risk of fraud, waste, and abuse related to leadership and staff travel.pic.twitter.com/8A5zZeOqjm",2017-11-30 18:04:37,4,4,936294912659804162
Asked Chairman Walden to fulfill his promise to hold hearings on the use of private planes & government aircraft at significant taxpayer expense by members of the Trump admin. Taxpayers deserve assurances that their tax dollars are not wasted by the government’s highest officialspic.twitter.com/QZj6FMldY1,2017-11-30 18:03:05,9,6,936294526855020544
"Read my op-ed in the @AsburyParkPress about my bill to make our #coastalcommunities more resilient through #livingshorelines.
http://on.app.com/2kalvC2 pic.twitter.com/NIkDmj7Vcp",2017-11-30 15:57:45,4,3,936262985416396801
Republicans are trying to sneak arctic drilling into the #GopTaxScam. Retweet to let them know we won’t stand for it.https://www.nytimes.com/2017/11/29/climate/anwr-alaska-drilling-senate.html?_r=0 …,2017-11-30 15:14:48,2,13,936252176078376961
Pallone asks for brownfields legislation in Woodbridgehttp://www.mycentraljersey.com/story/news/local/land-environment/2017/11/28/pallone-asks-brownfields-legislation-woodbridge/901810001/ …,2017-11-29 21:19:02,4,1,935981452168192000
"Powerful piece by Gov.Kean-“Scott Pruitt built his career by attacking clean-air & clean-water rules. Now he is tearing down those protections,dismantling the EPA,appointing industry insiders to oversee their former businesses & blocking scientific input.”https://nyti.ms/2k7VIKI ",2017-11-29 20:12:11,9,10,935964628542246912
".@EnergyCommerce hearing I expressed my conerns that “at every turn, we see efforts to give more power to gatekeepers either by eviscerating #netneutrality and privacy or by picking favorite voices for preferred regulatory treatment.”https://democrats-energycommerce.house.gov/committee-activity/hearings/hearing-on-algorithms-how-companies-decisions-about-data-and-content …",2017-11-29 19:38:34,2,6,935956169050525697
Trump’s actions are contrary to American values and endanger our leadership on the world stage.,2017-11-29 18:55:57,14,3,935945442449387521
The #POTUS is supposed to be the leader of the free world. Instead Trump’s actions have been denounced by our strongest ally for spreading the rhetoric of a group that uses “hateful narratives that peddle lies & stoke tensions”.https://www.nytimes.com/2017/11/29/us/politics/trump-anti-muslim-videos-jayda-fransen.html?action=Click&contentCollection=BreakingNews&contentID=66154148&pgtype=article …,2017-11-29 18:54:39,29,24,935945118254759937
More than 200 organizations oppose the @FCC’s plan to rollback #NetNeutrality  citing “...economic growth is possible because of the free and open internet.”https://www.reuters.com/article/us-usa-internet-letter/internet-businesses-ask-u-s-to-keep-net-neutrality-rules-idUSKBN1DR2TH?utm_source=twitter&utm_medium=Social …,2017-11-29 16:54:01,8,10,935914757374259205
"December is going to be a critical month to ensure millions of Americans continue to have access to quality and affordable healthcare, including nearly 9 million kids.http://thehill.com/policy/healthcare/361592-five-health-care-fights-facing-congress-in-december?utm_campaign=KHN%3A%20First%20Edition&utm_source=hs_email&utm_medium=email&utm_content=58847891&_hsenc=p2ANqtz-9NUg_3Auw_EGWMZeQdY_3MC2gT5fZlk265JZzA78d3DCYi6Y8hzeyKzIQzSTjW6VDuiyLtgRxICX3E3SsY7-aHvkQ_Eg&_hsmi=58847891 …",2017-11-29 16:08:44,3,4,935903364428304385
"""Pallone compares the ban on sports gambling to the prohibition of liquor, which was lifted in 1933. 'The only thing (prohibition) did was to encourage organized crime and make Al Capone and the rest of the guys more powerful,' said Pallone.""https://www.usatoday.com/story/sports/2017/11/28/why-ban-sports-betting-close-being-overturned/901329001/ …",2017-11-28 21:29:00,5,3,935621570856439808
"By almost any metric, this program has been a remarkable success and I’m proud we are working on a bipartisan basis to reauthorize a program that makes a real difference in New Jersey communities.pic.twitter.com/W9VJUd9wXO",2017-11-28 19:27:18,6,1,935590944124100616
Called on Congress to reauthorize the #Brownfields program at Waterfront park in #Woodbridge. Removing public health hazards by cleaning up contaminated sites is incredibly important. It is also a job creator that primes the pump for local investment & development.pic.twitter.com/0vUEdWWJgf,2017-11-28 19:23:33,12,4,935590003459182592
.@realdonaldTrump thinks a #FakeNews trophy should be awarded to the “dishonest” media. We actually think President Trump is most deserving. What Trump #FakeNews would you nominate for a trophy?  Tweet us your suggestions.pic.twitter.com/WdDYoTVzIv,2017-11-28 17:47:08,18,7,935565737854492672
RT if you agree it’s time for @HouseGOP leaders to bring the #DREAMAct to the Floor for a vote. #ProtectDREAMerspic.twitter.com/ls5qY0Ezei,2017-11-28 16:13:27,16,22,935542159947763712
The Navajo code talkers deserve better and the American people deserve better.,2017-11-27 23:47:51,24,1,935294128656736257
"These heroes deserved to be honored for their extraordinary service to our country, not used as props in an offensive political attack by their President. The overwhelming majority of the American people are tired of President Trump’s childish, bigoted and divisive behavior.",2017-11-27 23:47:39,28,5,935294076328529920
"As someone who has spent much time in Congress advocating for the Native American community, I was truly appalled by President’s Trump’s use of a racial slur in the presence of Navajo code talkers at the White House.",2017-11-27 23:47:11,67,13,935293958346956800
"This is terrible, but not surprising given the hateful rhetoric #Trump consistently uses. We must not stand by while crimes against people of different races, creeds, and sexual orientations continue to rise unabated.https://www.washingtonpost.com/opinions/hate-in-america-is-on-the-rise/2017/11/25/33808364-c94d-11e7-8321-481fd63f174d_story.html?utm_term=.0409ec9b38d5 …",2017-11-27 20:03:20,6,5,935237624368910336
"“This puts small & medium-sized businesses at a disadvantage & prevents innovative new ones from even getting off the ground. An internet without #NetNeutrality protections would be the opposite of the open market, with a few powerful  companies picking winners & losers.""",2017-11-27 16:52:40,4,5,935189643494088705
"“Without #NetNeutrality, internet service providers will be able to favor certain websites and e-businesses over others by putting the ones that can pay in fast lanes and slowing down or even blocking others.” #CyberMondayhttp://variety.com/2017/biz/news/fcc-net-neutrality-cyber-monday-1202623394/#utm_medium=social&utm_source=email&utm_campaign=social_bar&utm_content=bottom&utm_id=1202623394 …",2017-11-27 16:49:20,9,13,935188804004122625
The law is clear. #Trump is willing to circumvent it to gut an agency devoted to protecting consumers. #CFPBpic.twitter.com/mNDbDDOUfV,2017-11-27 15:46:36,20,7,935173018409631749
Even more troubling news from the #GOPTaxScam- it will lead to $25 billion in #Medicare cuts.http://www.nj.com/opinion/index.ssf/2017/11/trumps_next_move_after_tax_cuts_gut_medicare_moran.html …,2017-11-27 15:11:37,164,226,935164211008851969
EDITORIAL: NJ should win its sports gambling bethttp://www.dailyrecord.com/story/opinion/editorials/2017/11/26/new-jersey-sports-betting-legalize/108052710/ …,2017-11-27 14:28:53,4,3,935153459661344769
#Metuchen Winter Festival parade with council people and Celtic band.pic.twitter.com/fUbuxc6FBC,2017-11-26 21:37:38,13,6,934898968491970567
Trump's actions in trying to replace leader of #ConsumerFinancialProtectionBureau will lead to further weakening of banking regulations designed to prevent another financial crash. #CFPB,2017-11-26 19:55:55,25,20,934873372978229249
"""U.S. Rep. Frank Pallone, said he's already drafted a bill that would overturn the federal ban and allow states to set up sports betting and online gambling if they choose, as long as it's regulated.""http://www.nj.com/politics/index.ssf/2017/11/nj_is_prepping_for_legal_sports_betting_maybe_soon.html …",2017-11-26 19:11:38,3,3,934862227743657986
"Spoke at Haitian service, United Methodist Church of Asbury Park, about need to reverse #Trump's ending of Temporary Protected Status #TPSpic.twitter.com/VxVJagVKki",2017-11-26 18:29:36,11,4,934851650640142337
Glad to see refurbished #BusStopDiner in #Carteret doing well after fire last June.pic.twitter.com/YEKm3rPrRH,2017-11-25 19:18:56,10,1,934501674697347074
#GOPTaxScam would increase the number of people who don’t have health insurance by 13 million & cause insurance companies to raise premiums substantially.https://www.nytimes.com/2017/11/24/opinion/republican-taxes-healthcare.html …,2017-11-25 18:42:10,12,12,934492424981958656
Important editorials on efforts to repeal #netneutrality in today’s @AsburyParkPress & @starledger. “This is about profits & stomping on the little guy.”pic.twitter.com/vE2Xy0XaKX,2017-11-25 17:01:18,16,17,934467041473548288
Shopped at stores along Cookman Ave @inAsburyParkNJ for #SmallBusinessSaturday. City thrives on small shops. Come out and support them today!pic.twitter.com/tCUVosmxEH,2017-11-25 16:03:58,24,8,934452610987413504
Home ownership is likely to decrease under the #GopTaxScam - an unacceptable outcome for NJ families.https://mobile.nytimes.com/2017/11/21/business/economy/tax-real-estate.html?referer=https://www.google.com/ …,2017-11-24 19:24:22,14,7,934140654237646848
Make sure to get out there tomorrow and support our local small businesses for #SmallBusinessSaturday.http://www.app.com/story/money/business/consumer/2017/11/24/small-business-saturday-shore-businesses-alternative-black-friday/875001001/ …,2017-11-24 18:32:53,5,4,934127700603699201
"NJ #Obamacare enrollment is significantly up despite #Trump sabotage. Remember to remind your friends and family that quality & affordable health insurance is available at http://healthcare.gov  - open enrollment lasts until December 15th.,http://www.philly.com/philly/health/health-cents/aca-obamacare-enrollment-strong-for-3rd-week-but-endgame-under-trump-republicans-is-unclear-20171122.html?mobi=true …",2017-11-24 17:09:32,18,16,934106722465124352
Trump’s FCC must stop stonewalling investigations into public comments on #NetNeutrality .https://arstechnica.com/tech-policy/2017/11/fcc-stonewalled-investigation-of-net-neutrality-comment-fraud-ny-ag-says/ …,2017-11-24 15:32:05,14,9,934082198310932480
.@realDonaldTrump you should use this opportunity to finally hold #Erdogan accountable for his human rights abuses. US leadership is needed and for the last 10 months it has been lacking.https://twitter.com/realDonaldTrump/status/934029886842458112 …,2017-11-24 14:43:30,34,10,934069974519382017
Effort to rollback #netneutrality will favor Wall Street & corporations over Main Street and entrepreneurshttps://mobile.nytimes.com/2017/11/22/business/net-neutrality-small-businesses.html …,2017-11-24 01:58:24,13,17,933877427998216193
"Thanks to the volunteers at St Luke's Methodist Church, Long Branch for free #Thanksgiving dinner for all those in need.pic.twitter.com/wqvoWDqr3g",2017-11-23 19:18:38,19,6,933776824622047232
