Text,Date,Favorites,Retweets,Tweet ID
"BREAKING NEWS: The Tax Cuts and Jobs Act just passed the House! We promised more jobs, bigger paychecks, and fairer taxes... and we're delivering.pic.twitter.com/nlG0ZeL4Ai",2017-11-16 19:41:41,25,3,931245911690407937
"Live stream the CHA hearing ""Preventing Sexual Harrassment in the Congressional Workplace"" on YouTube starting at 10 a.m. ET.https://twitter.com/houseadmngop/status/930440815687725056 …",2017-11-14 14:41:52,8,1,930445685564035075
Happy Veterans Day to our veterans who have served and sacrificed for us and our freedoms.… https://www.instagram.com/p/BbXhyKfFV1Y/ ,2017-11-11 20:01:43,16,2,929439013156610048
It was an honor to take part in the Christening Ceremony of Delbert D. #BlackDDG119 - A… https://www.instagram.com/p/BbF1q0XF6ep/ ,2017-11-04 23:09:07,14,1,926949457584943104
Today's the day! WATCH LIVE as the @HouseGOP discuss the Tax Cuts & Jobs Act! #taxreformhttps://twitter.com/housegop/status/926107867270090752 …,2017-11-02 15:44:28,4,0,926112782428393472
"Today, through my role as Chairman of the Committee on House Administration, I held a hearing to… https://www.instagram.com/p/Bar7J2cFnyd/ ",2017-10-25 21:36:48,8,2,923302346045583360
"This morning, Energy and Commerce held a hearing to discuss federal efforts to combat the opioid… https://www.instagram.com/p/Barf-POlJIc/ ",2017-10-25 17:39:18,3,1,923242579260473344
"During E&C Hearing, Harper Praises UMMC Telehealth Center of Excellence Designation: http://youtu.be/0gQLKAKxQCc?a  via @YouTube",2017-10-25 16:03:56,6,3,923218577188147200
"This morning, I joined AT&T Mississippi at their tower site for the launch of Fixed Wireless… https://www.instagram.com/p/BaZtDpmnS4r/ ",2017-10-18 19:47:30,7,2,920738125390995456
This morning I had the honor of speaking to the young leaders of the Meridian Community College's Honors College.pic.twitter.com/i9SSAQcGgG,2017-10-17 15:09:14,14,4,920305711388774402
"Today, in Washington, D.C., @ummcnews was officially designated a HRSA Telehealth Center of… https://www.instagram.com/p/BZ4QIo5F146/ ",2017-10-05 19:59:38,32,7,916030137128423425
Happening Live NOW:,2017-10-05 17:42:30,4,2,915995625077972992
Harper: “Equifax totally failed to meet its #1 responsibility – to protect consumers.”: http://youtu.be/Gp4hmD1gLWk?a  via @YouTube,2017-10-04 20:52:12,10,4,915680979582427136
"This afternoon, Cathy McMorris Rodgers and I joined with NDSS in front of the Capitol to… https://www.instagram.com/p/BZzaAGBlJx1/ ",2017-10-03 22:49:38,8,1,915348143973240838
Press Conference: Gregg Harper on New Working Group on Employing People with Disabilities: http://youtu.be/TbNBKFwboKM?a  via @YouTube,2017-10-03 22:27:44,6,4,915342632003489792
Great GIF by @HouseGOP explaining some highlights of the new Tax Reform framework!        See the plan here: https://goo.gl/L795K7 pic.twitter.com/7BFkqhgF1z,2017-10-02 18:11:38,9,9,914915794433306625
Tune in now to @supertalk to hear about the new GOP Tax Plan & more! @paulgalloshowhttps://goo.gl/L795K7 ,2017-09-29 12:29:29,3,1,913742526053588993
Good morning Mississippi! I'll be joining @paulgalloshow at 7:20am to talk about Tax Reform & more. Listen in! https://goo.gl/L795K7 ,2017-09-29 11:33:51,6,3,913728524971855873
Today I took a test drive of Volvo's self-driving car as part of my role as Vice Chair of the… https://www.instagram.com/p/BZmUBpOFisU/ ,2017-09-28 20:47:20,16,5,913505425030471681
We are glad to have you back @SteveScalise . It is an inspiration to see you return to doing the people's work in the House!https://twitter.com/cspan/status/913417132066660353 …,2017-09-28 15:17:54,18,5,913422521059422209
My statement on today's release of the framework for fixing our broken tax code. SEE THE PLAN THAT RELEASED TODAY--> https://goo.gl/L795K7 pic.twitter.com/JesL1p4F9k,2017-09-27 17:56:21,7,3,913100007498293251
You can read more about the House GOP Plan here-->https://goo.gl/L795K7 ,2017-09-25 14:53:23,0,2,912329189600219136
Great to speak to the State Farm agents and employees from Mississippi's 3rd district this afternoon.pic.twitter.com/rVR6IIGDwl,2017-09-18 19:31:20,9,1,909862419966590977
"Tell us what YOU think Congress should do to reform the U.S tax code here: 
https://goo.gl/L795K7 ",2017-09-18 17:25:20,3,2,909830715012997120
"Today, along with Mike Armor with the Appalachian Regional Commission (ARC), I had the... http://facebook.com/GreggHarper/posts/10155077494060939:0 …pic.twitter.com/KyXCWuvlP2",2017-09-15 21:43:03,8,1,908808407771049985
I had the honor of giving the keynote speech at the 2017 data summit at MSU this... http://facebook.com/GreggHarper/posts/10155076793660939 …pic.twitter.com/HADBftsz35,2017-09-15 18:34:37,9,3,908760984537280512
"Under our broken U.S. Tax Code, paying taxes feels like this! The @HouseGOP has a plan to fix that. Check it out--> https://goo.gl/L795K7 pic.twitter.com/4iQZ8IZ2GJ",2017-09-13 20:48:24,54,18,908069878913011712
Such an honor to speak to over 100 pastors from 25 states at the #WallBuildersPastorsBriefing today at the Lib of Congress. @DavidBartonWBpic.twitter.com/NC9Fodf2J9,2017-09-13 19:19:21,9,2,908047465181478913
RT if you think American’s spend too much money filling out their taxes. Check out the House GOP Plan --> https://goo.gl/L795K7 pic.twitter.com/8DN3LFsJwv,2017-09-11 19:56:42,2,6,907332091813265413
Join me today in a moment of prayer for the thousands of innocent lives that were lost 16 years… https://www.instagram.com/p/BY6YQkxliXV/ ,2017-09-11 19:17:42,18,6,907322278089695232
"We need to fix the broken tax code making U.S. businesses less competitive, & the House GOP has a plan to do it! -> https://goo.gl/L795K7 pic.twitter.com/RuP6J8Xn97",2017-09-07 13:19:31,183,50,905782586693353477
"Sidney and I had a great tour of the Mississippi Children's Museum, given by Emily Hoff and… https://www.instagram.com/p/BYeDYZtllbr/ ",2017-08-31 19:16:34,11,1,903335725810147328
"Great visiting with Lizzy Abston, Betsy Bradley, Kali Mason and Jochen Wierich at the… https://www.instagram.com/p/BYWhM96FuQi/ ",2017-08-28 21:03:11,1,2,902275392970539008
"It was an honor to speak to the Madison Co. Business League this morning, & to be presented with the Spirit of Enterprise Award!pic.twitter.com/kvF2qx7ZhP",2017-08-25 14:54:56,9,2,901095553504866304
"ICYMI - WATCH: I had the honor of interviewing my friend @LibnOfCongress on Sat. at the MS Book Festival - 
https://www.c-span.org/video/?432088-3/conversation-librarian-congress-carla-hayden …",2017-08-21 21:12:12,17,7,899740947810066434
So honored to be interviewing @Libnofcongress at the Mississippi Book Festival on @booktv #LiteraryLawnPartypic.twitter.com/xjuFmSKF4Z,2017-08-19 15:53:43,25,8,898936022767206400
"If you are able, join me and @LibnOfCongress tomorrow morning at the MS Book Festival! If not: you can tune in live on CSPAN2!pic.twitter.com/x9acg6Wegv",2017-08-18 18:47:57,6,1,898617481371291652
Promoting tomorrow's Third Annual MS Book Festival. @WJTVpic.twitter.com/FgCRsMO6eV,2017-08-18 18:39:23,6,0,898615323217117185
So blessed to be with the  @MSLibraryComm today!pic.twitter.com/0zRicc3F0K,2017-08-18 17:27:12,13,1,898597158630371328
"@LibnOfCongress and I had the joy of reading the book ""The Rainbow Fish"" to 13 1st-2nd  grade deaf students from the MS School for the Deaf.pic.twitter.com/dSxLwnkZlF",2017-08-18 16:26:11,69,7,898581801693618176
I am excited to be with @LibnOfCongress & @parksspot w the MS Law Library this morning. We are so honored to have Dr. Hayden in MS!pic.twitter.com/IeVF2xYe2F,2017-08-18 14:07:10,84,22,898546818698452992
It was such an honor to meet with and speak to the Lincoln Country Farm Bureau tonight in… https://www.instagram.com/p/BX6m0duFqn-/ ,2017-08-18 00:54:08,7,0,898347244134346752
"Join my special guest, Dr. Carla Hayden,@LibnOfCongress, and me this weekend at the 2017 #MississippiBookFestival in Jackson!pic.twitter.com/QNKeSkWQIg",2017-08-15 21:24:45,16,2,897569775169044480
Coming on the @thejtshow on @supertalk shortly! Tune in to listen live.,2017-08-15 16:02:32,4,1,897488690053865472
Great to see Dr. Keenum at the MSU Ribbon Cutting for the Old Main Academic Ctr. today! @msstatepic.twitter.com/O1ZwTXGCYc,2017-08-14 20:39:04,38,5,897195894281580547
Join me Saturday morning at the 2017 Mississippi Book Festival. I will be interviewing my… https://www.instagram.com/p/BXyWy2BFV2j/ ,2017-08-14 20:00:18,9,2,897186135016972292
"House Republicans are committed to solving problems for you and your family. 
http://didyouknow.gop  @HouseGOPhttps://youtu.be/Yfhc3ve0nyU ",2017-08-01 20:02:51,35,10,892475737864900608
We are so thankful to these brave heroes for their swift actions that saved lives. Well-deserved! @CapitolPolicehttps://twitter.com/stevescalise/status/890664826397220864 …,2017-07-27 20:57:44,13,2,890677609964679169
Today I spoke in favor of H.R. 3298 to help @CapitolPolice officers who have sustained serious injuries in the line of duty.pic.twitter.com/nVje5boeiH,2017-07-24 22:31:17,10,3,889613986538434563
Enjoyed visiting with Allyson Plunkett at cabin 118 neshoba county fairpic.twitter.com/NuDa5D07Va,2017-07-23 21:30:51,31,2,889236392571809793
Thanks @supertalk and @paulgalloshow for all you're doing today @PalmerHomeMS so they can continue to change lives.pic.twitter.com/AyLVG3rSpP,2017-07-20 13:02:23,16,1,888021265839263744
"WATCH, today @HouseCommerce #DCCP passed legislation on #selfdrivingcars which could greatly increase mobility for those with disabilities.pic.twitter.com/0n4JpyVlPQ",2017-07-19 20:26:42,28,8,887770696268558339
"Watch out Congress! There's a new face on Capitol Hill—and she's not messing around! 
•
I had a… https://www.instagram.com/p/BWiYRj8lWsH/ ",2017-07-14 18:34:05,10,2,885930413474107392
"I had a fantastic visit with Mississippi music legend @mooremistyblue who you may know for her hit song ""Misty Blue."" Thank you, Dorothy!pic.twitter.com/gncl47PWDQ",2017-07-07 20:16:58,30,2,883419589794816000
Wishing you a blessed weekend as we approach the anniversary of the birth of this great nation.https://www.youtube.com/watch?v=ma_w7nPnzdc …,2017-06-30 21:27:32,18,2,880900633821315073
Congratulations to @karenhandel in GA & @ralphnornan in SC—Republicans winning every special election this year shows voters support @POTUS,2017-06-21 13:16:00,28,10,877515445892415489
Great night at @librarycongress #CongressionalDialogues to hear @jmeacham discuss his book on Andrew Jackson! W/ my guest Jerry Dattel.pic.twitter.com/phBFbxnxd9,2017-06-21 00:32:16,8,2,877323244881051648
"Proud of Stephen Johnston (l), the Producer & Steve Fedyski (r) with Pure Flix. #SameKindMovie. 2/2pic.twitter.com/cQm604crLl",2017-06-20 02:49:05,15,2,876995289613205505
"Sidney and I were so moved at the pre-release screening of ""Same Kind of Different As Me"" tonight!  1/2",2017-06-20 02:48:34,6,2,876995159262715905
Great being at @fbcbrookhaven to celebrate Greg Warnock's 20th year as Pastor. Sidney & I are truly blessed to have Greg & Terri as friends!pic.twitter.com/81IEZVDNNw,2017-06-19 00:07:36,14,2,876592264444858369
pic.twitter.com/daOkY7etkt,2017-06-17 01:26:11,32,1,875887265020616705
Very special to see all the Republicans and Democrats praying on the field before the start of the Congressional Baseball Game. #CBG17pic.twitter.com/eVgXMa2KRP,2017-06-17 01:19:08,41,7,875885491052261377
Thank you @paulgalloshow for having me on this morning. It's always a pleasure. @supertalk,2017-06-15 12:19:50,10,1,875326985098207233
Good morning! I will be coming on to the @paulgalloshow this morning on @supertalk at 7:05 CT. Listen in live athttp://supertalk.fm/listen/ ,2017-06-15 09:48:50,2,1,875288982338383873
"My staff and I are safe. We are praying for Rep. Scalise, the staffer and the two Capitol police officers who were injured this morning.",2017-06-14 13:03:34,277,82,874975600745877504
Great to have my friend Dr. Gary Butler with @CamgianMicro up on Capitol Hill today for the @HouseCommerce #SubDCCP #hearing & #IOTshowcasepic.twitter.com/i1e44OdQG6,2017-06-13 17:05:05,12,5,874673993101574145
"Today is the 138th day of the Trump administration—during that time, this GOP-led House has been the most productive in the modern era!pic.twitter.com/bZzvMRB0fK",2017-06-09 15:46:43,18,5,873204720718032897
There's something fundamentally wrong with a #backseatdriver in a #selfdriving car! @Audi @HouseCommerce @boblattapic.twitter.com/YAIeOOJ3Rb,2017-06-07 20:00:09,6,3,872543722499604480
Yesterday I joined Chairman @boblatta in a test drive of the #audi A7 piloted driving prototype #selfdriving car. @HouseCommercepic.twitter.com/G3Bc7apCop,2017-06-07 19:46:06,7,2,872540187288633346
