Text,Date,Favorites,Retweets,Tweet ID
"We must address the mental health crisis our nation is facing. Today, I joined my colleagues in sending a letter urging the Administration to fund mental health and substance use programs:http://goo.gl/7bdzk2 ",2017-11-28 22:35:31,21,5,935638311342919680
The future of salmon and steelhead depends on us being able to reduce the ever-increasing sea lion population:http://www.oregonlive.com/environment/index.ssf/2017/11/study_seal_and_sea_lions_stron.html#incart_river_home_pop …,2017-11-21 17:49:23,22,5,933029586870423558
Yep.http://www.columbian.com/news/2017/nov/20/in-our-view-value-pricing-ha-good-one/ …,2017-11-21 00:46:27,8,3,932772157742047232
"Also, a big thank you to @DrPhilRoe for spending time listening to our local vets share their concerns & for all your hard work on behalf of our nations’ heroes. It was a privilege to host you in Southwest Washington!pic.twitter.com/eRmHjNa1Fu",2017-11-20 18:37:16,5,4,932679249672187913
Thank you to the veterans who shared their challenges w/ the VA at our roundtable Sat. morn in Vancouver. I heard some great suggestions & I took lots of notes on how I can continue to advocate for quality health care for all SW WA veterans.pic.twitter.com/fmWAOLqeiO,2017-11-20 18:36:42,18,3,932679109574057984
"Due to the short, holiday week, we will not have mobile office hours in Lewis County tomorrow, Tuesday, Nov. 21. If you need assistance, please call our Vancouver office at 360-695-6292.",2017-11-20 17:48:27,3,1,932666967265370112
Oregon has confirmed that its I-5 and I-205 tolling advisory committee has “no statutory authority” over Oregon’s actual decision making on whether or how to toll those bridges. Read their response to my questions here: http://goo.gl/e9aocm ,2017-11-17 20:16:07,11,4,931616962416869381
"I proudly voted today to help middle-income Southwest Washington families keep almost $2,000 more of their money instead of paying it in taxes & to boost their paychecks by $2,672 each year. To read more about my support of #TaxCutsAndJobsAct click here:http://goo.gl/AWBipi ",2017-11-16 19:46:42,32,7,931247174922461185
"The U.S. House’s #TaxCutsAndJobsAct is a good deal for Southwest Washington taxpayers, and I will support it. A family of 4 in SW WA making a median salary of $83,874 will get to keep $1,929 more. Read my full statement here: http://goo.gl/rZvzC8 ",2017-11-15 23:13:07,26,8,930936730483675137
"Did you know OR scheduled its I-5, I-205 bridge tolling advisory committee mtg. Mon, 11/20 @ 8:30am? Read about my push to understand what it can (and can't) do, and how SW WA residents are being informed:http://goo.gl/1svDWE ",2017-11-15 00:30:05,12,4,930593714266886144
"Proud to vote for a pay raise for our military service members today, and permanently preserve giving an allowance to surviving military spouses.pic.twitter.com/Z1YDBQZ9c5",2017-11-14 22:10:59,80,18,930558706714103815
