Text,Date,Favorites,Retweets,Tweet ID
"On my #readinglist: The Last Lion: Winston Spencer #Churchill, Volume 2. Instrumental in leading Britain in #WWII, the #PrimeMinister was born #OTD in 1874. #HBD #reading #books #historypic.twitter.com/rFZTt1vuGM",2017-11-30 20:30:00,8,1,936331501917970432
NOW: @HouseHomeland discussing #nationalsecurity in the New Age of Global Terror. Tune in: https://youtu.be/DqbqrxZnwt8 pic.twitter.com/7KpppjLUVB,2017-11-30 15:30:27,4,1,936256114936680448
"Worldwide Threats: Keeping Amer Secure in New Age of Terror. Watch @HouseHomeland
hearing LIVE at 10 ET.https://www.youtube.com/watch?v=DqbqrxZnwt8 …",2017-11-30 14:18:04,3,4,936237901318381568
"ICYMI: My opening statement from today's IT Subcommittee hearing. Our existence as a #democracy depends on free, fair & accurate elections.pic.twitter.com/QtdyTId6qe",2017-11-29 21:01:17,40,16,935976986241052672
"""Electronic voting systems must resist not only fraud from corrupt candidates & supporters, but also election disruption from hostile nation-state adversaries."" - @mattblaze",2017-11-29 20:07:00,28,16,935963323996110848
"""The integrity of the vote today depends on the integrity of the software systems - running on voting machines & on county election networks - over which elections are conducted"" - @mattblaze",2017-11-29 20:06:12,3,2,935963124527714304
"""We are not naïve about the likelihood of future #cyberattacks against digital elements of election systems, but we also know #paperballots include vulnerabilities"" - @Louisiana_sos",2017-11-29 19:47:40,9,7,935958458440015875
Our adversaries have always sought to use our nation's unique qualities to undermine our democracy. Our voting systems are no exception.,2017-11-29 19:32:13,11,6,935954569573621766
Voting is one of our fundamental democratic rights & is the cornerstone of American democracy.,2017-11-29 19:31:14,17,6,935954323137355776
"No one wants to hear about another hack, especially one that undermines our #democracy. Tune in at 2pm EST to see my IT Subcommittee explore the current state of #cybersecurity of our #voting machines.https://oversight.house.gov/hearing/cybersecurity-voting-machines/ …",2017-11-29 15:30:02,17,12,935893621244551168
"Like anything else in digital age, electronic voting is vulnerable to #hacking. Tmrw I'll examine #cybersecurity of voting machines. Info: https://oversight.house.gov/hearing/cybersecurity-voting-machines/ …",2017-11-29 01:07:16,34,19,935676502192066560
Even @NatGeoTravel knows #SanAntonio is worth the trip! #besttrips2018 #satxhttps://www.ksat.com/news/local/san-antonio/san-antonio-makes-national-geographic-traveler-2018-best-of-the-world-list?utm_source=twitter&utm_medium=snd&utm_campaign=ksat12 …,2017-11-29 00:00:03,14,2,935659584999456768
"During the season of #giving, it is important to remember that much more unites us than divides us. If we focus on these things as Americans, we can continue to be the greatest nation in the world. #GivingTuesdayhttps://hurd.house.gov/media-center/press-releases/hurd-gabbard-introduce-bipartisan-resolution-recognize-givingtuesday …",2017-11-28 20:15:00,4,2,935602950998593538
ICYMI: We got a #bipartisan piece of legislation across the finish line. And I'll continue to work across the aisle to find ways for the federal government to provide a more efficient service to the American people #MGTacthttps://twitter.com/fedscoop/status/935523716355813376 …,2017-11-28 16:45:00,35,11,935550102093094913
"It's time to make our government smarter, more cost-effective & more efficient through the #MGTact. Learn more https://hurd.house.gov/media-center/hurd-hill/hurd-hill-unleashing-innovation …",2017-11-27 18:50:01,13,10,935219175408226304
"During my nine and a half years in the CIA, I spent many Thanksgivings away from loved ones. I hope my team and I could be friendly faces to those stationed away from home at Camp Bullis this year. We can never thank them enough for their service & sacrifice.pic.twitter.com/TM44EvPvlX",2017-11-23 21:00:03,114,13,933802348488609792
"From my family to yours, #HappyThanksgiving.pic.twitter.com/8aroydp6L9",2017-11-23 15:00:02,43,10,933711744761024513
Of course! I’m glad #TeamHurd could lend some helping hands to y’all today. Thanks for all that y’all do to make a #HappyThanksgiving possible for so many folks in our area!https://twitter.com/jimenezdinner/status/933398564063105035 …,2017-11-22 18:54:15,23,0,933408300066131968
"As long as Russia is an adversary, they continue to try to use asymmetrical warfare against us. #disinformationhttp://thehill.com/policy/cybersecurity/361448-gop-rep-we-need-a-counter-to-russian-disinformation …",2017-11-22 16:57:03,18,9,933378806370521088
"Just as we must demonstrate to our allies that the U.S. has their backs, we must make sure our allies uphold the rule of law.  Proud to support the growing democracy in Georgia and encourage their efforts to uphold rule of law. https://olson.house.gov/sites/olson.house.gov/files/wysiwyg_uploaded/17-11-03%20Amb.%20Kelly%20Georgia.pdf …",2017-11-21 15:55:17,11,2,933000874795896833
"My heart goes out to the pilot who lost his life while training at Laughlin AFB, the pilot injured & the families of both Airmen. Whether training stateside or deployed overseas, we must not forget the sacrifices the men & women of our Armed Forces make each day for our nation.",2017-11-21 13:38:28,110,25,932966441615286273
"My thoughts are with the loved ones of Border Patrol Agent Rogelio Martinez, who was fatally injured in Van Horn.pic.twitter.com/FivKdcOtqi",2017-11-20 02:08:35,77,40,932430441109389312
Today marks the 154th anniversary of the delivery of one of the greatest speeches in our nation's history #GettysburgAddress #OTDpic.twitter.com/xsG8OAEprQ,2017-11-19 19:45:48,93,39,932334109707423744
Love it! There's much more that unites us than divides us #bipartisanroadtriphttps://twitter.com/MrW_THS/status/931599553354182661 …,2017-11-17 19:22:42,20,8,931603522621267968
"I'm glad groups like @runningstart are encouraging young, smart women to run for office #empoweringwomen #ilooklikeapoliticianhttps://twitter.com/melisrichmond/status/931567688828243968 …",2017-11-17 18:29:04,26,5,931590022092001280
".@Geekdom has fostered more than 500 startups in the San Antonio area over the past 6 years. Happy birthday, and thank you for helping move our city forward!",2017-11-17 15:45:00,51,18,931548735951183872
"Imagine that you can buy either the first cellphone ever made for one price, or the latest #smartphone for a cheaper price. Which would you buy? Until now, our government has chosen the first option #MGTactpic.twitter.com/4nFc6EYs8S",2017-11-16 22:00:04,21,11,931280734958088194
I applaud my colleagues in the House and Senate for working to get the #MGTact across the finish line.pic.twitter.com/1NpkQXDpOM,2017-11-16 19:10:32,25,11,931238072842379265
Met a legend today  Everyone say howdy to @USMC mascot Chesty! #SemperFi #MarineBdaypic.twitter.com/87N48IkbtY,2017-11-15 22:00:01,74,10,930918336241602560
"No one wants to hear about another hack. That's why we have #FITARA scorecards, so that federal agencies are held accountable for improving their cyber practices.pic.twitter.com/jU3jZxIbGj",2017-11-15 19:48:27,27,17,930885224480825345
"NOW: #FITARA is about improving our agencies' digital accountability & information security, while spending less of folks' hard-earned taxpayer dollars. See how our federal agencies performed https://oversight.house.gov/hearing/federal-information-technology-acquisition-reform-act-fitara-scorecard-5-0/ …",2017-11-15 19:00:00,1,2,930873032800735232
The latest #FITARA scorecard is out! We'll see which federal agencies are spending taxpayer dollars efficiently at 2pm EST this afternoon. TUNE IN: https://oversight.house.gov/hearing/federal-information-technology-acquisition-reform-act-fitara-scorecard-5-0/ …,2017-11-15 15:30:00,17,17,930820186655125505
Thank you @tonyscottcio!https://twitter.com/tonyscottcio/status/930578958587965442 …,2017-11-15 00:37:51,5,0,930595666732240896
We have a lot to discuss tomorrow #FITARA @MeriTalk https://www.meritalk.com/articles/cios-get-failing-fitara-report-cards/ …,2017-11-14 23:04:14,5,2,930572106642968579
Find out which federal agencies passed the latest #FITARA report card in tomorrow's IT Subcommittee hearing: https://oversight.house.gov/hearing/federal-information-technology-acquisition-reform-act-fitara-scorecard-5-0/ …https://twitter.com/jmillerWFED/status/930491215086276614 …,2017-11-14 18:05:56,5,1,930497037031878658
An important #WorldKindnessDay reminder: #KindIsCool.pic.twitter.com/LtELUyuHln,2017-11-13 18:00:01,53,14,930133162356813829
"Take a moment today to recognize the tremendous sacrifices those have made so that we can live our lives freely each day. To the 47,000 veterans in #TX23 & many more across the nation: thank you. #VeteransDaypic.twitter.com/nKHLmbxvA3",2017-11-11 15:00:03,61,11,929363094115008515
"Happy Birthday, @USMC! 242 years of faithful service #SemperFi #MarineBdaypic.twitter.com/aB2tZH1Det",2017-11-10 15:30:02,127,46,929008253438251008
Thank you @VP for your compassion and support for the people of South Texas.https://twitter.com/VP/status/928616492958183424 …,2017-11-09 15:44:32,33,5,928649513450995712
Last month I got to go for a spin in a car made by the robotics team at @SWLegacyHS in San Antonio. Our future is in great hands #STEMdaypic.twitter.com/7Sep3bPNTd,2017-11-08 23:00:04,32,7,928396733301735424
"Each year, #TX23 high school students can put their coding skills to the test by participating in the @CongressionalAC. For more info: http://www.congressionalappchallenge.us/  #STEMDay",2017-11-08 21:00:02,10,10,928366525848809472
"For the U.S. to remain a leader on the global stage, we need enough innovative problem solvers to fill jobs not just in today's industries, but also in those that don't even exist yet #STEMDaypic.twitter.com/z0LR8jMVj4",2017-11-08 19:30:01,13,4,928343870361911296
"Over 1,000 students in #TX23 are learning CS concepts this year. Thank you @getbootstrap @UTAustin & tech companies for making our #CSinitiative a reality #STEMDayhttps://hurd.house.gov/media-center/hurd-hill/hurd-hill-training-next-generation-world-renown-computer-scientists …",2017-11-08 18:00:03,7,1,928321230557589504
"Coding is the language of the 21st century. If our kids don't speak it, they're going to be left behind #STEMdaypic.twitter.com/pfeuGptg0Q",2017-11-08 16:30:04,172,76,928298584839032832
