Text,Date,Favorites,Retweets,Tweet ID
I had the opportunity to meet with the @VFWHQ’s Women’s Committee today. I look forward to continuing to work with them and all of our Veterans Service Organizations to ensure that the VA adequately serves the needs of the fast-growing population of female veterans.pic.twitter.com/biXegKYX5y,2017-11-29 23:27:27,5,2,936013766998839297
"Everyone has right to work in safe environment free from harassment. Mandating anti-harassment training is important 1st step to ensure climate of respect in our workplace. However, Congress must do more to create additional accountability & transparency.https://juliabrownley.house.gov/media-center/press-releases/anti-harassment-training-is-important-first-step-but-congress-must-do …",2017-11-29 20:46:33,11,2,935973278413459457
"9 mil children, incl. 1.3 mil in CA, rely on CHIP. Yet, House & Senate Republicans continue to play games w/ children’s lives, all while focusing on misguided tax legislation skewed to benefit millionaires & billionaires. Congress must get priorities right & reauthorize CHIP now!https://twitter.com/washingtonpost/status/934050896291516416 …",2017-11-28 23:44:26,13,7,935655655188385793
I am proud to co-author bipartisan legislation with @RepTenney to make it easier for veterans to open their own businesses so they can have a better opportunity to support themselves and their families.https://juliabrownley.house.gov/media-center/press-releases/representatives-claudia-tenney-and-julia-brownley-introduce-legislation …,2017-11-28 19:45:54,10,4,935595625726521346
"I started working in public service to help individuals with dyslexia. As co-chair of the Congressional Dyslexia Caucus, I'm proud to work across the aisle to support more research on the importance of early detection & intervention. https://www.decodingdyslexiamd.org/news/research-helps-those-with-dyslexia-by-reps-smith-westerman-and-brownley …",2017-11-27 22:33:39,9,2,935275453241282576
"If you thought the House GOP tax bill was bad for working families, the Senate version is even worse: It raises taxes on 82 million middle-class families. I will keep fighting for #ABetterDeal because we simply cannot allow this tax bill to become law.https://twitter.com/CNBCTopStories/status/932796497439080450 …",2017-11-27 15:43:45,21,10,935172301439492096
"I am honored to receive a 100% score from the Humane Society. As a member of the Congressional Animal Protection Caucus, I am committed to the safe and humane treatment of animals. http://www.hslf.org/our-work/humane-scorecard.html?credit=web_id418747317#.Wg8iIkqnGUk?referrer=https://business.facebook.com/ …",2017-11-26 18:29:58,29,7,934851741874577408
Small businesses are the engines of our economy. That’s why I have authored legislation to help aspiring entrepreneurs – including veterans – start their own businesses. I encourage you to #ShopSmall today!pic.twitter.com/fsuad9U7HQ,2017-11-25 15:47:12,13,3,934448392339644416
ICYMI: My @VCStar op-ed from last month calling for an end to partisan gerrymandering. This could clear the gridlock holding up progress on countless commonsense solutions to critical challenges facing our nation.http://www.vcstar.com/story/opinion/columnists/2017/10/14/way-end-gridlock-washington/763817001/ …,2017-11-24 15:53:03,17,8,934087476985122817
"From my family to yours, I’d like to wish you a Happy Thanksgiving! This year and every year, I am thankful for our brave men and women in uniform and our veterans. I am also thankful for our diverse heritage, which has always been an integral part of what makes America special.pic.twitter.com/Bv5eNK3Zb0",2017-11-23 13:34:16,32,8,933690161136848896
Passing the #DREAMAct would add $22.7 billion to U.S. GDP each year. @SpeakerRyan must allow a vote!https://www.americanprogress.org/issues/immigration/reports/2017/09/18/439134/economic-benefits-passing-dream-act/ …,2017-11-22 14:21:23,16,7,933339632435154944
El período de inscripción para un plan de salud ahora está abierto a través de Covered California. Asegúrese de que usted y su familia tengan cobertura de salud. https://juliabrownley.house.gov/el-periodo-de-inscripcion-para-un-plan-de-salud-ahora-esta-abierto …pic.twitter.com/A7yMUhMag9,2017-11-21 16:05:43,9,6,933003500912603136
"I am honored to receive a 100% score from Food Policy Action. I will continue fighting for policies that keep food safe, healthy, and affordable.http://foodpolicyaction.org/scorecard-politician/?memberid=B001285 …",2017-11-19 21:27:31,18,4,932359707532169216
"I support the Child Care for Working Families Act – which improves access to quality child care and early learning programs – because it’s good for parents, good for children, and #ABetterDeal for America.pic.twitter.com/INfQyGJubN",2017-11-18 23:11:41,17,8,932023535639449601
"I'm raising awareness on #NatlAdoptionDay because there are more than 55,000 children in foster care in California that need a safe and loving home. http://www.nationaladoptionday.org ",2017-11-18 20:38:56,24,13,931985094017011712
"We need to reform the federal tax code to reduce the tax burden on working families and small businesses, incentivize innovation, and spur real job growth. Unfortunately, the tax bill that House Republicans passed today doesn’t do that.https://juliabrownley.house.gov/media-center/press-releases/america-needs-real-tax-reform-not-the-gop-tax-scam-says-brownley …",2017-11-16 22:23:52,20,16,931286723648262150
"I am honored to join @RepBradWenstrup to introduce bipartisan legislation to strengthen job training programs for homeless and recently homeless veterans, and to help those who have struggled to find employment get back on their feet.https://juliabrownley.house.gov/media-center/press-releases/wenstrup-brownley-introduce-bipartisan-bill-to-fight-veteran …",2017-11-16 21:10:57,15,9,931268376567181312
"On World #PancreaticCancer Day, I’m raising awareness about this deadly disease. Make sure you know the symptoms! #PANCawarepic.twitter.com/M4B19hhipP",2017-11-16 18:39:17,24,13,931230206622420992
"Attention employers: Learn more about @USDOL's #HIREVets Medallion program, which recognizes companies that hire our heroes!https://twitter.com/USDOL/status/928652525418532869 …",2017-11-15 20:17:57,2,4,930892650185723906
The House Republican tax plan is going to hurt middle-class families across the country – but especially in California.pic.twitter.com/hefcchb2Cb,2017-11-15 19:48:56,7,8,930885347411668993
"No matter where they work, how much they earn, or who their employer is, all women should have access to basic healthcare that includes #birthcontrol. President Trump’s rule undermines women’s health, and Congress must pass the Protect Access to Birth Control Act to reverse it.pic.twitter.com/QwxZlHaWYQ",2017-11-15 19:20:33,17,10,930878205992546304
"It's an honor to represent Naval Base Ventura County and the more than 19,000 people who work there. The legislation passed today will help ensure the continued operation of our base & provide a well-earned pay raise for active duty military personnel.https://juliabrownley.house.gov/media-center/press-releases/brownley-welcomes-house-passage-of-defense-bill-supporting-naval-base …",2017-11-14 22:35:07,9,5,930564781819473921
"I am proud to introduce the Improving Oversight of Women Veterans’ Care Act with @RepLouCorrea. It will allow the VA to track quality of care provided to women vets and ensure they are well served, whether they get care at the VA or in the community",2017-11-13 21:40:59,12,4,930188771982704641
.@SpeakerRyan's tax bill raises taxes on millions of middle-class households while giving windfall to wealthy & corporations that outsource jobs. Read my op-ed to hear the facts about GOP tax plan & my vision for reform that benefits working Americans.https://www.mpacorn.com/articles/representative-challenges-presidents-proposed-tax-reform …,2017-11-12 22:33:01,12,8,929839474841812992
"Yesterday, I had the honor of recognizing Veterans Day with former servicemembers from across Ventura County. The service and sacrifice of each veteran I met was truly inspiring. Thank you for everything you have done for our great nation.pic.twitter.com/pb9awPjNt0",2017-11-12 21:29:37,16,2,929823523677310977
Health insurance open enrollment through @CoveredCA has started. Financial assistance is available!https://www.youtube.com/watch?v=VPTmR2cBpSs …,2017-11-12 19:27:29,10,8,929792784537669632
"Last night, I hosted a screening of “Thank You For Your Service,” a documentary shedding light on the mental health crisis faced by many of our vets. If you are a vet in need, call the VA’s confidential crisis line at 1-800-273-8255 and press 1 or send a text message to 838255.",2017-11-11 18:50:22,42,25,929421057202753536
"Today, we honor and recognize the selfless service of the nearly 45,000 veterans here in Ventura County and the 22 million across our nation. My message is simple: Thank you for your service and sacrifice.https://www.youtube.com/watch?v=OO40Tj8DzH8 …",2017-11-11 17:56:10,15,5,929407418227978240
"The House Republican tax bill gives a windfall to the very wealthy at the expense of seniors, veterans, families with children, future homeowners, students, and more – especially in California.https://twitter.com/WSJGraphics/status/928281064338059264 …",2017-11-10 22:32:31,21,10,929114574422503429
