Text,Date,Favorites,Retweets,Tweet ID
"It is important that Americans and their families, esp.  in many rural areas, have a chance at becoming homeowners. That is why I support the Preserving Access to Manufactured Housing Act of 2017. View a clip of my speech below and  full speech here: https://www.facebook.com/keithrothfus/ pic.twitter.com/jFkgSTKIYG",2017-11-30 20:11:10,3,1,936326759649333248
"Officer Brian Shaw exhibited virtues our world desperately needs more of: authenticity and sincerity. As our community continues to mourn his passing, I offer my sincerest condolences to his family, friends, and his fellow officers.pic.twitter.com/4Vhb9jvUET",2017-11-28 21:32:35,17,6,935622474858991616
ICYMI: I recently sat down with @JackieCainTV to talk about my recent trip to visit our troops in the Middle East:http://www.wtae.com/article/troops-spending-thanksgiving-overseas/13868835 …,2017-11-25 17:10:01,0,1,934469231386566656
Support those who make up the backbone of our economy. #smallbizsaturdaypic.twitter.com/hBe8pcLbpO,2017-11-25 15:00:03,6,4,934436526041305090
Congrats to @Pitt_FB on tremendous victory over Miami. #Pitt #H2P #BeatMiami,2017-11-24 20:39:13,19,6,934159491418992641
I'm grateful to all those who sacrifice spending Thanksgiving with their families to keep our nation safe. Read my latest in the @bctimes:http://www.timesonline.com/news/20171124/keith-rothfus-thankful-for-americas-defenders …,2017-11-24 16:37:12,4,1,934098586073223169
"From my family to yours, Happy Thanksgiving!",2017-11-23 14:15:00,19,2,933700414003929089
"In this season of thanksgiving, I'm grateful to have had the opportunity to visit our troops overseas. https://rothfus.house.gov/media-center/press-releases/rothfus-visits-troops-and-engages-diplomatic-leaders-trip-middle-east …pic.twitter.com/2hEZhOvwn6",2017-11-22 16:58:56,10,4,933379278871375873
"May Officer Brian Shaw rest in peace. We continue to stand with all police officers during this difficult time, especially the members of the New Kensington Police Department. http://triblive.com/local/valleynewsdispatch/12981093-74/follow-live-new-kensington-officer-brian-shaws-funeral …",2017-11-22 14:22:16,8,4,933339855727284225
Rest In Peace Officier Brian Shaw. I urge anyone who has information about the suspect to please contact the authorities immediately.https://twitter.com/cbspittsburgh/status/931932731956760576 …,2017-11-18 17:46:43,11,1,931941754303115264
Happy National Adoption Day! Thank you to all those families who have given children a loving and permanent home.pic.twitter.com/Q3eTWusvh5,2017-11-18 15:00:00,79,31,931899800085237761
Keeping this police officer in my thoughts and prayers.http://www.wpxi.com/news/top-stories/police-officer-shot-injured-in-new-kensington/649497337 …,2017-11-18 02:18:59,7,3,931708284310040577
Keeping Tom Ridge and his family in my thoughts and prayers right now.,2017-11-16 20:34:55,3,2,931259306225422336
JUST PASSED: The Tax Cuts & Jobs Act! Read my statement here:https://rothfus.house.gov/media-center/press-releases/rothfus-supports-house-tax-reform-bill …,2017-11-16 18:55:31,18,6,931234294412038145
"Today, I will vote for a #taxreform bill to put more money back in hardworking Americans' pockets. Read my latest op-ed here:http://www.post-gazette.com/opinion/Op-Ed/2017/11/15/Why-tax-cuts-Why-now/stories/201711160040 …",2017-11-16 14:37:51,149,32,931169448798687232
Always a pleasure to reconnect with my friend and retired Air Force fighter pilot Scott O'Grady. Thank you for stopping by and for your incredible service.,2017-11-15 22:00:02,5,1,930918339664281601
"The #NDAA Conference Report provides our troops the resources needed to keep our country safe, a much overdue #payraise, and better health care benefits. My full statement here: https://rothfus.house.gov/media-center/press-releases/rothfus-votes-ndaa-conference-report-passage …pic.twitter.com/FWOLPbvJhM",2017-11-15 20:29:03,6,4,930895441805348864
"According to the nonpartisan @taxfoundation, Pennsylvanians stand to gain more money in their pockets and greater job opportunities from #taxreform.pic.twitter.com/zfsiL94qX8",2017-11-14 19:05:46,7,5,930512097829629952
"We must ensure that every veteran receives the care they deserve. While we've made a lot of progress, there is still work to be done. I will continue my efforts in Congress to help veterans and their families. @Dave_Sutor @tribunedemocrathttp://www.tribdem.com/news/va-county-offices-assist-vets-with-health-care-navigating-the/article_75585444-c68a-11e7-aafd-bf896f093f36.html …",2017-11-13 21:30:02,4,1,930186012470296576
It was an honor to welcome home the Detachment 56th. I’m grateful to these brave soldiers for their service and will continue praying for the rest of the Army Reserve Cyber Operations Group still deployed. #PA12https://www.dvidshub.net/news/255030/army-reserve-soldiers-return-home-after-combating-cyber-threats-southwest-asia …,2017-11-13 20:00:04,3,1,930163372150026241
"And here’s another great and detailed article from Jem Spectar and Ray Wrabley about all that Johnstown has to offer. @tribunedemocrat
http://www.tribdem.com/news/jem-spectar-and-ray-wrabley-in-defense-of-johnstown-and/article_8edd0102-c82a-11e7-93d0-13595b871b3e.html …https://twitter.com/keithrothfus/status/930146661049032705 …",2017-11-13 18:54:20,1,0,930146830649905155
"Here's a great article from community leaders in defense of Johnstown. @tribunedemocrat
http://www.tribdem.com/news/editorials/community-leaders-respond-to-politico-article/article_e1f587fe-c741-11e7-8849-e37ac4ccfd16.html …https://twitter.com/keithrothfus/status/930146509798199296 …",2017-11-13 18:53:39,2,1,930146661049032705
"There is a lot to celebrate about Cambria and Somerset counties, and I’m proud to represent the hard working people there.pic.twitter.com/Ze4Sv4pUIH",2017-11-13 18:53:03,6,1,930146509798199296
"May God bless all those who have served our country everyday, but especially on this #VeteransDay.pic.twitter.com/3vezmZkH8N",2017-11-12 01:09:01,10,2,929516346861346816
"Happy Veterans Day to all the brave men and women who have worn the uniform. For any veteran in need of constituent services, my staff in Beaver, Ross Township, and Johnstown are ready to help. For more information please visit: https://rothfus.house.gov/veterans .pic.twitter.com/pL7DyrsGGN",2017-11-11 16:07:41,11,2,929380116777652224
"Happy 242nd Birthday to @USMC ! To those serving in Pennsylvania and across America, thank you for your bravery, dedication, and sacrifice .#242years #semperfidelis",2017-11-10 17:41:03,16,4,929041226460008449
Our #taxreform bill will alleviate many of the headaches caused during tax season and ensure that everyone competes on a level playing field. Read more: https://fairandsimple.gop/ pic.twitter.com/Vquh1ujob0,2017-11-09 17:52:30,13,4,928681717711474689
We must pass the #ConscienceProtectionAct to protect health care workers from being forced to perform abortions. I'm grateful to those brave individuals who shared their stories and will continue to stand for the constitutional rights of all.pic.twitter.com/4lGddUDxyH,2017-11-08 20:39:08,18,8,928361264996388865
Doubling the standard deduction let's individuals and married couples keep more of their hard-earned money. Read more at https://fairandsimple.gop/ pic.twitter.com/iB7s5zFdyr,2017-11-08 16:46:03,18,6,928302608112148480
"Praying for this officer, their family, and all members of @PAStatePolice.https://twitter.com/PAStatePolice/status/927938396709949440 …",2017-11-07 16:59:12,3,1,927943531431329793
The Tax Cuts & Jobs Act reduces the tax rate on hard-earned business income for Main Street job creators. Read more: https://fairandsimple.gop/ pic.twitter.com/Ihi0ydqcAj,2017-11-07 16:42:52,7,2,927939420015259653
Check out my latest column in the @tribunedemocrat:http://www.tribdem.com/news/editorials/rep-keith-rothfus-anti-arbitration-rule-was-threat-to-consumers/article_e5e55cd8-c320-11e7-ae76-736510982495.html …,2017-11-07 14:43:06,2,1,927909279293571072
Did you know that the Tax Cuts & Jobs Act expands the child and dependent care tax credits? Read more: https://fairandsimple.gop/  #1182morepic.twitter.com/0oN1U6xblc,2017-11-06 16:04:20,7,2,927567332830011392
"I am horrified by the events that took place in Sutherland Springs, TX today. The victims and their families are in my prayers.",2017-11-06 00:14:30,13,2,927328301043081216
Condolences to the family of the legendary Fred Anton.  He was a great friend to all of PA and will be greatly missed. @PAManufacturers,2017-11-03 00:47:38,5,1,926249475668168704
My full statement on the Tax Cuts & Jobs Act:pic.twitter.com/yERCMsPntF,2017-11-02 22:44:35,17,2,926218507821477888
My statement regarding @RepHensarling's decision to retire at the end of the 115th Congress:pic.twitter.com/9Ds9qdJSUt,2017-10-31 22:02:14,2,5,925483076934950924
Horrified by this senseless act of terror. Keeping New Yorkers in my thoughts and prayers this evening.http://www.cnn.com/2017/10/31/us/new-york-shots-fired/index.html …,2017-10-31 21:39:58,6,1,925477473286066177
"Last week, I had the privilege of participating in an honor bus ceremony to pay tribute to #PA12 veterans. https://www.facebook.com/keithrothfus/posts/873569389474380 …pic.twitter.com/DIokxHowTs",2017-10-31 15:21:14,3,1,925382161846493184
Congratulations on your accomplishments and thank you for stopping by the office!https://twitter.com/SeshanBrothers/status/923203970713161730 …,2017-10-25 15:24:00,3,1,923208529103720448
@POTUS statement on passage of #HJRes111:pic.twitter.com/EyApegtCpw,2017-10-25 14:18:04,3,2,923191935350837248
BREAKING: The Senate just moved to consider my bill. Read more here: https://rothfus.house.gov/media-center/press-releases/house-passes-rothfus-sponsored-legislation-enable-better-recoveries …https://twitter.com/SenateCloakroom/status/922944531368235008 …,2017-10-24 21:57:43,5,1,922945221960323072
Great piece in @wsj about CFPB's rigged study to support Anti-Arbitration Rule. Senate should act on my CRA asap!https://www.wsj.com/articles/richard-cordrays-bad-numbers-1508702924 …,2017-10-23 16:22:57,5,3,922498587359154178
#FridayNightLights #GoTrojanspic.twitter.com/bBLecCvsKR,2017-10-20 23:11:37,6,4,921514269983825920
"We should provide aid, but do so responsibly. (2/2) https://www.youtube.com/watch?v=pEzlKhfW0jY&feature=youtu.be …https://twitter.com/KeithRothfus/status/919244972922155008 …",2017-10-14 16:55:26,5,3,919245274580733955
"Nearly half ($16B) of this week's $36B spending bill was a taxpayer bailout of an unreformed, bankrupt program. (1/2)",2017-10-14 16:54:14,15,6,919244972922155008
@POTUS is right not to re-certify the #IranDeal. My full statement:https://rothfus.house.gov/media-center/press-releases/rothfus-statement-trump-administration-decision-dangerous-iran-deal …,2017-10-13 18:38:18,3,2,918908770549358592
"Thank you @USNavy for 242 years of honor, courage, and commitment. #242NavyBdaypic.twitter.com/UmokBlVrZp",2017-10-13 16:06:37,10,1,918870598046179328
"#HR2121 passed out of @FinancialCmte by a 60-0 vote. Thanks, @RepHensarling for bringing it to markup. https://rothfus.house.gov/media-center/press-releases/rothfus-applauds-committee-passage-his-bipartisan-banking-legislation …",2017-10-12 19:24:06,2,1,918557910002814979
Honored to join in on this long-standing tradition with the 2017 Stanley Cup Champion @penguins! #cityofchampionspic.twitter.com/HhOLsqhccm,2017-10-10 20:39:35,17,7,917852132224708613
BIG NEWS: @EPA rescinds job-crushing regulation left from Obama Admin. This is a major win for Western Pennsylvanians. My statement:pic.twitter.com/F14Txni2mk,2017-10-10 18:40:23,15,4,917822131140026370
Happy birthday @SteveScalise! ,2017-10-06 20:05:21,20,2,916393964600688640
