Text,Date,Favorites,Retweets,Tweet ID
House passes Tax Cuts and Jobs Acthttps://goo.gl/auVqnM ,2017-11-16 20:03:28,4,0,931251391988891648
FY18 National Defense Authorization Act passes the Househttps://goo.gl/FSDWcL ,2017-11-14 22:40:47,8,6,930566206242869253
Happy Veterans Dayhttps://thornberry.house.gov/news/documentsingle.aspx?DocumentID=398301 …,2017-11-11 14:00:53,8,2,929348206626066435
I appreciate how serious Secretary Mattis is taking this.https://twitter.com/ChiefPentSpox/status/928354782942781440 …,2017-11-09 15:30:14,12,5,928645915421954048
Tax Cuts and Jobs Acthttps://goo.gl/EXCwx9 ,2017-11-02 21:15:52,5,1,926196180807233542
Tax reform framework:https://goo.gl/DPY9YD ,2017-09-28 15:37:35,3,3,913427475820109824
"House passes Make America Secure and Prosperous Appropriations Act, 2018https://goo.gl/UwvBTH ",2017-09-14 17:17:47,8,1,908379262155190272
"H.R. 601, The READ Act (Hurricane Supplemental, Debt Limit, Continuing Appropriations, and Flood Insurance Package)https://goo.gl/4cxezx ",2017-09-08 15:40:37,4,3,906180482064404481
Good news from our nation's capitalhttps://goo.gl/5dpcib ,2017-08-02 17:29:12,3,2,892799457653338115
Thornberry statement on the Senate's failure to repeal and replace Obamacare https://thornberry.house.gov/news/documentsingle.aspx?Docume …...,2017-07-28 14:56:39,2,2,890949126782939136
House passes three bills to reform regulations affecting energyhttps://goo.gl/7F1UzZ ,2017-07-19 22:00:44,7,0,887794359818756096
House passed NDAAhttps://goo.gl/8RVRCV ,2017-07-18 13:34:09,7,4,887304484325658625
House Armed Services Committee Passes National Defense Authorization Act for Fiscal Year 2018https://goo.gl/NDZqDA ,2017-07-04 02:09:41,12,4,882058804619292672
Thornberry statement on Waters of the United States (WOTUS) Rulehttps://goo.gl/3GAjYv ,2017-06-28 16:49:37,3,1,880105918943416321
I recently had the opportunity to visit with the Pampa Lions Club to talk about issues facing folks in our area.pic.twitter.com/vzZ2mIXjFq,2017-05-31 14:13:05,9,1,869919668127051777
Thornberry votes to repeal and replace Obamacarehttps://goo.gl/1ulYEf ,2017-05-04 20:18:04,10,3,860227046949126146
@AmericaNewsroom @MacTXPress,2017-05-01 13:37:57,0,0,859039189349937152
Thornberry responds to Trump tax reform proposalhttps://thornberry.house.gov/news/documentsingle.aspx?DocumentID=398256 …,2017-04-26 20:12:47,1,2,857326611120746501
Thornberry congratulates local schools on winning Science Bowlshttps://goo.gl/vP39cS ,2017-04-26 16:16:04,0,0,857267041207758848
"Thornberry, Military Service Chiefs warn of serious consequences without proper military funding https://thornberry.house.gov/news/docume ...",2017-04-06 20:56:43,4,3,850089909570465793
Thornberry statement on BLM’s admission of error in Red River surveyshttps://goo.gl/edt1x8 ,2017-04-05 21:43:37,6,3,849739328263729153
Thornberry announces 2017 Congressional Art Competitionhttps://goo.gl/87YTnC ,2017-03-28 13:28:47,2,2,846715693794037761
Thornberry statement on House failure to pass health care billhttps://goo.gl/VH2UMl ,2017-03-24 20:11:21,0,2,845367453358211073
pic.twitter.com/PtDDC2kzWx,2017-03-24 20:02:35,1,0,845365245824716801
Mac's statement on failure to pass health care bill. #AHCA #HealthCareReformpic.twitter.com/pBH2KO2im6,2017-03-24 20:01:26,10,5,845364957759901696
Thornberry urges USDA Secretary to extend Emergency Use of CRP Landshttps://goo.gl/fKx7vL ,2017-03-22 18:35:25,3,3,844618532524638210
Thornberry votes for Veterans Affairs reform billshttps://goo.gl/Gj5xiX ,2017-03-17 19:48:48,5,1,842825063875403776
Thornberry urges action on Panhandle wildfire assistancehttps://goo.gl/sFMG5B ,2017-03-09 21:17:34,9,6,839948299058675712
Thornberry votes in support of defense appropriations billhttps://goo.gl/UUGAeU ,2017-03-08 23:32:23,9,3,839619836506431488
Thornberry statement on American Health Care Acthttps://goo.gl/RlILmG ,2017-03-08 16:27:12,1,4,839512838200766465
Thornberry commends EPA for rescinding oil and gas regulationhttps://goo.gl/DsLGCG ,2017-03-07 13:34:50,7,5,839107073891840000
Regulations focus of congressman's business round table http://wtrne.ws/2meSCVd  via @timesrecordnews @inglejohn1973,2017-02-24 21:43:04,1,1,835243673612869634
(2of2) @RealDonaldTrump promise is facing Obama holdovers @DOD who have been fighting against rebuilding & are still undermining agenda.,2017-02-16 18:17:07,235,119,832292740935385093
"(1of2) @RealDonaldTrump commitment to rebuild our military strength 100% right.  Could not have a better leader than #SecDef Mattis, but...",2017-02-16 18:16:50,257,125,832292668692635648
Survey would aim to settle Red River families' land fight with federal government http://www.dallasnews.com/news/texas-politics/2017/02/14/survey-aim-settle-red-river-families-land-fight-federal-government … via  @katieleslienews @dallasnews,2017-02-15 01:32:35,6,5,831677554897600515
"Mac speaks on floor of the House about HR 428, which just passed 250-171. You can learn more about his bill here: https://thornberry.house.gov/news/documentsingle.aspx?DocumentID=398234 …pic.twitter.com/l1di3XGX34",2017-02-14 21:54:10,13,7,831622589898436609
"Thornberry, House continue regulatory reform efforthttps://goo.gl/PoqYgJ ",2017-01-12 16:29:25,1,2,819582062231515136
"Thornberry, Cornyn introduce bills to advance resolution of Red River land disputehttps://goo.gl/hbw4MV ",2017-01-10 21:26:19,2,3,818932004309843968
"Interesting note, the DPSA is highest recognition that the Sec. of the Navy may pay to a civilian not employed by the Navy. @HASCRepublicans",2017-01-05 16:34:24,1,2,817046601063612416
"Yesterday, Mac was presented the Distinguished Public Service Award for his dedicated service to U.S. Sailors and Marines. @HASCRepublicanspic.twitter.com/n6TrYB1A5N",2017-01-05 16:30:48,12,12,817045694397775874
Thornberry introduces the 'Death Tax Repeal Act'https://goo.gl/Au8NWM ,2017-01-04 21:41:18,8,2,816761447443300353
"Mac believes that OCE is in need of reform, but that was not the proper way to go about it. He voted against.",2017-01-03 19:00:26,2,5,816358577032036352
Mac was proud to vote in support of @SpeakerRyan and is looking forward to advancing the #ABetterWay agenda in the #115thCongress.https://twitter.com/HouseGOP/status/816355699731169280 …,2017-01-03 18:51:24,5,3,816356304675569665
Lake Kemp provision passes U.S. Congresshttps://goo.gl/80lRpR ,2016-12-13 14:14:21,2,0,808676437649752065
Thornberry's defense bill passes the Househttps://goo.gl/wdwxt3 ,2016-12-05 17:08:41,5,3,805821206490451969
"Thornberry says Trump's Pentagon pick, just 3 years out of uniform, deserves legal exception http://www.dallasnews.com/news/politics/2016/12/02/thornberry-says-trumps-pentagon-pick-just-3-years-uniform-deserves-legal-exception … via @dallasnews",2016-12-02 19:26:08,9,5,804768634069458944
Thornberry votes for sweeping health reform and research billhttps://goo.gl/XK1XW0 ,2016-12-01 18:47:56,1,2,804396629432344576
Thornberry statement commemorating 75th anniversary of Sheppard Air Force Basehttps://goo.gl/jqnuXW ,2016-09-20 21:30:41,4,5,778345663151169536
Thornberry welcomes North Texas veterans to Washingtonhttps://goo.gl/YDjAkb ,2016-09-19 12:31:10,4,3,777847501055488000
Thornberry votes for VA accountabilityhttps://goo.gl/gjLNop ,2016-09-16 16:17:51,0,0,776817384929816576
Mac remembering September 11th 15 years later http://youtu.be/klTw976LxdM  #NeverForget,2016-09-11 14:51:13,4,4,774983643450208257
Thornberry warns residents about criminals posing as IRS agentshttp://goo.gl/CKyugR ,2016-08-29 17:04:45,1,1,770306203918434304
Thornberry Statement on Khizr Khan Speech and Military Servicehttp://goo.gl/NZU6e1 ,2016-08-02 13:06:35,7,6,760461797069643777
Thornberry on the shooting in Dallashttp://goo.gl/smvZye ,2016-07-08 19:46:49,1,1,751502822550728708
Thornberry on President's New Afghanistan Troop Caphttp://goo.gl/NRHGrL ,2016-07-06 21:24:35,0,0,750802651399479296
Thornberry statement on Supreme Court's immigration rulinghttp://goo.gl/7K7IKP ,2016-06-23 20:28:46,6,2,746077559784353793
1999: Mac visits the new fitness center at @SheppardAFB. #ThrowbackThursday via @inglejohn1973 & @timesrecordnewspic.twitter.com/2upOTGNXlx,2016-06-23 19:05:51,5,3,746056693528793088
Thornberry statement on the Amarillo Walmart shootinghttp://goo.gl/YUYRrK ,2016-06-14 22:05:59,3,5,742840534033694722
Happy belated birthday to President George H.W. Bush.pic.twitter.com/TvsOcSX8nQ,2016-06-13 13:09:32,11,11,742343144000356352
Thornberry statement on the attack in Orlandohttp://goo.gl/B7kjwJ ,2016-06-12 16:42:52,4,3,742034442164797440
Thornberry comments on recent military casualties http://goo.gl/7DIqg5 ,2016-06-06 17:53:12,1,1,739877816838311937
Thornberry's defense bill passes Househttp://goo.gl/Jd7H9s ,2016-05-19 14:42:52,4,9,733306935525642240
NDAA hits the floor today. It's more important than ever b/c budget cut effects on readiness. https://youtu.be/q9qx1oTcWD4  #FY17NDAA #READINESS,2016-05-17 15:57:16,7,13,732600883687620608
