Text,Date,Favorites,Retweets,Tweet ID
The internet has only made it easier for sex traffickers to operate in the shadows. We must act legislatively to give law enforcement the tools they need to protect children. Read my Op-Ed here:http://www.tennessean.com/story/opinion/2017/11/29/congress-must-stop-sex-trafficking-internet/904404001/ …,2017-11-30 16:52:44,181,79,936276822546878464
"In Brentwood, the Tennessee Bureau of Investigation (TBI) arrested 22 men for soliciting sex with a minor through http://backpage.com . This was the 11th sting conducted by the TBI since 2015. This activity is beyond reprehensible.",2017-11-30 16:48:54,99,34,936275859262070784
I have some questions about FDA's and NIH's implementation of the 21st Century Cures Act. Tune into the @HouseCommerce #subhealth hearing at 10am EST.pic.twitter.com/gasnBf3R7r,2017-11-30 14:42:32,43,16,936244058921451521
"Using taxpayer dollars to settle sexual harassment claims against members of Congress is disgusting. We're going to release the names of those who used this hush fund, and these individuals will pay this money back to the American people with interest.http://video.foxnews.com/v/5663233115001/?#sp=show-clips …",2017-11-30 14:32:28,1998,1067,936241523817172993
Ready to talk about the Congressional Accountability and Hush Fund Elimination Act on @foxandfriends. Tune in!,2017-11-30 13:15:23,715,160,936222124116795392
"We are a nation of laws, and we abide by laws. I spoke with @KendallForward from @OANN about why I reintroduced the CLEAR Act, which will withhold federal funding from sanctuary cities.pic.twitter.com/Lz4uBbCRRd",2017-11-29 23:21:47,324,132,936012343699533825
"I am a lead co-sponsor with @RepDeSantis of the Congressional Accountability and Hush Fund Elimination Act, which will end the Office of Compliance's ability to use taxpayer dollars to settle sexual assault and sexual harassment claims against members of Congress.pic.twitter.com/aMbc9SunnC",2017-11-29 19:54:50,16410,7013,935960261613244416
"At the hearing on ""Algorithms: How Companies' Decisions About Data and Content Impact Consumers."" We need to examine how and why content is being blocked, filtered, or prioritized on the internet.pic.twitter.com/QD43pjMjJU",2017-11-29 15:27:53,112,48,935893082683445250
Let's get #taxreform to @realDonaldTrump's desk.pic.twitter.com/PxOcMcbuKe,2017-11-28 17:43:16,320,93,935564764159332352
It’s time for a Special Counsel to look into the Clinton Foundation and the Uranium One deal. Watch my interview with @oann here:https://www.youtube.com/watch?v=l8yxTnNJ0pI …,2017-11-27 21:46:34,241,106,935263604357632002
"Happy Thanksgiving! I am so thankful for my family and friends, and for this great nation. What are you most thankful for?",2017-11-23 15:54:29,225,24,933725451146719232
"We have to use this time as a tipping point to address the overall issue of inappropriate conduct in the workplace--the lack of respect, the diminishment of women, pushing women aside--and end it.",2017-11-21 18:41:25,146,27,933042684268335112
The @washingtonpost reported that The Office of Compliance paid out $17 million for 264 settlements of federal employees to resolve sexual harassment and other claims over a period of two decades. These are taxpayer dollars. I think it’s absolutely disgusting.,2017-11-21 18:37:39,231,103,933041734124220416
"Don’t be fooled by the name “net-neutrality.” Net-neutrality regulates the internet, and is the opposite of a free and open marketplace. I fully support @AjitPaiFCC’s decision.  Read my statement here:https://energycommerce.house.gov/news/press-release/walden-blackburn-fccs-net-neutrality-announcement/ …",2017-11-21 18:02:38,89,33,933032922784980992
@realdonaldtrump’s executive order needs to be in place. What you don’t want to happen is sanctuary cities popping up that are going to be a safe haven or a magnet for more illegal immigration and criminal activity.,2017-11-21 16:54:51,91,36,933015866698059776
"What happens if you want to have a sanctuary city for other parts of federal law evasion? Sanctuary cities are a danger to our communities and cities, and a danger to rule of law. I reintroduced the CLEAR Act, which will block funding for sanctuary cities.http://www.foxnews.com/opinion/2017/11/09/rep-marsha-blackburn-to-save-lives-and-money-must-cut-off-federal-funding-for-sanctuary-cities.html …",2017-11-21 14:46:50,177,87,932983646960660480
"Ready to talk about why @POTUS needs to build that wall, and how sanctuary cities encourage more illegal immigration. Watch on @FoxNews!pic.twitter.com/94zpd2oJwB",2017-11-21 14:07:25,353,102,932973729419841536
"Finally, we have a leader who is not afraid to stand up to our enemies. I fully support @POTUS' decision to again designate North Korea as a state sponsor of terrorism.",2017-11-20 21:16:52,649,149,932719416353148928
"We have 122,000 families in TN that had to pay Obamacare’s individual mandate penalty last year. This mandate is hurting families. Let’s get this off the books. Let people buy insurance that they can afford and that they want.https://twitter.com/FoxNews/status/932674905547722752 …",2017-11-20 20:16:46,215,92,932704290493358080
The Senate has to pass #TaxReform. They need to get in conference with the House and provide tax relief for hard-working Americans. Let’s get this done.,2017-11-20 18:35:22,190,47,932678773723553793
Catch me on @FoxNews discussing what's next for #TaxReform with @MelissaAFrancis!,2017-11-20 18:03:53,48,6,932670850117046273
"Right after I voted yes for #TaxReform, I spoke w/ @WKRN about why this will help families & small businesses in TNpic.twitter.com/kml04na7iG",2017-11-17 00:42:04,393,89,931321503332864000
"@realDonaldTrump, aka ""the closer,"" came to talk to us about #taxreform for jobs, jobs, jobs!pic.twitter.com/5JATr6PIet",2017-11-16 18:36:11,41,7,931229426913824768
Two quick points before I vote yes for the #TaxBill:pic.twitter.com/bIoj6Jq3PS,2017-11-16 17:38:18,190,49,931214859596914688
Happening now: Chairing the #SubCommTech 5G Hearing. It's essential the US maintains its position as the global leader of technological innovation.pic.twitter.com/rjBgJdKP3t,2017-11-16 15:38:50,36,9,931184796671279105
"Big day on Capitol Hill! I'm on my way to Chair the 5G Broadband Hearing, then meeting w/ @realDonaldTrump about the #TaxBill, and then voting yes for tax relief for the American people!pic.twitter.com/tlutNZ4I8a",2017-11-16 14:39:28,316,68,931169854056517632
Tune in now to listen to @DocThompsonShow and me discuss Uranium One!,2017-11-16 11:43:46,33,7,931125638748098560
Honored to speak at the @aga_naturalgas Women's Leadership Conference. Natural gas is a crucial part of our nation's energy security.pic.twitter.com/dH5Mkky9FU,2017-11-16 00:03:08,66,12,930949320723099648
#FlatterFairerSimpler---that's what you're going to get in the #taxbill that we're going to vote on in the House tomorrowpic.twitter.com/KhWLAVKKXo,2017-11-15 20:51:58,129,30,930901209841655815
Just finished a markup on 4 bills at the Energy and Commerce Committee that will roll back harmful Obama-era EPA regulations. One of the bills is for Motorsports! Visit http://MarshaBlackburn.Gov  to learn more.,2017-11-15 16:33:22,117,17,930836130244722690
Watch my opening statement on response and recovery efforts following natural disasters. I’ve introduced the Good Samaritan Health Professionals Act which provides important protections for health care professionals to volunteer in the aftermath of a natural disaster.pic.twitter.com/kDTbZZCy0Q,2017-11-14 21:25:02,61,13,930547144406261766
