Text,Date,Favorites,Retweets,Tweet ID
Thank you!,2017-11-14 23:46:30,7,2,930582746002575360
Thank you,2017-11-14 23:45:52,1,0,930582585985597441
Thank you!,2017-11-14 23:44:25,3,0,930582220070322176
Thank you!,2017-11-14 23:44:01,4,1,930582120724037633
Thank you!,2017-11-14 23:43:47,1,0,930582060762386434
,2017-11-14 23:43:23,2,0,930581960103260160
Thank you!,2017-11-14 23:42:42,9,1,930581787641892869
,2017-11-14 23:42:28,8,2,930581728363798528
Thank you @Essence!https://twitter.com/essence/status/930483609743560705 …,2017-11-14 17:40:59,325,109,930490760289554432
"Ali Forney Center Honors Lady Gaga, Maxine Waters at Its Annual Benefithttps://hornetapp.com/stories/ali-forney-center-lady-gaga/ …",2017-11-02 12:34:22,30,12,926064944621244416
Calling Trump a moron was too complimentary. Let's ask Michael Che what he thinks!,2017-10-06 18:29:29,159,40,916369840016896000
Thank you!,2017-10-06 18:26:49,18,1,916369168588574720
Join me this Thursday during the @CBCFInc legislative conference for a discussion about #JeffSessions & his dangerous agendapic.twitter.com/P2p42hovbC,2017-09-19 13:10:02,50,26,910128853934313472
Join me & an all star panel for a special financial services braintrust during the @CBCFInc legislative conference feat. @diddypic.twitter.com/IEQB0c0rss,2017-09-18 21:35:09,195,67,909893581250449411
Join me & an all star panel for #YoungGifted&Black during the @CBCFInc legislative conference @VicMensa @Tip @MS_HUMMINGBIRD @davidbannerpic.twitter.com/0Y4voI3uJu,2017-09-18 21:30:51,61,36,909892499912654848
"Trump defends white nationalists, demeans women, pals around w/ Russians & attacks people of color & the LGBT community. He is deplorable!",2017-08-26 11:55:38,298,107,901412821992431617
"Trump labeling me an enemy in an ad means nothing! His only friends are white nationalists, David Duke, & Putin. He can keep his friends!",2017-08-26 11:54:28,325,110,901412525836820480
Thank you!,2017-08-16 13:39:08,2,1,897814988286345216
Thank you!,2017-08-16 13:38:49,7,1,897814906849722369
Thank you!,2017-08-16 13:38:35,1,0,897814849190678529
Thank you!,2017-08-16 13:38:09,6,2,897814740042301445
Thank you!!,2017-08-16 08:22:33,2,1,897735319554011136
Thank you!,2017-08-16 08:21:49,4,0,897735133658271744
Thank you!,2017-08-15 23:31:12,4,1,897601597022363648
Thank you!,2017-08-15 23:30:44,0,1,897601481066590209
Thank you!,2017-08-15 22:50:50,1,0,897591440074719232
Thank you!!https://twitter.com/essence/status/897519532742496262 …,2017-08-15 22:45:33,142,22,897590111474302976
Thank you!,2017-08-15 22:41:36,4,0,897589118472929280
"Thank you, Joy",2017-08-15 22:40:31,3,0,897588844781907968
Thank you @oureric!https://twitter.com/ellemagazine/status/897585461488758784 …,2017-08-15 22:30:38,52,9,897586357245063168
Thank you!!,2017-08-15 22:20:29,11,0,897583801387237376
Thank you!,2017-08-15 21:39:39,0,2,897573526231695361
Thank you!,2017-08-15 21:26:11,2,0,897570137259126785
Thank you!,2017-08-15 21:25:14,1,2,897569898393513984
Thank you!!,2017-08-15 21:14:10,4,0,897567112381607937
Thank you!,2017-08-15 21:13:56,1,0,897567054366101504
Thank you!,2017-08-15 21:13:38,1,1,897566978658914304
Thank you!,2017-08-15 21:13:30,1,0,897566944441712640
Thank you!,2017-08-15 21:13:07,0,0,897566851122601985
Thank you!!,2017-08-15 21:11:14,2,0,897566375853432832
Thank you!!,2017-08-15 21:10:59,0,0,897566311907184640
Thank you!,2017-08-15 21:10:35,0,0,897566210304245761
Thank you,2017-08-15 21:07:14,0,0,897565368574590976
Thank you,2017-08-15 20:16:43,15,1,897552655232282624
Thank you!https://twitter.com/essence/status/897519532742496262 …,2017-08-15 20:11:21,47,5,897551304775487488
Thank you!https://twitter.com/splinter_news/status/897495168533893120 …,2017-08-15 17:10:31,39,5,897505795700473856
"""When a person shows you who they are, believe them the first time.""https://twitter.com/msnbc/status/897423538763649025 …",2017-08-15 11:50:41,75,39,897425307635941376
Thank you!,2017-08-15 11:23:54,10,2,897418568316456961
#TeamMaxine,2017-08-13 22:22:12,1,0,896859460101996544
#TeamMaxine ,2017-08-13 20:34:11,0,0,896832276239200256
#TeamMaxine ,2017-08-13 20:11:18,0,0,896826518864842752
#TeamMaxine ,2017-08-13 20:09:57,1,0,896826176534085632
#teammaxine,2017-08-13 18:37:52,0,0,896803001775640578
Agreed. #Charlottesviillehttps://twitter.com/thehill/status/896801790292881408 …,2017-08-13 18:34:49,29,10,896802237032353792
This President will never attack Putin or white supremacists. He knows his base. A spokesman's statement is a cover & is not good enough.https://twitter.com/gabriellahope_/status/896744415141691394 …,2017-08-13 18:33:46,31,21,896801973856600065
 #teammaxine,2017-08-13 18:22:32,0,0,896799143389212672
 #TeamMaxine,2017-08-13 18:18:28,4,0,896798122793480192
 #TeamMaxine,2017-08-13 18:17:20,15,1,896797835215200257
 #TeamMaxine!,2017-08-13 18:16:32,6,1,896797633435627520
 #TeamMaxine,2017-08-13 11:58:24,1,0,896702475834621952
#TeamMaxine ,2017-08-12 23:49:35,2,0,896519062926352384
#teammaxine ,2017-08-12 19:25:23,0,0,896452575188398080
 #TeamMaxine,2017-08-12 17:59:16,0,0,896430902942851072
 #TeamMaxine,2017-08-12 17:58:51,0,0,896430794989764608
#TeamMaxine,2017-08-12 17:58:12,0,0,896430633488175104
#TeamMaxine ,2017-08-12 17:57:49,0,0,896430538613043200
Yes! #TeamMaxine,2017-08-12 17:57:31,0,0,896430460875792384
 #TeamMaxine,2017-08-12 17:57:07,0,0,896430362024456193
#TeamMaxine ,2017-08-12 17:56:48,0,0,896430279895777280
#teamMaxine ,2017-08-12 17:56:30,0,0,896430206730342400
#teammaxine,2017-08-12 17:56:09,1,0,896430118431850496
#teammaxine,2017-08-12 17:55:57,0,0,896430066917408772
,2017-08-12 17:44:45,0,0,896427250048016385
#Flashbackpic.twitter.com/dlXcr08EQo,2017-08-12 16:59:17,828,197,896415808225726464
"Maxine Waters Talks Shade, Receipts And Serving A Little Teahttp://amp.essence.com/festival/2017-essence-festival/auntie-maxine-waters-shade-resisting-trump …",2017-08-12 12:05:23,7,1,896341842815537152
Maxine Waters Is 'Taking Off The Gloves' On President Trump | ESSENCE https://youtu.be/ssUYtZNaw9o  via @YouTube,2017-08-12 12:04:26,8,0,896341603232747520
Maxine Waters's 6 Best Career Momentshttp://www.teenvogue.com/story/maxine-waterss-6-best-career-moments …,2017-08-12 10:58:43,228,80,896325065394069504
Maxine Waters Puts Stamp of Approval on 'Reclaiming My Time' Gospel Remix | http://Advocate.com https://www.advocate.com/music/2017/8/01/maxine-waters-puts-stamp-approval-reclaiming-my-time-gospel-remix …,2017-08-12 10:56:50,6,0,896324592138166278
Thank you! - MWhttps://twitter.com/womensmarch/status/894975399440125952 …,2017-08-12 10:55:23,8,0,896324226315153408
Thank you!,2017-08-11 21:02:59,0,0,896114745891110912
Maxine Waters Is More Than the Sum of Her Memeshttps://www.wired.com/story/maxine-waters-memes …,2017-08-11 18:26:50,179,74,896075452548173824
Maxine Waters Is Learning From Millennialshttps://nyti.ms/2uycuq4 ,2017-08-11 18:07:18,6,3,896070534567309313
@RuPaul Thank you!,2017-08-11 17:46:02,1,0,896065181989519360
Thank you!,2017-08-11 17:11:41,9,1,896056538762100738
I will not get distracted and I won't stop fighting until this lying President is impeached!pic.twitter.com/82uQrNfSIJ,2017-04-17 19:26:50,31,15,854053558186102784
#staywokepic.twitter.com/DySnuM6CMx,2017-04-17 19:21:59,15,6,854052339283619841
