Text,Date,Favorites,Retweets,Tweet ID
  Senate Republicans should vote down this fraud of a tax bill. https://twitter.com/SenFeinstein/status/936294091863855105 …,2017-11-30 21:17:14,8,6,936343385471930369
"It is unconscionable that Republicans would reduce benefits for seniors, who have earned their benefits after a lifetime of hard work, to support a tax plan that is skewed against the middle class. Senate Republicans should vote down this fraud of a tax bill. #GOPTaxScam",2017-11-30 21:09:23,8,5,936341410512621569
"By repealing the individual mandate, the bill would leave 13 million Americans without health insurance. It would also add $1.5 trillion to the deficit, triggering an automatic cut of $25 billion cut to Medicare next year. #GOPTaxScam",2017-11-30 21:08:58,4,4,936341306816843778
"As early as tonight, the Senate could vote on a tax plan that would not only be destructive for taxpayers in the Lower Hudson Valley, it would decimate the health care system as we know it. #GOPTaxScamhttps://www.vox.com/policy-and-politics/2017/11/29/16712430/senate-tax-bill-change-federal-health-care …",2017-11-30 21:08:37,5,6,936341219583709184
.@POTUS's retweet of anti-Muslim videos is not only indefensible - it betrays our values & could put our diplomats & military service in danger. #ThursdayThoughtshttp://www.cnn.com/2017/11/30/politics/trump-anti-muslim-tweets-warning/index.html?sr=twCNN113017trump-anti-muslim-tweets-warning0104PMVODtopLink …,2017-11-30 20:43:49,1,5,936334978354425858
"At a Homeland Subcommittee hearing, I called for adequate relief funding for U.S. states & territories that have suffered recently from natural disasters, & stressed importance of using assistance funding to mitigate the impacts of future disasters. WATCH:https://www.youtube.com/watch?v=bpT8iHHxovU …",2017-11-30 18:43:19,10,3,936304653066756096
"Allowing people to bring concealed weapons from states w/ looser gun laws into states w/ stringent gun laws like NY is dangerous & defies common sense. There have been MORE THAN 300 mass shootings in the US in 2017, & this is the response from Republicans?https://www.bloomberg.com/news/articles/2017-11-29/get-ready-for-concealed-guns-in-all-50-states …",2017-11-30 14:03:10,6,4,936234149526036481
"Proud to be an original cosponsor of H.Res.630, which passed the U.S. House today. This resolution is a much-needed first step toward improving accountability and preventing workplace harassment.pic.twitter.com/zbVodotEix",2017-11-29 22:55:00,15,5,936005600852488194
#GOPTaxScam = a tax increase for millions of middle-class New Yorkers.,2017-11-29 17:30:06,4,4,935923840433250305
"I’m deeply disappointed with this ruling. @CFPB should be outside of @POTUS’s influence, not overseen by a Trump political appointee.https://www.wsj.com/articles/judge-backs-trump-administration-in-fight-to-control-cfpb-1511907332 …",2017-11-28 22:37:15,66,49,935638749773516800
Legislation I have introduced would address serious economic and environmental concerns about #IndianPoint's pending closure. We must act now to ensure on-site safety after the closure and to mitigate against economic hardship on our communities.http://newyork.cbslocal.com/2017/11/23/closing-indian-point-costs/ …,2017-11-27 21:18:36,5,1,935256565661208579
"My deepest sympathies are with the Egyptian people.  We stand united against terror, and our thoughts are with the families of those affected in today's unprecedented attack.",2017-11-24 18:30:02,14,4,934126982413082624
"As a firm believer in an open internet, I'm troubled by FCC's plan to roll back #NetNeutrality, opening the door for companies to increase costs for consumers & restrict content.",2017-11-21 22:39:50,53,21,933102681844891649
"NY has 5.2K Haitian #TPS recipients. Ending TPS for them & other Haitians is not just heartless, it’s half-witted. Most troubling is Admin upending communities & tearing apart families who have lived legally in U.S. for years, paying taxes, buying homes, contributing to economy.",2017-11-21 18:47:03,7,8,933044100319862784
"Lowey bills aim to 'responsibly close #IndianPoint' 

http://www.lohud.com/story/news/local/indian-point/2017/11/20/indian-point-nita-lowey/881620001/ … @lohud @kr0618",2017-11-20 21:31:03,7,3,932722986683158531
"Today is #WorldChildrensDay! We are reminded that children around the world are the #VoiceOfTomorrow, and the decisions we make today will have a profound impact on them.pic.twitter.com/n4nmRalcWV",2017-11-20 21:04:33,15,9,932716318305980417
"Interested in learning about the bills I announced today to address concerns about the closure of Indian Point? Read my op-ed in @lohud: 3 bills support a safe, secure future beyond Indian Point.http://www.lohud.com/story/opinion/contributors/2017/11/20/nita-lowey-indian-point/876148001/ …",2017-11-20 20:49:00,6,4,932712402826813440
In Buchanan today to announce 3 bills to help address serious economic and environmental concerns about the pending closure of Indian Point nuclear power plant. Critical that we ensure on-site safety after closure and mitigate against economic hardship. http://bit.ly/2hQJ0PI pic.twitter.com/ubPWKiMyvp,2017-11-20 19:09:54,4,3,932687462169792512
Happening now!https://twitter.com/ADunneWAMC/status/932632148527472641 …,2017-11-20 16:14:39,6,0,932643359000268800
"Joined @RepMaloney, @RepPeteKing, & @RepJerryNadler to call on @USDOL to reconsider its stance on link between chronic lymphocytic leukemia (CLL) & 9/11 attacks. DOL is failing its obligation to sick 9/11 responders. http://bit.ly/2AQnNJA pic.twitter.com/dvZ4BySu3b",2017-11-17 20:33:09,29,16,931621249041788928
"The Republican tax plan is a scam, and four Republican members of the New York congressional delegation are in on it. More #ThursdayThoughts on House passage of #GOPTaxScam here:https://lowey.house.gov/media-center/press-releases/lowey-statement-house-passage-gop-tax-plan …",2017-11-16 21:28:37,16,7,931272822252433409
"VERY IMPORTANT read, especially for Lower Hudson Valley taxpayers https://twitter.com/garysternny/status/930945957633642497 …",2017-11-16 00:27:27,13,12,930955438753017856
"The #GOPTaxScam belongs in the trash, but since it’s #AmericaRecyclesDay…pic.twitter.com/WUq5ajGpDM",2017-11-15 16:19:34,160,64,930832658309046272
"Just when you thought the #GOPTaxScam couldn’t be worse, now 13 million fewer Americans will have health coverage. This bill is a bad deal for hardworking Americans.https://www.vox.com/policy-and-politics/2017/11/8/16623154/cbo-obamacare-individual-mandate-new-baseline …",2017-11-15 16:11:47,12,14,930830700080713729
"REPORT: New York facing second largest net tax increase in America under GOP tax plan

A vote for this tax scam is a vote to increase taxes on middle-class New York families.https://itep.org/house-tax-plan-offers-an-exceptionally-bad-deal-for-california-new-york-new-jersey-and-maryland/ …",2017-11-14 22:08:42,14,13,930558132388007936
My statement on reports that the Senate #GOPTaxScam will repeal the individual mandate:pic.twitter.com/kivnagOhcX,2017-11-14 20:58:13,9,5,930540394915532800
"NY's 17th District knows the #GOPTaxScam will have a devastating impact on middle-class families.

Out of 856 calls/emails/letters so far, 848 oppose, while only 8 support.pic.twitter.com/Ympdzej9DQ",2017-11-14 19:46:08,14,12,930522255712546817
"Tallied up calls/emails/letters to my office about the #GOPTaxScam. So far:

848 oppose the tax scam
8 support it

That’s 99.1% opposed.pic.twitter.com/QOO603cNz0",2017-11-14 18:31:24,237,118,930503448612823042
A vote for the #GOPTaxScam is a vote to increase taxes on middle-class New York families.http://westchester.news12.com/story/36831799/rep-lowey-gop-tax-plan-a-scam-bad-deal …,2017-11-14 17:58:33,6,2,930495179768979456
"New nonpartisan @TaxPolicyCenter analysis finds that under #GOPTaxScam, 36 million middle-class American households will see a TAX INCREASE in 2027. http://tpc.io/2jqKrVt pic.twitter.com/z4rnCrX2OW",2017-11-14 15:07:23,4,6,930452106179481608
"In my district, 45% of taxpayers who take the state and local tax deduction with an average deduction of more than $26,000 would be hurt under the #GOPTaxScam. http://westchester.news12.com/story/36831799/rep-lowey-gop-tax-plan-a-scam-bad-deal …",2017-11-13 22:53:07,8,6,930206924167106560
