Text,Date,Favorites,Retweets,Tweet ID
Congrats to #WheatonChristianGrammarSchool for being named a 2017 National #BlueRibbon school! http://wheatonchristian.org/connections/news-around-campus/wcgs-named-2017-national-blue-ribbon-school/ …pic.twitter.com/lnLl1ISHV2,2017-11-07 22:07:12,22,6,928021039451426821
I'll be introducing legislation to improve the Iran nuclear deal. Read more:http://freebeacon.com/national-security/congress-seeks-deadline-iran-accepting-tougher-nuke-deal-standards/ …,2017-10-13 17:53:23,25,26,918897470230450176
Please see my statement on the President's Iran announcement:https://roskam.house.gov/media-center/press-releases/congressman-roskam-statement-us-iran-policy …,2017-10-13 17:24:42,11,6,918890251388628992
Today. @sentomcotton and I urged full disclosure of Boeing-Iran Air deal to assist victims of Iranian terrorhttp://bit.ly/2xZ3sl0 ,2017-10-06 15:35:14,13,8,916325988061122561
Great news from @CMSGov. This is real reform that @repblumenauer and I have worked together to ensure!https://twitter.com/MedicareGov/status/908408511855546369 …,2017-09-14 19:16:48,9,10,908409212262404099
I applaud the Energy and Commerce Committee for moving the Independence at Home Demonstration extension which I coauthored with Rep Burgesshttps://twitter.com/HouseCommerce/status/908061000548614144 …,2017-09-14 14:08:49,6,3,908331707161608193
AG Sessions gives laminated hall pass for abusive bureaucrats. Did Loretta Lynch ever clear out her desk?https://twitter.com/waysandmeansgop/status/906221158726594564 …,2017-09-08 21:08:14,615,363,906262930118856704
"Read more about my letter sent with @RepAndyBarr , @RepLeeZeldin , & @davereichert-- http://freebeacon.com/national-security/iran-caught-shipping-soldiers-syria-commercial-flight-violation-nuke-deal/ … @Kredo0 @FreeBeacon",2017-08-23 21:38:08,12,15,900472248334680065
I wrote a letter urging U.S. to investigate Iran Air ferrying militants to Syria and to sanction terror-supportershttp://bit.ly/2vZybzf ,2017-08-23 21:34:06,32,23,900471232050737152
pic.twitter.com/PGC0xUo9ME,2017-08-16 13:29:35,109,36,897812586670030850
pic.twitter.com/yZMFGLGsje,2017-08-12 21:17:52,140,51,896480882537754624
"Congratulations to Carol Stream, Illinois on being named one of America's 100 safest cities. Thank you Carol Stream PD and Mayor Saverino.pic.twitter.com/M25b26FTsF",2017-08-12 20:53:01,19,8,896474625252708352
I visited @ILfoodbank to discuss serving our hungry neighbors. We talked about protecting #SNAP and #TEFAP. Thanks @ILfoodbank for hosting.pic.twitter.com/Ck1QJWe00q,2017-08-09 17:44:00,17,5,895339897501868032
I visited Hawthorn Woods to participate in a round table discussion on parks and recreation. Thank you to all those who contributed.pic.twitter.com/xbkPAijS34,2017-08-08 23:46:00,11,6,895068610296774657
I visited the Birches Assisted Living in Clarendon Hills to discuss ways to protect Social Security and Medicare for future generations.pic.twitter.com/J0BU95AFTX,2017-08-08 19:56:46,17,2,895010919545286656
This is great news!https://twitter.com/SecPriceMD/status/893099144369328128 …,2017-08-03 20:50:52,13,8,893212594349248512
Congratulations @bartlettil and @kevinawallace on being named one of the safest cities! Thank you @bartlettpd for keeping the community safepic.twitter.com/uSbw6TQsVR,2017-08-02 01:17:48,12,8,892554994515357697
"Yesterday, I was in #Algonquin with @David_McSweeney, @DanMcConchie and several others helping with the flooding in the area.pic.twitter.com/glzB3N20OO",2017-07-17 17:45:01,14,8,887005231862734849
Congratulations to @VillageofGE new police department. It is a well deserved addition for those who put their lives on the line for us.pic.twitter.com/0fdPYtXCSL,2017-07-17 14:24:17,8,5,886954713408827392
I had a wonderful time at @BAPS meeting his holiness and interacting with the Hindu community of the 6th district!pic.twitter.com/C71C2fDQxE,2017-07-16 02:10:09,54,22,886407577063567360
Thanks to Chairman Lawlor & Lake County Emergency Ops for vital flood update.pic.twitter.com/vuJKUgQfT3,2017-07-16 02:06:34,6,6,886406675313414145
I met with Mayor Nunamaker in Fox River Grove and also the Army Corps of Engineers in Algonquin to discussing the flooding.pic.twitter.com/yjvNusw3D4,2017-07-15 19:17:30,15,10,886303730060193792
