Text,Date,Favorites,Retweets,Tweet ID
"Astonishing. “By 2027, people making $40,000 to $50,000 would pay a combined $5.3 billion more in taxes, while the group earning $1 million or more would get a $5.8 billion cut.”https://www.nytimes.com/2017/11/29/business/republican-tax-cut.html?action=click&module=Top%20Stories&pgtype=Homepage&_r=1 …",2017-11-30 16:12:51,8,7,936266785694846976
This is not tax reform. It’s a tax cut for the wealthiest Americans that will add a whopping $1.5 trillion to the nation's credit card.https://www.nytimes.com/2017/11/27/us/politics/senate-tax-bills-potential-hurdle-republicans.html?hp&action=click&pgtype=Homepage&clickSource=story-heading&module=first-column-region&region=top-news&WT.nav=top-news&_r=0 …,2017-11-28 21:03:24,18,8,935615128023785473
Congratulations to Burke Ski Academy alum @MikaelaShiffrin on another first place finish at the Killington World Cup. 26 World Cup slalom wins at 22 years old! Incredible.http://digital.vpr.net/post/34000-watch-burke-ski-acadamy-alum-gold-medalist-mikaela-shiffrin-win-killington-world-cup#stream/0 …,2017-11-27 21:23:26,10,1,935257781690621953
".@AjitPaiFCC's proposal to gut #NetNeutrality is bad for consumers, good for big telecom, and detrimental to participatory democracy. A free & open internet is essential.https://www.nytimes.com/2017/11/21/technology/fcc-net-neutrality.html?hp&action=click&pgtype=Homepage&clickSource=story-heading&module=first-column-region&region=top-news&WT.nav=top-news …",2017-11-21 23:00:42,28,16,933107935395373062
"@AjitPaiFCC 's proposal to gut #NetNeutrality is bad for consumers, good for big telecom, and detrimental to participatory democracy. A free & open internet is essential http://nyti.ms/2znEtM5 ",2017-11-21 22:05:23,0,1,933094014647091201
Great catching up w/ Martha Rainville & Paul McHale at the @VTchamber Citizen of the Year award dinner!pic.twitter.com/8Nq3gGpp3e,2017-11-21 16:16:03,14,2,933006101146144768
Congrats to the @MiddAthletics Field Hockey team on its second NCAA Championship in 3 years!http://www.burlingtonfreepress.com/story/news/local/2017/11/19/middlebury-wins-field-hockey-championship/107860364/ …,2017-11-20 21:36:12,29,6,932724279829024768
Standing up for small farmers with House colleagues and @MichaelPollan. Essential that we put small farmers first in the Farm Bill. Thanks @repblumenauer for leading the charge.pic.twitter.com/fwwK0vfYTK,2017-11-16 21:08:22,63,16,931267726173265920
"“If you asked 435 members of Congress if they want to raise taxes on students, the answer for 435 members would be ‘No!’ This bill was written by and for the donor class. Let’s defeat this bill and stand up for the middle class.”pic.twitter.com/RMNRZv7wsL",2017-11-15 20:21:46,42,18,930893611679604736
The Lifeline program helps millions of Americans afford internet & phone service. Why on earth would @FCC want to slash enrollment by 70%? We need #LifelineForAll.,2017-11-15 19:04:54,18,10,930874266643558400
"Let’s do our best to protect the only planet we have. On #AmericaRecyclesDay, a reminder to recycle all day, every day.https://americarecyclesday.org/2017/11/02/america-recycles-day-marks-20th-anniversary-focuses-nations-attention-recycling-every-day/ …",2017-11-15 18:16:19,8,2,930862040679403529
Adding this to the bucket list...http://digital.vpr.net/post/team-cyclists-complete-12000-mile-ride-argentina-vermont …,2017-11-14 21:14:51,5,0,930544579136360448
".@realDonaldTrump may have recklessly declared a withdrawal from the Paris Climate Accord, but we are #Stillin. States, businesses & individuals across the country will move forward without him.pic.twitter.com/8B44uPjGl9",2017-11-14 20:41:11,34,10,930536108701749253
"Afternoon read: Inspiring story about the success of the @FarmVetCo in Vermont. Important, impactful program.http://digital.vpr.net/post/vermont-veterans-find-peace-and-purpose-soil#stream/0 …",2017-11-13 20:00:39,3,1,930163522121748482
My statement on President Trump’s choice of pharma exec to lead @HHSGov:pic.twitter.com/AnTX9LwkAY,2017-11-13 19:38:05,15,8,930157840425279488
Warmest October on record in Vermont and across New England. We need climate change action now.https://www.usnews.com/news/best-states/vermont/articles/2017-11-08/october-was-warmest-on-record-in-5-new-england-states …,2017-11-08 21:10:44,23,4,928369217140936704
"Nonpartisan @ITEPtweets says GOP tax plan would raise taxes on 17,000 working VTers by nearly $1k. Middle class needs relief, not tax hikes.pic.twitter.com/qClVRYBNIc",2017-11-07 20:10:28,21,17,927991661879275524
"#VT continues to lead the way in... Ultimate Frisbee! Great sport, great fun.http://www.vnews.com/Vermont-first-state-to-recognize--ultimate--as-varsity-sport-13578540 …",2017-11-07 19:58:18,4,2,927988600482000896
Vermonters seeking home heating assistance should call 1-800-479-6151 or visit http://dcf.vermont.gov/benefits/fuel-assistance …,2017-11-06 18:47:58,1,4,927608511827267584
Vermonters should not have to choose between heating their homes and feeding their families. http://www.vermontbiz.com/news/2017/november/03/vermont-congressional-delegation-announces-early-release-169-million-heating …,2017-11-06 18:47:37,25,6,927608427408486401
Peter’s response to the GOP tax plan released yesterday:pic.twitter.com/PT7TbujxwK,2017-11-03 20:05:59,6,2,926540985554952192
Our message to @realDonaldTrump was loud and clear: No first strike against NK w/o congressional approval. That's the law. #DiplomacyFirstpic.twitter.com/BhzTNBXJAm,2017-11-03 19:48:13,36,9,926536510828089346
"Standing in support of Charlie and David, a same-sex couple denied service because of who they are. Our businesses must be #OpenToAll.pic.twitter.com/RVYrYllenQ",2017-11-01 18:54:39,24,1,925798254419341314
Afternoon read: Vermont’s unique success dealing with the opioid crisis. Thanks to those on epidemic’s front lineshttps://www.vox.com/policy-and-politics/2017/10/30/16339672/opioid-epidemic-vermont-hub-spoke …,2017-11-01 18:12:00,9,3,925787523070218241
"Thanks to road crews, first responders, law enforcement and line workers working ‘round the clock. Stay safe!  #VTWinds",2017-10-30 19:49:26,26,4,925087265642221568
Peter’s statement in response to charges filed against three former Trump campaign officials:pic.twitter.com/W3VZsIjZ9m,2017-10-30 18:50:51,35,13,925072525108924416
"#GOPBudget is the height of fiscal irresponsibility, $1.5 trillion added to deficit to pay for a tax bill no one has seen.",2017-10-26 18:53:05,13,5,923623535175700480
"Late last night, Senate GOP overturned @CFPB rule protecting consumers from forced arbitration. Clear & outrageous gift to big banks",2017-10-25 20:54:46,10,5,923291769873186816
I stand with @billmckibben. Drilling in the Arctic Nat'l Wildlife Refuge would be disastrous for the environment.http://www.latimes.com/opinion/op-ed/la-oe-mckibben-arctic-refuge-20171023-story.html …,2017-10-25 20:02:46,38,15,923278683976163328
Open enrollment this year is Nov 1 - Dec 15. Make sure to #GetCovered and choose a plan that works best for you and your family.pic.twitter.com/eUoumJMzIx,2017-10-25 19:15:26,33,26,923266771137826817
"Today, along w/ @SenSanders & other colleagues, I introduced leg. that would require gov't to negotiate lower drug prices for seniors.pic.twitter.com/m0aFDOny0G",2017-10-25 19:02:40,22,10,923263560536547329
"Congrats to Sharyn and Tim—and, of course, Blexy—on the big win at the World Dairy Expo! http://www.vermontbiz.com/news/2017/october/17/vermont-farm-wins-top-prize-blexy …",2017-10-19 19:24:43,4,1,921094781090004992
"Had a great time visiting #TheQuirkyPet and hearing ideas to help small businesses thrive in VT. Made some new friends, too.pic.twitter.com/Ap5P0rE04P",2017-10-17 21:37:03,19,1,920403308426203136
Peter's statement in response to @realDonaldTrump's decision to end cost-sharing reduction payments:pic.twitter.com/z3QP4SX9QF,2017-10-13 19:59:47,21,8,918929280188534784
"Thanks to all Vermont farmers who work year round from dawn to dusk on over 7,000 farms. Happy #NationalFarmersDay. We appreciate all you dopic.twitter.com/6h5ElWoBGr",2017-10-12 19:16:03,22,6,918555884925718528
Not even a fair fight. Maple all the way…https://www.usatoday.com/story/money/2017/10/10/pumpkin-spice-vs-maple-fall-flavor-fight/747617001/ …,2017-10-11 20:34:49,49,8,918213317847547904
The opioid crisis is ravaging communities in VT & across the country. My four-part plan would help those on the front lines.pic.twitter.com/WI0n5IpCnM,2017-10-11 20:22:35,10,4,918210238393790464
This story defines Big Pharma chutzpah and their no holds barred strategies to jack up drug prices.http://www.marketwatch.com/story/rep-peter-welch-on-allergans-bold-brazen-bizarre-patent-deal-with-an-american-indian-tribe-2017-10-06 …,2017-10-10 19:18:51,8,8,917831813761990656
"Our nation comes together during crises. It is our proudest tradition. In PR & USVI, that tradition must continue. #OurFellowAmericans",2017-10-06 17:38:00,15,3,916356884453646336
"Stunning aerial footage of Jay, #VT foliagehttp://www.wsj.com/video/a-spectacular-aerial-view-of-vermont-fall-foliage/E06D4E2A-843E-412E-9992-3C6A94659B01.html …",2017-10-04 15:40:48,5,2,915602614380789761
"If we want to rebuild the American middle class, Trump-Ryan plan misses the mark by a country mile.http://digital.vpr.net/post/vermont-congressional-delegation-says-trump-tax-plan-favors-wealthy-people#stream/0 …",2017-10-04 15:15:59,18,4,915596366008737792
Joined with @MineWorkers @Sen_JoeManchin @SenCapito @RepMcKinley yesterday to protect pensions of hard-working coal minerspic.twitter.com/Yn9tAY69lv,2017-10-04 15:12:20,6,2,915595448060084225
My statement on the tragic shooting early this morning in Las Vegas:pic.twitter.com/eAEpP0R019,2017-10-02 19:35:33,18,5,914936915274735616
The Child Care for Working Families Act will provide much needed relief to families struggling to find and pay for quality child care.pic.twitter.com/uxRGfltcN9,2017-09-29 20:54:21,8,2,913869579675422722
"Two years ago, I toured WV coal country w/ @RepMcKinley. Coal workers have tough jobs. This week I caught up with @MineWorkers #respectpic.twitter.com/5qbLphOfqK",2017-09-29 16:51:13,4,1,913808392250159105
Thanks @billmckibben for leading the nation on the greatest challenge of our timehttps://www.vox.com/energy-and-environment/2017/9/29/16377806/mckibben-effect …,2017-09-29 16:26:33,4,4,913802184680189958
#VT continues to lead the nation on energy efficiencyhttp://aceee.org/state-policy/scorecard …,2017-09-29 16:20:02,8,2,913800547588886529
Welcome back to my friend @SteveScalisepic.twitter.com/S4Z2oV39cX,2017-09-28 14:41:23,15,3,913413333230944256
Prescription drug prices are out of control. Working with @RepCummings to investigate price gouging. @RealDonaldTrump must take action.pic.twitter.com/ukXRbIub59,2017-09-28 14:29:46,10,6,913410409717256192
"Congrats to #VT Principal of the Year, @SteveSperrin from Brattleboro Union HS. Thanks for all you do!pic.twitter.com/e2peIWWUuQ",2017-09-27 21:51:05,13,1,913159083859103745
"Time to send every possible resource to help PR, including military. Whatever it takes. Time is of the essence.https://www.nytimes.com/2017/09/22/world/americas/hurricane-maria-donate-charity.html?mcubz=1 …",2017-09-26 15:50:03,40,15,912705835880652801
Thanks to all who joined @RepAnnieKuster and me at our Town Hall last night. #vtpolipic.twitter.com/jmQzyw8Dr6,2017-09-22 18:57:34,4,2,911303476159893505
"Visited BDCC Ecovation Hub yesterday: great to see Windham County leaders charting a sustainable regional economyhttp://www.reformer.com/stories/welch-finds-post-vy-economic-development-update-reassuring,520031 …",2017-09-22 17:47:05,1,1,911285739291332608
Shanah Tovah to all who are celebrating #RoshHashanah in #VT and around the world!,2017-09-21 19:09:31,17,3,910944093362180097
Share your thoughts/concerns with me & @RepAnnieKuster at a town hall mtg in Hanover on Thurs night. Details below.http://www.vnews.com/Kuster-And-Welch-Hold-Town-Hall-12593907 …,2017-09-20 20:03:32,3,0,910595299227389953
"The fight to #ProtectOurCare isn't over. Under #GrahamCassidy bill, 87k #VT'ers would lose coverage. Unacceptable. #vtpolipic.twitter.com/vAhJJ5CKbW",2017-09-20 18:57:08,58,47,910578590265364480
"Thinking of folks in Mexico and all those in Hurricane Maria’s path. Un abrazo, and stay safe.",2017-09-20 14:44:42,13,1,910515063362064390
Big pharma continues to exploit ‘orphan drug’ loophole to detriment of rural hospitals. Life-saving drugs at stake.http://www.npr.org/sections/health-shots/2017/09/15/550179668/rural-hospitals-struggle-to-stock-expensive-drugs-that-could-save-lives …,2017-09-19 19:25:27,6,6,910223330099200001
"Immigrants & refugees contribute to and strengthen our communities every day. This week we say thank you, and welcome. #WelcomeWeek @CVOEO",2017-09-15 16:13:25,13,5,908725451882995712
Congrats to @SenSanders on #MedicareforAll bill. Proud to be a cosponsor of #MedicareforAll in the House #vtpoli,2017-09-13 20:19:58,45,5,908062722683744262
Thank you @ProtectWinters for leading the charge on such an important issue! Great meeting today on impact of climate change on outdoor rec.pic.twitter.com/VKva3ecsDp,2017-09-13 18:09:12,4,1,908029814946373632
"Grateful for the heroic work of all first responders, including those from #VT who put themselves in harm's wayhttps://www.usnews.com/news/best-states/vermont/articles/2017-09-12/vermont-swift-water-rescue-team-back-from-texas …",2017-09-12 19:41:48,10,2,907690727731351554
"I'm determined to help Juan and 800,000 #DREAMers remain in this country. We need their example & contributions.http://digital.vpr.net/post/despite-risk-uvm-medical-student-comes-forward-defend-daca-program …",2017-09-12 18:28:10,11,2,907672200399998976
.@CFPB with steps to protect your identity following the recent Equifax data breachhttps://www.consumerfinance.gov/ask-cfpb/what-do-i-do-if-i-think-i-have-been-a-victim-of-identity-theft-en-31/ …,2017-09-11 17:44:37,3,1,907298848921530369
Lake Champlain is the environmental crown jewel of our region. We must protect & preserve for generations to come.http://www.wcax.com/content/news/Welch-Stefanik-sponsor-amendment-to-restore-Lake-Champlain-funding-443246463.html …,2017-09-08 17:35:56,22,4,906209501392580612
Not your typical day at the office. Thank you @ServiceYear for stopping by. I agree—we cannot let @NationalService go extinct!pic.twitter.com/Klu23VDifc,2017-09-07 19:21:53,32,4,905873778634305536
To the DREAMers I met today: thank you for your courage and determination. I stand with you and will do all I can to pass the #DREAMAct.pic.twitter.com/Q09OQ36WRY,2017-09-06 18:14:06,56,6,905494332387545088
Deporting thousands of hardworking young people is cruel and stupid. Time for Congress to step up and #DefendDACA.http://digital.vpr.net/post/welch-calls-daca-reversal-outrageous-and-congress-pass-law …,2017-09-05 20:46:25,31,7,905170273061744641
"""By threatening to shut down the gov., he's putting at risk the financial well-being of the people of this county.""http://digital.vpr.net/post/juvenile-and-absurd-vermont-delegation-reacts-trumps-budget-threat#stream/0 …",2017-08-30 17:20:52,17,6,902944220742373376
Joined over 140 of my colleagues in sending a letter to @realDonaldTrump urging him to reconsider the baseless #TransBan,2017-08-29 17:26:27,91,24,902583236358021120
America has a tradition of helping whenever and wherever disaster strikes. VT benefited from that tradition 6 yr agohttp://rdcrss.org/2w9wuze ,2017-08-28 18:45:46,16,2,902240809801711618
"Congrats to Calais, #VT native Brennan Buck on his spectacular exhibition at the @smithsonian in D.C.!https://www.timesargus.com/articles/calais-natives-work-at-the-smithsonian/?cscache=150358031265brbbnjs8 …",2017-08-24 18:17:31,9,2,900784147924471808
Afternoon read. Combating climate change is the challenge of our time. American leadership is essential.https://www.nytimes.com/interactive/2017/08/23/climate/alaska-permafrost-thawing.html?_r=0 …,2017-08-23 16:52:07,17,4,900400270324191233
"5 years ago, thousands of young people stepped out of the shadows. Today, they are part of the fabric of America. #DefendDACA",2017-08-15 17:54:51,21,3,897516951991439362
This is not complicated militarily. The U.S. has overwhelming force. This is a question of diplomatic skill.https://vtdigger.org/2017/08/09/delegation-calls-trump-lead-us-missile-showdown/ …,2017-08-10 16:54:50,13,0,895689911336030208
"Thanks to all the @thevycc members working hard this summer to keep our state beautiful!http://www.reformer.com/stories/first-job-trailblazers-with-youth-conservation-corps,516048 …",2017-08-07 17:09:45,10,2,894606502039887872
Sad story. Hat tip to @Btvfire who acted swiftly to contain damagehttp://www.burlingtonfreepress.com/story/news/2017/08/03/fire-blazes-uvms-torrey-hall/535759001/ …,2017-08-03 17:09:49,7,1,893156966012420096
Great to join @GovPhilScott and VTrans in Brandon to break ground for Route 7 reconstruction #vtpolihttps://www.rutlandherald.com/articles/62-years-coming/ …,2017-08-01 16:13:42,9,2,892418069330632705
".@GreenMtnPower leading Vermont, leading the industry, leading the nation, congrats!https://www.nytimes.com/2017/07/29/business/energy-environment/vermont-green-mountain-power-grid.html?smid=tw-share …",2017-07-31 13:19:40,37,16,892011884815233025
Now is the time to work together to improve the Affordable Care Acthttps://www.nytimes.com/2017/07/27/opinion/health-care-obamacare.html?_r=0 …,2017-07-28 14:54:01,10,2,890948466083495936
"Don’t be fooled by #SkinnyRepeal, which for #VT’ers would mean spike in annual premiums and 32k fewer with coverage. #vtpolipic.twitter.com/ZtFNbsXkGi",2017-07-27 21:28:16,17,5,890685293992587264
Best wishes to my friend @SteveScalise as he begins this new chapter of his recoveryhttp://www.thegazette.com/subject/news/nation-and-world/rep-scalise-discharged-from-hospital-weeks-after-shooting-beginning-rehabilitation-20170726 …,2017-07-27 16:41:25,7,0,890613104018677763
Today we celebrate the 52nd Anniversary of #Medicare and #Medicaid - vital programs that are part of the fabric of Americapic.twitter.com/xrKMH4elnb,2017-07-27 15:43:48,22,3,890598602598494208
Shameful & disgraceful. To the thousands of transgender Americans serving in military: thank you for your service http://wapo.st/2w0hGzW ,2017-07-26 18:01:38,25,4,890270905527566338
Congrats to 11-year-old Chase Stokes of Ferrisburgh on the big catch! 33 pounds and 40 inches long—quite the haulhttp://bit.ly/2uTP5zh ,2017-07-25 18:19:28,4,0,889913005122740224
Clear message to @SpeakerRyan: let’s roll up our sleeves and get to work to stabilize and improve individual markethttp://bit.ly/2uW2vL2 ,2017-07-25 16:40:48,24,6,889888172976611332
"A disgraceful reminder that it's time to improve #ACA and expand health coverage, not take it away from millions.http://nyti.ms/2tE6e07 ",2017-07-24 18:30:28,16,5,889553382129709056
"Congrats to all who worked to make State Office Complex redev. project in Waterbury a national ""project of the year""http://digital.vpr.net/post/vermont-wins-national-award-rebuilding-state-office-complex-damaged-during-irene#stream/0 …",2017-07-24 17:34:37,13,0,889539329084751879
"Visited @ibexwool in WRJ, a socially responsible outdoor clothing biz whose owners and employees are passionate about the environment.pic.twitter.com/Y9U2wVGs8r",2017-07-21 19:57:12,12,0,888488047704068096
"Joined @RepAnnieKuster at LaValley Building Supply in West Lebanon, NH to discuss our plan to improve the #ACA.pic.twitter.com/a0ABXLqfgY",2017-07-21 19:46:59,14,3,888485476780445698
The #GOPbudget will fund tax breaks for the wealthy by slashing programs vital to our communities. Outrageous.http://lat.ms/2uvO7ZU ,2017-07-19 19:33:35,6,3,887757329663488000
Time to renew Northern Border Regional Commission which boosts econ. dev. in economically challenged counties in VThttp://bit.ly/2uJlmJS ,2017-07-19 19:18:01,1,1,887753409289486338
Time to work across the aisle to improve the ACAhttps://twitter.com/SenatorLeahy/status/887317925128015872 …,2017-07-18 16:39:21,22,6,887351093918932992
Congrats to @RabbitHillInn and @TwinFarms on being named top 30 hotels in world by @TravelLeisure! #VThttp://tandl.me/29tnb1X ,2017-07-18 16:17:59,5,1,887345716976377856
I’ve been working hard with my friend @RepAnnieKuster to improve the Affordable Care Act.http://bit.ly/2vaHiKN ,2017-07-17 20:05:23,31,6,887040557347983361
"Joined @SenatorLeahy, @SenSanders & @GovPhilScott this morning in highlighting importance of Medicaid in Vermont. This is bigger than party.pic.twitter.com/GiXcPitDkA",2017-07-17 18:26:50,80,30,887015752754221057
We can’t afford to scrap vital domestic programs to fund an already bloated defense budget. My objections:pic.twitter.com/QdhHF7RfCo,2017-07-14 19:00:33,21,5,885937077552119809
Small manufacturers have a hard time gaining access to the latest smart tech. We should make it easier for them.http://bit.ly/2uepWiE ,2017-07-13 18:07:40,4,0,885561378119053313
Meet the new bill. Same as the old bill. We won’t be fooled by #Trumpcare. Time to improve #ACAhttp://nyti.ms/2tjk8j7 ,2017-07-13 16:50:29,23,6,885541955568119808
It’s time to roll up our sleeves and improve the Affordable Care Act. Here’s my plan:http://bit.ly/2t3IBOl ,2017-07-13 15:43:28,14,3,885525091546800130
"Today on #NetNeutrality Day of Action, and every day that I represent #VT’ers, I will fight for a free and open internet.pic.twitter.com/QSRmkcXePZ",2017-07-12 15:00:39,17,3,885151929575276545
"Instead of repealing Obamacare and stripping 39k VT'ers of coverage, Congress should work to improve it.https://www.washingtonpost.com/graphics/2017/politics/obamacare-repeal-coverage-loss/?utm_term=.aa69ec7a279c&wpisrc=nl_health202&wpmm=1#50 …",2017-07-11 20:09:22,19,7,884867232785985536
