Text,Date,Favorites,Retweets,Tweet ID
"I'll be on the @KevinMillerShow at 7:30 am MT to talk about the possible government shutdown, today's @NatResources hearing on #geothermal energy, & other news.  Tune in here: http://kidotalkradio.com/  @kidoTalkRadio #Idaho",2017-11-30 14:00:23,3,4,936233451031851008
.@RealDonaldTrump continues to take bold action to make our government work better: His appointment of my friend & former colleague Mick Mulvaney as Acting Director of @CFPB is a smart move that I support. @MickMulvaneyOMB,2017-11-27 22:00:38,29,13,935267145818230785
Happy Thanksgiving! We have much to be grateful for on this uniquely American holiday. More in my newsletter: http://bit.ly/2A7b2vd pic.twitter.com/VGttqVr091,2017-11-23 17:15:40,18,6,933745879927865344
"It was a pleasure meeting Tanea Parmenter, the Auditing and Training Specialist for the #Idaho State Police. We had a terrific conversation on bills pertaining to Uniform Crime Reporting, Amber Alerts, and other missing persons issues.  @IdahoStPolicepic.twitter.com/mr0bGsQUlr",2017-11-21 15:37:50,5,2,932996484508905472
"It was an honor meeting Jeanette Davidson-Mayer, an #Idaho military spouse and the Caregiver Fellow at the @DoleFoundation. We must never forget those who sacrifice so much to keep us safe and free.pic.twitter.com/aQhuFV89P6",2017-11-20 18:01:56,23,9,932670360742453248
I'll be live with @BumpColley on @topstoryklix at 8:05 am MT. Topic: #taxreform. Tune in: http://newsradio1310.com/  #Idaho,2017-11-15 14:30:24,2,2,930805187043737601
"Congrats to Boundary County Library, @LibraryJournal Best Small Library in America: http://bit.ly/2jomG0k  Visit library: http://bit.ly/2mmBwp8 ",2017-11-13 18:28:12,9,3,930140255226925056
"On #Veterans Day, we pay tribute to those brave men and women who have  served our nation in uniform. On so many battlefields, over so many  generations, they have shown the true measure of American character.  More in my Labrador Letter:  http://goo.gl/9z76rm pic.twitter.com/T2fgNkDRjG",2017-11-11 16:29:11,27,8,929385528700567552
"This week, the House passed 14 bills to help #veterans on all fronts. I’m proud to support these bills because America’s veterans deserve the best: http://goo.gl/ro5FC9 ",2017-11-09 18:27:26,19,12,928690511866683392
"I'll be on @KBOI670 ""#Idaho Talks Live"" at 9:20 am MT to discuss #taxreform & my bill to aid young loggers. Tune in:http://www.kboi.com/ ",2017-11-09 15:41:58,5,1,928648868501303296
