Text,Date,Favorites,Retweets,Tweet ID
Three generations of Abraham hunters. Happy Thanksgiving!pic.twitter.com/R5j2HY68qr,2017-11-23 22:50:18,29,4,933830094090629120
Dianne and I are praying for our good friend Francis. He’s tenacious enough that he can beat this!https://twitter.com/greghilburn1/status/932974739768922112 …,2017-11-21 19:04:50,25,4,933048577949134848
"Hey #Louisiana, Congress just cut your taxes! #LA05 #TaxReformhttps://abraham.house.gov/media-center/press-releases/abraham-statement-tax-reform …",2017-11-16 18:53:26,13,3,931233768186269696
Enjoyed visiting with these students and parents from Woodworth before their tour this morning! #LA05pic.twitter.com/mIf7puvohk,2017-11-16 17:13:47,8,2,931208691130478594
"Barksdale's B-52s get modern makeover, Ft Polk protected from base closure list & Belle Chasse F-15 fighters will guard the Gulf Coast in a bulked up defense spending bill nearing President Trump's signature. This is a home run for Louisiana #LA05http://www.shreveporttimes.com/story/news/2017/11/15/rep-abraham-home-run-barksdale-fort-polk/866510001/ …",2017-11-15 17:51:26,9,1,930855779015544844
Miss Rosie was a good friend who served great food. Our entire office will miss her. #LA05http://www.thenewsstar.com/story/news/2017/11/14/miss-rosie-browns-landing-restaurant-dies/864151001/ …,2017-11-15 14:59:20,2,3,930812467546083328
"I voted to rebuild our military by increasing defense spending, raising pay for our troops, providing $$$ support to surviving spouses, preventing base closures & increasing troop levels. Our troops risk everything; they deserve the resources to succeed.https://abraham.house.gov/media-center/press-releases/abraham-supports-passage-defense-spending-authorization-bill …",2017-11-14 22:21:41,18,3,930561400531013632
"Today on Capitol Hill, we celebrated the 242nd birthday of the Marine Corps. Thanks to all the Marines who have fought to keep our nation safe!pic.twitter.com/VabvNoOa7n",2017-11-08 16:49:26,19,7,928303460218560513
Lies the left tells about #TaxReform are so blatant even their buddies at the Washington Post had to call them out.https://www.washingtonpost.com/news/fact-checker/wp/2017/11/02/senate-democrats-falsely-claim-gop-tax-plan-will-raise-taxes-for-most-working-class-families/?utm_term=.9d0bc6395e78 …,2017-11-04 16:00:02,5,3,926841475173961728
"Our skies belong to the taxpayers, not a corporate board of special interests. We need a long-term FAA bill that prevents #ATCPrivatizationpic.twitter.com/Po93hgkKBq",2017-11-04 12:15:04,11,5,926784863423700993
Home health got a big win this week...but the Tide better get ready for a loss! #LSU is ready to pull the upset! #GeauxTigers,2017-11-03 18:13:30,0,1,926512675676393473
"#TaxReform means more $$$ for lower, middle classes. It means growing economy, adding jobs and protecting retirement plans. #LA05pic.twitter.com/dYy4VCGpZe",2017-11-03 15:22:32,9,4,926469651764269063
I spoke w/ @talk1073 about the #OpioidEpidemic and our efforts to combat it. Hear our conversation here: http://talk1073.com/2017/11/01/a-doctor-and-congressman-weighs-in-on-potus-opioid-emergency-declaration/ … #LA05,2017-11-02 17:13:23,3,2,926135160155799553
"Heartbeats mean life. The Heartbeat Bill is common sense; if you can hear a baby’s heart, that baby is alive and shouldn’t be aborted.pic.twitter.com/iitWsqoaQa",2017-11-01 18:30:13,27,12,925792109487120386
I was proud to meet David Bailey of Capitol Police who was injured saving @SteveScalise this summer. Thanks David for your service! #LA05pic.twitter.com/dYMduZn9hX,2017-11-01 16:55:45,13,2,925768335568134149
Great mtg w/ Gen. Brito from Ft. Polk. We talked need for long-term budget bill to give military ability plan and be successful.pic.twitter.com/p62sU7GNX2,2017-11-01 16:04:49,6,3,925755515774398469
Good luck to Judge Terry Doughty as he begins confirmation process. He's exceptionally qualified and will make a great federal judge.https://twitter.com/GregHilburn1/status/925692876444651520 …,2017-11-01 15:12:47,6,0,925742420708470784
"#TaxReform is a process but it's a process that will result in stronger economy, more jobs & more $$$ in pockets of Louisiana families #LA05pic.twitter.com/cDJrcoVQt3",2017-11-01 15:03:10,6,5,925740003438800896
My prayers are w/ victims & families in New York in the wake of this senseless terror attack. Thanks to @NYPDnews for its swift response.,2017-10-31 21:11:54,2,3,925470409637679104
.@RepTerriSewell & I want to preserve home health for our seniors & people w/ disabilities. More about efforts here:https://abraham.house.gov/media-center/press-releases/abraham-sewell-lead-bipartisan-coalition-preserve-home-health …,2017-10-27 17:22:23,5,2,923963095801884672
"The House voted to strengthen sanctions against Iran. Iran is not our friend, and we must stop their missile program and funding of terror.",2017-10-26 15:36:25,37,3,923574043676168192
The House has passed a budget so we can move forward with #TaxReform. I believe we can get this done for America's working class families.,2017-10-26 15:16:20,11,1,923568987807633409
Thanks to @jeffcrouere for having me on Ringside Politics this morning. Hear our conversation near 2:31:00 mark http://wgso.com/podcast/ringside-politics-october-25th-2017/ …,2017-10-25 21:08:47,4,3,923295297463132160
My prayers are w/ victims & all of @Grambling1901. I'm confident Rick Gallot will lead students to healing & safety in wake of this tragedy.,2017-10-25 19:28:35,8,3,923270082846961665
"Alto, Archibald, Mangham, Rayville...As long as I'm in Richland Parish, I'm home. #LA05http://www.nola.com/politics/index.ssf/2017/10/where_does_ralph_abraham_live.html …",2017-10-25 17:02:24,10,5,923233293461540866
We need hearings to determine whether Mueller & team are impartial. The American people deserve accountability #LA05https://abraham.house.gov/media-center/press-releases/abraham-calls-hearings-bring-mueller-out-shadows …,2017-10-24 14:56:35,8,2,922839243772264449
Lake Providence port is critical to moving ag products from fields to market. I'm working w/ Corps to keep it open for business. #LA05pic.twitter.com/N7FRsZwf5K,2017-10-23 19:11:40,7,5,922541047091212288
"An honor to meet Harold Gournay, WWII veteran & former POW, at opening of new VA clinic in Lake Charles. Thank you for your service!pic.twitter.com/cqW0G8DNHY",2017-10-21 17:48:28,31,10,921795335319703552
A great tribute to Father Joseph Lafleur from @theadvertiser #LA05http://www.theadvertiser.com/story/opinion/2017/10/17/editorial-2nd-medal-seals-story-lafleurs-courage-faith/772457001/ …,2017-10-17 23:14:10,3,1,920427747704320000
"Jeremy, I'll take you with me when I take on Everest. @LaPoliticsNowhttps://twitter.com/lapoliticsnow/status/920304934448443392 …",2017-10-17 16:17:22,5,1,920322858571661312
Such an honor to award Distinguished Service Cross to family of WWII POW Joseph Lafleur - a great Louisianan and true American hero #LA05pic.twitter.com/Z8tlHzlD7q,2017-10-17 14:41:31,3,4,920298734902226945
Crop insurance and disaster recovery funding...these will be at the heart and soul of the #FarmBill2018 discussion. #LA05 #Agriculturepic.twitter.com/43tSzcurQB,2017-10-16 17:46:03,15,8,919982788568371200
What a game! Geaux Tigers! #LSU,2017-10-14 22:57:18,17,1,919336337685319681
Always great to come back to Death Valley. #GeauxTigers #LSUpic.twitter.com/83E7sB3bwc,2017-10-14 21:15:03,12,6,919310607886831617
I applaud @realDonaldTrump's comments today on the Iran deal. Iran continually proves it can't be trusted. It's time we treat them that way,2017-10-13 18:18:48,15,3,918903866242019333
Proud cosponsor of Pain-Capable Unborn Child Protection Act. Babies suffer during abortions. It's a cruel practice & I'm glad bill passed.,2017-10-03 22:05:27,22,7,915337025930366978
Proud supporter of Pain Capable Unborn Child Protection Act. Babies can feel pain during abortions; it's a practice that must end. #ProLifepic.twitter.com/P7vQobJoI4,2017-10-03 17:25:33,19,7,915266585933352960
My prayers are with the victims and families of the horrific shooting in Las Vegas.,2017-10-02 13:21:25,21,4,914842758761926657
Interested in the #FarmBill listening session but couldn't attend? A live stream is available here #LA05 #Agriculturehttps://twitter.com/lafarmbureau/status/913764124030627841 …,2017-09-29 14:04:34,4,0,913766456214646784
So inspiring to see my friend @SteveScalise literally walk into House after taking a rifle shot to the hip. He's proof God answers prayers.,2017-09-28 16:12:33,25,13,913436275847417856
Speaking w/ @RebeccaAdamsDC of @CQRollCall about how we can tackle obesity epidemic both through public policy and patient education #LA05pic.twitter.com/mD1q4HOdM4,2017-09-27 22:09:12,3,2,913163640236277761
"The work of the @NOAA_HurrHunter pilots and scientists saves lives, and it was an honor to fly along with them #LA05http://www.thenewsstar.com/story/news/2017/09/27/hurricane-hunting-congressman-flies-into-maria/707567001/ …",2017-09-27 17:13:02,20,4,913089108519550976
".@RepRussell & I sitting down w/ @AOPA to talk many reasons why there should be #NoPrivatizeFAA. Bad for rural US, bad for national securitypic.twitter.com/lUp3YfLETW",2017-09-26 21:25:38,4,6,912790287474466816
"I'll hear from top #Agriculture experts in LA about what works, what doesn't so we can draft best #FarmBill possiblehttp://www.theadvertiser.com/story/news/2017/09/26/calling-all-la-farmers-heres-your-chance-input-farm-bill/703083001/ …",2017-09-26 14:59:17,6,4,912693060856958976
Anybody who's worried about the next generation should look at these young men and be inspired. #LA05http://www.thetowntalk.com/story/news/2017/09/25/winnfield-players-carry-wwii-hero-final-march/701610001/ …,2017-09-25 21:13:43,26,16,912424903944675328
"An #LA05 WWII veteran died w/out any pallbearers, but 6 HS football players gave him hero's send-off. Their story: https://www.youtube.com/watch?v=_-PRJMfYZg4 …pic.twitter.com/gk6PxJX6Qh",2017-09-25 16:53:06,9,10,912359317952761859
Our flag is about more than politics; it's about veterans who risked everything for this country. Not standing disrespects their sacrifices.,2017-09-25 15:23:00,31,15,912336641687158784
Getting ready to chase #HurricaneMaria with @NOAA_HurrHunter @NOAApic.twitter.com/3DkvQvGzvL,2017-09-23 16:18:06,19,4,911625733998604288
"I'll consider 6-mth FAA extension bill, but ultimately we need long-term bill that keeps our skies out of corporate hands #NoPrivatizeFAA",2017-09-22 17:33:25,10,2,911282298800263171
Concerned about funding FAA? Support Senate bill & get it done 1 Oct. #NoGames #FundFAA1yr #NoPrivatizeFAA,2017-09-21 22:20:48,3,5,910992235239493632
"When others quit, @BillCassidy kept pushing. #GrahamCassidy last shot to end #Obamacare as we know it. My statement:https://abraham.house.gov/media-center/press-releases/abraham-urges-senate-pass-bill-cassidys-health-care-plan …",2017-09-19 19:31:10,56,25,910224767860473856
Thank you to all our Airmen who answered the call to serve!https://twitter.com/usairforce/status/909733754821795840 …,2017-09-18 14:39:03,7,0,909788867607318528
Happy Birthday to our favorite congressman! Went back to Mangham High football days for this one. Have a great day Doc! #LA05 - Staffpic.twitter.com/EwZZ7xUfsm,2017-09-16 13:01:15,36,13,909039479519891456
Even liberal think tank Urban Institute puts a $32 TRILLION price tag on Sanders' single-payer plan. It's a totally unrealistic proposal.,2017-09-13 18:35:19,11,5,908036385575186435
"When #HurricaneHarvey victims needed help, the Alexandria Mega Shelter answered. See my speech on their effort here:https://www.youtube.com/watch?v=9bXLvai1j8c&feature=youtu.be …",2017-09-12 15:33:44,4,2,907628301396709377
We can #NeverForget lives we lost on 9/11. It's a sad reminder that evil exists & means to tear us apart. Americans will not allow it to winpic.twitter.com/kOmFH8VrYA,2017-09-11 15:35:45,5,0,907266419628412928
Representative Ralph Abraham makes a stop at mega shelterhttp://bit.ly/2ewYCmc ,2017-09-04 14:07:05,20,6,904707390221819904
