Text,Date,Favorites,Retweets,Tweet ID
"Sign up for the newsletter today to receive our November update! 

https://adamsforms.house.gov/forms/form/?ID=1 …",2017-11-30 22:04:01,0,1,936355159197868032
"We're here to serve you! Drop by my district office on Wednesday, December 6th to meet my district staff and learn about open enrollment options. We look forward to seeing you there!pic.twitter.com/VQmEgbF1o6",2017-11-30 19:30:01,2,5,936316405863108615
The Senate is preparing to vote on the #GOPTaxScam that will impact all of us. Curious about what this will mean for your family? Join us for a town hall on Sunday to learn more & make your voice heard.pic.twitter.com/zUeLNKFY2i,2017-11-30 19:02:01,4,5,936309359860174849
Today is Shirley Chisholm's birthday! Rep. Chisholm is a #shero of mine who is remembered for speaking her mind and fighting for all Americans. #HBDpic.twitter.com/TZSJMimzzP,2017-11-30 17:22:00,22,10,936284189363597312
"""'The bottom line is that even today’s 65+ as well as those who turn 65 by 2027 who benefit initially may end up paying higher and ever increasing taxes soon thereafter,'"" the authors write.""http://bit.ly/2AoQNeM ",2017-11-30 16:45:24,6,4,936274976755372032
"The phones in my Charlotte office are still offline. Please contact my Washington, D.C. office for assistance. (202) 225-1510.",2017-11-29 19:19:00,5,1,935951244883120130
"We're here to serve you! Drop by my district office on Wednesday, December 6th to meet my district staff and learn about open enrollment options. We look forward to seeing you there!pic.twitter.com/hRSWxY55AM",2017-11-29 18:57:32,3,2,935945843638702080
There are just 16 days left to enroll in the #ACA for 2018. Don't wait! Visit my staff at Beatties Ford Library today for assistance.pic.twitter.com/5mFzZcaYNr,2017-11-29 18:35:01,7,13,935940173736456192
"37 of 38 experts agree that the GOP tax bills would cause U.S. debt to increase ""substantially"" faster than the economy. The 38th said he misread the question.http://wapo.st/2AhPazn ",2017-11-29 18:09:57,11,2,935933867109896195
There's a lot going on in Congress and in Mecklenburg County. Want to stay up to date? Sign up for my newsletter to get updates from my team. http://bit.ly/2mJKp8I ,2017-11-29 16:58:14,4,1,935915819296542722
Who pays for the $1.5 trillion the #GOPTaxScam adds to the deficit? Our kids and grandkids.,2017-11-29 16:45:02,5,4,935912497500049408
