Text,Date,Favorites,Retweets,Tweet ID
Today's announcement by @EPA on 2018 renewable fuel volumes under the #RFS is good news with room to grow. My full statement is available here: http://adriansmith.house.gov/press-release/smith-statement-final-2018-epa-renewable-fuel-volumes-rule …,2017-11-30 21:22:54,4,3,936344814026723328
So glad Andrea and Zeke joined me at the office for a little while this afternoon. It was Zeke’s… https://www.instagram.com/p/BcDTomIhPBQ/ ,2017-11-28 20:04:41,23,3,935600354703630339
"Zeke's first big holiday wore him out! Our family had a wonderful #Thanksgiving weekend, and we… https://www.instagram.com/p/Bb-13eMh-G_/ ",2017-11-27 02:27:33,33,3,934971928363667457
Wishing all Nebraskans a blessed #Thanksgiving. Hope you enjoy a great day with family and friends.pic.twitter.com/7GhYBSyWoZ,2017-11-23 16:22:15,7,1,933732436860702720
"There are many reasons to be #thankful this season! On this #Thanksgiving Eve, here are some of the things I'm giving thanks for: http://adriansmith.house.gov/wishing-nebraskans-blessed-thanksgiving …",2017-11-22 17:16:05,6,1,933383595003170817
"Thank you to Terri from Grand Island for stopping by our office today to deliver more than 15,000 cards for @RedCross #HolidaysforHeroes! Check out my website for info on how to join this effort to thank our men and women in uniform. https://adriansmith.house.gov/holidaysforheroes …pic.twitter.com/z6hinS0CYt",2017-11-21 19:11:01,5,2,933050132991393794
"If you need assistance from my office, I hope you will stop by the mobile office hosted by my staff today in Grant starting at 11 am MT. More information is available on my website: https://adriansmith.house.gov/press-release/smith%E2%80%99s-office-announces-mobile-office-hours-november …",2017-11-20 17:28:39,0,1,932661983069003776
"Today's historic vote in the House for a simpler, fairer tax code will lead to greater opportunity for generations to come. #taxreform https://adriansmith.house.gov/press-release/smith-praises-house-passage-tax-reform …pic.twitter.com/SsoQUCWRbt",2017-11-16 19:31:33,159,77,931243361884954625
Just met with President Trump on #taxreform before this afternoon's vote. We are all working… https://www.instagram.com/p/BbkKAyfhlf0/ ,2017-11-16 17:44:05,6,3,931216316375150592
"Simplifying our broken tax system is no easy task, but we know Americans need relief. Here's why we are voting on #taxreform today: http://www.yorknewstimes.com/editorial/tax-reform-moves-forward/article_e0bb5f14-ca50-11e7-8b4d-d368bf21b881.html …",2017-11-16 16:41:19,3,2,931200518571032577
The time for #taxreform is now. Joined many @WaysandMeansGOP members on House floor to highlight why we need to pass this pro-growth bill.pic.twitter.com/QbvDxPNMc5,2017-11-15 23:23:05,58,12,930939240875163648
Glad to talk w/ @GrayDCnews about #taxreform. A simpler code means saving more of your money & having more opportunity in a growing economy.pic.twitter.com/viPFjZcptf,2017-11-15 21:31:41,3,1,930911205836943361
"Two more Caseworker in Your Community events today in Hastings and Sutton, where you can meet one-on-one with a congressional caseworker to see how my office can help you cut through federal red tape. More info here: https://adriansmith.house.gov/press-release/congressional-caseworker-visit-kimball-sidney-hastings-and-sutton …",2017-11-15 16:08:18,0,1,930829821722136579
"ICYMI: @taxreformer on #taxreform bill → ""The evidence is clear – this legislation cuts taxes on Americans of all income levels rather than picking winners and losers as many tax plans have done in the past.""http://www.washingtonexaminer.com/grover-norquist-dont-believe-the-lies-tax-cuts-and-jobs-act-cuts-taxes-for-everyone/article/2639894 …",2017-11-14 17:39:42,7,5,930490436032057344
"In addition to this morning's Senior Services Fair in Scottsbluff, my staff will host Caseworker in Your Community events this afternoon in Kimball and Sidney. If you need help dealing with a federal agency, please stop by! #NE03pic.twitter.com/WrYIdJ82oQ",2017-11-14 15:00:59,4,5,930450495197581314
Reminder → My office will host our second Senior Services Fair tomorrow from 9 am to noon in Scottsbluff. More details are available on my website: https://adriansmith.house.gov/press-release/smiths-office-host-two-senior-services-fairs-0 …pic.twitter.com/RWtrSJ1i3V,2017-11-13 19:50:53,2,2,930161064397955073
