Text,Date,Favorites,Retweets,Tweet ID
"Next week, there will be a vote to impeach the Bigot-In-Chief. Our constituents expect us to eliminate, not tolerate, hate! #RepealandReplaceTrumphttps://youtu.be/ItfXf3e5Ozo ",2017-11-30 16:43:47,461,201,936274570264436737
Let’s give hate an expiration date. There will be an impeachment vote before Christmas. #RepealAndReplaceTrumphttps://youtu.be/qqVKxYAcok8 ,2017-11-29 16:14:58,796,332,935904929025282048
"Thankful for the incredible men, women, boys, and girls who donate their time to help serve Houstonians and make their Thanksgiving special. #HoustonStrongpic.twitter.com/yXXCoAAJKw",2017-11-23 17:24:45,215,41,933748166456901632
Commissioner @RodneyEllis and I are excited to join the City of Houston for our Thanksgiving Day Parade! Have a happy and safe Thanksgiving everyone!pic.twitter.com/eZhydGHRPu,2017-11-23 15:26:54,208,41,933718506629197824
"Earlier, @RepSenfronia and I met with the labor community to discuss ways to protect and improve workers rights in my district, in Texas, and across the nation.pic.twitter.com/3Fxa0hNUuO",2017-11-18 02:59:04,214,71,931718368255766528
https://www.politico.com/story/2017/11/16/white-house-disaster-aid-request-246522 …,2017-11-17 21:35:00,2,2,931636815609688065
"Mr. President, Texas requested $61B to support victims of Hurricane Harvey. How can you possibly think your $44B disaster aid request for all 2017 disasters in TX, FL, PR, & the VI is enough? This isn't how you make America Great again, this is how you let America down again.",2017-11-17 21:31:25,2937,1350,931635914077548544
See my floor statement on how the Senate GOP uses the Tax Bill to kick 13 Million Americans off of Healthcare. #GOPTaxScamhttps://youtu.be/g6aVTyIohMA ,2017-11-15 17:37:01,197,112,930852148476334095
"This morning on the House floor, I gave an explanation on how the impeachment process will proceed.https://www.youtube.com/watch?v=vzi7o0Qon7w&feature=share …",2017-11-14 21:44:54,643,255,930552144125710336
Let's honor all Veterans today and everyday. My sincerest thank you to the men and women of the United States Armed Forces. Happy Veterans Day! #VeteransDay,2017-11-11 12:31:52,647,184,929325802608570373
"This morning between 10am and 12pm, I will make an important announcement on the Floor of the U.S. House of Representatives.",2017-11-08 14:51:08,807,221,928273687253602304
The GOP tax plan is full of broken promises. Much more for the rich and MUCH MUCH less for the poor. #GOPTaxBillhttps://youtu.be/BEUKXr-hh10 ,2017-11-08 12:55:40,237,120,928244629509672960
Quoting Dr. King -- The greatest step a person can take is towards the polls on Election Day. -Dr. Martin Luther King Jr. #ElectionDaypic.twitter.com/CdvGMJHcKG,2017-11-07 18:14:47,325,144,927962551140438019
I extend my prayers & condolences to those affected by today's tragedy that occurred in a house of worship. #SutherlandSprings #PrayForTexas,2017-11-05 23:18:41,176,39,927314252943253504
THIS is how you drain the Trump Swamp! #ImpeachTrumphttps://twitter.com/nbcnews/status/927193709241884672 …,2017-11-05 16:40:44,493,164,927214106037440514
Congressman Al Green leads Alief International Parade in singing of the National Anthem. #CelebrateDiversity #Alief #HoustonStrongpic.twitter.com/rAHtUILpiI,2017-11-04 15:32:27,132,30,926834536587042822
"Congrats to the Houston @Astros, 2017 #WorldSeries Champions! Today we celebrate you! #EarnedHistory #HoustonStrong",2017-11-03 12:20:56,212,40,926423949235359744
"Do yourself a favor, enroll in ACA! The deadline for open enrollment for disaster areas ends on Dec 31st #GetCoveredhttps://youtu.be/xTc6Ar13W7I ",2017-11-01 17:57:46,252,194,925783940866199552
"Today, we’re all New Yorkers. I send my sincere condolences to those who are suffering & thank the first responders. INew York. #NYCStrong",2017-11-01 12:06:14,452,107,925695476061663232
Gen. Kelly there can be no compromise on slavery and there is no honor in fighting to preserve racism. #RobertELee #ImpeachTrumpAndKellyGoes,2017-10-31 18:00:28,1183,452,925422233337679874
