Text,Date,Favorites,Retweets,Tweet ID
"Happy #SmallBusinessSaturday! Be sure to #shopsmallbiz in your community today. Local diners, coffee shops, and mom & pop shops are some of my favorites.  #SmallBiz truly is the backbone of the  economy!pic.twitter.com/yjAgxFOVp4",2017-11-25 16:58:38,3,3,934466368258412544
"My family and I wish you and your loved ones a happy and blessed Thanksgiving!

This year, I am grateful for a loving family, and the opportunity to represent Florida's 5th District in Congress.pic.twitter.com/W9q41nKjaV",2017-11-23 18:40:22,21,1,933767195548581890
Why I voted agains the GOP tax plan #Sayfie #FLpolitics @Fla_Pol @politicofl @wjxt4 @FCN2gohttps://medium.com/@RepAlLawsonJr/gop-tax-bill-bad-for-america-f41fa14120d9 …,2017-11-16 20:31:30,4,2,931258448460775425
Why I voted against the GOP tax plan https://medium.com/@RepAlLawsonJr/gop-tax-bill-bad-for-america-f41fa14120d9 …,2017-11-16 18:35:53,23,13,931229351210897410
"The GOP tax plan would make dangerous cuts to medicare and many programs important to seniors, veterans, students, and the middle class .pic.twitter.com/Pdy01qdVSB",2017-11-16 14:22:42,5,5,931165636339945474
Thank you @PIJAC4PETS I am honored to accept this “#Pets’ Best Friend” award from the Pet Leadership Council.pic.twitter.com/dwhwd70r35,2017-11-15 20:55:40,3,2,930902142361235457
Today I filed two amendments to the tax reform bill to aid veterans who want to start their own small businesses and to help ease the burden of student loan debt on borrowers.,2017-11-14 21:57:46,7,5,930555383344713729
Should be back up and operational now.  Thanks for letting me know.,2017-11-13 22:30:25,0,1,930201210111647744
Thank you to those who have served this country honorably. It is only because of your service and dedication that we can say #WeThePeople. God Bless!  #VeteransDay2017 #VeteransDayWeekendpic.twitter.com/Iv4ynEwsAE,2017-11-11 13:26:23,5,3,929339522663448576
"This week I introduced the Veterans’ Agricultural Apprenticeship Act that will help our #veterans, who protected us at home and abroad, get the good jobs they need to thrive!https://lawson.house.gov/media/press-releases/lawson-bost-focus-veterans-hiring-agriculture …",2017-11-10 16:16:41,3,3,929019995115479043
Thank you to those who have served this country honorably. It is only because of your service and dedication that we can say #WeThePeople. God Bless!  #VeteransDay2017 #VeteransDayWeekendpic.twitter.com/g7C4teE4St,2017-11-10 14:49:51,5,3,928998140723826688
Very nice.,2017-11-07 20:50:26,2,1,928001721300930560
"Today, I had an opportunity to express the need for SBICs to increase technical assistance & opportunities for small minority owned firmspic.twitter.com/otl3Hqj3Xx",2017-11-07 20:48:57,3,3,928001348670550016
"With all Americans, my heart goes out to the families who lost loved ones in Sutherland, Texas today.",2017-11-06 01:05:15,5,3,927341072044392450
Did you know this year’s open enrollment is half the length of previous years? Visit http://healthcare.gov   & #GetCovered.pic.twitter.com/LjAnofE3IN,2017-11-03 18:47:34,0,4,926521247596515328
"Today, I requested funding for 11 flood and storm surge projects costing $79m to protect Jax from future storms",2017-11-02 14:43:33,5,6,926097455015432195
I'm about to testify before the House Transportation & Infrastructure Committee on Jax needs after Hurricane Irma https://transportation.house.gov/ ,2017-11-02 14:32:40,3,4,926094716093034496
My thoughts are with the people of New York City this morning and the victims  of this cowardly act.,2017-11-01 14:26:45,7,3,925730835571118080
"@RepDarrenSoto , and I, wrote Gov. Scott to ask him to help those still incurring Irma expenses & need food #sayfiehttp://floridapolitics.com/archives/248368-al-lawson-darren-soto-urge-rick-scott-seek-suspension-food-stamps-time-limit …",2017-10-31 18:28:55,2,1,925429392532230149
"Floridians who don't have health insurance, or want a new plan, may select coverage that begins on Jan 1, 2018 via http://Healthcare.gov pic.twitter.com/EGUdw6I2Am",2017-10-30 20:32:34,5,7,925098124074471425
#Sayfie #FLpolitics @Fla_Pol @politicofl @wjxt4 @FCN2gohttps://twitter.com/RepAlLawsonJr/status/923654217553924096 …,2017-10-26 21:20:21,0,0,923660597916585986
U.S. Rep. Lawson statement on the passing of Sen. Arnett Girardeau https://medium.com/@RepAlLawsonJr/lawson-statement-on-the-passing-of-senator-arnett-girardeau-feb80afaf76e …pic.twitter.com/wTNHSl6dKD,2017-10-26 20:55:00,3,4,923654217553924096
My letter to @BetsyDeVosED will ensure that we have the data we need to support our next gen of college students http://bit.ly/2glUUge pic.twitter.com/iCArOILjLP,2017-10-19 20:28:15,2,2,921110770317971458
I sent a letter to @BetsyDeVosED asking the @usedgov to begin assessing food insecurity on college campuses  http://bit.ly/2glUUge pic.twitter.com/zJR6n09m6Z,2017-10-19 20:19:15,2,2,921108505360240640
"Today, I introduced the Veterans Armed for Success Act that will help our returning military personnel transition into the workforce",2017-10-17 20:41:18,4,4,920389276097007617
#FannieLouHamer #FannieLou100https://twitter.com/BennieGThompson/status/916314799516061696 …,2017-10-06 18:26:01,11,13,916368964560867329
"Republican Budget Would Provide Tax Cuts for Wealthy at the Expense of Working Families

Why I voted against it:https://medium.com/@RepAlLawsonJr/lawson-republican-budget-would-provide-tax-cuts-for-wealthy-at-the-expense-of-working-families-1ab3ca719207 …",2017-10-05 19:51:18,1,2,916028041003978753
October is National Breast Cancer Awareness Month. Standing by those in our communities who have been affected.  #BreastCancerAwarenesspic.twitter.com/ImSDC6bbo4,2017-10-05 14:58:24,4,5,915954328980029440
Great meeting w/@SenAudrey2eet & Rep @kamiabrownfl45 on the importance of having women in government and elected office. @WomenLegisLobbypic.twitter.com/xaBg1e1zU5,2017-10-04 14:12:36,7,3,915580414869344256
I just published “A Message to DREAMers from Rep. Al Lawson Ahead of October 5 DACA Renewal Deadline”https://medium.com/p/a-message-to-dreamers-from-rep-al-lawson-ahead-of-october-5-daca-renewal-deadline-fd537badda0c …,2017-10-03 21:08:46,1,2,915322758015471616
"Happy 130th Birthday to my alma mater @FAMU_1887 from my fellow alum, Rep. @kamiabrownfl45 & I. #FAMU #WeBraggDifferent @FAMUNAA pic.twitter.com/iYlVs3SgWw",2017-10-03 18:24:56,42,11,915281530871799808
"I am saddened by the mass shooting in Las Vegas this morning. My thoughts and prayers are with the victims, families, and first responders",2017-10-02 14:01:14,6,5,914852780774428673
"I just published “Rep. Lawson, Senator Gillibrand Bill would Reduce Hunger & Poverty among Nation’s Seniors and…”https://medium.com/p/rep-lawson-senator-gillibrand-bill-would-reduce-hunger-poverty-among-nations-seniors-and-517f8e8a80e1 …",2017-09-27 19:56:59,6,2,913130367590322178
I agree.https://twitter.com/RepValDemings/status/912362858654179328 …,2017-09-25 18:00:22,2,1,912376243827482629
"Proud to stand with the @AmerMedicalAssn, America’s doctors, in opposing the disastrous #GrahamCassidy bill.",2017-09-20 20:45:00,2,0,910605735159058432
Instead of repealing the ACA and kicking millions off their #healthcare Democrats and Republicans should work together to improve the law.,2017-09-20 20:44:45,4,0,910605672609456133
"I visited with relief workers in Jacksonville, this morning, and assemble food packages for those in need after #HurricaneIrmapic.twitter.com/EOzTWzayzb",2017-09-14 20:19:33,10,5,908425006404788224
Preparing to talk live with @wolfblitzer at @CNN 5 p.m. about damage following #hurricaneimra,2017-09-11 21:02:39,1,2,907348688514764801
