Text,Date,Favorites,Retweets,Tweet ID
It is time we get Congress working again and hope my Senate colleagues will advance the twelve spending bills we have already passed in the House which fund our government in a way that reflects the priorities of the American people. @freedomcaucuspic.twitter.com/M3encSEU4P,2017-11-30 20:47:10,21,10,936335821824806912
Always great to welcome my friends from the @WVaChamber to Washington. Great discussion about the importance of tax reform and bringing good-paying jobs to West Virginia.pic.twitter.com/XQYiG7FPnb,2017-11-29 21:25:38,10,1,935983113313964032
"I joined Marshall University 
@MarshalluPres on tour of their new Marshall Health facility in Teays Valley. I was very impressed with the staff and glad they are open and providing these medical services to the Kanawha Valley.pic.twitter.com/euZq8goCag",2017-11-29 17:24:24,2,0,935922405696065536
Recently toured the businesses in the Elkview area that were impacted by the closed bridge. I am glad the bridge was fixed and these businesses are open again in time for the holiday season.pic.twitter.com/aty5EBdhIu,2017-11-28 17:03:22,3,1,935554723482144769
"Very glad the @EPA is in Charleston today hearing directly from West Virginians about how the so-called ""Clean Power Plan"" will hurt the coal industry and destroy jobs! #wvpol",2017-11-28 15:42:26,2,1,935534357430833153
Glad that the Consumer Financial Protection Bureau (CFPB) has such a strong leader in charge during this transition period. @MickMulvaneyOMB will do a fantastic job steering this agency that is in desperate need of new leadership.,2017-11-27 20:33:00,9,2,935245091333115909
Happy Small Business Saturday! West Virginia is bless with so many great businesses. Recently toured several in Putnam County. #SmallBusinessSaturday #shopsmallsaturdaypic.twitter.com/Z2NXd5hSqb,2017-11-25 14:38:19,13,4,934431058371674112
I had another great tax reform roundtable with the @PutnamChamber. Great discussion about how the Tax Cuts and Jobs Act will bring Jobs to Putnam County!pic.twitter.com/JrMZKnoZxx,2017-11-24 19:45:00,4,2,934145848740630529
"Happy Thanksgiving! 

I spent some time earlier this week with @_MealsOnWheels in Charleston delivering meals to seniors in Charleston. 

Hope everyone takes some time to give back this holiday season.pic.twitter.com/EDn9AA5OgC",2017-11-23 18:25:19,13,4,933763408092155904
Met with Putnam County firefighters to discuss federal grant opportunities for fire stations. Thank you to all of our brave men and women in the fire service. #wvpol #wv02pic.twitter.com/8DBkvD52WV,2017-11-22 18:36:14,8,5,933403766380007424
Great speaking to business and civic leaders at the @Rotary Club of Charleston. Thanks for all you do to help the local community.pic.twitter.com/P9wWVwfiZw,2017-11-21 23:37:59,10,3,933117318590107648
Tune in for @WVTonight with @DanThorn_ to hear an update on the Tax reform bill working its way through congress. #wvpol #wv02pic.twitter.com/hSm9lMMVKm,2017-11-21 21:58:06,4,1,933092179026747392
