Text,Date,Favorites,Retweets,Tweet ID
Talofa! Today's hearing outlined shared challenges the territories face together. A great discussion with USVI Gov Mapp and PR Gov Rossello.Read more: https://www.facebook.com/aumuaamata/posts/2016138182009088 …pic.twitter.com/Z1TlNtB3Kn,2017-11-14 23:05:56,7,3,930572537452552194
On Veterans Day Amata recognizes Veterans and their families | Samoa News https://shar.es/1PTPez ,2017-11-11 21:22:20,4,2,929459298899546112
"Watch the Congressional Western Caucus Weekly Address by Rep. Aumua Amata - Oct. 28, 2017 https://youtu.be/5O-GEb5NcSI  via YouTube",2017-10-30 19:43:36,1,1,925085800928366592
Talofa! I attended (with Mr. Pascua) the beautiful Gold Medal ceremony honoring Filipino veterans. Read about it! https://radewagen.house.gov/media-center/press-releases/amata-welcomes-congress-s-highest-honor-filipino-veterans-world-war-ii …pic.twitter.com/qGcBe4llV5,2017-10-27 19:40:58,2,2,923997971422896128
Talofa! Good news...a veterans hearing we requested will be scheduled to examine health care challengeshttps://radewagen.house.gov/media-center/press-releases/amata-welcomes-plans-pacific-territories-veterans-hearing …,2017-10-27 17:36:17,2,1,923966594388197376
Rep. Aumua Amata one-minute House floor speech on American Samoa's workers losing paychecks through Thanksgivinghttps://youtu.be/mBjhx2FCAOA ,2017-10-25 20:31:32,1,1,923285921474203648
Watch Congresswoman Amata discuss American Samoa at hearing with the VA Secretary https://youtu.be/FTRnN3Y6hYU  via @YouTube,2017-10-25 20:25:18,1,1,923284355736309761
"Talofa! This week, I focused attention on American Samoa's veterans in a hearing on upcoming legislation https://radewagen.house.gov/media-center/press-releases/amata-focuses-telehealth-and-access-needs-questions-va-secretary …pic.twitter.com/bbyMonbkeV",2017-10-25 20:23:43,1,1,923283954786021377
Talofa! Today I spoke on the floor of the House to raise awareness of the hardships facing American Samoa's workers https://radewagen.house.gov/media-center/press-releases/amata-speaks-house-floor-highlight-needs-american-samoa-s-workers …pic.twitter.com/oeCSTqydpr,2017-10-24 22:06:26,2,2,922947417175183360
"Talofa! We have another Town Hall today, see you there. It's so good to be home in American Samoa!https://radewagen.house.gov/media-center/press-releases/amata-hosts-town-hall-meetings-week-update-constituents …",2017-10-19 17:16:31,1,1,921062517681610752
"Talofa! If you're not getting my newsletter yet, it's easy to sign up here in time for the next onehttps://radewagen.house.gov/contact/newsletter …",2017-10-19 17:12:54,0,1,921061606129328128
Proud of all who serve!https://twitter.com/USNavy/status/918803117327704065 …,2017-10-13 12:35:48,5,1,918817547813883905
"Happy birthday to the @USNavy! ...In 1775 on this day, the Continental Congress established the first official naval forces.",2017-10-13 12:33:33,7,2,918816978181218309
"Talofa! Today, I chaired a hearing titled Fostering Women's Entrepreneurial Success. Read more here: https://www.facebook.com/aumuaamata/posts/2001335110156062 …pic.twitter.com/4Jntsve1pk",2017-10-12 20:54:59,2,1,918580780179361792
Talofa! I wrote a letter with Rep.Sablan and Rep.Bordallo to @HouseVetAffairs and @VetAffairsDems Read my PR here: https://www.facebook.com/aumuaamata/posts/2001320640157509 …pic.twitter.com/buIlp6BLjn,2017-10-12 19:54:43,1,1,918565616730230790
