Text,Date,Favorites,Retweets,Tweet ID
"We need to ensure VA doctors and employees who endanger veterans are removed, held accountable, and not allowed to be put in positions where they can hurt more veterans and patients. Read more in @starsandstripes: https://www.stripes.com/gao-va-health-leaders-failed-to-protect-patients-from-inept-doctors-1.500144 …pic.twitter.com/tbyiz6Bznk",2017-11-30 22:18:51,3,2,936358892199665666
"I was sexually assaulted nearly 40 years ago working in Congress - change is long overdue. #MeToo We need to address sexual harassment in all workplaces, on college campuses, in our military, & communities across the country and the halls of Congress can be no exception. #NoMorepic.twitter.com/45u6ridClC",2017-11-29 21:37:13,124,45,935986026107023360
House passage of Law Enforcement Mental Health& Wellness Act is important step toward improving mental health services for law enforcement members who work in extremely difficult circumstances. Including responding to fatal overdoses due to #OpioidEpidemichttps://kuster.house.gov/media-center/press-releases/kuster-applauds-passage-of-the-law-enforcement-mental-health-and …,2017-11-29 18:47:40,6,2,935943361042812928
Great to see @KenBurns at the @librarycongress last night discussing his documentary the Vietnam Warpic.twitter.com/V5cEckGhR7,2017-11-29 18:28:35,7,2,935938555930660865
"Sexual assault has lived in the shadows too long, shrouded by the stigma placed upon survivors. But the tide is turning. Survivors are saying in one loud voice that we will not be silent anymore. #MeToo #NoMore #ShatteringTheSilence. Read more in @HuffPosthttps://www.huffingtonpost.com/entry/metoo-its-time-for-change_us_5a1d9e80e4b00c8a328dc50c?c68 …",2017-11-28 21:09:02,32,13,935616548210868224
In 1986 #TaxReform passed Senate 97-3 & was very bipartisan in the House. Why are @SenateMajLdr & @SpeakerRyan committed to pushing through #GOPTaxScam along party lines? R's & D's should work together to pass real tax reform that benefits middle class families & small businesses,2017-11-28 15:32:53,537,274,935531953234894848
"At @VRHealthcare this AM to announce the hospital is receiving a $19.4 million @usdaRD loan. This will help the hospital continue to provide excellent care & expand access to addiction treatment, which is critical as we address the opioid epidemic.  https://kuster.house.gov/media-center/press-releases/kuster-joins-valley-regional-hospital-officials-to-announce-194-million …pic.twitter.com/YjySHWSany",2017-11-27 22:10:58,4,3,935269747092082688
A very special thank you to the men and women who are away from family serving overseas this Thanksgiving. We are all incredibly thankful for our veterans and those who protect our nation.,2017-11-23 14:55:27,27,5,933710594049544194
"From my family to yours, have a healthy and Happy Thanksgiving, and safe travels to those who are going elsewhere to celebrate. Enjoy this special time with friends and loved ones!",2017-11-23 14:00:05,26,4,933696661431431168
To spur economic growth #TaxReform should put more money in the hands of middle class families. The #GOPTaxScam won't create the growth they claim. Trickledown economics has been tried and failed.https://www.washingtonpost.com/news/business/wp/2017/11/20/house-gop-tax-plan-would-fall-1-3-trillion-short-of-paying-for-itself-study-finds/?utm_term=.e5ad14e93b14 …,2017-11-22 17:57:17,13,11,933393966485164032
Appreciate the thoughtful coverage of @elisewho on this important issue. The growth of the #MeToo campaign is helping other survivors of sexual harassment and assault know they are not alone.https://twitter.com/elisewho/status/933368325681434624 …,2017-11-22 16:28:19,22,6,933371574824120323
Yesterday I spoke with @elisewho about the #MeToo Congress Act & the importance of the national dialogue taking place around sexual harassment & assault. The collective voices of survivors are #ShatteringTheSilence and saying #NoMore. Listen on  @npratchttps://www.npr.org/2017/11/21/565767030/new-hampshire-rep-on-me-too-bill-addressing-sexual-harassment?utm_campaign=storyshare&utm_source=twitter.com&utm_medium=social …,2017-11-22 14:33:29,16,8,933342675658530819
#NetNeutrality is fundamental to maintaining a level playing field on the web for small businesses and consumers. My statement on plan by @AjitPaiFCC to repeal Obama-era regulations that maintain net neutrality:pic.twitter.com/FGy8ONPtTM,2017-11-21 21:31:15,23,8,933085421705277447
"Kicking off the 32nd annual Toys for Tots campaign with @SenatorShaheen, @SenatorHassan, @GovChrisSununu, @MayorTedGatsas and @MarForRes at @ShopMallofNH. Thank you to everyone involved for continuing this program of giving and cheer during the holiday season.pic.twitter.com/9umEPo6unr",2017-11-21 17:27:57,15,6,933024195235237888
"ICYMI: Last week, @SenatorHassan & I spoke about how the #GOPTaxScam would benefit corporate special interests at the expense of middle class Granite Staters. We need real #TaxReform that supports hardworking families & small biz. More in @NashuaTelegraph http://www.nashuatelegraph.com/news/local-news/2017/11/18/hassan-kuster-speak-out-against-gop-tax-plan/ …",2017-11-20 22:06:32,16,6,932731914980659200
"In Lebanon discussing how #GOPTaxScam doesn't just benefit corporate special interests & wealthiest individuals at expense of middle class families, it also eliminates credits promoting renewable & alternative energy which creates jobs, grows economy, & protects our environmentpic.twitter.com/Ik3uaibc4c",2017-11-20 20:11:20,29,15,932702925285150721
"Adoption can change the lives of children and families! If you or someone you know is considering adopting one of the 110,000+ children in US foster care waiting for a home, visit http://www.nationaladoptionday.org  for more info. #NationalAdoptionDay",2017-11-18 23:25:20,18,7,932026968836640769
W/@SenatorHassan & @JimDonchess outlining the ways the #GOPTaxScam would hurt hardworking Granite State families. New Hampshire deserves real #TaxReform that puts the middle class & small businesses first - not corporate special interests.pic.twitter.com/miTuEMnluW,2017-11-17 19:15:07,21,12,931601611306209280
