Text,Date,Favorites,Retweets,Tweet ID
"Today on the House floor, I recognized a few of the hardworking business leaders being celebrated by the @LubbockChamber this week. Congrats to Danny Soliz, Kathy Timms, Chris Lonngren, Bayer CropScience – FiberMax, and Shara Konechney! Thank you for your leadership!pic.twitter.com/73ofBOSQLU",2017-11-29 18:04:54,4,1,935932596101533698
"We cannot continue to increase our borrowing capacity every time we hit the #debtceiling, without some countervailing action to address our deficit and debt!pic.twitter.com/pdEutXNpgl",2017-11-29 16:24:17,12,3,935907276539531264
Congrats to Kliff and the Red Raiders on their big win in Austin!  Our defense was as good as I’ve seen in a long time. #GunsUp!!https://twitter.com/texastechfb/status/934290558142550018 …,2017-11-25 06:57:04,19,1,934314980278722560
"May God bless your time with family and friends, and may He comfort our troops who are away from their families through the holidays.

“Give thanks to the Lord, for He is good; His love endures forever.” Psalm 106:1",2017-11-23 19:19:22,6,1,933777009301446658
"Happy Thanksgiving from our family to yours! My list of things to be thankful for is endless, but I want y’all to know that I thank God every day for the opportunity to serve our great country and represent the people of West Texas.",2017-11-23 19:18:53,11,1,933776887670812672
"If you would like to watch the hearing, please click here -->http://bit.ly/2A7U8PV ",2017-11-17 23:10:38,1,1,931660881779412992
I’m grateful to all who participated in today’s @HouseVetAffairs hearing at @TexasTech. Our takeaways from this hearing will help us empower veterans w/ the education & training necessary to compete for the best jobs & enjoy the greatest quality of life.pic.twitter.com/24Egd4Lf1H,2017-11-17 23:09:58,9,2,931660714938380289
"We have some of the highest quality educational & transitional opportunities for veterans right here in West Texas & I am proud to be able to highlight them today! 

Watch our field hearing at @TexasTech LIVE starting at 2pm CT: http://bit.ly/2zau0Uv https://twitter.com/HouseVetAffairs/status/930148062537887745 …",2017-11-17 16:19:28,4,3,931557410409500672
"Today we are one step closer to changing the current economic trajectory of this country & restoring freedom & opportunity for all hardworking American families. 

Now it’s time for the Senate to deliver on our promise & give the American people a break & our economy a boost.pic.twitter.com/vbmVZ88RUv",2017-11-17 00:08:40,11,2,931313098119630848
"As we celebrate the 76th #NationalBibleWeek, may we always remember the impact the Bible has had on this country & on our democracy, may we govern according to its timeless precepts & principles, & may God bless these United States of America.pic.twitter.com/7i2LCKfKgx",2017-11-15 14:34:16,30,15,930806158557716480
"For all of us elected to represent ""We the People,"" ensuring that the men and women who served us have the care they earned is our battle, and we must fight ceaselessly until that objective is reached.http://www.reporternews.com/story/opinion/2017/11/11/jodey-arrington-put-our-veterans-first/851836001/ …",2017-11-12 20:16:36,7,2,929805148263780353
It was a blessing to celebrate the service of West Texas veterans at the Silent Wings Museum's annual Veterans Day ceremony today. Our veterans sacrificed so much and it's my hope that today they feel the appreciation and support of a grateful nation.pic.twitter.com/8KvMFDUHlU,2017-11-11 21:50:18,14,2,929466339525263362
"Happy Veterans Day to our men and women who have sacrificed and served so bravely. You represent the very best of our American values. We are the most powerful, most prosperous, most generous and the most free nation in the world because of you. God bless our veterans! pic.twitter.com/oEj869O4nc",2017-11-11 17:03:01,13,4,929394042202411008
"Thank you, @USMC, for 242 years of service and sacrifice #SemperFidelispic.twitter.com/eTsJf8gof5",2017-11-11 01:24:15,5,2,929157793562660864
Thank you to our state elected officials who championed legislation to make this possible.,2017-11-10 23:39:36,2,2,929131458102521856
"Trooper Jonathan McDonald lost his life in the line of duty roughly 7 yrs ago, leaving behind his wife, Laura, & a young daughter. Today, Garza County dedicated a portion of Hwy 84 to his memory so that all who pass are reminded of his service & dedication to our community.pic.twitter.com/e1qqOmW8Y6",2017-11-10 23:39:19,21,6,929131386300223490
Thanks to All Saints Episcopal School for the opportunity to join your Veterans Day Assembly this morning. It's great to see young West Texans honoring and appreciating our nation's heroes!pic.twitter.com/zq5IW3G56S,2017-11-10 14:41:07,7,3,928995943852240896
"I’m holding a telephone town hall focused on tax reform TONIGHT at 6:10pm CT!
To join, sign up here → http://bit.ly/2iDXsXR pic.twitter.com/IK0dVqRgJq",2017-11-08 14:42:32,4,5,928271525752348672
"There was a lot to discuss, including a number of bills we are working on to improve services for our veterans as well as tax reform, which will allow our working and middle-class families to keep more of their hard-earned money and, ultimately, enjoy greater job opportunities.pic.twitter.com/gCAy0V5q9y",2017-11-07 22:18:01,0,0,928023763270201346
I was honored to join the @HouseGOP Leadership press conference this morning as a member of the @HouseVetAffairs Committee and a voice for rural America. Watch here ↓pic.twitter.com/AXdgSkbBzb,2017-11-07 22:15:33,40,17,928023141770723333
