Text,Date,Favorites,Retweets,Tweet ID
"It is #NationalAdoptionMonth and I believe that every child and teen needs a family, no matter what. 
https://beatty.house.gov/media-center/announcements/congresswoman-beatty-joins-in-celebration-of-national-adoption-month …pic.twitter.com/1zuG3sK3S8",2017-11-30 22:49:28,6,0,936366599937904641
The #GOPTaxScam bill puts the wealthiest Americans first. There has to be #ABetterDeal that helps ALL Americans!,2017-11-30 20:33:01,19,16,936332257685630977
BREAKING: @AARP warns #GOPTaxBill will be disastrous for older Americans. Read more --> https://www.cnbc.com/2017/11/30/aarp-opposes-senate-tax-bill-calls-medicare-cuts-troubling.html … #DoBetter,2017-11-30 19:00:01,20,21,936308853213401089
"FACT: 91,000+ jobs have been sent overseas since @realDonaldTrump was elected. Highest rate of jobs lost to outsourcing in 5 YEARS.https://www.washingtonpost.com/news/posteverything/wp/2017/11/29/a-year-ago-trump-promised-carrier-workers-help-were-still-waiting/?tid=ss_fb&utm_term=.039038d790df …",2017-11-30 17:54:54,39,52,936292466952720386
"Great morning with @OhioState 
Buckeyes this Morning. #OH #BuckeyesOnTheHillpic.twitter.com/JUEo7jw2ik",2017-11-30 17:00:27,14,3,936278766783008768
".@realdonaldtrump’s tax promises undercut by CEOs-->
https://www.bloomberg.com/news/articles/2017-11-29/trump-s-tax-promises-undercut-by-ceo-plans-to-reward-investors …
#NotOnePenny #BrokenPromises",2017-11-30 16:09:48,0,3,936266016899944448
ONE MONTH REMAINING to submit your Service Academy nomination NOW. Due date: 12/31/2017 ->https://beatty.house.gov/ServiceAcademyNominations …,2017-11-30 14:30:00,2,1,936240904498831360
Celebrate Rosa Parks Day in Ohio with me. RSVP to Statewide Tribute -->https://beattyforms.house.gov/forms/form/?ID=3232 …,2017-11-29 19:51:00,7,3,935959297774772224
.@realdonaldtrump's twitter use is not normal. #FYIhttps://www.nbcnews.com/politics/donald-trump/president-trump-retweets-anti-muslim-videos-posted-far-right-u-n824836 …,2017-11-29 18:07:15,33,7,935933188479901696
"DON’T miss your chance to #GetCovered! Enroll for ACA by  December 15, 2017.pic.twitter.com/tUsFdx0SPf",2017-11-29 17:46:30,6,6,935927968165191681
