Text,Date,Favorites,Retweets,Tweet ID
Congratulations to Allison Zhang from Elk Grove for earning the Congressional Award for her outstanding public service in our community! #EarnedItpic.twitter.com/1jahXMWrn7,2017-11-29 22:55:27,9,3,936005716158107648
Thanks to American River College for giving me the chance to hear from students and educators. Listening to you is my most important job!pic.twitter.com/fTgoR3CoC8,2017-11-29 01:50:44,8,3,935687439875760129
Our local food banks do a tremendous job serving our community. Glad to hear the latest from the Twin Lakes Food Bank in Elk Grove on how they’re helping make sure that no local family goes hungry.pic.twitter.com/krhMNTQuAk,2017-11-26 20:25:05,7,3,934880710447521793
It’s Small Business Saturday- Remember to support our local small businesses today and shop small! #SmallBizSaturday #ShopSmallpic.twitter.com/8nnfhRyk2D,2017-11-25 17:01:04,7,5,934466980559671299
Great to get back to my roots as a doctor and drop by Kaiser Permanente Medical Center to see how they’re working to improve health care in our region.pic.twitter.com/MyeyfyVzs0,2017-11-24 18:45:06,28,5,934130775934558208
Happy Thanksgiving to you and your family!pic.twitter.com/GzLGNdJOxD,2017-11-23 17:01:51,18,4,933742404410249216
"Great to drop by the Elk Grove Senior Center and catch-up with local seniors being served by Meals on Wheels. Thanks to Meals on Wheels, more than 2,000 seniors in our community receive a nutritious meal and fellowship every weekday.pic.twitter.com/x6qeSIM2Oa",2017-11-23 00:10:05,14,4,933487785079648256
"It was good to get an update from the folks at the Cordova Food Locker and see the wonderful job they're doing serving our community. As we approach Thanksgiving, it’s important to make sure that everyone in our community is cared for.pic.twitter.com/DwntvNaRDI",2017-11-22 21:00:25,8,3,933440051102527488
"[Picture is circa 1970-1971, while Sal was serving in Cam Ranh Bay, Vietnam] 8/ END",2017-11-22 02:04:32,3,1,933154199096803328
"If you think you may need help, please call my office at (916) 635-0505 or visit http://bera.house.gov/gethelp  to learn more. We’ve helped return more than $4.5 million in owed benefits to local taxpayers and we’d be honored to help you, too. 7/",2017-11-22 02:03:39,4,2,933153976349966337
"As a doctor who has helped care for veterans, I know how much our vets sacrifice for our country – it’s critical we are there to support these heroes. 6/",2017-11-22 02:03:00,6,3,933153810247282689
"It turned out that while Sal was approved for his back-pay, the VA had never actually sent his benefits. My office contacted the VA about expediting Sal’s benefits and the situation was resolved within a month. 5/",2017-11-22 02:02:25,3,2,933153663832526848
"During this second treatment period, the VA had not yet provided Sal with his back-pay benefits, adding to his stress. As the bills mounted, Sal contacted my office to help with his VA disability claim – we got right to work. 4/",2017-11-22 02:01:29,5,3,933153430893465601
"Unfortunately, Sal later received tests that his cancer had returned. It was a very stressful time for Sal and his finances.",2017-11-22 02:00:37,3,1,933153212076404736
He decided to use his Department of Veterans Affairs benefits to pay for his medicine and started responding positively to treatment. 2/,2017-11-22 01:59:55,3,1,933153036951785473
"Thread: Meet Sal, an Army veteran and Carmichael native who served during the Vietnam War. He was diagnosed with prostate cancer related to his exposure to Agent Orange. 1/pic.twitter.com/a25ot5iAiX",2017-11-22 01:59:18,14,6,933152881414250497
"My most important job is listening to you. Thanks to everyone who came to my Town Hall yesterday in Elk Grove. If you couldn't make it, please always feel free to contact me to ask your questions: https://bera.house.gov/contact pic.twitter.com/jAuKGpkgdS",2017-11-19 21:37:08,5,9,932362126429171713
"Need help? My staff will be at the Elk Grove library on Tuesday from 10AM to noon to help you with backlogged veterans’ benefits, Social Security and Medicare issues, stalled tax refunds, and more. Learn more and RSVP: http://bit.ly/2hEJPHQ pic.twitter.com/kPlMrPichF",2017-11-19 19:35:42,4,4,932331567594303490
"Middle class families deserve tax reform that helps them get ahead. Instead, the Republican tax bill takes us backwards. I voted NO for the #GOPTaxPlanpic.twitter.com/TAEA8Nj6rE",2017-11-17 21:37:15,35,12,931637380200660993
"Honored to help welcome Jason McAlister, from @SMUDUpdate, to Washington to lead a discussion on jobs, education, and vocational training. Great panel – learn more about it here:http://bit.ly/2jxkHqE ",2017-11-17 03:42:03,1,2,931366798531973120
Remember: Hosting a Town Hall this Saturday so I can hear directly from our community about what matters most. RSVP:http://bit.ly/2hBbsF5 ,2017-11-16 01:10:06,12,6,930966170060156929
It’s always a pleasure when @PPMarMonte drops by the office – we’re ready to fight for women’s health care! #StandWithPPpic.twitter.com/FcWmcJRpOc,2017-11-15 22:53:28,19,10,930931785344651265
I’m hosting a Town Hall this Saturday to hear from Sacramento County! Learn more and RSVP here: http://bit.ly/2hBbsF5 pic.twitter.com/JnKuF5rAT8,2017-11-15 02:49:07,22,9,930628701766680576
Need college financial aid? Cash for College Workshop tomorrow at Monterey Trail High School in Elk Grove from 6:00PM to 8:00PM. Learn more and RSVP:http://bit.ly/2yB3wXV ,2017-11-14 02:30:49,2,1,930261710799327232
"It’s Open Enrollment for Covered CA, our state’s health insurance marketplace. See how you can #GetCovered:http://bit.ly/2i6IUk6 ",2017-11-12 19:55:04,8,8,929799729235546113
"We were able to help Richard, a Vietnam War veteran from Elk Grove. Can we help you? http://bera.house.gov/helpforvets  #VeteransDaypic.twitter.com/brGhnONuwr",2017-11-11 19:42:26,15,9,929434160061669376
"Thank you, veterans. #VeteransDaypic.twitter.com/fHRhWOPNhr",2017-11-11 19:09:47,11,4,929425945223626753
"As we come together to commemorate #VeteransDay tomorrow, please know my office is here to serve our heroes however we can:http://bera.house.gov/helpforvets ",2017-11-11 02:33:24,8,7,929175194601705473
Please call us at (916) 635-0505 or visit http://bera.house.gov/helpforvets  to learn more. 10/ [END] #VeteansDay,2017-11-10 19:48:18,2,3,929073248591077378
"As we come together to commemorate #VeteransDay tomorrow, please know that my office is here to serve our heroes however we can. 9/",2017-11-10 19:47:35,3,2,929073068407951360
It was the least my staff and I could do after Virgilio’s service to our country. 8/ #VeteansDay,2017-11-10 19:46:42,1,1,929072847389065216
Including the tens of thousands of dollars in benefits he was owed. 7/ #VeteansDay,2017-11-10 19:46:11,1,1,929072714807152647
"That’s when he contacted my office for help. With our help, he began receiving his benefits within a few weeks -- 6/ #VeteansDay",2017-11-10 19:45:30,1,2,929072544212283393
"For two years, he contacted the VA repeatedly and was told to wait while his bills continued to pile up. 5/ #VeteransDay",2017-11-10 19:44:55,1,1,929072396363010048
"But for 2 years, Virgilio did not receive the disability benefits he’d been promised by the Department of Veterans Affairs. 4/ #VeteransDay",2017-11-10 19:44:04,2,3,929072182541602816
Virgilio was ready for a well-deserved retirement in Elk Grove. 3/ #VeteransDay,2017-11-10 19:43:26,2,2,929072022797332480
After serving his country in the Air Force for more than 22 years on Active Duty & for 10 years in the Air Force Reserve 2/ #VeteransDay,2017-11-10 19:42:45,2,1,929071851682304000
"Thread: Today, I want to share a story about a Sacramento County veteran named Virgilio. 1/ #VeteransDaypic.twitter.com/QHboP941Ig",2017-11-10 19:41:54,10,4,929071636921442304
"This #VeteransDayWeekend, I was honored to present WWII veteran Glen Stout with his lost medals. Thank you, Glen, for your years of service.pic.twitter.com/h5zAGQgb2k",2017-11-10 18:32:32,8,4,929054179800289280
Great to meet with Astronaut Jack Fisher – he just returned to Earth last month after a 136 day space mission!pic.twitter.com/oVOj2SmS2l,2017-11-07 22:13:44,10,3,928022684344209408
"Need help? My staff will be at the Sylvan Oaks library tomorrow from 10AM to noon to help w/ vets benefits, Social Security, and more.pic.twitter.com/gNIP8bXWE5",2017-11-06 22:38:33,8,6,927666540354396161
Tune in now to MSNBC for my take on President Trump's visit to Asia -- security and increasing economic partnerships.pic.twitter.com/yxQr5IyNzf,2017-11-06 15:30:20,6,1,927558776777068544
Honored to discuss how we can empower women & girls around the globe w/ former First Lady Laura Bush & Afghan First Lady Rula Ghani.pic.twitter.com/TpH9OsqMpK,2017-11-04 19:07:36,9,2,926888677661380608
A woman’s health decisions should be between her and her doctor – not her boss or D.C. politicians. #HandsOffMyBC #WomensHealth #TrustWomenpic.twitter.com/yXfFUYgfVi,2017-11-02 22:05:45,103,44,926208735160229889
Open Enrollment begins today! See how you can get health insurance for 2018 or a plan that works better for you: http://www.coveredca.com ,2017-11-01 21:18:59,19,11,925834579532972032
"Hope everyone has a great time trick-or-treating tonight. From my family to yours, #HappyHalloween!pic.twitter.com/yUKFUMJHt8",2017-10-31 17:54:26,39,3,925420716207624193
Introduced new bill to boost our cybersecurity infrastructure and protect our energy grid. Learn more:http://bit.ly/2zUY9CZ ,2017-10-30 22:03:31,12,7,925121011862900738
"As a doctor, I can’t emphasize enough how important it is to get your flu shot. Find a FREE Sac County flu clinic: http://bit.ly/2xTvtZJ pic.twitter.com/KPtdkkt7ex",2017-10-29 17:30:13,25,16,924689845942931457
Remember- Today is #TakeBack day! Drop off your expired & unused meds: https://bera.house.gov/drugdropoff https://twitter.com/RepBera/status/923308032729210880 …,2017-10-28 16:20:43,5,4,924309965820579840
Don’t forget - #TakeBack day is tomorrow! Drop off old meds tomorrow to help address our opioid epidemic:http://www.bera.house.gov/drugdropoff ,2017-10-28 00:35:04,8,9,924071985059192833
#FlashBackFriday: Dropped off old meds on #TakeBack Day. The next Take Back Day is tomorrow! Find locations: http://www.bera.house.gov/drugdropoff pic.twitter.com/OxQZtYE0uv,2017-10-27 21:38:11,3,6,924027470944317442
Proud to support Protect Access to Birth Control Act to reverse Pres. Trump rule that lets bosses deny women birth control. #HandsOffMyBCpic.twitter.com/YdX2Skt8rn,2017-10-26 21:04:51,42,12,923656696760881152
Dropped off unused prescriptions to help get the word out for Saturday's upcoming #TakeBack Day! Drop off yours: http://bera.house.gov/drugdropoff pic.twitter.com/5mtYKTozVl,2017-10-25 21:59:23,13,7,923308032729210880
I recently got my flu shot – have you gotten yours yet? Get your flu shot for free through Sacramento County: http://bit.ly/2xTvtZJ pic.twitter.com/DUc9yLhFql,2017-10-24 20:55:51,19,5,922929656533266433
"Need help? My staff will be at the Fair Oaks library tomorrow from 10AM - 12 noon to help w/ vet benefits, tax refunds, Medicare, and more.pic.twitter.com/rYrRU2mmPv",2017-10-23 19:13:47,2,5,922541580845813761
Thinking about our firefighters & all impacted. If you or anyone you know needs help visit:http://www.disasterassistance.gov ,2017-10-21 19:22:19,5,5,921818950895366146
National #MammographyDay is an important reminder for women & their DRs to talk about early detection. Learn more: http://bit.ly/2yVoaFU ,2017-10-20 21:24:25,14,4,921487290832183297
"October is Domestic Violence Awareness month. If you or someone you know needs help, please call this number below.pic.twitter.com/rEKMUjNHWl",2017-10-20 01:05:50,12,15,921180626161668096
Birth control is health care. I oppose President Trump’s new birth control policy & want to know your views: http://bit.ly/2gibBfZ pic.twitter.com/wU3eOjXwxM,2017-10-19 01:58:51,20,4,920831578829402112
