Text,Date,Favorites,Retweets,Tweet ID
"This isn't about good faith differences in political philosophies. This is about lies vs. truth.
 
Trump & Republicans claim the #GOPTaxScam will pay for itself and isn't a windfall for the very rich at the expense of working Americans.
 
They are lying.https://www.nytimes.com/2017/11/29/business/republican-tax-cut.html?_r=0 …",2017-11-30 21:36:56,25,18,936348343881682944
The #GOPTaxScam “could widen American economic inequality while diminishing the power of local communities” https://goo.gl/s5hRDP pic.twitter.com/LqICr7Qaie,2017-11-30 20:56:35,4,13,936338189521965059
I had an enlightening meeting yesterday with members of Canada's Parliament on NAFTA negations. America needs to be strengthening our partnerships with our allies that move us all towards modernization.pic.twitter.com/nmKeCDcqdz,2017-11-30 20:44:45,3,1,936335211167715329
This Administration continues to mislead the public in an effort to advance an agenda that puts corporate interests over people. We must defend #NetNeutrality to have a free and open internet.https://twitter.com/mclyburnfcc/status/936281077999599616 …,2017-11-30 18:17:29,16,11,936298151996248064
"""—especially in high-tax states like California and New York, which, not coincidentally, tend to vote Democratic.""",2017-11-30 16:28:52,2,2,936270818270728192
"""The result is a behemoth piece of legislation that could widen American economic inequality while diminishing the power of local communities to marshal relief for vulnerable people""",2017-11-30 16:28:30,2,3,936270726100934657
"The sad and harsh realities of the harrowing #GOPTaxScam are going to negatively impact generations to come.
https://www.nytimes.com/2017/11/29/business/republican-tax-cut.html …",2017-11-30 16:27:47,4,5,936270544835620864
"Who pays for the $1.5 TRILLION that the #GOPTaxScam adds to our deficit? 
Teachers 
Seniors
Veterans
Students
People with Disabilities
People with Chronic Illnessespic.twitter.com/hSH0MVjSw3",2017-11-29 16:34:30,15,19,935909847119343616
"Great conversation with @thehill's @mollyhooper on my Surface Transportation & Public Area Security Act. We need to ensure that our buses, trains, and transportation corridors are as secure as our airplanes.pic.twitter.com/CSpVaVEYKu",2017-11-29 16:21:22,15,7,935906540120309760
It cannot be said enough how urgent it is that we move towards a renewable economy and abondon harmful pipelines. #NoKXLhttp://thehill.com/policy/energy-environment/362311-keystone-pipeline-spill-blamed-on-damage-from-its-construction …,2017-11-29 15:18:57,6,6,935890835836719104
The deadline to #GetCovered is approaching! Be sure to visit http://healthcare.gov  to get a healthcare plan that works best for you and your family. You can also make changes to the plan you currently have. Get covered today!pic.twitter.com/RwRpxgpE5T,2017-11-29 13:22:42,3,14,935861580591398912
"So you mean to tell me @DHSgov says it's safe for Haitian refugess to return to Haiti and have their #TPS removed, meanwhile @StateDept has a travel warning for Haiti? @JumaaneWilliams said it best - ""height of hypocrisy."" https://travel.state.gov/content/passports/en/alertswarnings/haiti-travel-warning.html …",2017-11-28 18:20:18,31,31,935574084410335237
"Without the #DREAMAct, our economy would lose $460.3 billion from the national GDP over the next decade. By refusing to bring the #DREAMAct to the Floor, @HouseGOP and @SpeakerRyan are putting our economy at risk. We must #ProtectDreamers and pass the #DREAMAct now!pic.twitter.com/ZpgC1fWCKL",2017-11-28 16:11:31,31,38,935541676747231233
We'll be addressing the adequacy of existing security measures on surface transportation systems and stakeholder recommendations for improvement. Tune in at 10AM here:https://goo.gl/oMUezo ,2017-11-28 14:06:29,3,4,935510208180379648
This morning in Trenton I'll be hosting @RepJohnKatko @RepBrianFitz @RepDonaldPayne and other members of the Homeland Security Committee for a hearing on surface transportation safety.,2017-11-28 14:05:01,7,3,935509841539424257
"#Dreamers & millions of their family members, friends, & coworkers are depending on Congress and the White House to take urgent action to prevent them from being fired from their jobs, ripped from their families, and deported. We must #ProtectDreamers now.https://www.washingtonpost.com/opinions/the-fates-of-700000-dreamers-hang-in-the-balance-this-one-should-not-be-hard-for-congress/2017/11/26/60284f62-cbd9-11e7-8321-481fd63f174d_story.html?utm_term=.c61a0b9940d3 …",2017-11-27 20:00:04,29,28,935236803489124352
"My office is looking for hardworking, reliable interns to support the administrative, legislative, and communication process within Congress. The deadline is Dec. 1st and applications can be submitted here: https://goo.gl/pyNStK pic.twitter.com/T8bfkHuDOG",2017-11-27 17:30:39,13,11,935199201344008193
#ICYMI I joined @SRuhle to talk about the need to protect those who report sexual misconduct and update the antiquated system.pic.twitter.com/y3stYVXBRP,2017-11-25 00:48:57,25,11,934222341126664192
I'll be on with @SRuhle and @AliVelshi in 10 minutes!,2017-11-24 16:30:33,4,2,934096914081112064
I'll be on MSNBC in the next 40 minutes. Be sure to tune in!,2017-11-24 16:00:50,19,4,934089435284692992
Happy Thanksgiving! Today is a great time to remind family members to #GetCovered at http://healthcare.gov  before the Dec. 15th deadline.https://twitter.com/repbonnie/status/925717092242001921 …,2017-11-23 15:29:59,23,8,933719281963094021
"I am completely opposed to any plan to repeal #NetNeutrality. There has been tremendous public outrage at the attempt to limit the free and open internet. Sadly, we continue to see this Administration choose corporations over people.https://www.nytimes.com/2017/11/21/technology/fcc-net-neutrality.html …",2017-11-22 14:47:42,89,42,933346253764775936
Happy Birthday @RepYvetteClarke! It's an honor to call you a friend and colleague.,2017-11-21 23:44:30,7,3,933118958588309504
"You're absolutely right, @TweetsByTT - this should be a no brainer. That's why I introduced the Healthy Mom Act.http://www.nj.com/opinion/index.ssf/2015/06/a_bill_to_re-open_enrollment_for_pregnant_women_un.html …",2017-11-21 20:34:32,2,3,933071148635623424
Justice for victims must also ensure the system designed to protect and support them must be able to do its job without interference or bias.,2017-11-21 20:31:10,4,3,933070301612605448
"Before becoming an elected official, I worked for many years in civil rights. Then, now and forever I will continue to express that sexual harassment and assault is unacceptable and inexcusable.",2017-11-21 20:30:43,11,4,933070189205303302
Where there are allegations of sexual misconduct there should always be a thorough investigation no matter the workplace or industry - including in the White House.pic.twitter.com/6zmukRhKha,2017-11-21 20:28:21,21,10,933069593874255872
Next time be sure to come introduce yourself! I love meeting my constituents!,2017-11-21 16:48:11,1,1,933014187684651008
The American people have made their voices loud and clear and they demand #NetNeutrality. Repealing Net Neutrality rules is a direct threat to a free and open internet.https://www.wired.com/story/fcc-prepares-to-unveil-plan-to-gut-net-neutrality/ …,2017-11-21 16:30:50,136,118,933009821078573057
"Ending #TPS for Haiti is a further continuation of the downward spiral of indecent leadership from this Administration. America is better than this, but clearly this Administration is not. 

Statement: http://goo.gl/k3LmQK pic.twitter.com/ltCP2G1J7Q",2017-11-21 16:20:56,6,7,933007327896264704
I stand with our transgender friends & remember those who have lost their lives fighting for being true to themselves. #TDORpic.twitter.com/qi1lNHCF2h,2017-11-20 18:44:13,32,11,932681002232762368
"The longer we put profits over people and ignore good-paying, sustainable green energy jobs, the longer our people and environment will suffer. #NoKXLhttps://www.nytimes.com/2017/11/20/us/nebraska-pipeline-keystone-xl.html?_r=0 …",2017-11-20 17:39:18,13,10,932664663116079104
Happy Birthday @JoeBiden!pic.twitter.com/Klx4LSJVsz,2017-11-20 16:58:30,26,9,932654397846323201
Praying for you and your family.https://twitter.com/RevJJackson/status/931571570220388355 …,2017-11-17 19:08:33,11,2,931599962361737222
"The sooner we move to a green economy, the sooner we will have good paying jobs that don't threaten our people and our environment. #NoKXLhttp://www.cnn.com/2017/11/16/us/keystone-pipeline-leak/index.html …",2017-11-17 16:07:53,25,14,931554492897783808
The Veteran's Conference & Resource Fair last week in Monroe Township was a great success! We brought in the VA to assist our veterans directly with their claims. Call my office at 609-883-0026 if you ever need assistance with your veteran's benefits or claims.pic.twitter.com/vJosXpUb45,2017-11-17 15:12:46,12,7,931540625534668801
"""The head of faith-based and neighborhood partnerships at the @DHSgov has said in the past that the black community is responsible for turning cities into ""slums"" and argued that Islam's only contribution to society was ""oil and dead bodies."" 

Rev Johnson must be removed. Now.https://twitter.com/HomelandDems/status/931283216975110145 …",2017-11-16 22:56:06,22,15,931294836925267968
It is irresponsible bet on trickle-down economics by providing billions of dollars in tax cuts to the nation’s wealthiest and multinational corporations and reaching deep into the pockets of the middle class to pay up. #GOPTaxScamhttps://www.nbcnews.com/politics/first-read/trump-his-family-could-save-more-1-billion-under-house-n821491 …,2017-11-16 22:27:36,20,11,931287664577470464
"#GOPTaxScam hurts the middle class, while offering tax giveaways to the top 1% in America. It is unacceptable to put #BillionaresFirst.pic.twitter.com/WXswuKpaZ1",2017-11-16 16:31:13,24,22,931197978605510656
"The #GOPTaxScam eliminates the medical expense deduction, slashes funding for Medicare (by $25 BILLION alone in 2018), and rips health care away from 13 million Americans. This bill is foul. This bill is a scam. This bill won't grow our economy. This bill hurts the middle class.",2017-11-16 16:06:54,24,18,931191856813301760
My office's phones continue to be flooded this morning with overwhelming opposition to the #GOPTaxScam. I refuse to vote for a bill that will ransack  middle class families.,2017-11-16 15:17:32,94,33,931179435797213184
"Let's get this straight #GOPTaxScam:

Winners:
@realDonaldTrump and his family
Corporations
Billionaires 

Losers:
Middle class families 
Students
Seniors

Not to mention the exploding of our deficit and then Republicans will ask poor people to pay even more.",2017-11-16 15:10:38,19,14,931177700370341888
"When the #GOPTaxScam explodes the deficit so the President can further enrich his family, Republicans will call for spending cuts to critical initiatives the most vulnerable among us depend on: SNAP, TANF, Pell Grants, CDBG.",2017-11-16 15:00:03,9,5,931175036257554432
We're fighting to keep the middle class from having to pay massive tax hikes just so you can further enrich your family. Like most things you've done in our career — it's a scam. #GOPTaxScamhttps://twitter.com/realdonaldtrump/status/930981685658902528 …,2017-11-16 02:17:30,73,39,930983133918482434
"I've been tallying my constituent calls and emails on the #GOPTaxScam:
Support: 12
Oppose: 1,234
New Jerseyans know how shady this bill is. #KillTheBillpic.twitter.com/axtUC8AK3l",2017-11-15 22:24:28,21,14,930924487566155776
"We've begun debate on the #GOPTaxScam and @HouseGOP isn't allowing @HouseDemocrats the opportunity to offer amendments – all while experts, advocates and organizations nationwide continue to release damaging analyses of the harmful effects of this legislation.",2017-11-15 22:06:31,17,19,930919970502008832
"As Mr. Cordray steps down, I urge the President to immediately appoint a new director of the CFPB that will be just as dedicated to the agency’s mission.",2017-11-15 19:17:05,8,4,930877334131011584
"Since January, the CFPB has been under attack by my Republican colleagues and this Administration - to weaken the bureau will open the door for bad actors in the banking and financial sectors to repeat practices that lead to the worst recession since the Great Depression.",2017-11-15 19:16:37,7,7,930877214484258821
"Under Mr. Cordray’s leadership, the CFPB held banks and financial institutions accountable as they interact with consumers – ensuring clear & streamlined processes, penalties for bad practices & the creation of tools to allow the American public to make smart financial decisions.",2017-11-15 19:16:19,4,4,930877138294726656
"In the wake of the Great Recession, the @CFPB was established with the sole mission of protecting the American consumer - Mr. Cordray made that mission a personal standard.http://www.msnbc.com/rachel-maddow-show/why-richard-cordrays-retirement-the-cfpb-matters …",2017-11-15 19:15:42,14,12,930876985336791043
"Reclaim  Your  Time 
So glad to call you a friend and colleague @RepMaxineWaters. #BlackGirlMagicpic.twitter.com/rp11VrkYOd",2017-11-15 18:25:48,45,15,930864427938742272
"Our tax system works best when it is fair, responsible and supportive of the true drivers of our economy: families, workers and small businesses. I refuse to let @HouseGOP sell their #GOPTaxScam on the backs of the middle class.pic.twitter.com/SbtF2Dl7JT",2017-11-15 17:52:25,46,28,930856025133146113
The American people deserve to know if their government is placing profits over people. It should not just be members of Congress but the American people who have the names of these men and women assigned to these task forces.pic.twitter.com/QVWQOBv9RM,2017-11-15 16:20:28,12,5,930832885128495105
Task forces charged with deregulation are seemingly being stacked with lobbyists who had deep ties to the industries being regulated.pic.twitter.com/sO5b9idTZh,2017-11-15 16:16:32,14,9,930831897227354114
Remember how @realDonaldTrump said he was going to drain the swamp? We can’t know this to be true if his Administration continues to hide the names of the men and women tasked with advocating in the best interests of the American people.https://www.nytimes.com/2017/11/14/business/rebeckah-adcock-usda-lobbying-pesticide.html …,2017-11-15 16:10:12,59,41,930830303165403136
The #GOPTaxBill is foul. First it was a vehicle to enrich millionaires and billionaires on the backs of the middle class. Now it's about Republicans further sabotage of health care.https://twitter.com/phil_mattingly/status/930600716611276801 …,2017-11-15 01:04:40,20,13,930602417548341248
The American people have made it explicitly clear that they do not want Congressional Republicans ruining their health care. #GOPTaxScam #ProtectOurCarehttps://twitter.com/nytimes/status/930567795502333952 …,2017-11-15 00:57:57,40,23,930600724488228864
"My heart once again breaks for the pain that #GunViolence has inflicted on this nation. Four people died today @HouseGOP and @SpeakerRyan. Maybe if we did more than pray for gun violence victims, we could actually save lives.https://apnews.com/daa2b18d6f5542f88c2d4b4bafd21ce1?utm_source=newsletter&utm_medium=email&utm_campaign=newsletter_axiospm&stream=top-stories …",2017-11-14 22:36:57,15,10,930565242286985217
"Under #GOPTaxScam Child Tax Credit:
 A couple making $200,000 a year with two kids would get $3,200
A single mom with two kids, working full time for min wage would see NO benefit
@HouseGOP, why are you leaving working families behind?",2017-11-14 21:18:38,478,403,930545532707262466
The #GOPTaxScam is getting worse and worse for America's hard working families. This is just as serious as the disastrous health care bill they tried to ram through Congress.  SOUND THE ALARM pic.twitter.com/8Bbqso0vwH,2017-11-14 21:06:21,12,12,930542443719725056
"Important thread on the disproportionate sentencing that effects American families. ""Black male offenders received sentences on average 19.1% longer than similarly situated White male offenders"" Thanks for highlighting @johngramlich. We have to do better.https://twitter.com/johngramlich/status/930470550803185664 …",2017-11-14 17:53:42,18,13,930493958215684096
.@HouseGOP believes that multi-billion dollar corporations deserve tax breaks but students and families trying to pay off student loans should get a tax hike. #GOPTaxScampic.twitter.com/kdbzmjSRgu,2017-11-14 17:08:22,18,21,930482550337867779
"#ACA is still the law and despite this Administration’s sabotage – participants in #OpenEnrollment has surged compared with the past. If you need to purchase insurance, or make changes to the health care plan you currently have visit http://healthcare.gov  today and #GetCovered!pic.twitter.com/gcSjJv15GY",2017-11-14 15:22:01,13,11,930455786014347269
#ICYMI I joined @ericlandskroner to talk about the #GOPTaxScam and how it will raise taxes on 38 million middle class families.pic.twitter.com/Yhhek7Gj4F,2017-11-13 22:25:38,14,6,930200006354788352
"Under the #ACA, more women than ever before have access to health insurance. But there are still 12.9 million women lacking access to the peace of mind health insurance brings. Visit http://healtcare.gov  before Dec. 15th and #GetCovered.pic.twitter.com/ecEPwsZSsr",2017-11-13 19:03:40,31,36,930149180537999360
Pleasure to join Power & Politics w/ @ericlandskroner to discuss the #GOPTaxScam and how it would devastate NJ’s middle class.pic.twitter.com/nSrhrvAxMR,2017-11-12 12:10:53,22,9,929682910449491969
I’m forever grateful for your and your loved ones service and sacrifice to our country. #VeteransDaypic.twitter.com/mvQDJ4sXDW,2017-11-11 22:13:31,3,1,929472182111129601
"Since September 2001, over 50,000 men and women from the Garden State have been deployed to protect this nation. #VeteransDay",2017-11-11 22:11:24,11,2,929471649090621440
"New Jersey has around 1,000 active duty men and women deployed defending our freedoms. We thank them every day for their courage and sacrifice in securing our democracy. #VeteransDay",2017-11-11 22:10:59,22,5,929471544719560704
Great panel discussion. Superb questions,2017-11-11 21:45:30,2,1,929465129103699969
"The Claims Clinic has begun! If you or your family members need assistance or information, come on over, we’ve brought the VA to you! #NJ12VetsConferencepic.twitter.com/YUxVYRGuKG",2017-11-10 15:54:19,10,5,929014364513947648
"Norman, a Navy veteran, from #NJ12 said he hasn’t used VA services but should he need them, when should he reach out? The answer is as soon as possible. #NJ12VetsConferencepic.twitter.com/vWxZ9WZB9J",2017-11-10 14:58:29,4,3,929000313360715777
"On #VeteransDay, and every day, we salute our troops for their heroism, love of country and the sacrifices they make.",2017-11-10 14:38:54,26,10,928995387247136768
I & 300+ of my colleagues support the common sense Blue Water Navy Vietnam Veterans Act. It’s time for the @HouseVetAffairs to take this bill up so we can vote on the house floor.pic.twitter.com/0J58CGAi6B,2017-11-10 14:36:57,9,2,928994895297241088
Excited to be here in Monroe for our Veterans Conference! Thanks to our partners at the VA & Red Cross for bringing your services to #NJ12.pic.twitter.com/PyTmrqJNYP,2017-11-10 14:14:06,12,3,928989143568474120
"There is concrete evidence that @RepWilson told the truth and Kelly not only lied, but used racially charged language to insult her. #IBelieveFrederica and demand this Administration apologizes to her.pic.twitter.com/pYNQsijePw",2017-11-09 18:00:02,217,94,928683614421762049
