Text,Date,Favorites,Retweets,Tweet ID
"This type of conduct is simply unacceptable, and I’m pleased the House is taking steps to decrease the chances it ever happens again.https://go.usa.gov/xn8eK ",2017-11-29 22:29:06,4,2,935999084724240384
Click here to see a summary of what we've been up to on @HouseVetAffairs this year  https://go.usa.gov/xnWUm pic.twitter.com/qfV2nNVCuG,2017-11-27 16:23:41,5,4,935182348106321920
"#TaxReform gives S. Illinois breathing room to save for college, help raise a family, or prepare for a rainy day. When given the chance, I have no doubt you’ll keep a closer eye on your hard-earned dollars than any Washington bureaucrat ever will.https://go.usa.gov/xnZVR ",2017-11-16 19:14:35,8,1,931239092054052865
The federal flood insurance program needs real reforms that strengthen the program so property owners have affordable and reliable flood insurance options when they need it. http://bit.ly/2zKVjBx pic.twitter.com/dv27YufwCx,2017-11-15 17:15:11,7,1,930846656857362432
"I’ve long said that gov’s first obligation is to protect the safety & security of the American people. This bill strengthens our military, provides our troops a pay raise, bolsters missile defense, & drives innovation in military technology.https://go.usa.gov/xnWf5 ",2017-11-14 22:34:44,5,3,930564683794386944
#ICYMI from @kfvsnews : http://bit.ly/2AxauhL  #NationalApprenticeshipWeek,2017-11-13 21:02:31,0,3,930179088899301378
"Privileged to speak at the American Legion Veterans Day Ceremony in Carterville this weekend. It's important to remember on Veterans Day - and every day - that we live in the greatest nation on earth, enjoying freedoms won and maintained by the service of our veterans. pic.twitter.com/nCfKPV4lDp",2017-11-13 20:29:56,10,5,930170890167431169
Here's an opinion piece I wrote for @thehill about the #bipartisan work we are doing on the @HouseVetAffairs Committee for our nation's heroes.http://bit.ly/2mgvs1A ,2017-11-13 14:36:45,1,1,930082010139422720
"This #bipartisan bill provides a common sense solution for helping our farmers and ranchers fill jobs and expand their operations, while offering our #veterans new skills and a potential career path after their service.https://go.usa.gov/xnDaE ",2017-11-09 18:06:25,1,2,928685222589353984
"#TaxReform is good for Illinois:
 More Jobs
 Bigger Paycheckspic.twitter.com/Nvmy45PJej",2017-11-08 22:28:39,38,17,928388824400408576
