Text,Date,Favorites,Retweets,Tweet ID
"Now: On House Floor in support of H.Res. 630, introduced by @RepSpeier. The bill requires annual sexual harassment training in the House.",2017-11-29 19:39:39,16,5,935956442342940672
Nearly 900 patriotic DREAMers who are currently serving our nation in uniform deserve a permanent solution. #ProtectDREAMers,2017-11-28 19:34:36,30,16,935592784081367041
"Today and everyday, thank you to the men and women who sacrifice so much so that the rest of us can have peace and freedom. #VeteransDay",2017-11-11 18:10:43,12,2,929411079385571329
You can officially #GetCoveredNow for 2018. Visit http://healthcare.gov  to find a plan that works for you.,2017-11-01 18:56:48,9,10,925798795904016386
Join ushttps://twitter.com/houseadm_dems/status/922855009003323392 …,2017-10-24 16:11:22,3,0,922858060124753921
"Pleased PA received extension for REAL ID through October 10, 2018. Current PA IDs will allow you to board commercial aircraft through then.",2017-10-23 21:12:14,27,10,922571388849934336
"How many times are we going to say ""Our hearts and prayers are with the families of those killed"" before we take action on gun reform?",2017-10-04 18:54:17,90,27,915651303757500417
Trump's decision to end #DACA is heartless and irresponsible. Destroying the lives of young Americans doesn't help America.,2017-09-05 15:54:15,54,24,905096750951800836
"Today, I am remembering 1963 and the #MarchOnWashington for equality of African Americans. Thank you to all those who fight for the dream.",2017-08-29 01:13:16,27,7,902338327873015809
"SEPTA should shut down Norristown High Speed Line and utilize shuttle buses while investigation of crash continues.
 https://brady.house.gov/press-release/bob-brady-questions-septantsb-investigation-latest-train-crash …",2017-08-25 13:16:15,3,7,901070720616325123
Trump has once again shared his core feelings by choosing to defend racists and those who support Nazism rather than the American people.,2017-08-16 00:32:23,69,28,897616996061372416
As Americans we can never stop standing up and denouncing violence and bigotry. We must band together to fight the scourge of hate.,2017-08-14 19:22:23,50,11,897176595680681984
Today we celebrate the 52nd anniversary of #Medicare & #Medicaid and vow to protect them for American families.,2017-07-27 15:23:42,16,6,890593545136091138
"Proud to support the Muhammad Ali Expansion Act, which extends boxing protections in current law to Mixed Martial Arts. @MMAFApic.twitter.com/8zsDTOI8be",2017-07-20 13:33:37,25,8,888029125889449986
Vital position to combat anti-Semitism hasn’t been filled at State Department. I sent a letter to President Trump urging immediate action.,2017-07-11 18:21:30,28,2,884840083760844801
Happy Independence Day!https://twitter.com/amrevmuseum/status/882227908294701057 …,2017-07-04 20:42:54,12,0,882338956460920833
I joined federal lawsuit challenging President Trump’s violation of Constitution’s anti-corruption clause. http://brady.house.gov/press-release/congressman-brady-joins-federal-lawsuit-challenging-president-trump%E2%80%99s-violation …,2017-06-21 20:09:40,50,8,877619548308086785
"Every day, Philly welcomes refugees who help our city thrive. On World Refugee Day, I stand #WithRefugees in our city of brotherly love.",2017-06-20 15:23:51,37,16,877185233099132928
"Good news for PA: Department of Homeland Security has agreed to extend acceptance of Pennsylvania driver's licenses until Oct. 10, 2017.",2017-06-15 16:55:00,16,5,875396233799634944
My thoughts and prayers are with Rep. Scalise and all those affected this morning. I am thankful for the bravery of the US Capitol Police.,2017-06-14 12:55:33,37,11,874973583688306688
