Text,Date,Favorites,Retweets,Tweet ID
"It’s unbelievable - & unacceptable - that elected officials have been using taxpayer $ to cover up sexual harassment suits for years. 

I’m calling on the Ethics Cmt. to fully investigate this misuse of taxpayer funds.http://bit.ly/2jdTZPV ",2017-11-21 23:54:00,82,27,933121348557193216
"I will be spending #Thanksgiving in #PuertoRico inspecting hurricane recovery efforts & meeting directly with affected residents, local government leaders & humanitarian professionals on the island. 

Read more: http://bit.ly/2zVafiO pic.twitter.com/0F5zCGerms",2017-11-21 17:25:02,87,28,933023459331805184
My statement on today's #taxreform measure: https://fitzpatrick.house.gov/taxreform pic.twitter.com/WLkekcdMQc,2017-11-16 18:52:47,16,5,931233604751028224
"Our gratitude is enduring, our support for you, steadfast. #VeteransDay https://fitzpatrick.house.gov/media-center/press-releases/fitzpatrick-recognizes-veterans-day-2017 …pic.twitter.com/GbMInui2n8",2017-11-11 15:34:01,20,8,929371643524284416
"The allegations against Roy Moore are beyond disturbing. If there is an ounce of truth to this, he must end his candidacy immediately.",2017-11-10 23:44:01,94,18,929132569265934336
"""Let’s put these heroes to work rebuilding our roads and bridges...""

Learn about Fairness to Veterans: https://fitzpatrick.house.gov/media-center/press-releases/ahead-veterans-day-fitzpatrick-sinema-fight-veterans-jobs …pic.twitter.com/InaKAVT5iY",2017-11-10 22:14:59,7,5,929110163944099840
Veteran-owned businesses make up nearly 10% of all businesses in the US & account for $1T+ in receipts annuallyhttps://www.youtube.com/watch?v=evaFF-VJJsw …,2017-11-03 15:45:06,2,2,926475330419863554
"Will read & review entire measure before concluding, but 1st impressions are very positive. 

Full statement on #TaxReform:pic.twitter.com/nXuOWWQhP4",2017-11-03 14:35:18,9,5,926457763689062402
"ICYMI: The House passed my third bill - the #INTERDICTact
http://bit.ly/2gyDZHf pic.twitter.com/1BworslawW",2017-10-25 14:17:55,17,5,923191897258160129
House passes #INDERDICTact. Next up: Senate. http://bit.ly/2gyDZHf https://twitter.com/RepCloakroom/status/922884599453290499 …,2017-10-24 18:12:38,5,2,922888580296511490
 INBOX: Fitzpatrick/Tsongas Anti-Fentanyl Bill Passes House http://bit.ly/2gyDZHf ,2017-10-24 18:10:43,4,2,922888095753736194
" INBOX: Fitzpatrick, Sinema to Introduce Legislation Restoring DEA’s Authority to Combat Opioid Epidemichttp://bit.ly/2ggP7Iz ",2017-10-17 18:44:14,20,5,920359817528700929
Grateful for the opportunity to discuss my #bipartisan 'Road to Recovery Act' to end the IMD exclusion: http://bit.ly/2xzBWsv https://twitter.com/HouseCommerce/status/918166009638457345 …,2017-10-11 18:27:29,8,1,918181272618438658
"Thanks to the @HouseCommerce Health Subcom. for inviting me to testify about #RightToTry
http://fitzpatrick.house.gov/media-center/press-releases/fitzpatrick-testifies-house-committee-regarding-right-try …pic.twitter.com/LJUdBviCYf",2017-10-03 18:29:09,6,2,915282591594446848
My heart goes out to all those impacted by last night’s heinous act of violence in Las Vegas.pic.twitter.com/afFwrZX3YB,2017-10-02 14:26:23,24,3,914859110738403332
"Best wishes for new year of peace, joy & love to all those celebrating #RoshHashanah! #ShanahTovahpic.twitter.com/RI79v9DcKZ",2017-09-20 22:30:00,21,4,910632162264801280
Excellent time bagging groceries at @ShopRiteStores in #Warminster as part of their Bag to End Hunger donation prgmhttp://www.theintell.com/news/local/rep-brian-fitzpatrick-bags-groceries-for-hunger-awareness/article_3c75788a-9e28-11e7-bef2-ab6a3bc7f050.html …,2017-09-20 21:12:03,22,4,910612545618276353
