Text,Date,Favorites,Retweets,Tweet ID
Good move but more to do.  Need transparency & no taxpayer money to settle harassment complaints.https://twitter.com/thehill/status/935970881809141761 …,2017-11-29 20:56:38,24,10,935975813140439042
"Met today with the founders of Operation Crime Track AI, an intelligence software designed to track down criminal gangs and human traffickers. Proud of our #FL18 entrepreneurs!pic.twitter.com/1nF9VFSY1E",2017-11-27 22:46:47,22,7,935278760445739008
This was a historic week in Washington. We took major steps to put more dollars back in your pocket and increase the size of your paycheck. The status quo has failed. Enough is enough!https://youtu.be/HZPTh5SoCQw ,2017-11-18 15:00:02,12,11,931899808482070528
Need help navigating a federal agency (too much red tape!)? Our office is available to help!pic.twitter.com/8WUy68pY2M,2017-11-17 15:20:43,4,5,931542624313511941
@POTUS thank you for coming by The House today for our historic tax reform vote. #MAGA Making April Great  Again!pic.twitter.com/Ps5Hr1Vk6s,2017-11-16 17:05:36,88,28,931206630561153025
Hamas is responsible for the death of dozens of Americans and hundreds of Israelis. Good news: my bill to sanction supporters of Hamas just passed the Foreign Affairs Committee unanimously. WATCH:https://www.youtube.com/watch?v=jEdw60ULyPg …,2017-11-15 17:29:08,37,19,930850164297912323
Florida cannot continue to tolerate Brightline’s massive safety failures. They must be held accountable and this project must be stopped!http://www.tcpalm.com/story/opinion/columnists/rich-campbell/2017/11/09/deaths-harbinger-things-come-brightline-rich-campbell/839120001/ …,2017-11-13 20:15:00,6,6,930167133530738689
"Thanks to @CBS12 for helping host a free lunch for #FL18 veterans this weekend, and thank you veterans for always being the embodiment of selflessness and putting country before self!https://youtu.be/7r3YOZLSV8M ",2017-11-13 17:06:50,14,8,930119777259020290
"Thank you to all the veterans in our community for your service, sacrifice, selflessness & sense of duty. Thank you for being everything that makes me say I am proud to be an American. This week we passed 15 bills to put these words into action. Thank you!http://youtu.be/xYX6CVoX7fI ",2017-11-11 15:00:03,77,32,929363096128253952
Our embassy should be in Israel’s rightful capital-- Jerusalem. Watch my remarks from yesterday’s hearing here:http://youtube.com/watch?v=-DlfpdjpTfU …,2017-11-09 14:30:02,20,16,928630766136946694
My subcommittee on counter terrorism held a hearing this week examining Russia’s relationship with terrorism.  Watchhttp://youtube.com/watch?v=J_Vui58_2xE&t=40s …,2017-11-08 20:30:00,4,6,928358968748941312
The EOD Caucus hosted a #DayOnTheHill yesterday to highlight the critical role these brave warriors play every day in keeping us safe.pic.twitter.com/3hZGvXt3Cj,2017-11-08 17:14:59,14,10,928309889302171648
"Sat down with the #Everglades Caucus for an update on
restoration projects after Irma.  Lots of work to do!pic.twitter.com/nhFrJIA8g3",2017-11-07 16:25:37,13,7,927935079359434752
Thx to Trinity JB for hosting great event to recognize sacrifices of Gold Star & Blue Star Families! We must do all we can to support them.pic.twitter.com/WIx9rspx3j,2017-11-06 18:39:41,11,6,927606428013158401
Brianna & I are praying for all impacted by horrific carnage in Sutherland Springs. Incredibly thankful to 1st responders for their work.,2017-11-06 01:11:00,26,10,927342517896515585
"After countless hrs of pushing House leaders, I got them to come see issues at Lake O 1st http://hand.WATCH :https://t.co/EGkeZdOYSF",2017-11-04 14:00:01,10,7,926811271760089088
This new tax bill would mean you keep more of the money you earn. Here’s how it works:http://youtu.be/QqIni2FX25M ,2017-11-03 17:41:37,16,15,926504651725459456
"Making April Great Again!
#taxreform",2017-11-02 14:27:38,39,19,926093449425768448
Over the wkd I hosted senior Congressmen in FL to show them why our water issues are so important. More must be done!http://youtu.be/4Q_tcPX9kfo ,2017-10-30 16:43:21,14,9,925040438393888768
"This week, we passed legislation to keep Americans safe & prevent terror. Watch my #WeekInReview video to hear more:http://youtu.be/7x3UtnhBDAw ",2017-10-28 14:30:00,9,8,924282105550565376
"Yesterday, we paid tribute to the heroes who served in the Korean and Vietnam Wars. Thank you Honor Flight & @KeithRothfus for hostingpic.twitter.com/jWBA89X2ZJ",2017-10-27 14:49:28,16,11,923924613410717697
I joined @evergfoundation to discuss what we can do to fix the water issues destroying #FL18. Watch: https://www.facebook.com/RepBrianMast/videos/1990673241213452/ …,2017-10-24 17:34:52,7,8,922879075076755459
"This week, the committee I'm on passed a bill to stop Iran's ballistic missile program. Watch:https://youtu.be/empEj0PuYuk ",2017-10-15 14:30:01,15,16,919571066166669312
"In this #WeekInReview: improving small businesses’ cybersecurity, curbing Iran’s #ICBM program, helping FL&PR,& more:http://youtu.be/rXhyLbBe5aU ",2017-10-14 14:30:00,6,9,919208674089779205
I'd be happy to remove you if you're no longer interested in being subscribed.,2017-10-13 16:33:40,0,1,918877408459132928
Deadline to apply for Service Academy nominations extended to Oct. 31.  More info here: https://mast.house.gov/service-academy-nominations …,2017-10-11 21:06:39,7,11,918221329983262720
Had a great #CommunityConversation with #FL18 residents in Port St. Lucie over the weekend about FEMA recovery efforts and more.pic.twitter.com/RtyjsyC85x,2017-10-10 23:30:00,13,7,917895018936926208
Watch this week’s #WeekInReview to hear more on my bills to help Gold Star families & protect seniors from id theft:https://youtu.be/U8Bs22UPaqo ,2017-10-07 14:00:00,6,7,916664409258446848
