Text,Date,Favorites,Retweets,Tweet ID
@POTUS’s speech in Missouri clearly outlined the victories our nation will experience when tax relief legislation passes the Senate. “We cannot sit idly by and watch ourselves losing in competition to other countries . . . A vote to cut taxes is a vote to put America first.”,2017-11-29 21:09:28,1,0,935979043966603267
Disappointed to see political stunts at @CFPB. CFPB general counsel supports @POTUS authority to name acting director and Director @MickMulvaneyOMB is a good choice for the job. Time to get back to consumer protection.,2017-11-28 20:12:21,5,2,935602284129644544
Happy Thanksgiving from the Carter family!pic.twitter.com/cutqzksbII,2017-11-23 14:00:05,30,6,933696657803296768
"The Senate's decision to include the repeal of the Obamacare individual mandate in the Tax Cuts and Jobs Act is the right move. To read more, visit here: https://buddycarter.house.gov/news/documentsingle.aspx?DocumentID=2683 …pic.twitter.com/GIm3LlMGRn",2017-11-22 15:33:04,7,4,933357671406821377
Thanks for stopping by!https://twitter.com/becky_btaylor/status/933016832373600256 …,2017-11-21 20:13:58,3,1,933065976463200256
PASSED: The Tax Cuts and Jobs Act. Yesterday was a BIG step forward. Read more here: https://buddycarter.house.gov/news/documentsingle.aspx?DocumentID=2684 …pic.twitter.com/SPplAEbhXf,2017-11-17 18:34:17,7,4,931591335139782656
"The Tax Cuts & Jobs Act has PASSED! Here’s how it will help your family:
 Lowers tax rates
 Increases the standard deduction
 Eliminates special-interest deductions
 Preserves the Adoption creditpic.twitter.com/PZyzFfgMmX",2017-11-16 19:35:41,6,1,931244401799651330
"The House just passed historic tax reform, the Tax Cuts and Jobs Act, to provide every American relief from our burdensome tax code. Across the board, families will take home more of their hard earned pay. #TaxReformpic.twitter.com/nyerQWhyln",2017-11-16 19:11:33,7,0,931238327281471488
Thanks for coming by!https://twitter.com/NavyLeagueUS/status/931229926912557056 …,2017-11-16 18:39:41,3,0,931230307814125568
Exciting to have @POTUS on the Hill sharing his support as we vote on historic tax reform legislation. Let's get it done!pic.twitter.com/22A1nLOo7U,2017-11-16 17:23:47,15,2,931211207385714688
"Veterans, be wary of scams targeting you and your family. Read more here:http://www.wtoc.com/story/36840844/dont-be-a-victim-scams-targeting-veterans#.Wg26twvFsOQ.twitter …",2017-11-16 16:31:23,1,3,931198020934340608
"For the median household making $50,931 in GA's 1st, individuals will take home an extra $1,376 a year. More jobs. Fairer taxes. Bigger Paychecks. #TaxReform",2017-11-16 16:01:57,11,3,931190613491535872
"Our tax code needs comprehensive reform. See what Dave, Dawn, and Sean, from GA's 1st, had to say about tax reform. https://fairandsimple.gop/ pic.twitter.com/XjUqg29cWW",2017-11-15 23:34:06,16,5,930942010646609920
"I had the joy of spending time with a few of our nation's future leaders from Effingham County Middle School, today. Thanks for visiting and enjoy the rest of your trip!pic.twitter.com/XGMT2saKOW",2017-11-15 21:22:17,4,3,930908838756278273
The NDAA also advances the Ohio-class replacement program. Read more here: https://buddycarter.house.gov/news/documentsingle.aspx?documentid=2672 …pic.twitter.com/t4mQ2wRv1r,2017-11-15 00:13:30,3,2,930589540863094784
"Today, the House passed the NDAA which provides critical A-10 funding. Read more here: https://buddycarter.house.gov/news/documentsingle.aspx?documentid=2671 …pic.twitter.com/RNZc9XbxQa",2017-11-14 23:45:06,9,2,930582392347287552
"Today, I voted to reauthorize the National Flood Insurance Program. Read more here: https://buddycarter.house.gov/news/documentsingle.aspx?documentid=2670 …pic.twitter.com/OXrWAvbAhV",2017-11-14 23:08:27,1,1,930573169118924800
"I met with a few constituents, today, to talk about policies affecting Southeast Georgians. Thank you for making the trip to D.C.!pic.twitter.com/5DQw3pyydx",2017-11-14 22:13:58,3,2,930559460199854080
"Yesterday, the House unanimously passed my legislation to align federal acquisition practices with the private sector. Read the full press release here: https://buddycarter.house.gov/news/documentsingle.aspx?DocumentID=2665 …pic.twitter.com/fcNLY1pu3o",2017-11-14 16:06:58,1,2,930467099528585217
I cannot thank our veterans enough for their service to our great nation. #VeteransDaypic.twitter.com/UJWlL7JcEL,2017-11-12 02:03:00,7,4,929529931171880961
"To our nation's heroes, our veterans: we cherish you today and everyday. With deepest gratitude, thank you for your service. #VeteransDaypic.twitter.com/M78GY6gzCW",2017-11-11 19:36:44,16,7,929432725496397825
"Today, we are reminded of those that have sacrificed and served for our freedoms and our nation's prosperity. Thank you, veterans, for your service. #VeteransDaypic.twitter.com/wvGb4cxcFs",2017-11-11 14:17:00,65,21,929352264288006148
"Wishing the @USMC a very happy 242rd birthday! May all our Marines, both here at home and abroad, feel celebrated today and this weekend. #SemperFipic.twitter.com/Yt8qcSyyBw",2017-11-10 14:10:52,60,15,928988331601465345
"To honor our veterans and their sacrifice, I joined the House this week in passing 14 bills that will better serve our nation's heroes and their overall well-being. To see these and the many others that we have been working on this Congress, visit here:https://veterans.house.gov/115th-congress-legislation/ …",2017-11-08 23:07:43,2,3,928398659871559680
"Nearly a MILLION pounds of expired, unused, or unwanted prescription drugs were disposed of during this year's Prescription Drug Take Back Day. Thank you to all that participated in fighting the #OpioidEpidemic.https://twitter.com/DEAHQ/status/927934589498220544 …",2017-11-08 14:55:35,4,3,928274806742581248
We've been working on our plan for years. It's time for #taxreform that provides relief across the board - especially for the middle-class.pic.twitter.com/O2FCQDdQML,2017-11-07 16:22:42,75,19,927934344517300224
I had the honor of meeting w/ a few of our nation's future servicemen and women during today's Service Academy Day - some of the brightest!pic.twitter.com/l0y7waVFcb,2017-11-07 00:35:06,11,6,927695873336848385
"MORE jobs 
FAIRER taxes 
BIGGER paychecks pic.twitter.com/EbM2xtpayn",2017-11-06 19:07:50,32,7,927613511987093504
"Today, I am reminded that our nation will persevere through evil. Acts of hate and violence will not overcome us.",2017-11-06 16:22:05,7,3,927571802062077952
My thoughts and prayers are with the individuals and families affected by the shooting at the Sutherland Springs Church near San Antonio.,2017-11-05 20:23:53,16,4,927270263527493634
This morning I visited with a few of our nation's heroes for the 5th Annual Veterans Salute Memorial Walk. Thank you for your service!pic.twitter.com/9EYq3SESSY,2017-11-04 20:32:24,5,3,926910021287497733
I'll be on @MSNBC in a few minutes to discuss our plan to reform our tax code. Tune in!pic.twitter.com/QspUKlVlFT,2017-11-03 15:12:49,10,3,926467206623518720
"Ella, a brave girl with EB can't play tag on the playground so I'm playing #TagWithElla online. Tag - you're it! https://www.TagWithElla.com pic.twitter.com/XHxUA4hDlp",2017-11-02 21:05:20,10,5,926193532523761669
The Tax Cuts & Jobs Act is HERE → #taxreform #1182morehttps://fairandsimple.gop ,2017-11-02 17:02:33,9,5,926132434911014912
There is far too much #fakenews on #taxreform. Get the facts here: https://fairandsimple.gop/ pic.twitter.com/eQzjZ82Vfb,2017-11-01 21:50:03,33,11,925842398898413568
Georgia once again ranked #1 for business! That's good news for 1st District Georgians.https://twitter.com/gdecd/status/925065966765137921 …,2017-11-01 17:26:21,6,2,925776033122529282
Happy #NationalEntrepreneurshipMonth! Reforming our UNFAIR tax code will enable even more to pursue the American dream of owning a business.pic.twitter.com/7iYYSWDO0T,2017-11-01 15:07:34,1,2,925741110365949952
Praying for #NYC.,2017-10-31 22:18:41,2,3,925487215089725440
"Want to receive updates on Congress's work towards more jobs, fairer taxes, and bigger paychecks? Sign up by texting ""TAX REFORM"" to 50589.pic.twitter.com/XxYs6fiCJm",2017-10-31 21:32:08,7,4,925475501661212672
Far too many have lost their lives due to overdosing on commonly prescribed opioids. Let's change the narrative. #OpioidEpidemicpic.twitter.com/nUUzl8nn1D,2017-10-30 23:06:39,3,3,925136898913460225
"Reminder: The 14th National Prescription Drug Take Back Day is tomorrow! To find the nearest drop-off, see here: https://www.deadiversion.usdoj.gov/drug_disposal/takeback/ …",2017-10-27 22:58:30,3,6,924047682997497856
I'll be on @MSNBC in a moment to discuss the #opioidepidemic and #taxreform.pic.twitter.com/HKg09XuUYT,2017-10-25 19:05:06,13,2,923264170321203200
The number of people diagnosed with prescription opioid use disorder shows how desperately we need to address the #opioidepidemic.pic.twitter.com/ejO2TukBRs,2017-10-25 13:07:03,6,5,923174066441240577
Joining my colleagues on @HouseCommerce for a hearing on the opioid crisis. Tune in -->https://energycommerce.house.gov/hearings/federal-efforts-combat-opioid-crisis-status-update-cara-initiatives/ …,2017-10-25 12:29:21,3,3,923164575419322368
It was a pleasure meeting and presenting @WillieNelson with a flag for his contributions to American culture. Thanks for inspiring so many!pic.twitter.com/1bgnCd2BWT,2017-10-24 20:38:53,13,4,922925382952554496
"Last week I held roundtables on #taxreform and how it will impact businesses within the agriculture industry, specifically timber.pic.twitter.com/1uf8fQjhCq",2017-10-24 19:10:57,0,2,922903254387830785
