Text,Date,Favorites,Retweets,Tweet ID
Need help signing up for health insurance? Meet with certified Application Counselors at SB County Public Health’s open enrollment informational workshop. #GetCoveredpic.twitter.com/d590vNA0z7,2017-11-30 23:28:27,2,2,936376408565321729
"The #GOPTaxScam is a bad deal for the Central Coast families. In CA, more than 3.7mil households making less than $187,000 will see a tax increase under the House GOP’s tax plan.pic.twitter.com/W7GXLEQffM",2017-11-30 23:00:01,17,12,936369254085091333
"Exploding the deficit by $1 trillion, the #GOPTaxScam increases our nation’s debt and expects our children & grandchildren to pay.pic.twitter.com/cphL1cdeEB",2017-11-30 22:50:01,12,11,936366734650384384
The #GOPTaxScam takes money away from Central Coast students & gives it straight back to the wealthiest Americans and multinational corporations with massive tax cuts. I spoke with students at UCSB about what this means for higher education:http://www.keyt.com/news/education/student-loan-interest-deduction-on-tax-reform-chopping-block/663228770 …,2017-11-30 22:45:34,5,8,936365616180678659
"I'm proud to have cosponsored HRes 630, the first step toward ensuring Congress is a workplace free from harassment. We must continue to work toward a less opaque settlement process to make sure victims are no longer silenced.pic.twitter.com/ytovRYsFvf",2017-11-30 01:30:01,10,3,936044612363227136
Had a productive meeting today with my colleagues on the Gun Violence Prevention Task Force. #GunViolence has needlessly ended too many lives & we discussed common-sense reforms to ensure guns don't fall into the hands of individuals that are a danger to themselves or others.pic.twitter.com/IJowIwhvhP,2017-11-29 22:53:08,105,36,936005132000645120
"Who pays for the $1.5 trillion the #GOPTaxScam adds to the deficit? 
-Seniors
-Veterans
-Students
-People w/ disabilities & chronic illnesses",2017-11-29 18:29:53,3,4,935938884751515649
"The #GOPTaxScam makes it harder for Californians to go to college, buy a home, & pay for medical expenses. We need bipartisan tax reform that helps, not hurts, middle class working families.",2017-11-29 18:29:34,27,13,935938803541438465
"I believe the US should work toward reducing our stockpile of nuclear weapons, but unilateral disarmament is a national security risk. Read morehttps://twitter.com/slotribune/status/935253191222026241 …",2017-11-27 21:44:19,7,0,935263039305277442
Nearly 90% of Americans want Congress to pass bipartisan legislation that creates an earned pathway to citizenship for Dreamers. We have to #ProtectDreamers.pic.twitter.com/hYkoqZLkW6,2017-11-27 20:30:00,119,50,935244337272770560
"Don’t wait until it’s an emergency, apply for health insurance today! #GetCovered at http://www.coveredca.com  before January 31st.pic.twitter.com/gO8ioktVUE",2017-11-25 21:49:41,7,11,934539614823632896
"I joined my colleagues urging the Senate to take up the Strengthening Career and Technical Education for the 21st Century Act. As the demand for a skilled workforce grows, we need to support CTE programs that give students the tools they need to compete in today’s economy.pic.twitter.com/SL5G9AHJhm",2017-11-24 21:03:09,18,11,934165515026788352
I’m thankful for the honor of representing the constituents of CA-24 in Congress. Wishing everyone a healthy and happy Thanksgiving with family and loved ones!pic.twitter.com/WO0cejc5kr,2017-11-23 17:20:00,33,4,933746969603923970
"I am disappointed that the White House’s $44b disaster funding request to Congress doesn't include any funding for victims of this year's deadly CA wildfires, but I will continue to fight for increased funding so CA has the resources to rebuild & recover.http://www.latimes.com/local/lanow/la-me-california-wildfire-funds-20171119-story.html …",2017-11-22 23:37:00,50,24,933479458933063680
"TPS holders are legal immigrants, thoroughly vetted by the government, who've contributed to our communities & economies for years. #SaveTPSpic.twitter.com/FkeHqf8HQz",2017-11-22 21:21:08,17,6,933445266996383746
"#NetNeutrality allows tech innovation on the Central Coast to thrive. I will continue to fight to keep the internet open and free for all. RT if you’re one of the over 1,800 constituents who contacted my office in support!https://twitter.com/nytimes/status/933021214402019333 …",2017-11-21 21:40:44,59,34,933087809438650371
"As a 1st generation college student who made it to Congress, I strive to expand education opportunities so more Americans can realize their potential. Thanks, @COETalk for celebrating 1st gen college students.pic.twitter.com/fypcgMXXT2",2017-11-20 23:08:23,22,4,932747481913405440
