Text,Date,Favorites,Retweets,Tweet ID
Proud to announce that my bipartisan bill to protect older veterans from predatory practices passed the House this week.https://cartwright.house.gov/media-center/press-releases/house-passes-cartwright-s-bipartisan-bill-to-protect-veterans …,2017-11-09 17:41:45,10,7,928679013375201281
My thoughts and prayers are with the Pennsylvania state trooper who was shot today in Northampton County.,2017-11-07 19:46:02,16,9,927985513755267072
My bipartisan PREPARE Act is a commonsense bill that would save lives & taxpayer dollars. https://cartwright.house.gov/media-center/press-releases/cartwright-lance-applaud-committee-passage-of-bipartisan-prepare-act …pic.twitter.com/zIBUTVMCPU,2017-11-06 17:12:04,5,4,927584381786607616
"I am proud to sponsor the bipartisan PREPARE Act, a bill that would improve government response to extreme weather events.pic.twitter.com/BW3VJMA23I",2017-11-02 18:09:58,11,4,926149401399250944
Devastating news out of NYC. I'm praying for the victims of this horrific  attack.,2017-10-31 22:45:35,7,3,925493986755739648
Open Enrollment starts tomorrow! Find a plan that works for you and your family. Visit http://healthcare.gov  to #GetCovered.,2017-10-31 18:07:56,35,32,925424110821347331
Open Enrollment is shorter this year than in the past – Nov. 1 to Dec. 15. Don’t miss your chance to #GetCovered at http://HealthCare.gov pic.twitter.com/5tzqEqVQ8X,2017-10-25 19:21:21,62,100,923268261042642944
"Yesterday, I spoke at a press conference about the bipartisan RECLAIM Act, legislation that would revitalize coal communities & create jobs.pic.twitter.com/y5NM3tlHxu",2017-10-06 18:46:16,14,7,916374064096337920
My thoughts and prayers are with the victims and families affected by the horrific shooting in Las Vegas.,2017-10-02 14:58:07,18,5,914867093950038017
I want to express my deep admiration for @SenJohnMcCain and gratitude for his service to the country. My full statement:pic.twitter.com/QY9gsLToBg,2017-09-22 02:40:26,20,8,911057572936998918
I look forward to working with my colleagues to advance this important legislation.https://twitter.com/RepCohen/status/910498131145568256 …,2017-09-21 20:49:39,3,1,910969292858040320
I’m proud to join the #JobsForAmerica Task Force to create economic growth and prosperity for all Americans: https://cartwright.house.gov/media-center/press-releases/rep-cartwright-named-co-chair-of-jobs-for-america-task-force-to-create …pic.twitter.com/wCgYNjnbs2,2017-09-13 14:30:02,33,12,907974657223090176
Today we remember the innocent lives lost on 9/11 and honor the courage of first responders. #NeverForgetpic.twitter.com/GBKbAyd2Tg,2017-09-11 17:41:03,11,2,907297955295715330
Learn more about Jazmin's story here: http://nyti.ms/2x6eBTq  2/2,2017-09-06 19:44:48,11,6,905517157383012353
Jazmin is a working mother with DACA who wants to provide for her family. I called for a vote on the #DreamAct so that she has a chance. 1/2,2017-09-06 19:44:08,25,10,905516990596567040
#TransTroops are currently ready to make the ultimate sacrifice in order to protect our country. They deserve respect and honor.,2017-08-29 17:30:43,41,10,902584310095597568
The #CleanWaterRule protects drinking water for 117 million Americans. Repealing this rule is reckless. http://bit.ly/2ibNkIP ,2017-08-18 13:07:06,12,6,898531701449646082
My thoughts and prayers are with those affected by today's terror attack in Barcelona.,2017-08-17 18:38:01,11,2,898252591301246976
There is only one side to condemn after violence occurs during a white supremacist rally. Hate & bigotry have no place in our great country.,2017-08-17 15:52:57,39,8,898211052755800066
#SocialSecurity has provided older Americans with stability and security for 82 years. We must protect it. #SocSec82,2017-08-14 19:51:22,17,4,897183888115683332
Glad to join my colleagues in finding bipartisan solutions to combatting climate change.https://twitter.com/lehighvalleyccl/status/883733995334361088 …,2017-07-13 14:24:03,21,7,885505104585084928
Wishing everyone a safe and happy #4thofJuly!,2017-07-04 18:48:00,9,0,882310039049916416
"My thoughts & prayers are with my colleague @SteveScalise, Capitol Police officers, & the staff members affected by this morning's shooting.",2017-06-14 13:35:48,26,8,874983712252932097
The #WrongChoiceAct is an irresponsible bill that would dismantle consumer protections & eliminate transparency https://www.facebook.com/CongressmanMattCartwright/videos/1253571761435593/ …,2017-06-08 19:49:42,18,9,872903480389898240
This week is #NationalPoliceWeek. Please join me in thanking those who risk their lives to keep our communities safe.pic.twitter.com/JpURmthPTc,2017-05-17 20:39:47,6,2,864943550923931650
Join me tonight for a town hall in Palmerton:  https://www.facebook.com/events/311807232584580/ …,2017-05-11 18:04:56,6,4,862730256075116545
Bipartisan Nonprofit Energy Efficiency Act helps nonprofits become energy efficient while saving money:http://cartwright.house.gov/media-center/press-releases/cartwright-curbelo-introduce-bipartisan-bill-to-help-nonprofits-save …,2017-05-01 19:15:39,10,2,859124175973339136
"Joined my fellow @SEEC members today to stand in solidarity w/ those who will be marching for climate jobs, justice, and action this weekendpic.twitter.com/2LTwzGCL65",2017-04-27 20:16:07,24,8,857689840892219395
"#NationalParkWeek is here! Check out parks to explore in PA: https://findyourpark.com/your-parks?&field_state[0]=73 …

Where will you go? #FindYourPark",2017-04-17 17:45:35,12,2,854028079764844544
"Please join me on April 18th for a town hall in Bethlehem. Looking forward to seeing everyone there! 

More info -> https://www.facebook.com/events/396978327324789 …",2017-04-17 17:33:37,2,5,854025065687646208
This week my colleagues and I introduced legislation to prevent coal companies from unfairly… https://www.instagram.com/p/BSl7arUAiB8/ ,2017-04-07 17:36:24,8,7,850401888940032000
"Today, my colleagues and I introduced a series of bills to protect the environment by closing loopholes in the oil and gas industries.pic.twitter.com/IG2QJAWtYM",2017-04-06 18:53:54,23,7,850059002084032512
Women should not have to fight for equal pay for equal work. #EqualPayDay,2017-04-04 16:02:22,36,5,849291059934920704
"Today, we remember the sacrifices made by those who served in Vietnam. Thank you for your service. #VietnamVeteransDay ",2017-03-29 21:39:25,22,8,847201555954720769
Today with @USProgressives. The new CBO score reports that 24 million Americans will still lose health care under the House GOP bill.pic.twitter.com/GeFYYO81Vx,2017-03-23 22:01:52,35,22,845032877247119360
Michelle LaCroix of Scranton was my guest last evening to the President’s Joint Address to… https://www.instagram.com/p/BRHHE7Og7UO/ ,2017-03-01 21:51:19,5,2,837057687670120448
Proud to say that I received a 100% on the National Environmental Scorecard from @LCVoters. I will always work to protect our environment.,2017-02-24 19:40:27,43,8,835212814386098176
Thanks to everyone who came out and participated in our town hall meeting last night in Dickson City. https://www.facebook.com/CongressmanMattCartwright/posts/1139050739554363 …,2017-02-23 15:16:11,16,0,834783925117542402
Come join me tonight at 6:30pm in Dickson City for a town hall.http://thetimes-tribune.com/news/cartwright-plans-town-hall-tonight-1.2157933#.WK2bg2lvTH0.twitter …,2017-02-22 14:10:38,7,3,834405041008214016
We need someone who will stand up for sensible protections of our environment. Scott Pruitt is not the right choice to lead the @EPA.,2017-02-16 16:30:04,31,11,832265800459362306
"This morning, I spoke on the importance of guaranteeing coal miners' pensionshttps://youtu.be/Ocfzi9gz0WE ",2016-12-08 17:09:52,24,7,806908667740225536
"Today, we mark 75 years since the attack on Pearl Harbor. We remember all who gave their lives on that fateful day. http://tinyurl.com/z7b4vam ",2016-12-07 15:04:54,7,1,806514832212103168
I #StandWithNancy because she fights for all hard-working families across our country.pic.twitter.com/FSKqchSS1t,2016-11-29 21:36:02,42,13,803714160500572161
".@toryburch glad to see you support #TimeOffToVote. It's important, which is why I introduced a bill:http://tinyurl.com/jnmxgud ",2016-10-25 18:57:31,11,2,790990690394181633
I look forward to working with @BillCassidy to pass this important piece of legislationhttps://twitter.com/BillCassidy/status/739991008969134080 …,2016-06-07 15:20:49,11,3,740201857503657984
There is no reason to discriminate against transgender people...there is no reason to set them up for ostracism in schools #WeAreWithYou,2016-05-17 17:15:29,32,12,732620569573740544
"From the Delaware to the Susquehanna, the Poconos to the Lehigh Valley, people in PA-17 have much to celebrate on #EarthDay",2016-04-22 18:00:25,7,5,723572179544227840
Proud to support the President’s action on the Paris #Climate Agreement on #EarthDay,2016-04-22 17:34:37,16,10,723565685838888961
