Text,Date,Favorites,Retweets,Tweet ID
"Great news! Vets can now apply for a Veterans Identification Card (VIC),  a safer, more convenient way to access their @DeptVetAffairs VA benefits. Visit http://vets.gov  to apply for your VIC card.https://twitter.com/DeptVetAffairs/status/935977071381184513 …",2017-11-30 20:23:03,4,2,936329752708861952
Strongly support #NetNeutrality – keeping the internet free and open. Put the people first!,2017-11-30 20:03:45,1,1,936324893955805189
Strongly support #NetNeutrality – keeping the internet free and open. Put the people first!,2017-11-30 17:01:31,2,1,936279034777960448
Strongly support #NetNeutrality – keeping the internet free and open. Put the people first!,2017-11-30 17:01:16,1,2,936278969132994565
Strongly support #NetNeutrality – keeping the internet free and open. Put the people first!,2017-11-30 17:01:09,1,2,936278940016050178
Strongly support #NetNeutrality – keeping the internet free and open. Put the people first!,2017-11-30 17:01:02,1,1,936278910429487106
Legislation sends strong message to countries considering arms deals with Iran that the U.S. will not allow actions that increase the threat to regional stability.https://goo.gl/W3dw73 ,2017-11-30 16:52:28,2,1,936276754095845377
Congratulations to Lakewood High's Katie McGilvery on winning #FL13 @CongressionalAC. Her innovative “DownTown” app makes it easier to find local events & get involved in your community. The power of #STEM education bringing folks together! #Congress4CShttps://youtu.be/0sJsxDTNPSs ,2017-11-29 21:46:06,5,4,935988261683593218
This Saturday (Dec. 2) at 10am we're hosting an Access to Capital Fair – come learn about #smallbiz lending opportunities in Pinellas. We'll be at the @PinellasTech St Pete campus - Auditorium G8. Hope to see you there!pic.twitter.com/iIMcCsHSNs,2017-11-29 15:12:20,4,2,935889167355179008
"Don’t forget – @HealthCareGov #OpenEnrollment ends December 15th. Let’s #GetCovered, Pinellas!pic.twitter.com/67KtfrY4xc",2017-11-28 14:50:41,14,11,935521334624440320
Entrepreneurs & #smallbiz are the drivers of our economy. Stop by your favorite local businesses this #SmallBizSat! #shopsmallpic.twitter.com/Ggpju3f2l3,2017-11-25 14:10:00,10,2,934423930948816897
"This #Thanksgiving, let’s share the spirit of civility around our dinner tables remembering the #GoldenRule. We truly have so much to be thankful for!  @NICDInstitute @FaithNPoliticshttps://youtu.be/pVYoFZmhW5M ",2017-11-23 15:38:00,17,9,933721300878675975
"Strongly support a free & open internet. #NetNeutrality = fairness & competition. We need tough, stable, enforceable rules of the road!https://twitter.com/nytimes/status/933311627864297473 …",2017-11-22 16:10:16,43,13,933367033722437632
"Strongly support a free & open internet. #NetNeutrality = fairness & competition. We need tough, stable, enforceable rules of the road!",2017-11-22 14:34:24,1,3,933342907989360641
"Strongly support a free & open internet. #NetNeutrality = fairness & competition. We need tough, stable, enforceable rules of the road!",2017-11-21 20:45:11,2,2,933073829542408192
"Strongly support a free & open internet. #NetNeutrality = fairness & competition. We need tough, stable, enforceable rules of the road!",2017-11-21 20:45:03,0,1,933073797476954120
"Strongly support a free & open internet. #NetNeutrality = fairness & competition. We need tough, stable, enforceable rules of the road!",2017-11-21 20:44:50,1,1,933073744167399429
"Strongly support a free & open internet. #NetNeutrality = fairness & competition. We need tough, stable, enforceable rules of the road!",2017-11-21 20:44:42,5,1,933073709384028161
"Strongly support a free & open internet. #NetNeutrality = fairness  & competition. We need tough, stable, enforceable rules of the road!",2017-11-21 17:44:14,1,1,933028294844395521
"Strongly support a free & open internet. #NetNeutrality = fairness  & competition. We need tough, stable, enforceable rules of the road!",2017-11-21 17:44:04,1,1,933028249168416768
"Want help signing up for coverage on http://HealthCare.gov ? Free, professional help is available. #GetCovered before the #OpenEnrollment period ends December 15th!https://twitter.com/PinellasCoNews/status/932960550845329408 …",2017-11-21 17:25:00,4,5,933023454596538368
"Strongly support a free & open internet. #NetNeutrality = fairness  & competition. We need tough, stable, enforceable rules of the road!",2017-11-21 17:07:38,1,1,933019081044905993
