Text,Date,Favorites,Retweets,Tweet ID
Don’t know what a #brownfield is? Check out this video from @EPA. The House is voting today to reauthorize this #bipartisan programhttps://www.youtube.com/watch?v=MUs7uax2VC4 …,2017-11-30 17:05:11,4,6,936279956685979649
"Today I met with actress Edie Falco to discuss combating live-animal mutilation training, and I have decided to sign on to H.R. 1243-Best Practices Act. She is a dedicated advocate and I am impressed by all of her hard work and passion.pic.twitter.com/OkALPSI284",2017-11-29 19:32:24,244,89,935954618735120384
Today is Small Business Saturday. Get out and support our community’s small businesses today and every day #SmallBusinessSaturday,2017-11-25 16:11:19,24,4,934454462780989440
"Every 21 seconds, an American is diagnosed with diabetes. Join me in increasing the sense of urgency around this disease throughout #DiabetesMonth. #ThisIsDiabetes http://diabetes.org/adm ",2017-11-24 15:36:14,16,3,934083244789764097
"Wishing you a very happy Thanksgiving, from my family to yours. May you enjoy it with those dearest to you.pic.twitter.com/La2JepHnWK",2017-11-23 16:31:58,23,4,933734881120735232
"ICYMI: My office is collecting “Holiday Mail for Veterans."" Cards will be delivered to local VA hospitals around the holidays. Anyone interested in participating should contact my office for more information: http://www.wkbw.com/news/rep-collins-kicks-off-annual-holiday-mail-for-veterans-program ….",2017-11-22 18:06:23,6,6,933396253295239169
Stopped in to say hello to Cub Scout Troop 92 in Clarence. Great group learning the fundamentals of scouting while having fun #NY27pic.twitter.com/zg7Nr8og27,2017-11-21 23:56:19,19,1,933121930739138560
Visited a few small businesses around Honeoye Falls with Mayor Rick Milne. Great to meet young entrepreneurs supporting their community. #SmallBiz #NY27pic.twitter.com/7wipX1YsWv,2017-11-21 22:05:30,8,2,933094043524915201
"This month I recognized U.S. Army Veteran, Jeffrey Rase, of Warsaw New York as my office’s “Veteran of the Month.” He served during the Vietnam Era and spent the duration of his deployment working with military intelligence. We thank you for your service Mr. Rase.pic.twitter.com/bAS7CXcmTh",2017-11-21 17:12:32,7,1,933020314883317761
Enjoyed touring Eastern Niagara Hospital in Lockport. Sat down with the administration to discuss ways to strengthen rural healthcare. #NY27pic.twitter.com/V9EfoddBTb,2017-11-20 20:53:59,10,4,932713655472402433
Visited the Genesee County Career Center in Batavia. They’re doing great work helping the GLOW community get the skills they need to succeed in the workforce. #NY27pic.twitter.com/kIBonCOhWm,2017-11-17 16:39:03,6,2,931562335466151936
"The Governor is lying, he never called or spoke to me. If he is lying about something as small as this, you can be assured he is lying about the tax reform legislation passed today.https://twitter.com/matt_hamilton10/status/931263886409502720 …",2017-11-16 22:19:47,1349,1006,931285695976673281
"The Governor is lying, he never called or spoke to me. If he is lying about something as small as this, you can be assured he is lying about the tax reform legislation passed today.",2017-11-16 22:17:21,70,30,931285084409249792
"The House Republican #TaxReform will save a family of 4 in Wyoming County an average of $1,509. Based upon average family household income, average home value, an estimated mortgage interest of 4%, and state and property taxes. #WNY",2017-11-16 18:54:00,12,13,931233912218583040
