Text,Date,Favorites,Retweets,Tweet ID
"While I believe Americans are overtaxed and need relief, I must vote “no” this week on the tax bill, H.R. 1, because of its negative impact on both New Jersey and my congressional district.http://bit.ly/2AKUoBx ",2017-11-14 21:21:49,261,81,930546333294977024
"Spoke at a sobering ceremony opening the “Journeys Beyond Genocide"" exhibit at Brookdale College yesterday, honoring victims & survivors of three different genocides. We must all do more to ensure ""never again"" is reality, not a wish. Click here for more:http://bit.ly/2jr9OGV ",2017-11-13 22:26:26,30,15,930200207459004421
I remain opposed to eliminating the SALT deduction & will keep fighting to protect NJ04 from being taxed twice.https://twitter.com/NACoTweets/status/923952959926554624 …,2017-10-27 17:55:04,67,7,923971324510392320
Pleased to join Sgt. Andy O'Neill & friends/family as he was honored with national award for his life-saving actions this past Father's Day.pic.twitter.com/Bkc6GseBvB,2017-10-21 17:35:08,31,10,921791979498983424
Had the privilege of joining the Walk to End #Alzheimers in Bradley Beach this weekend. Thanks to all who came out! http://bit.ly/2yx6kry pic.twitter.com/1dCxOSiJUf,2017-10-17 22:27:36,42,12,920416027514757122
Lifting the Jones Act - an important step in providing humanitarian relief to PR. Supplies & resources remain an ongoing need.,2017-09-28 14:02:54,59,13,913403649090555904
"Great groundbreaking at the @CountBasieThtr today. ICYMI, here is the @AsburyParkPress story:http://www.app.com/story/entertainment/music/2017/09/20/count-basie-theatre-breaks-ground-23-million-expansion/684436001/ …",2017-09-20 21:45:28,24,5,910620952391757830
"Today is #POWMIARecognitionDay, where we remember those American heroes who were taken prisoner or remain missing. #YouAreNotForgottenpic.twitter.com/taBIhHXkTB",2017-09-15 22:08:25,44,18,908814790872748033
"Harvey: Federal government partnering with state and local must provide
immediate resources & expertise for rescue, recovery & resiliencepic.twitter.com/n5To4Q0XJJ",2017-08-29 14:54:29,23,5,902544992048205825
Holbrook Little League with a big win #LLWS! Congrats! Good luck Monday at 3pm.,2017-08-20 00:56:38,28,10,899072649900457984
Training is what preserves the peace. Honored to participate in the opening of the new training facility in Sea Girt.pic.twitter.com/yTZYbJMVA3,2017-08-18 20:47:29,21,8,898647561849847808
".@SONewJersey Thank you for taking the time to join me in my Hamilton office, I enjoyed learning more about Special Olympics from Alexahttps://twitter.com/SONewJersey/status/898565824583131136 …",2017-08-18 15:48:29,18,8,898572314555502593
Holbrook plays again on Sat #LLWS after strong play but tough loss by just one run.  Good luck team. Go Holbrook.,2017-08-17 23:17:06,14,2,898322824338616322
Congratulations and good luck to Jackson's Holbrook Little League team as they face the Fairfield Americans at 3 pm today #LLWS,2017-08-17 17:44:59,19,2,898239245877424128
"The violence triggered by the deplorable white nationalist rally is outrageous. We must recommit to peace, reconciliation and nonviolence",2017-08-12 22:23:08,161,51,896497305603366913
Many thanks to #NJ04 residents & @monarchhousing for helping to defend affordable housing and protect homeless vetspic.twitter.com/WS9KK6Huwl,2017-07-30 17:58:12,20,9,891719592904708096
HR873 helps recognize the sacrifices of our vets who served in the War on Terror. Proud to co-sponsor and help it pass in the House.,2017-07-28 21:06:01,11,3,891042080033779713
"Kristen, Riya, Brianna & Dylan of NJ’s @SADDnation shared key info about the 4 Ds to avoid while driving: Drowsy Drugged Distracted & Drunkpic.twitter.com/3dVEeyyHz6",2017-07-26 20:55:01,19,6,890314536091308032
"House Passes Bill to Sanction Iran, Russia and North Korea:https://chrissmith.house.gov/news/documentsingle.aspx?DocumentID=400532 …",2017-07-25 21:20:58,80,23,889958679826624512
The Congressional App Challenge starts in 2 days. To enter and compete in the #HouseofCode click here: http://www.congressionalappchallenge.us/ pic.twitter.com/w5KWgaLYF1,2017-07-24 22:22:08,8,8,889611683454476288
"Blood supplies are near critical levels in NJ. If able, please consider visiting your local blood collection center, donate and save a life",2017-07-21 18:33:01,24,17,888466862367002628
Frank Wolf continues to be a great leader and friend. I am honored to work with him on #HumanRights & #ReligiousFreedom issues.https://twitter.com/21Wilberforce/status/887776191150780416 …,2017-07-20 12:20:04,23,6,888010619185659906
"Wonderful to see the Carver family who came for their tour of the Capitol. For your own tour, call Angela in my DC office: (202) 225-3765pic.twitter.com/Tq2ZUKDaic",2017-07-18 23:13:23,21,4,887450255607963648
Proud to join my colleagues in a bipartisan vote for the largest pay raise for our nation’s men and women in uniform in 6 years #NDAApic.twitter.com/NvF6wT3Od4,2017-07-14 21:58:25,32,9,885981838812094464
.@nature_NJ the beach & the jetty in Belmar where I proposed to my wife in 1977.https://twitter.com/nature_NJ/status/885569787857915904 …,2017-07-13 22:26:44,19,4,885626575575805952
