Text,Date,Favorites,Retweets,Tweet ID
"Victims of sexual harassment should not be forced into silence. My bill, the Victims' Voice and Transparency Act, gives them the option to speak.pic.twitter.com/lkTzEUV0Tk",2017-11-30 15:29:36,19,4,936255901492826112
Last week I called for the release of names and settlement amounts of Members of Congress who are accused of sexual misconduct. Today I am introducing legislation that will give victims a voice and transparency for the American people.,2017-11-29 19:36:59,77,28,935955771946340354
Battle going on between Trump and Obama holdovers over interim CFPB director. Simple solution. Jeb Hensarling as the new director.  Wouldn't that be sweet!,2017-11-27 18:29:45,14,4,935214073414787072
"Today, I am calling for the names of Members of Congress accused of sexual misconduct to be released, along with the settlement payment amounts. The American people deserve the utmost level of transparency.",2017-11-21 20:42:34,194,72,933073172886409216
All Americans are disturbed and disappointed as we learned how pervasive sexual harassment has been in some parts of our culture. It is never appropriate and must be challenged at every level. That is especially true of Members of Congress.,2017-11-21 20:42:18,63,17,933073105240674309
Sweet!!!pic.twitter.com/2NXlbf77CN,2017-11-16 18:51:44,21,5,931233339956133889
"HUGE shoutout to my former chief of staff Brian Steed, the new acting director of the BLM. He's going to do such a great job. Huge for Utah. Huge for the West.  Proud to call him a friend.",2017-11-16 18:18:42,61,13,931225026958905345
Talking tax reform w prez. Going to do it!  First time in more than 30 years! Help millions of Americans!  Do your taxes on a post card. A beautiful thing! (Can't imagine being a Democrat and telling voters I'm not going to give you a tax cut.)pic.twitter.com/8ztzxCTOKz,2017-11-16 17:08:00,18,6,931207235782496258
"If the allegations against Roy Moore are true, he should immediately withdraw his name and no longer pursue public service in the Senate.",2017-11-10 21:11:50,44,15,929094270002384896
Woke up to news of the #UofUShooting this morning. Grateful for first responders and their rapid response.,2017-10-31 13:15:48,21,3,925350592620519424
It's great to have a @POTUS who listens to the federal delegation & locally elected officials & who has the courage to make necessary change,2017-10-27 22:11:47,33,14,924035929295216640
I have worked closely with Secretary Zinke throughout the review process and I am very confident this will be a win-win for our state.,2017-10-27 22:09:24,18,5,924035329174188032
