Text,Date,Favorites,Retweets,Tweet ID
North Korea's missile launch reaffirms the need for a stronger military & increased national defense spending. The safety & security of our nation is not something to be taken lightly. The actions of #NorthKorea send a clear message.,2017-11-28 22:01:32,13,8,935629760704729093
"Did you know: In today’s society fewer Americans are smoking and lung cancer rates are declining, yet the disease remains the number one cause of cancer death in the United States.  November is #LungCancerAwarenessMonthhttp://bit.ly/2hXubHz ",2017-11-28 21:28:01,3,2,935621324575264768
"From my family to yours, I wish you a very blessed and #HappyThanksgiving2017.pic.twitter.com/N8dyVEmfhy",2017-11-23 17:07:46,23,5,933743892805144576
PASSED: The Tax Cuts & Jobs Act. My statement on this historic legislation→http://bit.ly/2jyqjAN ,2017-11-16 19:59:52,7,4,931250488250691585
"Thank you @POTUS for coming to #Capitol Hill to discuss today's monumental vote on H.R. 1, the #TaxCutsAndJobsAct. Finally, Americans will have long-awaited, #fair, #simple tax reform.pic.twitter.com/ncgsPy4nfs",2017-11-16 18:13:54,22,8,931223820341522434
Great interview this morning on an array of topics including #TaxCutsAndJobsAct & #TrumpInAsia with @LatriciaTnc9. Always a pleasure to speak with you.https://twitter.com/SBGC2C/status/930847363366883330 …,2017-11-15 20:48:18,0,3,930900286843113473
"Today the House reaffirmed our commitment to national security with the passage of the conference report for #FY18NDAA. Now our troops will have the resources necessary to confront an increasingly dangerous global situation, in addition to the largest pay increase in 8 years.pic.twitter.com/Vfnz1fNrss",2017-11-14 22:42:03,55,10,930566524842184704
"On average, the #TaxCutsandJobsAct means $2,259 in the pockets of Tennesseans. What would you do with the extra money?pic.twitter.com/MRF9CfrZgI",2017-11-14 19:01:33,109,49,930511036956004352
My #VeteransDay message:pic.twitter.com/GEi09JhIwx,2017-11-11 17:18:11,1,1,929397856800333824
"Please join me in praying for city of Sutherland Springs, Texas, & all who are suffering after the horrible shooting. My heart is with you.",2017-11-05 20:38:10,24,11,927273857844744195
"Simpler, fairer, easier, & more money in your pocket. #GOPTaxPlanhttps://twitter.com/DrewPetrimoulx/status/926219666581803009 …",2017-11-03 14:17:22,1,0,926453249988878337
"Today, @WaysandMeansGOP released the Tax Cuts and Jobs Act. Click to learn more about what #TaxReform means for you:http://bit.ly/2hbh4pn ",2017-11-02 21:58:14,1,1,926206844367974400
Q&A with @DrewPetrimoulx discussing how the #GOPTaxPlan is going to put money back into the pockets of #TN03 families.pic.twitter.com/AVUAkQVoh7,2017-11-02 17:36:25,2,0,926140956243570698
"Great speaking with you about important issues facing our Nation, Hannah.https://twitter.com/hannah_nc9/status/925752262391140357 …",2017-11-01 16:00:01,1,1,925754310373396481
"Sending my prayers to Manhattan, the victims, and their families after this apparent act of terror.",2017-10-31 21:44:46,5,2,925478679874101248
Thank you Latricia Milburn & Kathryn Lewis for your work on Down Syndrome research. Great meeting you this week. @GDSFoundationpic.twitter.com/KJNNpiWRpC,2017-10-27 20:22:51,12,3,924008511364792320
