Text,Date,Favorites,Retweets,Tweet ID
I was honored to be among the advocates who made the #AlzheimersStamp possible. This stamp is a way everybody can contribute. The pennies add up!pic.twitter.com/GnOCFd7wUi,2017-11-30 16:11:37,210,40,936266476771774465
Proud to join the @USPS in celebrating the dedication of the #AlzheimersStamp. This stamp will help both raise awareness and aid in funding research--taking us one step closer to defeating Alzheimer's.https://twitter.com/USPS/status/936239749349638144 …,2017-11-30 15:09:32,203,76,936250851030634498
http://www.abc2news.com/news/region/baltimore-city/house-field-hearing-in-baltimore-on-opioid-crisis-and-battling-addiction …,2017-11-29 14:16:55,29,16,935875223773220864
http://wjla.com/news/nation-world/house-committee-looks-for-solution-to-battling-opioid-crisis …,2017-11-29 14:14:55,24,9,935874717436841985
http://baltimore.cbslocal.com/2017/11/28/opioid-crisis-meeting/ …,2017-11-29 14:08:34,49,20,935873120749215744
Glad to bring a Congressional hearing to my city of Baltimore and focus attention on the national #opioidepidemic - a disease that does not discriminate.pic.twitter.com/CvyWJNpDAw,2017-11-28 17:50:36,172,50,935566609531523072
Eager to join everyone tonight!https://twitter.com/indivisible410/status/935175174965559300 …,2017-11-27 22:38:29,169,41,935276669790773248
Coming up at 9:40 this morning I will join the WBAL TV Morning News team to talk about my Dec. 4th College Fair and Nov. 28th hearing in Baltimore on the opioid crisis. Tune in!,2017-11-19 14:17:04,336,35,932251381284724736
Please join me in praying for the Baltimore City Police Officer shot today and his family.,2017-11-16 03:43:53,3241,572,931004873935552518
"Be on the lookout for my interview with @YolandaVazquez7. We'll be talking about my Dec. 4th ""How to Pay for College"" Seminar to take place at MICA's Brown Center.https://twitter.com/YolandaVazquez7/status/930546701831737344 …",2017-11-14 21:40:30,147,36,930551037525659656
"Proud to be a part of the Baltimore Homecoming Host Committee, and looking forward to the first Homecoming next October! #bmorehomehttps://twitter.com/BMoreHomecoming/status/930058571215265792 …",2017-11-13 22:19:18,113,21,930198414729596930
#POTUS picking former drug exec  to lead HHS is like a fox guarding the hen house. This is a slap in the face to millions of Americans who are waiting on POTUS to take action to lower drug prices.,2017-11-13 18:58:23,336,156,930147852432629760
"Last year @SenSanders and I sent letters to @DOJ and @FTC about #EliLilly insulin prices – now state AGs are investigating.  
https://www.sanders.senate.gov/download/sanders-cummings-letter-to-doj-ftc-on-insulin?inline=file …",2017-11-13 18:57:59,231,93,930147748363538432
"#POTUS promised to “drain the swamp” and “lower drug prices” but he hasn’t taken any action. Instead, he is nominating Azar, the CEO at #EliLilly, which raised drug prices by double digits under his watch.",2017-11-13 18:57:28,276,199,930147620617703424
"#POTUS said PHRMA has been “getting away with murder,” so why is he nominating a former #EliLilly drug exec to lead HHS?",2017-11-13 18:57:01,1511,666,930147505064611841
"Coming up at 1:00pm, join us live on Facebook for a press conference on the importance of signing up for healthcare coverage. https://www.facebook.com/elijahcummings/?ref=bookmarks …
@DrLeanaWen #ACA #GetCovered",2017-11-13 17:48:06,118,71,930130162032791553
The administration must #SaveTPS and protect the lives of families who have found refuge here from natural disasters and economic despair.,2017-11-06 17:22:00,171,71,927586879859580937
"#TPS recipients are part of our communities. They pay taxes, own homes and businesses, and many have children who are US citizens. #SaveTPS",2017-11-06 17:21:31,233,109,927586760024092672
The US has always been a place where immigrants from around the world have been given the opportunity to fulfill their greatest potential.,2017-11-06 17:20:57,76,36,927586615136083968
I am appalled by reports that the Trump Administration plans to end #TPS for hundreds of thousands of people from Haiti and Central America.,2017-11-06 17:20:23,717,303,927586474383630336
"I am heartbroken by the act of terror in a house of worship in Sutherland Springs, TX. My prayers are with the victims of this tragedy.",2017-11-05 22:12:22,1519,265,927297563644039174
MUST READ: @OversightDems File Federal Suit Against Trump Administration for Withholding Documents on #Trump Hotel.http://bit.ly/2lGLpxs ,2017-11-03 13:45:48,882,467,926445307335987203
Take a look at my thoughts on White House corruption in Newsweek’s new cover storyhttps://twitter.com/Newsweek/status/926088011166699520 …,2017-11-02 16:02:44,1204,476,926117381646245888
I am truly honored and excited about this opportunity.https://twitter.com/thedbk/status/925875857079586816 …,2017-11-02 15:56:32,393,40,926115817753841664
Open enrollment starts TODAY. Head over to http://marylandhealthconnection.gov  and #GetCovered before the Dec. 15 deadline!https://twitter.com/baltimoresun/status/925693658111733761 …,2017-11-01 14:09:51,534,314,925726582391672832
"Today @SenSanders, @PeterWelch and I will be introducing legislation to make sure that #HHS can negotiate Medicare drug prices.",2017-10-25 12:43:52,1325,379,923168229249384448
#POTUS #Trump must lower the price of Naloxone like his own commission recommended.,2017-10-25 12:43:20,291,65,923168094926917638
#POTUS #Trump said he'll declare the #opioidcrisis a national emergency – but it's not enough to say some words and have a press conference.,2017-10-25 12:43:00,763,171,923168013880315904
.@realDonaldTrump it’s good you’ll finally designate the #OpioidCrisis a national emergency but you also need to lower the price of Naloxonepic.twitter.com/VZJ50sORTC,2017-10-18 20:29:08,151,54,920748605614501888
.@realDonaldTrump your own Commission recommended lowering the price of the life-saving drug as 50 of us in Congress wrote to you last monthhttps://twitter.com/CNN/status/920243533730205696 …,2017-10-18 20:24:59,979,381,920747560767229952
"A clean #DREAMAct will pass Congress with bipartisan support. But for that to happen, @SpeakerRyan must allow a vote.",2017-10-10 18:27:25,228,111,917818869124927488
These ridiculous proposals are non-starters. Period. It’s time for @HouseGOP to focus on what matters and support the #DREAMAct.,2017-10-10 18:26:52,257,75,917818731795017729
The last thing we need is this latest resurgence of anti-immigrant extremism. Congress must reject it & #ProtectDREAMers.,2017-10-10 18:26:07,186,56,917818544397615104
"Once again, President Trump has broken his promise to DREAMers. He said DREAMers are a ""case of heart"" but these “principles” are heartless.https://twitter.com/washingtonpost/status/917175589848649728 …",2017-10-10 18:25:23,1206,542,917818357524688897
"I’ll join Rachel @maddow tonight at 9:20 to discuss my email preservation letters to Ivanka, Kushner, the Trump Org, and others. Tune in!",2017-10-05 20:54:06,6755,1578,916043845174935552
Congress must act to end the use of bump stocks and the destruction they cause. That's why I'm joining @davidcicilline's bill to ban them.https://twitter.com/davidcicilline/status/915665276540260352 …,2017-10-05 18:46:43,961,267,916011787732045824
@RepCummings presses Amtrak on redeveloping Penn Station. Amtrak hopes to announce developer in 60-90 days. Watch:https://youtu.be/oS3rw6eZISs ,2017-10-04 17:44:46,84,19,915633810091511808
I stand with @NancyPelosi and call on @SpeakerRyan to join us in support of a Select Committee to solve the gun violence epidemic.https://twitter.com/NancyPelosi/status/914907736395182081 …,2017-10-02 19:22:36,6507,2905,914933655331643402
I am horrified by the senseless mass shooting in Las Vegas. My heart goes out to the victims and their families. May God watch over them.,2017-10-02 11:54:55,2307,447,914820989258780672
We must act with the urgency of now for our fellow Americans in #PuertoRico. This is what democracy looks like. #PuertoRicoRelief,2017-09-29 17:40:46,431,174,913820865388834816
