Text,Date,Favorites,Retweets,Tweet ID
"The #GOPTaxScam was written by wealthy Republican donors, for wealthy Republican donors.",2017-11-30 22:33:35,6,7,936362599897337856
"While providing a massive handout to giant corporations, the reckless #GOPTaxScam makes it harder for students to afford college.https://twitter.com/npratc/status/936053904218959874 …",2017-11-30 17:15:06,1,0,936282450166206464
Donald Trump has promised us that giant corporations would use their massive tax giveaways to create jobs and raise wages. What's the problem with that? Giant corporations themselves are saying that's not true. #GOPTaxScamhttps://twitter.com/bpolitics/status/935830483350491137 …,2017-11-29 15:38:45,8,5,935895815662522368
The open enrollment period to purchase health insurance is underway and ends on December 15th. Visit http://HealthCare.gov  to shop and save today! Financial help is available and premiums may be more affordable than you think. Go #GetCovered!pic.twitter.com/BYI4fZA94O,2017-11-28 16:24:18,7,8,935544893379895296
"From #NetNeutrality to massive tax handouts in the pockets of those who need it the least, Trump has repeatedly sided with giant corporations over hardworking Americans. Here are my thoughts, as published in the @SunSentinel South Florida 100.pic.twitter.com/GG1v0Rm3sp",2017-11-27 15:52:28,18,25,935174492296491009
"From my family to yours, we wish you a meaningful and safe holiday, and a truly Happy Thanksgiving.pic.twitter.com/mswnRjduuz",2017-11-23 17:31:25,23,7,933749841645178880
The Trump Administration's proposal to essentially end #NetNeutrality is a direct threat to a free and open internet and an outright assault on American entrepreneurship and innovation.,2017-11-22 16:21:34,38,23,933369876638466048
Every Member of Congress who voted for the #GOPTaxScam has some serious explaining to do.https://twitter.com/bpolitics/status/932941708249239552 …,2017-11-21 16:16:22,15,6,933006178547896320
"The @DHSgov decision to send 60,000 Haitians back to a country that can’t sustain them is cruel, unjust & ignores the reality on the ground. It’s also another heartless, irrational Trump immigration decision. Congress must act to reverse this callous act.",2017-11-21 02:17:51,32,21,932795159913385984
"On #WorldChildrensDay, I’m proud to fight for every child’s rights, welfare & acces to education. Let’s support every #VoiceOfTomorrowpic.twitter.com/IBli3RmvjN",2017-11-20 20:55:23,8,4,932714008817422337
Today we reflect upon the violence taken against the transgender community and remember all of those who have been killed as a result. It's time we put an end to this violence. #TDOR #eqaulitypic.twitter.com/rfMU9G41ul,2017-11-20 19:46:34,10,8,932696691240730624
Voters aren't falling for the #GOPTaxPlan scam that would raise taxes on millions of middle class Americans just to give deficit-bloating handouts to the wealthy few.https://www.cbsnews.com/news/voters-give-thumbs-down-to-gop-tax-plans-in-quinnipiac-poll/ …,2017-11-20 15:35:24,8,17,932633481133338624
The revolting tax plan passed by Republicans today is an underhanded assault on hardworking Americans.,2017-11-16 21:39:43,4,2,931275613586857984
I'm so proud of the community activists and leaders in Hollywood who set an example for the rest of the nation to follow. We must continue to stand up for equality whenever and wherever it is threatened.https://twitter.com/susannah_bryan/status/930896442478219264 …,2017-11-16 14:44:43,11,4,931171176054915073
"In order to give corporations a massive handout, the #GOPTaxScam would cut billions from Medicare. Tells you everything you need to know about their priorities.https://twitter.com/sahilkapur/status/930565458658578433 …",2017-11-15 15:35:07,11,9,930821472121171968
You can now schedule meetings with @DeptVetAffairs facilities online. Info here:https://www.va.gov/HEALTH/NewsFeatures/2017/November/Online_VA_Scheduling_Now_Available_Through_My_Heal.asp …,2017-11-14 21:16:53,1,1,930545092099805184
"If Donald Trump wants to see evidence of climate change, he should come down to my district during the king tides and see the dead fish in the streets. #StillIn #ActOnClimatepic.twitter.com/pY9hKZYfaY",2017-11-14 18:38:42,21,8,930505286393192448
The truth about the #GOPTaxScam is not pretty.pic.twitter.com/o6cJruzF0A,2017-11-14 16:13:30,10,4,930468744798883840
