Text,Date,Favorites,Retweets,Tweet ID
"I'm at the @HouseHomeland hearing on world wide threats. It's critical that we continue to analyze the dangers facing our country, including ISIS, domestic radicalization, cyber attacks, and border security. Watch live by clicking the link. http://bit.ly/2AI33HM pic.twitter.com/wbfDbJbksM",2017-11-30 15:42:10,11,6,936259065939886083
"ICYMI: Today, I joined @ATF President @rweingarten, @usblackchambers President Ron Busby, and my colleagues @RepPeteKing @RepLeeZeldin to call for changes to the tax reform bill. We need tax relief, but not on the backs of middle class New Yorkers.pic.twitter.com/g0snRBdVE3",2017-11-29 22:58:49,13,12,936006561931104257
"I cosponsored and voted to pass H.Res. 630, legislation that requires all House members and staff to undergo anti-sexual harassment and anti-discrimination training. This is a positive step forward, but there is still much more work to be done.http://bit.ly/2jweRC1 ",2017-11-29 22:47:09,17,2,936003625285021698
Check out this great analysis by @Saunderswsj. NY already sends Washington more than our fair share in tax dollars. My constituents deserve the same tax relief as everybody else --> http://on.wsj.com/2Bmh4ar  via @WSJ,2017-11-29 20:39:16,4,5,935971445011861504
"I sent a letter to the PANYNJ, calling for the agency to analyze traffic congestion problems before getting on the Goethals. Multiple toll lanes merge into just 2 lanes to get onto the bridge, causing severe traffic problems for commuters & NY-11 residents. Full letter below.pic.twitter.com/MG5BDSQx5X",2017-11-28 21:26:28,8,2,935620936715374592
"I submitted testimony to the City's Monument Commission blasting efforts to sanitize history by removing monuments, including the Christopher Columbus statue. Read my full remarks here:http://bit.ly/2BlFRvr ",2017-11-28 17:43:05,10,5,935564720089829382
"Today is #SmallBusinessSaturday, a day to support the local businesses that make NY-11 great! Whether it's creating jobs, growing our economy, or investing locally, small businesses are the backbone of our community. What is your favorite small biz on Staten Island or Brooklyn?pic.twitter.com/RLjuLnkCfo",2017-11-25 21:27:56,8,2,934534141269471232
Thank you. A very Happy Thanksgiving to you and your family as well!,2017-11-23 17:56:58,1,0,933756272243040256
"Happy Thanksgiving! Today, let us all reflect on our blessings and celebrate the freedoms we enjoy as a nation. A special thank you to the brave men and women in uniform who have to spend the holidays away from home. We are forever grateful for your service and sacrifice.pic.twitter.com/kxQJZv8nJI",2017-11-23 17:30:17,16,1,933749558911426560
"I recently joined NY-11 resident Carmine Gentile, who is working towards becoming an Eagle Scout, to see his efforts to repair the historic Gravesend Cemetery. Carmine's project is making a difference in our community, and I applaud his hard work!pic.twitter.com/P9ch5UG0yz",2017-11-22 19:22:37,14,3,933415438893150208
Wishing a speedy recovery to the eight sailors found and praying for those still missing. Please keep these brave service members and their families in your thoughts.https://twitter.com/USNavy/status/933281288563208194 …,2017-11-22 15:59:45,8,2,933364388135866368
Please contact the NYPD if you have any information that can help apprehend this suspect.https://twitter.com/nypd62pct/status/931994260932620288 …,2017-11-22 02:38:13,7,5,933162672492826624
I commend President Trump’s strong decision to place North Korea back on the list of state sponsors of terrorism. This rogue regime is a menace to the world and must be met with strength. http://bit.ly/2zmrMRI pic.twitter.com/xQu0pKiQSp,2017-11-20 18:20:38,5,3,932675065342283777
"We need to fix this bill, so every American gets the tax relief they deserve.https://twitter.com/foxbusiness/status/932040738388377600 …",2017-11-19 00:26:41,29,12,932042408870797312
Looking forward to joining @TeamCavuto on @FoxBusiness in a few minutes,2017-11-17 17:56:24,4,2,931581805156884480
Palestinian Authority is a big recipient of foreign aid; they also pay generously for acts of murder and terror. #TaylorForceAct says American dollars should not fund a regime that supports attacks on the innocent. http://bit.ly/2j42ZXB  via @BreitbartNews,2017-11-17 17:49:15,4,1,931580002260398082
"I spoke with @CNBC @PowerLunch this afternoon about why double taxation is wrong and unfair the families I represent, and about the compromise solution I proposed with my colleagues. Check it out:http://cnb.cx/2myBXN3 ",2017-11-16 20:39:19,36,11,931260413093691392
Today I voted to pass the Taylor Force Act out of the @HouseForeign Committee. This critical bill ends U.S. financial assistance to the Palestinian Authority until it stops compensating terrorists for their acts of violence. Learn more: http://bit.ly/2AIA6aU pic.twitter.com/et6Oj3PGcm,2017-11-15 21:16:12,19,11,930907309957697536
"GREAT NEWS → The House passed the #NDAA. The bill not only gives our troops a well-deserved pay raise and strengthens our military readiness, but it also includes my amendment to help Staten Island student-veterans. Learn more: http://bit.ly/2htvnCc pic.twitter.com/GFagM1x3xi",2017-11-14 23:47:38,13,5,930583030850301952
I stopped by Eger nursing home to thank the vets living there for their service. We owe them a lifetime of gratitudepic.twitter.com/aAmXSjNuP8,2017-11-11 17:11:09,22,5,929396087366062080
To America's veterans and active service members: Thank You. Your country honors you on #VeteransDay and every day.pic.twitter.com/DDpWqCU3ar,2017-11-11 16:00:18,13,3,929378258151526400
"Happy 242nd birthday to the @USMC! Thank you to every brave Marine, past and present, for your service, sacrifice, and dedication to protecting our great nation. #SemperFipic.twitter.com/5KscIDLsBA",2017-11-10 20:08:13,8,2,929078261052821505
"I want nothing more than to vote for a tax plan that unleashes our country’s full economic potential, but not if it’s paid for by my constituents. Read my @nydailynews op-ed on the importance of the SALT deduction and ideas for compromise. http://nydn.us/2zrUhwy  #TaxReform",2017-11-09 18:52:25,37,22,928696799078047750
I extend my condolences to the families who lost loved ones and homes in today's fire in Dyker Heights. Thank you to the FDNY for their quick action and work to put out the fire. Please keep all those impacted by this tragedy in your prayers.http://cbsloc.al/2zKmRKs ,2017-11-09 17:17:33,9,6,928672922499153921
"Lots of good progress on @nycgov DEP's #Bluebelt natural storm water system, which will also help support @USACE_NY seawall/drainage.pic.twitter.com/HgeXUo7R72",2017-11-06 20:46:41,4,1,927638389045809152
ICYMI: Wrote a joint op-ed w/ 6 of my colleagues on need for multi-pronged approach to solve the opioid crisis:http://fxn.ws/2iRkXQV ,2017-11-06 19:27:57,8,4,927618577980706816
"Deeply saddened by the horrific act of violence in Sutherland Springs. Our nation stands w/ the victims, their families & the TX community.",2017-11-06 15:10:30,4,2,927553785542606848
Statement from Congressman Dan Donovan on the Proposed Tax Reform Plan http://bit.ly/2zfP8Hu pic.twitter.com/WFvqt8VF6J,2017-11-02 22:23:42,28,9,926213251414790144
I'll be joining @HARRISFAULKNER this afternoon to discuss yesterday's tragedyhttps://twitter.com/HARRISFAULKNER/status/925744617500356608 …,2017-11-01 15:23:22,3,2,925745086742384640
New York City will always be stronger than the terrorists who wish us harm http://bit.ly/2hsnI7C pic.twitter.com/bKKiTdM1Wh,2017-10-31 22:31:38,52,12,925490473975926785
I've been briefed on tragedy in #Manhattan. Many details still to be investigated. What's clear is #NYPD responded quickly + decisively.,2017-10-31 21:00:00,13,9,925467413122084864
East Shore seawall to reduce flood insurance premiums via @siadvancehttp://bit.ly/2hlCHjy ,2017-10-29 18:29:32,6,2,924704772669739010
"...based on @USACE_NY info and design, FEMA confirmed that the seawall will reduce flood insurance premiums and remove ppl from floodplain",2017-10-29 15:59:56,6,1,924667124894846976
Had a GREAT meeting with @fema flood insurance director Roy Wright and @USACE_NY Col Asbery about the flood protection seawall for SI...pic.twitter.com/8Qvu42q9RO,2017-10-29 15:58:58,6,3,924666878668222465
Voted to protect SALT deduction for NY families. Committed to negotiating deal to deliver comprehensive tax reform:http://bit.ly/2xpE2ft ,2017-10-26 19:49:57,20,5,923637846648541184
Looking forward to joining @POTUS for today's announcement on combating the opioid epidemic,2017-10-26 12:55:10,13,5,923533462300250112
Happy #Diwali to everyone celebrating this festival of lights in NY-11 and around the world!,2017-10-19 22:58:39,3,0,921148618781929472
Had a good meeting this morning w local folks about immigration. The can has been kicked down the road for yrs. Time to find solutions.,2017-10-19 21:43:05,28,5,921129602281627648
"It was an honor to present Nancy Lewis w/ a flag flown over the US Capitol to recognize the service of her late uncle, Pvt. Joseph Carbone.https://twitter.com/news12bk/status/920702221746089984 …",2017-10-19 15:31:12,6,6,921036015527186434
Holding a roundtable with NY-11 veterans in Brooklyn. Lots of discussion on local VA care and services.pic.twitter.com/jHZbyg5Uze,2017-10-19 15:17:26,8,2,921032549845041153
The hateful messages that have been seen on the South Shore recently are sickening and will not be tolerated in our community.pic.twitter.com/hyELbDIUvI,2017-10-19 02:08:32,7,3,920834017112489991
Groups want NYPD to end gang databases? I have never heard a more ridiculous and backwards idea than this:http://bit.ly/2zjF7FX ,2017-10-18 20:18:27,11,4,920745916855996416
The conviction of Ahmad Rahimi sends a powerful message to all those who wish us harm: terror will never win.http://bit.ly/2wZuhnL ,2017-10-16 18:54:34,9,5,920000029959622656
Spoke this AM @nyulangone about cybersecurity of medical devices. Thanks @HANYScomm for sponsoring!pic.twitter.com/oTgLeSKiah,2017-10-16 17:37:49,4,1,919980713906200576
It's time for Iran to be held accountable for its destabilizing behavior. I fully support @POTUS new strategy: http://bit.ly/2g9qAFC pic.twitter.com/Uix0wuF695,2017-10-13 20:23:09,6,3,918935156970409984
