Text,Date,Favorites,Retweets,Tweet ID
"I agree @SenBillNelson #GOPTaxScam devastates #PuertoRico, no personal or biz tax relief #sayfie @OsceolaStarNewshttp://www.tampabay.com/florida-politics/buzz/2017/11/30/tax-bill-would-send-another-hurricane-to-puerto-rico-says-bill-nelson/ …",2017-11-30 15:17:28,8,9,936252848618254337
Enjoyed discussing bipartisanship in Congress w @thehill at @AmericanU @NoLabelsOrg #Sayfie @HouseNewDemshttp://thehill.com/latino/362495-lawmakers-discuss-how-to-curb-partisanship …,2017-11-30 13:39:45,5,5,936228256377917441
Proud to stand w @SenSanders & @SenWarren to present our comprehensive plan to Rebuild #PuertoRico! #Sayfie @theledger @OsceolaNewspic.twitter.com/Pe7PxyQV9y,2017-11-29 14:40:44,60,29,935881217316216833
"We talk about power to the people, well the people of Puerto Rico & the USVI still need power! Time to rebuild more renewable and resilient grids. Proud to support legislation alongside @SenSanders & @NydiaVelazquezpic.twitter.com/ZlGy3owzs3",2017-11-28 15:42:59,61,36,935534492986507264
"@USCBO review of #GOPTaxScam shows it’s worse than we thought, especially for middle class & poor #Sayfiehttps://www.washingtonpost.com/news/wonk/wp/2017/11/26/senate-gop-tax-bill-hurts-the-poor-more-than-originally-thought-cbo-finds/ …",2017-11-27 20:49:41,36,41,935249292008349696
"Protecting DACA recipients might be the most popular, uniting, bipartisan issue in America right now. I urge my GOP colleagues & the @WhiteHouse to take action to #ProtectDreamers now!http://www.foxnews.com/politics/2017/09/28/fox-news-poll-83-percent-support-pathway-to-citizenship-for-illegal-immigrants.html …",2017-11-27 19:50:52,50,30,935234489000873984
Time for Congress to pass our resolution banning dog & cat meat trade! @HumaneSociety #sayfiehttp://sunshinestatenews.com/story/alcee-hastings-vern-buchanans-resolution-ban-cat-and-dog-meat-trade-gaining-momentum-capitol …,2017-11-26 16:30:50,2,2,934821760230395904
Hey @CFXway it’s time to reroute proposed Osceola Pkwy Extension & #SaveSplitOak @OsceolaNews #sayfie http://www.aroundosceola.com/residents-to-commission-protect-split-oak/ …,2017-11-25 14:32:05,5,1,934429489647575043
I oppose Trump’s @FCC proposed repeal of #NetNuetrality we must protect our #1stAmendment rights! #sayfiehttps://soto.house.gov/media/press-releases/soto-statement-fcc-repeal-net-neutrality-rules …,2017-11-24 16:48:58,24,8,934101548384350208
I oppose repeal of #netneutrality rules @dabossrosspat and have stated so already on several occasions thanks!https://twitter.com/dabossrosspat/status/933294318726475776 …,2017-11-22 12:22:01,17,4,933309592574025728
@DocBennett I oppose the new proposed rules and support #NetNeutrality thank you for your comments!https://twitter.com/docbennett/status/933075667704532992 …,2017-11-21 21:05:53,2,1,933079040231137280
"Time for Congress to step up, help rebuild Puerto Rico and assist evacuees in Fla! @WESH @GregFoxWESHhttp://www.wesh.com/article/evacuees-from-puerto-rico-need-housing-schools-jobs/13814579 …",2017-11-21 14:44:41,16,7,932983108156215296
Thanks to navigators Jo-Ann & Benny for helping folks sign up for #ACA #OpenEnrollment! Deadline is 12/15 #Sayfiepic.twitter.com/1avkSy5DJZ,2017-11-20 22:40:26,13,10,932740446429818880
We stand w you @SenatorDurbin in condemning these acts of violence against Rohingya people!https://twitter.com/senatordurbin/status/932713090961068033 …,2017-11-20 21:01:36,2,0,932715572713934848
"With major PR migration, time for Feds & Fla to get serious about affordable housing crisis. #Sayfiehttps://www.nytimes.com/2017/11/17/us/puerto-ricans-orlando.html …",2017-11-19 13:25:05,16,10,932238301058224128
Great meeting between my staff and Mayor Steven Hunnicutt of Winter Haven! Thank you for your bold vision for @mywinterhaven #Fl09pic.twitter.com/9iYa02WB1L – at City Hall,2017-11-18 17:20:18,12,6,931935104569626625
"My staff and I wore purple today to raise awareness for #PancreaticCancerDay —the world’s toughest cancer. Learn the symptoms and risks, educate loved ones, spread the word.pic.twitter.com/ae1h97XlI6",2017-11-16 22:34:41,49,12,931289445801906176
