Text,Date,Favorites,Retweets,Tweet ID
"It has been 77 days since all twelve House appropriations bills were sent over to the Senate to fund the federal government and still no action has been taken. We're waiting, @SenateMajLdrpic.twitter.com/QIxN1eIxoa",2017-11-30 15:34:22,37,22,936257100128415744
Read my full statement supporting mandatory anti-harassment training and also support for @RepDeSantis legislation to req transparency and stop allowing public officials to hide bad behavior without repercussions.https://brat.house.gov/news/documentsingle.aspx?DocumentID=552 …,2017-11-29 23:46:53,33,14,936018661151780864
Thanks for the update today!https://twitter.com/FedAmerHospital/status/935234524841238528 …,2017-11-27 20:11:04,10,1,935239573260652544
Happy Thanksgiving! My district staff and I spent yesterday at the Convention Center helping to prep meals for families/individuals who might otherwise spend Thanksgiving alone. Huge thanks to @TheGivingHeart and all the volunteers who organize this great event for our community.pic.twitter.com/eeY8fVViLf,2017-11-23 16:02:22,52,7,933727431780917249
Thanks for having me!https://twitter.com/CCPSCCHS/status/932981418157838336 …,2017-11-21 18:00:47,16,2,933032458680963072
"You will be missed,  @RepGoodlatte. Thanks for your service to Virginia’s 6th District and your leadership as the most senior member of the VA Congressional delegation.",2017-11-09 18:42:51,33,9,928694391115534337
Thanks for stopping by and getting a tour of my office!https://twitter.com/English_Tchr101/status/927964511658590209 …,2017-11-07 18:38:04,13,4,927968412223107072
"#TaxReform hits the target on delivering results. Fam of 4 making 59k, keeps $1182 of income.   my statement:https://brat.house.gov/news/documentsingle.aspx?DocumentID=546 …",2017-11-02 16:17:25,35,13,926121073317433347
Joined @ShannonBream to discuss how we can keep our homeland secure in the wake of the horrific attack in New York.http://video.foxnews.com/v/5631647225001/ …,2017-11-01 15:20:21,24,9,925744324914053121
Joined @BloombergTV today to discuss #TaxReform and why Rs must have a sense of urgency to get it donehttps://www.bloomberg.com/news/videos/2017-10-25/rep-dave-brat-on-house-budget-vote-tax-reform-video …,2017-10-25 21:29:35,20,7,923300531719716864
Read my latest column in @RTDNEWS on how big govt spending feeds the D.C. Swamp http://www.richmond.com/opinion/their-opinion/guest-columnists/dave-brat-big-spending-feeds-the-d-c-swamp/article_20d88f5d-4809-5eb9-88ac-496c37e5e1d1.html …,2017-10-21 17:12:46,473,195,921786349920882691
Thanks @Vets_First for supporting my work to end wasteful VA dog tests & preserve resources needed to help vets http://wric.com/2017/10/20/veterans-group-calls-for-an-end-to-deadly-dog-experiments/ …,2017-10-20 23:47:22,69,30,921523267801886721
Thanks. We are looking into it now. -- Staff,2017-10-12 18:54:36,1,1,918550487040962561
Proud to join w/ @RobWittman and the VA delegation on this letter to help our veterans.https://twitter.com/RobWittman/status/918479852365340672 …,2017-10-12 15:36:01,15,6,918500509920657409
Praying for the families of victims of tragic shooting in Vegas. Time to transcend politics and pray for God’s healing for those affected.,2017-10-02 14:49:38,76,15,914864959342940160
"I wrote an op-ed on this very topic earlier this year. Might be worth reading.  
https://goo.gl/XXyeLq https://twitter.com/Rosie/status/913454531429597184 …",2017-09-28 19:45:05,28,13,913489762752897025
Read my statement of support for pro-growth #taxreform framework produced today by @HouseGOP https://brat.house.gov/news/documentsingle.aspx?DocumentID=524 …,2017-09-27 22:24:59,34,12,913167613987082240
Contact my Glen Allen office at (804) 747-4073 and my staff can check to see if we can assist.,2017-09-21 19:28:55,6,2,910948975926300672
Thanks to @VAUnion1865 for having me today to celebrate #ConstitutionDay. Enjoyed the lively discussion from the students.pic.twitter.com/TtYezJ2P7u,2017-09-18 21:37:36,25,9,909894198836580353
I’ve always enjoyed Jimmy Barrett's show and it was great to join him one final time on-air this morning.http://www.richmond.com/life/bill-lohmann/lohmann-a-tough-goodbye-for-wrva-s-jimmy-barrett-as/article_d2c66173-6c1c-5632-9b86-1ed78370894e.html …,2017-09-07 18:00:23,10,5,905853265916694528
"If we allow DACA to continue, the legislative process simply becomes a pretense. Read my statement here:https://brat.house.gov/news/documentsingle.aspx?DocumentID=506 …",2017-09-05 20:01:06,221,106,905158869617397761
Lifting up family and friends of Heather Heyer in prayer. Also praying for quick recovery for those injured in senseless violence yesterday.,2017-08-13 15:49:31,76,16,896760638680203265
Laura and I are saddened by the tragic loss of two VA State Police officers yesterday. Our prayers go out to the Cullen and Bates families.,2017-08-13 13:42:42,54,13,896728722920886274
& Disappointed in lack of civil discourse here. The tone isn't helping the convo & I've made my position clear that I condemn these groups,2017-08-13 01:07:05,73,24,896538565202649088
"To be clear, I reject nazi white supremacists, the KKK, and fascism which requires a total fed state. They all operate in hate vs love.",2017-08-13 01:05:57,187,60,896538278358376448
My statement on the events in Charlottesville this weekend:pic.twitter.com/68YWWDFk6Z,2017-08-12 21:19:47,722,415,896481361351127041
Great to see more jobs coming to Orange County and attend ribbon-cutting ceremony at Lohmann Specialty Coatingshttp://www.dailyprogress.com/orangenews/news/sticking-with-orange/article_1542e8ac-7d2a-11e7-8bae-3b970bcfdf27.html …,2017-08-10 13:15:21,39,8,895634675103825920
Great story from @8NEWS about my meeting today w/ whistleblowers from the Richmond VA to discuss the PUPPERS Acthttp://wric.com/2017/08/03/congressman-dave-brat-meets-with-mcguire-va-whistleblowers/ …,2017-08-04 00:15:37,34,21,893264123554926592
I also chatted w/ 12+ @NFIB business owners representing diverse group of industries RE the impact of Obamacare regs & tax code complexitiespic.twitter.com/pYVXmhhdZx,2017-08-01 00:45:26,27,5,892184463354060800
Today I toured James River Air Conditioning Company w/ @NFIB's Small Biz Challenge & learned how govt policies/regs impact small businessespic.twitter.com/PLHugtn2vO,2017-08-01 00:35:18,38,6,892181914366464001
"Last night the House passed my amendment to defund harmful dog testing at VA facilities, read my statement https://brat.house.gov/news/documentsingle.aspx?DocumentID=475 …",2017-07-27 13:35:27,82,31,890566304364736512
Wonderful news to hear @SteveScalise is out of the hospital. Continuing to lift him and his family up in prayer!pic.twitter.com/HsV0TWg5A6,2017-07-26 19:00:41,9216,2472,890285765237907457
"Honored to receive the Conserv Excellence Award for a lifetime score of 100% from the  @ACUConservative. @mschlapp, thanks for stopping bypic.twitter.com/YbDa6jGKbq",2017-07-24 22:08:01,183,39,889608132535734272
"Looking forward to playing at @KastlesClassic Thurs. @SamQuerrey, are you rested from your brilliant Wimbledon run to play? #gameon   ",2017-07-24 17:34:50,7,3,889539384319635456
Thanks @LaraLeaTrump and @waynepacelle for stopping by to discuss PUPPERS Actpic.twitter.com/At9S4G7N4a,2017-07-21 21:01:51,126,35,888504317015183360
Read my statement on my vote in @housebudgetGOP FY18 markup here https://brat.house.gov/news/documentsingle.aspx?DocumentID=471 …,2017-07-20 02:46:31,24,17,887866281457836032
Introduced the PUPPERS Act w/@dinatitus to limit wasteful & harmful testing on dogs at VA med centers http://wric.com/2017/07/12/virginia-congressman-introduces-bill-to-limit-dog-testing-at-the-va/ …,2017-07-13 13:31:23,109,58,885491849393315842
"Today Jeff Daube, director of the pro-Israel Zionist Organization of America, stopped in for a meetingpic.twitter.com/5JTxy81OxO",2017-07-12 17:11:57,43,24,885184969529798656
@realDonaldTrump Agreed @FreedomCaucus proposed this in Jan as political way forward #DrainTheSwamp #flashbackfridayhttps://twitter.com/realDonaldTrump/status/880737163247267840 …,2017-06-30 14:47:21,46,20,880799927550521344
Good to see @RepSanfordSC and @RepDianeBlack at the @thehillbaseball game tonightpic.twitter.com/257kPJAxvN,2017-06-16 00:25:10,49,7,875509519979347969
My statement on today's tragic shooting pic.twitter.com/QceeirDh5u,2017-06-14 15:51:21,98,44,875017826209320961
Today @housebudgetGOP examined econ growth. I shared some Econ101 on maximizing happiness and productivity growth →https://goo.gl/HGMcEM ,2017-06-07 19:02:18,19,6,872529166796820484
"#OTD 73 yrs ago brave soldiers like Guy DeGenaro from Henrico, VA landed on the beaches of Normandy #DDay http://www.richmond.com/news/local/city-of-richmond/d-day-survivors-reflect-on-memories-of-the-bloody-conflict/article_86d38bfa-16c3-5445-a291-49d72690c1a0.html …",2017-06-06 18:43:06,32,7,872161944966451200
This wkend we honor soldiers like Sgt. Cameron Thomas and the stories of soldiers who never came home  #MemorialDayhttps://youtu.be/ZexdZBMBdMs ,2017-05-27 13:01:35,23,12,868452119514370049
Statement in response to actions of Member-elect Greg Gianforte:pic.twitter.com/F3gLTMNxE5,2017-05-26 20:01:55,19,3,868195513908301824
This morning I joined Bloomberg TV to discuss President Trump’s Budget for Fiscal Year 2018. Watch here:https://youtu.be/Q8HpHjOoVrw ,2017-05-23 18:24:40,24,7,867083876719620096
Great story about the retirement of Police K9 Titan that has served in the Culpeper PD for 6 years https://goo.gl/ZvjlRq  #PoliceWeek,2017-05-17 20:26:05,19,4,864940103227113472
"""I could not support this bill b/c it is a win for Democrats and a loss for Conservatives"" Spending bill statement:http://brat.house.gov/news/documentsingle.aspx?DocumentID=415 …",2017-05-04 01:10:45,185,67,859938315084206082
Aetna leaving VA Obamacare mktplace. Why the House must act to stabilize mkts and have more choice & competitionhttp://money.cnn.com/2017/05/03/news/economy/aetna-virginia-obamacare/index.html …,2017-05-04 01:00:23,37,25,859935702858973185
Read my press statement in support of the revised health care legislation https://goo.gl/2LWyr0  #AHCA,2017-04-29 13:17:31,19,14,858309269816586240
I joined CNBC this AM to discuss health care and what tax reform needs to look like to promote econ growth.http://cnb.cx/2ptC38Q ,2017-04-28 17:44:58,15,7,858014188698038273
"Testifying in my subcommittee hearing will include Dr. Robert Barro from @harvard, Andrew Sherman, and @StephenMoore discussing econ growthhttps://twitter.com/HouseSmallBiz/status/857578351812374528 …",2017-04-27 13:34:49,11,7,857588850268545024
"Tomorrow I will be in Powhatan. I will be holding a meeting for local constituents. If you are in the area, please stop by.pic.twitter.com/pyG7K6IrjM",2017-04-19 19:57:23,13,4,854786023674576896
"On Thurs I will be in the Chesterfield area. During my visit, I will be holding a meeting for local constituents. Please stop by!pic.twitter.com/tOGHNKed48",2017-04-19 15:02:51,9,3,854711900487208960
Today is #TaxDay. Our tax code is too complex and I look forward to Congress tackling tax reform this year.pic.twitter.com/KZkQmSz8yC,2017-04-18 15:02:12,25,18,854349347860996096
"I'm in Culpeper tomorrow. During my visit, I will be holding a brief open meeting. If you live in the area, stop by and share your concerns.pic.twitter.com/qvbZMn0qEG",2017-04-17 21:24:26,48,58,854083155061493760
This AM I fielded some Qs and shared a leg update on healthcare and tax reform w/ Western Henrico Rotary. Thanks to Al Dorin for the invite.pic.twitter.com/ZcZXSvhYxo,2017-04-17 14:15:01,13,7,853975087355240451
Easter signifies a time when we can set aside our agendas and recognize the powerful message of God sacrificing on the behalf of humanitypic.twitter.com/WWZRHWcmyv,2017-04-16 14:10:07,66,21,853611466557194242
"Happy Birthday to Thomas Jefferson -- founding father, our 3rd president, and Virginianpic.twitter.com/ycsFITRZG4",2017-04-13 20:24:16,79,42,852618461054369792
CBO's sobering report recognizes the core driver of spending growth is rapidly increasing autopilot spendinghttp://www.cnbc.com/2017/03/31/cboinfourcharts-fahey-170330-dc-.html …,2017-04-03 21:04:52,82,94,849004798997299200
.@realDonaldTrump we are too close to ending Obamacare to stop now. Let's repeal the regulations and get this deal done.,2017-03-30 23:18:33,3666,1426,847588890257108992
"Joined w/ @repdinatitus, @SenMikeLee, @SenBookerOffice to introduce legislation to reform commodity checkoff progshttps://goo.gl/gneCfy ",2017-03-29 15:25:40,26,14,847107495478923264
"The 2017 Congressional Art Competition is now open. Accepting submissions through 4/24. Details here:
http://goo.gl/jSGuQS ",2017-03-28 17:40:21,13,7,846779004954791937
I joined Neil Cavuto on Fox Business today to discuss tax reform and health care moving forward. Watch here:https://goo.gl/DdEzBA ,2017-03-27 20:41:48,38,21,846462278987853825
See my statement on the American Health Care Act #AHCAhttps://goo.gl/KxquWO ,2017-03-25 12:39:48,76,62,845616205109104641
See my statement in response to @POTUS #JointAddress to Congress.https://goo.gl/D3CtyC ,2017-03-01 03:48:32,42,15,836785195659427840
Grateful for the opportunity to discuss issues affecting our veterans with Virginia @DAVHQ members this morning. Thanks for your service.pic.twitter.com/5Yx54BQG2K,2017-02-28 15:41:58,63,20,836602351796498432
"Please participate in my Facebook Live Town Hall tonight at 7pm by visiting my Facebook page:
http://facebook.com/RepDaveBrat/ ",2017-01-31 19:59:07,21,17,826520202871447552
Students should not be trapped in failing schools by virtue of their zip code. #NationalSchoolChoiceWeekhttp://dailysignal.com/2017/01/27/group-of-republican-lawmakers-call-for-swift-confirmation-of-betsy-devos/ …,2017-01-27 20:32:47,110,49,825079123819237376
Proud to support @March_for_Life and #prolife policies that protect the rights of the unborn. #MarchForLife,2017-01-27 16:31:01,74,26,825018281803210752
Hospitals around the country are being forced to close under #Obamacare. This information was compiled by @housebudgetGOPpic.twitter.com/bFMajNl6Q3,2017-01-25 21:07:58,75,107,824363203396272128
"Proud to cosponsor @RepMcCaul's One In, One Out Act to protect Americans from the burdensome regulatory maze that prevents economic growth.",2017-01-25 18:16:39,25,3,824320092989259776
@USCBO projects our debt will reach $30 trillion by 2027 if we don't act now. My full statement below:pic.twitter.com/86LlZYjE44,2017-01-25 16:37:24,8,4,824295113434218498
Today the House passed H.R. 7 to prevent taxpayer funds from being used for abortions and makes the #HydeAmendment permanent.,2017-01-24 22:04:37,89,31,824015074176237569
"@USCIS needs to be held accountable. That is why I introduced H.R. 591, the USCIS Act, which would do just that.
http://brat.house.gov/news/documentsingle.aspx?DocumentID=323 …https://twitter.com/HouseJudiciary/status/823894496190599174 …",2017-01-24 15:00:04,5,2,823908231684747265
"""Congress should approve a well-crafted balanced-budget amendment and send it to the states this year.""https://twitter.com/KurtCouchman/status/822626738601684995 …",2017-01-23 15:32:33,27,9,823554018949603328
@POTUS taking the oath of office. It was such an honor to experience this ceremony in person.pic.twitter.com/XvwcBMlHkE,2017-01-20 19:14:50,21,2,822522792365223937
"Congratulations to our 45th President, @realDonaldTrump! #Inauguration #POTUS45",2017-01-20 17:25:00,44,7,822495155492192258
"Today we celebrate our country's greatest tradition, the peaceful transition of power. #InaugurationDay",2017-01-20 14:14:30,58,19,822447210780655616
Looking forward to seeing the @VMInews Corps of Cadets in tomorrow's presidential #inaugural parade. #VMI,2017-01-19 17:00:04,9,2,822126491324383232
"Tomorrow, a new president will be sworn in during the 58th #Inauguration. Learn more about the ceremony here: https://www.inaugural.senate.gov/58th-inauguration/ …",2017-01-19 17:00:01,12,1,822126476447232001
"Proud to be selected as Chairman of the Economic Growth, Tax, and Capital Access Subcommittee. Read my full stmt:http://brat.house.gov/news/documentsingle.aspx?DocumentID=322 …",2017-01-17 19:30:05,40,16,821439469458956288
"Today, we remember an American of great courage and leadership. #MLK #MLKDay #MLKday2017",2017-01-16 17:57:00,15,7,821053654111318016
What does the #Obamacare #repeal process look like? Step 3 is now complete.pic.twitter.com/s8RadlSfNh,2017-01-13 20:50:00,36,42,820010029642182656
Almost 1 million Americans have lost health care coverage due to failed #Obamacare co-ops.,2017-01-13 20:00:03,26,28,819997458331668480
"18 of the 23 #Obamacare co-ops have now failed, leaving only five co-ops still in existence.",2017-01-13 19:35:30,63,81,819991281032134656
