Text,Date,Favorites,Retweets,Tweet ID
"Let me get this straight, the Senate may vote on a bill TONIGHT despite:

- Not having the final text yet
- No hearings
- Incomplete analysis from Joint Committee on Taxation
- No analysis from Treasury Dept.

The American people shouldn't stand for this #GOPTaxScam",2017-11-30 20:54:06,186,135,936337565405319171
"Until @realDonaldTrump releases his tax returns, I am going to call this what it is: a lie.https://www.nytimes.com/2017/11/30/business/trump-benefit-tax-cuts.html?_r=0 …",2017-11-30 18:41:14,92,36,936304128288051201
"Who is hit the hardest by the $1.5 trillion #GOPTaxScam?

↳ Students
↳ Teachers 
↳ Veterans 
↳ Seniors
↳ Disabled
↳ Homeowners
↳ Adoptive Parents
↳ First Responders
↳ Those with chronic illnesses",2017-11-29 16:36:18,1011,966,935910301282766848
"As a member of congress and political science professor, I should tell you that a “unanimous vote” by the majority is called a party-line vote, and is in fact an indication of disagreement.https://twitter.com/CBSThisMorning/status/935615659916095494 …",2017-11-28 21:44:40,217,74,935625515960094720
Eliminating tax provisions that incentivize businesses to hire disabled people and improve disability access should be beyond the pale. We must defeat the #GOPTaxScam.http://www.newsobserver.com/news/business/article186851053.html …,2017-11-28 19:49:19,52,43,935596486007681024
The @CFPB was created to protect consumers from bad business practices and not to report directly to the White House. Another example of @realDonaldTrump putting corporate profits ahead of middle class families.pic.twitter.com/6HONaywgTv,2017-11-28 14:27:14,41,14,935515433041629184
"While @realDonaldTrump tries to distract on twitter, Senate Republicans are hoping to pass a bill that raises taxes on 82 million Americans. Stay focused.https://goo.gl/vAqg6H ",2017-11-27 19:08:50,120,100,935223910978740224
Wishing you and your family a Happy Thanksgiving!pic.twitter.com/Itb4yGOgbU,2017-11-23 16:15:59,39,1,933730860456607745
"This year alone, my office has received 3,761 calls, letters & emails asking me to protect #NetNeutrality. I join them in calling on @AjitPaiFCC to reverse this ill-advised decision.",2017-11-21 21:34:56,364,131,933086348558372864
"Happy Birthday, North Carolina! On November 21, 1789, North Carolina became the 12th state to join the union.pic.twitter.com/LGNYeBhx8D",2017-11-21 19:36:10,59,21,933056461315469314
"In 2010, I traveled to #Haiti and toured earthquake devastation, much of which remains. Revoking TPS for nearly 60,000 displaced Haitians is as heartless as it is senseless.https://twitter.com/NPR/status/932771031898615809 …",2017-11-21 16:25:24,25,8,933008455492886528
A free and open internet is the bedrock of free speech in the 21st century. The Trump @FCC is once again putting corporate profits above public interest. #NetNeutrality #SaveNetNeutrality,2017-11-21 14:58:57,128,65,932986698157391874
This morning I visited @NCState to see a demonstration from @ICPI on permeable pavements. This technology absorbs storm water and can play a major role in mitigating floods and runoff.pic.twitter.com/NJnZHc79eh,2017-11-20 20:44:34,51,12,932711285371924481
Appalling: the #GOPTaxScam prioritizes tax breaks for private planes over graduate student research.http://thehill.com/blogs/blog-briefing-room/360785-senate-tax-bill-includes-tax-break-for-private-jets …,2017-11-17 17:02:50,36,38,931568321065086981
Further evidence of the Trump FCC paving the way for massive media consolidation. Want more examples? Read here → https://goo.gl/Wab7xe https://twitter.com/nytimes/status/931342898871914496 …,2017-11-17 14:54:25,32,41,931536007270424576
"The House GOP just passed a tax bill that asks working families, students, seniors, and sick people to foot the bill for the wealthy & well-connected. We must keep up the fight against this #GOPTaxScam as it moves to the Senate and the White House.",2017-11-16 19:09:42,134,72,931237861994713088
"RT if you oppose the #GOPTaxScam, which raises taxes on 36 million American familiespic.twitter.com/p7xKQrLKNS",2017-11-15 18:17:51,27,62,930862424378527745
"So in addition to raising taxes on 36 million middle class families, the GOP wants 13 million more Americans to go uninsured & premiums to skyrocket? #GOPTaxScamhttps://goo.gl/7NV8pE ",2017-11-14 21:18:34,17,14,930545517779709953
"My constituents overwhelmingly oppose the #GOPTaxScam. Calls/letters so far: 

Support: 11
Oppose: 1,380",2017-11-14 18:12:02,539,153,930498574911188993
"The #GOPTaxScam repeals the historic tax credit, which leverages private investment & helps finance local community development projects. Check out the impact these credits have had in Durham & across North Carolina.https://goo.gl/b8DKH7 ",2017-11-14 15:44:23,17,9,930461416183779329
"The #GOPTaxScam would raise taxes on 443,000 North Carolinians to pay for huge cuts for the wealthy & corporations. Is this what my #NCGOP colleagues mean by tax relief for working families? #ncpol",2017-11-13 21:38:56,66,33,930188254841856000
"This Veterans Day and every day, join me in saying thank you to the men and women who have served, or are still serving in our armed forces.pic.twitter.com/0wT56j2NEV – at UNC Health Care",2017-11-11 15:58:39,36,7,929377844899270657
