Text,Date,Favorites,Retweets,Tweet ID
It’s Small Business Saturday! Shopping small can make a big difference in #CA21 so be sure to get out and shop small! #ShopSmall #SmallBizSatpic.twitter.com/LbZxItiorN,2017-11-25 17:46:16,7,5,934478358028718081
We have so much to be grateful for. Happy Thanksgiving.pic.twitter.com/TnuQEgwAsJ,2017-11-23 14:21:26,22,7,933702032233582593
Great event with @Google today at Kerman Middle School. Teaching our children how to safely use the internet is very important in today’s world.pic.twitter.com/QVVX5ZthuC,2017-11-18 00:42:44,7,3,931684059755044864
"BREAKING NEWS → H.R. 1, the Tax Cuts and Jobs Act, just passed the House of Representatives. This is the break middle class families deserve. #TaxReformpic.twitter.com/lQPhfHQPfs",2017-11-16 19:13:04,17,6,931238709395148803
"Under the Tax Cuts and Jobs Act, more than 64,000 taxpayers in #CA21 will see a 60% increase from the Child Tax Credit which increases from $1,000 to $1,600.  #TaxReformpic.twitter.com/YxtikvoVtM",2017-11-16 17:17:34,5,4,931209644567154689
The Tax Cuts and Jobs Act fundamentally changes our system to deliver meaningful tax relief to Americans across the country – especially those in the Central Valley. #TaxReformpic.twitter.com/YujYg3e9GQ,2017-11-16 16:14:38,5,5,931193804677369856
"Rural America is struggling. I’m proud to join with my colleagues to address the challenges rural regions, like the Central Valley, face every single day. #RuralRelief https://www.wsj.com/articles/house-gop-members-push-bills-to-address-rural-woes-1510660800 …pic.twitter.com/Mgdj09TAmB",2017-11-16 14:41:39,4,3,931170405951397888
"DYK → The Tax Cuts and Jobs Act will create 975,000 new full-time jobs in the United States. 111,108 of those jobs will be right here in California. #TaxReformpic.twitter.com/WiMzgX0d54",2017-11-16 13:46:17,14,12,931156472033095680
"With my support, the House just voted 356–70 to give our troops the pay raise they deserve!pic.twitter.com/nInB3b8ETx",2017-11-14 22:27:25,125,16,930562845229666304
"Announced my bill today, the Making Rural America Count Act, to ensure our Central Valley rural communities have access to the funding they need. Learn more here: http://bit.ly/MRACA21 pic.twitter.com/AyMyEgs5Bj",2017-11-14 19:18:47,10,9,930515371928539137
"Under the Tax Cuts & Jobs Act, 90% of Americans will be able to file their tax returns on a form the size of a postcard. #TaxReformpic.twitter.com/8ZGnZdWG5r",2017-11-14 17:22:12,149,39,930486031102726149
Thank you to all who have served. #VeteransDay2017pic.twitter.com/2stbiIJIo9,2017-11-11 14:45:11,15,5,929359354222075904
I'm always proud showing off local Central Valley products!https://twitter.com/HeardontheHill/status/927940464149274624 …,2017-11-07 17:32:20,42,15,927951870060089351
"Enjoyed discussing agriculture trade, immigration, water, and tax policy with Sec. Perdue and local farmers in Arvin today!pic.twitter.com/N71qGzD02Q",2017-11-06 18:22:02,9,3,927601989483204610
Congress must come together to protect #Dreamers and pass comprehensive immigration reform now.https://twitter.com/FWD_us/status/927555538061115397 …,2017-11-06 16:23:27,81,49,927572146938892288
"Met w/@BAKcollege teachers to discuss ""Energizing Humanities in CAs San Joaquin Valley"" project – made possible w/grant funding from @NEHgovpic.twitter.com/5SiInbCz7p",2017-11-01 15:10:10,2,2,925741762840326147
Prayers & gratitude for our deployed troops and the families they leave back home today and every day. #DayoftheDeployedpic.twitter.com/yt1k3rcCn6,2017-10-26 13:56:20,22,9,923548854364012544
"Appreciated meeting w/ dreamers from @IBM, hearing their stories, & discussing the importance of a permanent solution.pic.twitter.com/q8YESuYSXz",2017-10-24 22:05:44,43,11,922947239777103878
Enjoyed discussing the important role of pharmacists in our community with my own @Walgreens pharmacists!pic.twitter.com/FXP1qLSM7B,2017-10-20 18:26:13,8,1,921442445803401216
Teamed up w/@smokey_bear & Bishop Elementary for #firepreventionmonth! These 1st graders are ready to do their part to prevent fires! pic.twitter.com/bPkPEzaRrO,2017-10-19 23:03:05,10,4,921149734928216066
"Congratulations to one of my previous teachers, Lilly Pimentel, on being honored w/ the Kings County Farm Bureau President’s Award!pic.twitter.com/8bSGgyQQlk",2017-10-18 20:27:30,12,4,920748192349728769
"Sat down w/ @EvanOnstot today to discuss my trip to Armenia, DACA, & tax reform. Watch ‘Sunday Morning Matters’ on @KSEE24 to hear more!pic.twitter.com/9XbWqeNKyi",2017-10-17 22:36:42,19,7,920418319810879488
"Happy Birthday to the @USNavy and THANK YOU to all our brave sailors, especially those stationed at #NASLemoore! pic.twitter.com/nNsAedkmEx",2017-10-13 16:21:11,9,5,918874267743342592
"Did you know, there are 8,721 farmers in CA21? Thank you to all the men & women who feed our nation! #NationalFarmersDaypic.twitter.com/L66lcxluG1",2017-10-12 12:53:37,25,10,918459642983874567
"Last month, my bill (H.R. 624) was signed into law. Learn how this law can protect you from identity theft here  http://bit.ly/SSNFraud pic.twitter.com/wyi0w4zW61",2017-10-11 17:29:20,3,2,918166640801603585
"Discussing CDBG for disaster recovery including FEMA, wildfire containment, & NFIP at this morning’s @HouseAppropsGOP THUD Subcom. hearing.pic.twitter.com/4NXIcUYPSR",2017-10-11 15:33:48,9,1,918137565450002433
"Humbled to receive the @ANCA_DC ""Advocate for Justice Award"" this past weekend & eager to continue bringing awareness to US-Armenian issues.pic.twitter.com/Oxx4cIc9pN",2017-10-10 15:56:57,19,7,917781001807515648
Just passed our budget to strengthen defense & unlock tax reform while balancing our budget over by 2027. INFO: http://BalancedBudget.gop pic.twitter.com/Gf7UgTotyM,2017-10-05 16:25:48,15,8,915976325805989888
Great discussion this morning with Dreamers on how we can get legislation passed!pic.twitter.com/EhdfYO5njm,2017-10-04 17:22:19,37,13,915628159822974978
Interesting in learning about resources available to seniors in our community? Be sure to stop by my Workshop in Selma later this month!pic.twitter.com/VCLsOkwy3E,2017-10-02 20:37:02,3,1,914952384337645568
Praying for every victim affected by this horrific tragedy in Las Vegas and their loved ones.,2017-10-02 11:08:19,28,7,914809265323462656
"It's good to have you back, @SteveScalise.https://twitter.com/stevescalise/status/913405166178783232 …",2017-09-28 15:00:26,18,3,913418125793746944
"Thrilled to see these students enjoying the books donated by my office to Raisin City Elementary School. Thanks for sharing, Mrs. Wenter!pic.twitter.com/tvv8Dchnbw",2017-09-27 16:50:18,15,3,913083386884952065
"Having the opportunity to visit Armenia, a nation so many of my constituents know and love, was an unforgettable experience.pic.twitter.com/VWl3BN1qQK",2017-09-22 16:36:32,93,41,911267982478905344
"Happy Birthday to @usairforce who, on this day 70 years ago, became an official branch of the United States Military! #FlyFightWinpic.twitter.com/aDoVh2usAA",2017-09-18 15:09:13,14,6,909796460056727552
Starting my telephone town hall now. Be sure to answer your  and ask me a question!  #CA21pic.twitter.com/wO7ZChaUlo,2017-09-14 01:36:49,12,5,908142459187757056
I'm proud to cosponsor the #DreamAct to ensure these young people can stay in the only home they know - America.http://bit.ly/ValadaoDream ,2017-09-13 19:28:55,61,32,908049876616970240
It's been one week since the President announced his #DACA deadline. The clock is ticking. Congress must pass the #RACact.,2017-09-12 21:38:10,39,29,907720012588253185
The terrorist attacks on 9/11 changed our nation forever. The lives lost and the strength showed by all Americans will never be forgotten.pic.twitter.com/HNITZOD2Ma,2017-09-11 16:40:35,15,10,907282735726821376
"On this day in 1850, California became the thirty-first state of the United States.

Happy Birthday, California! pic.twitter.com/7zznC0CF3k",2017-09-09 13:30:28,36,17,906510116228345857
 @SpeakerRyan just signed my legislation protecting Americans from becoming victims of identity theft. NEXT STOP  The President's desk!pic.twitter.com/sIAUQD0M05,2017-09-08 19:25:57,239,53,906237188668624897
"The Senate passed my bill, #HR624 to protect Americans from becoming victims of identity theft. Learn more here: http://bit.ly/hr624 ",2017-09-07 17:23:07,9,6,905843889218736128
"Voy a hacer todo en mi poder para asegurar a los que fueron traídos aquí sin ninguna culpa propia, que no sean injustamente castigados #DACA",2017-09-05 21:03:26,45,28,905174556343750657
"I will do everything in my power to ensure those who were brought here, through no fault of their own, are not unjustly punished. #DACA",2017-09-05 18:32:25,125,53,905136551071555584
