Text,Date,Favorites,Retweets,Tweet ID
"I will be unable to host the town hall on Monday evening in @cityofelcerrito due to a last-minute change in the House voting schedule. I will, however, be in DC voting against efforts to pass the #GOPTaxPlan that will raise taxes for more than 5.5M California taxpayers by 2027.pic.twitter.com/5ElmwV3PRO",2017-12-01 00:08:51,23,8,936386576032157696
"Following the worst mass shootings in our nation's modern history, this move by Republicans is an outrage and a disgrace.http://www.sfchronicle.com/nation/article/House-committee-set-to-pass-bill-to-dramatically-12392525.php …",2017-11-30 00:57:40,46,38,936036473031331841
"The #GOPTaxScam raises taxes on 82 million middle class families while giving corporations massive tax cuts. We need to put families first, not big business.",2017-11-29 17:20:24,29,14,935921399058911233
"The #GOPTaxScam will slash taxes for the wealthiest Americans and big corporations. Who foots the bill? Middle class families, small businesses, and future generations.pic.twitter.com/G8QZNzzEUH",2017-11-29 16:34:45,13,11,935909910415585280
"Following recent reports of ICE detainees being mistreated at the West County Detention Facility, I had to see the jail for myself. Read more about my tour & the actions we are taking:http://www.sfchronicle.com/news/article/Contra-Costa-County-female-detainees-say-they-12390221.php …",2017-11-29 16:10:11,22,17,935903726908461058
"Disappointing that Republicans voted to advance the GOP tax bill out of the Senate Budget Committee on a party-line vote. The vote moves this reckless plan, which will without question raise taxes for millions of hardworking middle class families, one step closer to a floor vote.https://twitter.com/NBCPolitics/status/935597780634144769 …",2017-11-29 00:49:47,53,12,935672099817033730
"The Dodd-Frank Act could not be more clear: following the departure of CFPB Director Cordray, Deputy Director Leandra English is to serve as Acting Director. Attempting to name Mick Mulvaney as the Acting Director is simply another stunt by the President to skirt the law.",2017-11-27 23:22:27,76,30,935287735262285824
The Contra Costa community lost a great man. I will always remember Guillermo as a positive and joyful person--he was a true gentleman.http://www.eastbaytimes.com/2017/11/24/pittsburg-restaurateur-civic-fixture-guillermo-muniz-dies/ …,2017-11-25 23:52:26,23,5,934570503657938944
#ICYMI: I joined @nbcbayarea and @teamtrace to discuss my bill that would require federal law enforcement officers to properly lock and store their firearms when not in use.https://www.nbcbayarea.com/investigations/Missing-Pieces-Tracing-Stolen-Guns-Across-America-and-the-Bay-Area-459167073.html …,2017-11-25 17:26:25,20,7,934473360637128712
"Looking forward to tonight's tax town hall at Miramonte High School in Orinda. If you are unable to join us in person, we will be live streaming on our Facebook page and on Contra Costa Television. Tune in here on FB or on channel 32 at 6:30 p.m. to watch!pic.twitter.com/GS6o2xkOXL",2017-11-21 00:57:17,17,5,932774887520919553
".@RepDingell & I talked to @FoxNews’ @SteveHiltonx about the #FutureofWorkWagesLabor. We need a Bill of Rights for working people that includes raising the minimum wage, ensuring workers have protections & that families have a secure retirement.
https://youtu.be/t_s7QAWyJ4w?t=30m16s …",2017-11-20 16:35:36,12,3,932648632146386944
"""We need to make sure that if innovation is helping, if it doesn't help human beings and average workers, what's the point?""https://twitter.com/FoxNews/status/932442889459830789 …",2017-11-20 15:06:53,12,3,932626308621914112
"REMINDER: We are hosting the last in our series of town halls on the Republican #taxplan tomorrow, Monday, November 20th, at 6:30 p.m. at Miramonte High School in Orinda. We hope you will join us for this important and timely discussion! https://www.facebook.com/events/159668101305997/ …",2017-11-20 03:16:55,19,10,932447639618117632
The #GOPTaxScam will hurt everyday American families for generations to come.https://desaulnier.house.gov/media-center/press-releases/congressman-desaulnier-s-statement-house-passage-gop-tax-scam …,2017-11-16 23:40:49,36,15,931306092402843649
"Listen as @RepRichardNeal, Ranking Member of the Ways and Means Committee, explains what is at stake under the #GOPtaxscam.https://www.youtube.com/watch?v=7k8dyirWE6A …",2017-11-16 17:18:50,8,10,931209962369544193
We are live on my Facebook taking your questions about the Republican tax bill. Tune in and ask questions.,2017-11-15 22:47:05,9,3,930930181841276928
"The House will be taking votes shortly, which will interfere with our Facebook Live town hall. We are going to postpone until 2:30 p.m. PST. Please check back for updates, and I look forward to taking your questions soon.",2017-11-15 20:56:25,14,3,930902328911319041
"REMINDER: Today at 1:00 p.m. PST, I will be Live on my Facebook taking your questions about how the Republican tax bill will impact you and your family. You can start asking questions now by emailing us using the link below. 

https://desaulnier.house.gov/contact/email pic.twitter.com/RHFlPYsBMl",2017-11-15 17:36:29,8,6,930852016322203649
ICYMI: I joined Phil Matier on discuss the Republican tax plan and how it will impact hard working middle class families.pic.twitter.com/oiwGr8ueQl,2017-11-13 21:13:28,15,3,930181846616428544
Veterans Day commemoration in @cityofmartinezpic.twitter.com/6psJP1FzFy,2017-11-12 17:43:01,12,2,929766496900866048
Veterans Day ceremony in @CityofSanPablopic.twitter.com/COqOWWCMvj,2017-11-12 17:41:01,6,4,929765993710153729
In @cityofelcerrito we honored those who serve and have served our nation by laying flags at soldiers graves.pic.twitter.com/fXsKf9l9QZ,2017-11-12 17:39:01,5,2,929765487952752642
Here in @TownofMoraga we honored the selfless and brave service of our military men and womenpic.twitter.com/Lspjv9n52x,2017-11-12 17:34:01,2,2,929764230387195904
Moving ceremony in Danville in honor of Veterans Day.pic.twitter.com/7zA65YIWUh,2017-11-12 16:37:01,14,4,929749885078814720
"During the @AntiochCAgov Veterans Day parade, we celebrated those who answer the call.pic.twitter.com/Eknde9h3dC",2017-11-12 16:10:05,10,6,929743108400713730
"On #VeteransDay, we commemorate the sacrifices of our men and women in uniform who bravely put country before self and fought and died protecting our rights and freedoms.pic.twitter.com/Ai8t3uvJPT",2017-11-10 23:23:39,36,12,929127444044570624
Want to know why nothing is done in Congress to curb gun violence? Just take a look at these figures:https://www.nytimes.com/interactive/2017/11/06/opinion/nra-funding-prayers-texas.html?rref=collection%2Fsectioncollection%2Fopinion-columnists&mtrref=www.nytimes.com&assetType=opinion …,2017-11-08 03:51:16,43,45,928107627237736456
#Climatechange is a real & imminent threat. @POTUS's choice to leave the #ParisAgreement is foolish & shortsighted.https://twitter.com/SierraClub/status/927977080284942337 …,2017-11-08 01:05:53,33,9,928066009235361794
Introduced a bill w/ @RepBuddyCarter to help pharmacists know when they can deny as suspicious Rx https://desaulnier.house.gov/media-center/press-releases/representatives-desaulnier-carter-introduce-bipartisan-legislation-help …pic.twitter.com/uaq4S4FWCA,2017-11-08 01:01:48,12,10,928064982004191233
Independent analysis of the GOP tax plan finds over 2.2M middle class households in CA will experience a tax hike.https://itep.org/housetaxplanca/ ,2017-11-07 03:12:01,17,17,927735362134462464
"Our hearts break for the victims of the Sutherland Springs church shooting, their loved ones & for all the people of Texas.https://twitter.com/nytimes/status/927325728693194752 …",2017-11-06 00:47:34,22,5,927336624089944066
13 agencies determined that humans are the cause of global warming. @POTUS' policies are in opposition to the science his Admin is producinghttps://twitter.com/nytimes/status/926620526390464512 …,2017-11-04 21:27:14,32,13,926923818303655936
"Capping the mortgage interest deduction & eliminating SALT is bad for the Bay Area, CA & hundreds of thousands of hardworking familieshttps://twitter.com/EastBayTimes/status/926149817167962112 …",2017-11-03 22:58:42,30,8,926584448249946114
Not the best and the brightest.https://www.washingtonpost.com/opinions/the-other-huge-scandal-mueller-brought-to-light-this-week/2017/11/01/5e05a458-bf4c-11e7-959c-fe2b598d8c00_story.html?utm_term=.f31c8f4f3dba …,2017-11-03 00:10:12,29,16,926240055332614146
"The GOP #taxplan puts the rich first & the middle class last. Don't just take my word for it, check out the coverage https://desaulnier.house.gov/sites/desaulnier.house.gov/files/11.02.2017%20-%20GOP%20Tax%20Plan%20Coverage.pdf …",2017-11-02 23:00:12,13,5,926222440463847425
I have one simple question for @POTUS re: @OversightDems' #TrumpHotel lawsuit – if you have nothing to hide why not hand over the documents?pic.twitter.com/Zv2ODHxvrl – at United States Capitol Building,2017-11-02 17:59:00,46,17,926146637940092929
Proud to earn 100% on Food Policy Action's 2017 Scorecard! Check @FPAction's report at www.foodpolicyaction/Scorecard,2017-11-02 15:29:01,16,5,926108896007143424
"Proud to sign @RepSeanMaloney's amici brief supporting #LGBT rights; #LGBT people deserve equal access, business must be #opentoallhttps://twitter.com/RepSeanMaloney/status/925790964395978752 …",2017-11-02 13:14:05,44,12,926074938448138242
1 month since the Las Vegas attack & no action by @POTUS—showing how tightly the purse strings of the NRA are wrapped around this presidencypic.twitter.com/dU2H10Gpol,2017-11-01 22:58:48,122,61,925859698322165760
"From now through January 31, 2018, Californians can either sign up for or renew their health insurance for 2018 through Covered California.pic.twitter.com/W8o3QByrss",2017-11-01 20:12:01,31,28,925817725699657730
Since when do low-level volunteers attend National Security meetings with some of the most senior advisors in the Trump orbit #Papadopoulouspic.twitter.com/NnJaab6W53,2017-11-01 03:03:01,264,133,925558768053633024
"Thoughts are w/ the victims, their families & all of NY. As details unfold, we’re thankful to first responders & stand united against terrorhttps://twitter.com/WSJ/status/925483514467946497 …",2017-10-31 23:08:56,18,5,925499859557285891
"""Trump's Achilles heel may be found in pre-campaign operation of the complex & varied transactions of his business""http://www.cnn.com/2017/10/30/opinions/manafort-charges-will-send-shivers-through-white-house-opinion-callan/ …",2017-10-30 18:10:01,27,7,925062247117811712
Now more than ever it's imperative we protect the independence of the Special Counsel. The rule of law must prevailhttps://www.nytimes.com/2017/10/30/us/politics/paul-manafort-indicted.html?hp&action=click&pgtype=Homepage&clickSource=story-heading&module=span-ab-top-region&region=top-news&WT.nav=top-news …,2017-10-30 17:45:07,53,15,925055981112918023
"After serving on @AirResources for a decade, it was an honor to attend the Groundbreaking Ceremony for its new Southern CA headquarters.pic.twitter.com/RQtj2PciDR",2017-10-28 14:56:46,8,4,924288838478041088
"""Will other Republicans come forward & say the national interest is more important than our ideological and partisan goals?"" @carlbernsteinpic.twitter.com/rbhCsgw2pB",2017-10-25 23:04:25,22,7,923324396047142913
Denying the public access to information about climate change is absolutely outrageoushttps://www.nytimes.com/2017/10/20/climate/epa-climate-change.html …,2017-10-24 21:45:00,44,22,922942025598517248
Contra Costa residents affected by wildfires may be eligible for SNAP benefits through Nov. 15. Check if you qualify http://www.cdss.ca.gov/Media-Center/October-2017-Wildfires …,2017-10-24 20:32:00,3,8,922923653087531008
.@GOP ought to start focusing on America’s children and swiftly pass legislation that would fully fund #CHIPhttp://www.politico.com/interactives/2017/medicaid-chip-children-insurance-funding/ …,2017-10-23 23:45:00,37,14,922609834792337408
Priorities are askew: rescinds protections for students w/ disabilities & protects for-profit colleges that defraud students. @BetsyDeVosEDhttps://twitter.com/washingtonpost/status/922587705455681536 …,2017-10-23 23:12:16,26,22,922601598005796865
Get ready to #GetCovered! Open Enrollment in Health Insurance Marketplace begins Nov. 1 & is open until Dec. 15th  https://www.coveredca.com/apply/ pic.twitter.com/ePYpHwiOAk,2017-10-23 22:52:56,15,19,922596730192957447
".@EJDionne reminds us: we must push back against @POTUS's attacks on truth, duty, honor & common decency that infects everything around himhttps://twitter.com/EJDionne/status/922267423868424192 …",2017-10-23 16:03:41,32,14,922493738785656832
"Congratulations to the De Anza High Air Force Junior ROTC program, ranked 44th of 870 AFJROTC units worldwide. http://richmondstandard.com/2017/10/19/de-anza-high-air-force-jrotc-honored-as-one-of-worlds-best/ …",2017-10-19 23:15:00,12,3,921152734698418176
"Happy #SpiritDay! Today we wear purple to show our support for LGBTQ youth, stand up against bullying, and promote a truly inclusive societypic.twitter.com/oSrTJiOfe7",2017-10-19 22:43:01,18,4,921144685384564736
Want to stay up-to-date on what is happening in Congress? Sign up to start receiving our weekly newsletter: https://desaulnier.house.gov/contact/newsletter …pic.twitter.com/1E2oXc2QqQ,2017-10-19 15:15:02,4,3,921031944082563072
"Even conservatives think @POTUS’s economic agenda is nuts, perpetuating long-ago debunked tax myths @JRubinBloggerhttps://www.washingtonpost.com/blogs/right-turn/wp/2017/10/18/crackpots-and-political-dunces-ruin-the-gops-economic-agenda/?utm_term=.1a4ffcbf9030#comments …",2017-10-18 23:30:01,28,22,920794124869095424
Today marks the 45th Anniversary of the #CleanWaterAct! We must continue fighting to ensure all communities have access to safe water.,2017-10-18 22:39:19,42,12,920781363627921408
"If you're unable to attend our 50th town hall & MDO tonight in Walnut Creek, tune in Live to our FB at 6:00 pm EST. https://www.facebook.com/RepMarkDeSaulnier/ …pic.twitter.com/TYGXkDRl0s",2017-10-16 23:15:01,7,7,920065573869850625
We need greater accountability from drug companies & leadership that puts the public first rather than the pharmaceutical industry .https://twitter.com/washingtonpost/status/919632315248267265 …,2017-10-16 22:47:19,38,15,920058602257371136
Joined @philmatier to discuss the need for greater federal funds to assist the Bay Area in recovering from the devastating #wildfires.pic.twitter.com/OvKpLz7Tn5,2017-10-16 21:41:48,15,5,920042115517820928
.@POTUS just signaled to the rest of the world that the U.S. is not a reliable partner & is actively destroying our credibility. #IranDealhttps://twitter.com/nytimes/status/918892827907682304 …,2017-10-13 18:20:16,74,35,918904232614481920
"Trump is committed to sabotaging the ACA & driving up costs for those who need affordable, comprehensive coverage.https://www.vox.com/policy-and-politics/2017/10/12/16458184/trump-obamacare-executive-order-association-health-plans-short-term-insurance …",2017-10-12 22:55:00,21,14,918610985904164864
22 days later and 80% of Puerto Rico is still w/o power. This insensitive comment shows how out of touch @POTUS is w/ the humanitarian need.https://twitter.com/realDonaldTrump/status/918432809282342912 …,2017-10-12 22:13:53,97,33,918600637721477120
Poor air quality is expected in the Bay Area through the weekend. Here are steps you can take to protect yourself:http://time.com/4976882/wildfire-smoke-safety/ …,2017-10-12 18:57:01,6,7,918551092694171648
Proud to be working with Marianne Karth & Lois Durso to improve truck safety & honor their daughters who were killed in underride accidents.pic.twitter.com/zjPNCwINvi,2017-10-12 00:09:11,10,2,918267267430998023
The #weinsteinscandal is unacceptable and Harvey Weinstein must be held accountable.https://www.nytimes.com/2017/10/11/podcasts/the-daily/harvey-weinstein-sexual-harassment.html …,2017-10-11 23:20:01,16,3,918254892933877760
If you'd like to volunteer your time or resources to the victims of the North Bay fires here are some ways to help.http://www.nbcbayarea.com/news/local/How-To-Help-North-Bay-Fire-Relief-Efforts-450142573.html …,2017-10-11 22:55:02,46,46,918248603809873920
On #DayofthGirl we celebrate the strength & creativity of girls worldwide & continue fighting for gender equality.http://www.cnn.com/2017/10/11/opinions/day-of-the-girl-one-campaign-opinion-smith/index.html …,2017-10-11 22:20:01,8,7,918239792826957825
On #ComingOutDay let us celebrate those who choose to live openly. #LoveisLovehttps://www.washingtonpost.com/news/the-fix/wp/2017/10/11/repurposing-coming-out-day-in-the-trump-era/?utm_term=.5c79ad62863e …,2017-10-11 21:47:01,19,7,918231490521157632
I support efforts to prohibit launching a nuclear first strike w/o @POTUS having a congressional declaration of war.https://www.google.com/amp/s/mobile.nytimes.com/2017/10/10/opinion/corker-trump-truth-.amp.html …,2017-10-11 02:17:52,100,31,917937261332914176
Our nation comes together during crisis. #PuertoRico & #USVI should be no different. We must stand with #OurFellowAmericans as they recover.,2017-10-06 22:40:41,54,13,916433056373858307
"Birth control is health care, and access to it should be a woman’s choice. Not her employer’s. #HandsOffMyBChttps://www.nytimes.com/2017/10/06/us/politics/trump-contraception-birth-control.html?_r=0 …",2017-10-06 21:03:47,89,35,916408669482508288
"Denise Cohen's son describes her as a person who ""radiated a light that touched everyone she knew."" She was killed in the #LasVegasShooting.pic.twitter.com/LAVU6bYrUJ",2017-10-06 01:54:00,29,8,916119316508094464
On #WorldTeachersDay we recognize the hard work & dedication of our teachers to the future of our nation & the world. We thank you!pic.twitter.com/cs6g0bzG5k,2017-10-05 23:04:44,17,9,916076721664937986
"Stacee Etcheber was a loving wife, mother & daughter who attended high school in #CA11. Her life was cut short during #LasVagasShootingpic.twitter.com/Mzkh7JPGo5",2017-10-05 00:34:49,33,14,915736999927123968
Joined @RepSmucker to introduce a bipartisan bill to help cities with innovative solutions to improve transportation problems. #SMARTtechpic.twitter.com/zM6MK6ZZWY,2017-10-04 22:45:00,3,1,915709365277085697
Proud to stand with my colleagues to honor the victims of the Las Vegas attack & call for action to #EndGunViolence in America.pic.twitter.com/a7WJvHLTbe,2017-10-04 22:16:56,70,20,915702301536473089
"@sacbee reports gun stocks for Sturm Ruger, Vista Outdoor & American Outdoor Brands rose 4% after #LasVegas attack.http://www.sacbee.com/latest-news/article176557176.html …",2017-10-03 23:57:00,0,1,915365097467457536
"I am proud to have an F grade from the NRA, and will continue to vote to protect American lives over gun sales.https://www.nytimes.com/2017/10/02/us/las-vegas-shooting.html …",2017-10-02 23:32:33,443,109,914996555568074753
"Following Vegas, will @GOP continue to be intimidated by the gun lobby or will they respect the victims & their families by taking action?",2017-10-02 23:31:29,103,22,914996289552740352
Our hearts and prayers are with all of the victims and families affected by the horrific tragedy in Las Vegas. #PrayForLasVegas,2017-10-02 11:51:08,35,11,914820037718011904
.@WhiteHouse remember there is a difference between public service & self-enrichment. The @nytimes explains:https://www.nytimes.com/2017/09/28/opinion/editorials/tom-price-plane-trump-cabinet.html?_r=0 …,2017-09-29 20:58:02,24,13,913870508072062978
"On SNAP's 40th anniversary, we're reminded that #SNAPmatters because no child should go hungry while their parents work to make ends meet.",2017-09-29 20:56:09,32,11,913870034606358536
Had a great conversation with members of the @SVLeadershipGrp about critical issues facing California and our nation.pic.twitter.com/wcqZnsIuCg,2017-09-29 01:35:21,33,10,913577907095826433
".@GOP tax plan fails Americans. It should encourage middle class growth, home ownership & not value only the wealthyhttps://www.nytimes.com/2017/09/27/us/politics/trump-tax-plan-wealthy-middle-class-poor.html?rref=politics&module=Ribbon&version=context&region=Header&action=click&contentCollection=Politics&pgtype=Multimedia&_r=0 …",2017-09-28 17:17:04,38,16,913452509762605057
Enjoyed attending the Congressional Families Cancer Program to honor leaders who are raising awareness and working on prevention efforts.pic.twitter.com/G6cMm5Tdyw,2017-09-28 01:30:32,14,7,913214309324509184
To truly engage in our society we cannot let the art of respectful disagreement die. Read this @nytimes piece below:https://www.nytimes.com/2017/09/24/opinion/dying-art-of-disagreement.html?_r=0 …,2017-09-27 21:35:01,23,11,913155036980695040
Proud to sign a petition that brings a clean #DREAMAct for a vote. I urge @HouseGOP to join Democrats so we can #protectDREAMers nowpic.twitter.com/MXzonsK0kU,2017-09-27 02:15:00,77,25,912863111513726976
"Make no mistake, @POTUS is continuing to target people  based on their faith under the guise of national security.https://www.washingtonpost.com/opinions/the-basic-premise-of-trumps-travel-ban-is-wrong/2017/09/26/7cb868b0-a2d5-11e7-8cfe-d5b912fabc99_story.html?utm_term=.3d0e090da0fb …",2017-09-27 01:30:01,29,21,912851789262741504
Thank you to @Waymo for hosting @RepPeterDeFazio and me for an informative tour and look at your autonomous vehicles.pic.twitter.com/EzgbJA3wKR,2017-09-27 00:50:00,6,2,912841720307449858
Following a campaign full of demands to ‘lock her up’ the hypocrisy of these reports is jaw dropping.https://www.nytimes.com/2017/09/25/us/politics/private-email-trump-kushner-bannon.html?mcubz=1&_r=0 …,2017-09-26 23:15:02,76,24,912817819494047744
Talking with @EricFlackTV from @WUSA9 about legislation to improve truck safety and prevent future fatal underride accidents.pic.twitter.com/QftHbygiOV,2017-09-26 16:15:00,8,2,912712116414570496
Thank you to leading researchers & policy experts for an informative discussion as part of our #FutureofWorkWagesandLabor initiative today.pic.twitter.com/d2KJY0pZNK,2017-09-26 01:29:23,14,6,912489243032813568
".@POTUS's racially charged rhetoric against the NFL, an institution that unites Americans of all races, classes & religions, is disgusting.",2017-09-26 00:24:33,96,20,912472925554532353
Proud of @StephenCurry30 as an athlete & man. There will be honor in going to the White House when Trump's not therehttps://mobile.nytimes.com/2017/09/23/sports/football/trump-nfl-kaepernick.html?referer= …,2017-09-23 21:50:37,471,122,911709414108860421
"Enjoyed visiting @Tesla with @RepPeterDeFazio to view the future of energy store, solar manufacturing, and their vehicles.pic.twitter.com/HmCdDiX15b",2017-09-23 18:09:14,20,2,911653702053875712
"Thank you @autodesk for hosting @RepPeterDeFazio and me, and for demonstrating the many ways new technologies are impacting our daily lives.pic.twitter.com/dJjdtrtJow",2017-09-23 02:07:13,25,8,911411601634467843
Honored to have Ranking Member of @TransportDems @RepPeterDeFazio visiting  #CA11 to view key transportation projects & innovative companiespic.twitter.com/37lXojUFrj,2017-09-22 21:55:45,4,2,911348318151864321
#GrahamCassidy will strip healthcare from millions of hardworking Americans & would cripple CA's healthcare system. We must defeat this billhttps://twitter.com/sfchronicle/status/910919303964364801 …,2017-09-22 16:10:32,50,22,911261439482122241
Do you agree w/ the GOP #Trumpcare efforts? Share your thoughts on this & other important issues by taking my surveyhttps://desaulnier.house.gov/constituent-service-survey …,2017-09-22 15:55:21,2,2,911257620752863232
#GrahamCassidy gives big insurers the power to charge people with pre-existing conditions much higher premiums. #Trumpcarepic.twitter.com/IaVVtpkocz,2017-09-21 21:19:18,58,78,910976757163069440
Congrats to San Pablo on winning @RWJF's Culture of Health prize for its demonstrated commitment to improved health.https://youtu.be/fzY9W_6evvI ,2017-09-19 22:28:04,5,4,910269286446452737
We had a wonderful meeting with UAW 5810 at @UCBerkeley about protecting funding for science research.pic.twitter.com/0XFGGFCk36,2017-09-19 22:13:43,15,7,910265673619836928
"Public outrage defeated the last attempt to repeal #ACA. Make your voice heard, as attempt is at work in the Senatehttps://www.nytimes.com/2017/09/18/opinion/health-care-graham-cassidy.html?mcubz=1&_r=0 …",2017-09-18 18:33:04,64,42,909847759624302592
Our effort to rename the Richmond post office in honor of Harold D. McCraw Sr. cleared the next hurdle--unanimously passing out of committeehttps://twitter.com/RichmonStandard/status/908397346290933761 …,2017-09-15 14:49:08,19,5,908704239731560449
"Congress has not only rejected Trump's proposed NIH cuts, but instead increased funding for biomedical research.https://www.nytimes.com/2017/09/11/us/politics/national-institutes-of-health-budget-trump.html?mcubz=1&_r=0 …",2017-09-15 01:47:28,55,13,908507527817699328
I completely agree with @garyscribe’s take on BART’s hand out of $3.5 million in free rides.https://www.eastbaytimes.com/2017/09/10/free-rides-for-17000-really-bart/ …,2017-09-12 00:51:01,11,3,907406157320413184
Hurricane Irma's destruction is heartbreaking. If you are looking for ways to help check out FEMA's resources: https://www.fema.gov/hurricane-irma ,2017-09-11 23:59:00,12,5,907393069292630021
"Forcing a vote on the WaterFix Delta tunnels project “is an arbitrary, outrageous and irresponsible deadline""
http://eastbaytimes.ca.newsmemory.com/publink.php?shareid=0eac7957d …",2017-09-11 21:34:57,12,3,907356814114742272
Interested in attending on of our nation’s service academies? Join us at one of our upcoming information sessions to learn more.pic.twitter.com/drtgk3omvW,2017-09-11 17:31:58,4,6,907295666514403328
Let us #NeverForget the heroism of those who fought to save lives in the wake 9/11 and the spirit that binds us together as Americans.pic.twitter.com/ez6klhe3KF,2017-09-11 13:52:13,23,6,907240366830649344
It's despicable that @BetsyDeVosED wants to undermine protections in place to support survivors of sexual assaulthttp://www.businessinsider.com/joe-biden-blasts-betsy-devos-title-ix-plans-2017-9 …,2017-09-10 00:18:41,94,34,906673245520384000
#OTD California became the 31st state added to the union! Check out the @LibraryCongress's California collection: https://www.loc.gov/collections/songs-of-america/articles-and-essays/interactive-maps/mapping-the-songs-of-america/?loclr=cro …pic.twitter.com/opvko9CAKT,2017-09-09 19:05:06,13,5,906594328449077251
"Unlike the Republicans, @TheDemocrats—if given the chance—are willing to govern without neglecting our core values.http://www.cnn.com/2017/09/06/politics/trump-meeting-with-democrats-deal/index.html …",2017-09-08 20:30:43,29,5,906253487922663430
"President Trump’s decision to end DACA is cowardly, heartless, and irresponsible. Read my full statement here: https://desaulnier.house.gov/media-center/press-releases/congressman-desaulnier-s-statement-president-trump-s-back-and-forth …pic.twitter.com/MeH8bYnpCf",2017-09-07 01:15:59,108,44,905600500980207620
Proud to host a necessary discussion about the issues facing our labor force & a path forward w/ our Future of Work Wages & Labor initiativepic.twitter.com/6K0Bu090Lk,2017-09-07 00:54:45,14,8,905595159689166850
Trump's proposed 20% cuts to  NIH would rollback decades of groundbreaking progress & threaten millions of liveshttp://www.latimes.com/opinion/op-ed/la-oe-lalli-cancer-research-car-t-20170905-story.html …,2017-09-05 23:48:24,22,13,905216074253295617
Joined @LauraAnthony7 with @abc7newsbayarea to discuss the reckless & cruel decision to end DACA.http://abc7news.com/family/san-francisco-officials-plan-to-fight-for-dreamers-daca/2376921/ …,2017-09-05 20:13:31,43,12,905161994281648129
"Claiming massive tax cuts will help hardworking Americans, is a ploy by @POTUS to put the top 1% above all else.https://www.nytimes.com/2017/09/02/opinion/sunday/trump-republicans-tax-reform.html?mcubz=1&_r=0 …",2017-09-04 20:18:55,51,26,904800967929077761
Today we celebrate America's labor movement & the hardworking men & women who help our communities economy & nation thrive. Happy Labor Day!pic.twitter.com/iEDO0CUcck,2017-09-04 20:15:15,23,12,904800043277967360
Joined @philmatier to discuss @POTUS's upcoming DACA decision & the need to #DefendDACA & push for comprehensive immigration reform.pic.twitter.com/80GLvaE5pw,2017-09-03 23:42:36,40,15,904489839302774785
During the month of August we hosted 40+ events/meetings & met w/ nearly 5000 constituents. Tune in as I discuss our work & current events.pic.twitter.com/p9r08owXoO,2017-09-01 23:22:05,50,6,903759899284447232
The proposed $3 toll increase fails the East Bay in 4 ways. Read my op-ed on this terrible deal in the @EastBayTimeshttp://www.eastbaytimes.com/2017/09/01/desaulnier-bridge-toll-plan-fails-east-bay-commuters-miserably/ …,2017-09-01 20:36:41,41,15,903718274243981312
#TransTroops are currently ready to make the ultimate sacrifice in order to protect our country. They deserve respect and honor.pic.twitter.com/5CQaPQGB6P,2017-08-29 17:12:34,61,21,902579742716698625
I proudly joined 140+ my colleagues in sending a letter to @POTUS urging him to reconsider #TransBan.,2017-08-29 17:10:08,162,21,902579132462137344
Our prayers are w/ Houston & the state of Texas. TY to the citizens volunteers & first responders assisting w/ rescue efforts #HoustonStronghttps://twitter.com/USATODAY/status/902157043292831744 …,2017-08-28 18:26:27,26,5,902235947420590084
By pardoning Sheriff Arpaio @POTUS is showing disrespect for the judicial system and normalizing racism & discrimination.,2017-08-26 19:46:10,194,50,901531234488254464
"Join us this Saturday, August 26th from 11:30 a.m. to 1:30 p.m. at our Walnut Creek office for district office hours.pic.twitter.com/DIlgTkr25w",2017-08-22 22:49:21,18,12,900127781966802949
.@POTUS's Charlottesville response was repugnant. Proud to defend our values & support the #CensureTrump resolutionhttp://www.cnn.com/2017/08/16/politics/house-democrats-want-to-censure-trump/index.html …,2017-08-22 00:46:43,118,31,899794929148473345
"If you do not have the appropriate eyewear to view the eclipse., watch a livestream of the #SolarEclipse2017 below.https://www.nasa.gov/eclipselive/#NASA+TV+Public+Channel …",2017-08-21 15:58:42,14,6,899662051399933952
Enjoyed participating in a ride-along w/ the Concord Police Department. TY to Chief Swanger & the entire department for your service.pic.twitter.com/cEOcMy5t11,2017-08-21 15:23:50,20,1,899653275070251008
"The ousting of Steve Bannon is long overdue, but it does not absolve President Trump.  #BannonOuthttp://www.cnn.com/2017/08/18/politics/steve-bannon-white-house/index.html …",2017-08-18 21:09:22,101,22,898653067326902272
My sincere thoughts & prayers are w/ Jared Tucker’s family & friends. We stand ready to help. #Barcelonahttp://www.eastbaytimes.com/2017/08/17/lafayette-family-seeks-missing-man-after-barcelona-terror-attack/ …,2017-08-18 15:44:50,27,5,898571398272229377
