Text,Date,Favorites,Retweets,Tweet ID
"Proud the House voted to reauthorize EPA's Brownfields program, which has helped clean up hazardous sites in our district & turn them into assets for the community, incl a hangar at Willow Run Airport - once the Arsenal of Democracy & now home to the American Center for Mobilitypic.twitter.com/6qk71744JA",2017-12-01 00:04:48,8,3,936385557520961536
"The President of the United States should not be reinforcing individuals or groups that are trying to divide us with fear & hatred. We all need to remember – united we stand, divided we fall.",2017-11-29 20:43:42,306,65,935972558238814208
"Targeting people because of their faith runs counter to every principle our nation was founded on. I represent Muslim Americans who are our friends, neighbors, teachers, doctors, valued community leaders & very patriotic Americans.http://www.cnn.com/2017/11/29/politics/donald-trump-retweet-jayda-fransen/index.html …",2017-11-29 20:43:13,331,98,935972438738915328
More evidence #GOPTaxScam benefits the wealthy at the expense of everyone else. Nonpartisan CBO says it would hurt workers earning less than $30K by 2019 & increase taxes for those earning $75K & below in next 10 years. The American people deserve better.https://www.nytimes.com/2017/11/27/us/politics/senate-tax-bills-potential-hurdle-republicans.html …,2017-11-28 23:52:27,22,18,935657673940459520
"President Schlissel and I welcoming civil rights giant @repjohnlewis to @umich today. Such an honor to have him during these times. He inspires us every day, no matter how hard the battle, to keep marching forward.pic.twitter.com/CL6akUJ64G",2017-11-27 22:49:41,123,20,935279489235537921
"The state's agreement w Enbridge is a beginning toward safeguarding the #GreatLakes & protecting the drinking water 40 million people rely upon. However, I continue to believe that if a comprehensive study finds Line 5 to be unsafe, it should be shut down.http://on.freep.com/2iYsElt ",2017-11-27 22:00:08,13,7,935267019750019072
"Wishing you all a happy Thanksgiving filled with family, friendship, love & gratitude. As we gather together to give thanks for the many blessings in our lives, may we remember our servicemembers, veterans & their families, who have sacrificed so much to keep us safe and free.pic.twitter.com/FC1pTTivqu",2017-11-23 16:53:25,48,7,933740281882664960
"#NetNeutrality is about protecting fairness, openness, and competition. We must ensure the internet continues to be free and open for everyone. This decision takes us in the wrong direction.http://nyti.ms/2hTgey2 ",2017-11-21 21:28:33,94,60,933084744471982082
"Joined @mitchellreports & @RepComstock to continue the national conversation on the issue of sexual harassment. We, men & women together, have a responsibility to bring about real change in this country. We have to change the culture for everyone for this to be a watershed momenthttps://twitter.com/MeetThePress/status/932248865826320385 …",2017-11-19 16:51:10,66,22,932290160829632518
"Proud to stand w/ colleagues & members of the @Teamsters, @MineWorkers & their families today to announce legislation that will ensure workers & retirees receive the pensions they've earned over a lifetime of labor & commitment. We must keep our promises.http://bit.ly/2zJYMm1 ",2017-11-16 22:20:15,25,11,931285815669518342
"The American people deserve better than the #GOPTaxScam. I support tax reform that puts working families first & makes our tax code simpler & fairer, but I cannot support a plan that provides tax cuts to the wealthy at the expense of working families.http://bit.ly/2jvIuXV ",2017-11-16 20:28:27,64,33,931257681935028230
"My constituents continue to make their voices heard in opposition to the #GOPTaxScam. 

Support: 20
Oppose: 931

The American people deserve better than this bill.",2017-11-16 18:35:48,173,65,931229330818166784
The medical expense tax deduction helps seniors w/ high cost illnesses afford their longterm care needs. The #GOPTaxScam completely eliminates this lifeline. Unacceptable.,2017-11-16 16:12:15,332,300,931193203616829442
