Text,Date,Favorites,Retweets,Tweet ID
Excellent bipartisan FL delegation meeting this morning. All in agreement we will not support supplemental in current form. Must include relief for FL citrus and agriculture.,2017-11-30 14:59:04,6,6,936248218760904704
Oh I’m joining alright! Excited to discuss #Florida citrus and the need to provide real relief for our growers.pic.twitter.com/MNFmgjZ7QK,2017-11-29 11:29:49,5,2,935833171534516225
Good. The Court struck down fmr Director Cordray’s overreach in naming a successor. So much for #CFPB’s rich tradition of ignoring the will of the people and the rule of law. Now let's reform this unaccountable agency and prevent such a debacle from ever happening again.,2017-11-29 00:51:40,27,17,935672573307838465
Great video about #TaxReformhttps://twitter.com/HouseGOP/status/935595657456369664 …,2017-11-28 20:57:07,12,1,935613548570460160
"Keep in mind, ""worth a look"" is as far as this value judgment goes. :)https://twitter.com/hughhewitt/status/935580565297917952 …",2017-11-28 19:08:22,3,0,935586179369570304
Anything @hughhewitt recommends is worth checking out.https://twitter.com/hughhewitt/status/935573431457845249 …,2017-11-28 18:34:04,2,1,935577550251810821
"Read my colleague @RepHultgren on the CFPB's dangerous use of personal financial data that puts American consumers at risk, and what Congress is doing to protect you.http://dailycaller.com/2017/11/28/who-is-protecting-your-personal-data-from-the-government/ …",2017-11-28 18:26:01,1,2,935575524428087296
"Exactly, per @ismurray: ""The spectacle of two people turning up at a major government bureau claiming to be its Acting Director this Monday is not just an indignity – it’s an affront to the Constitution.""https://www.cnsnews.com/commentary/iain-murray/cfpb-offense-constitution-time-abolish-it …",2017-11-28 17:29:47,1,1,935561372401840128
"For more on ""external stakeholders"" see the political groups she's been meeting with *instead of* helping working families. http://dailycaller.com/2017/11/26/exclusive-cfpbs-leandra-english-is-a-pupil-of-elizabeth-warren/ …https://twitter.com/deepakguptalaw/status/935521152692379648 …",2017-11-28 14:53:41,15,12,935522086273069056
"We need to rein in this unconstitutional, overreaching, unaccountable bureaucracy.https://twitter.com/NRO/status/935219219339317249 …",2017-11-27 22:45:51,6,1,935278525363490816
"We're working to help everyday folks, especially the middle class, and the small businesses that they rely on to keep our economy moving.https://twitter.com/SenateGOP/status/935228132164100097 …",2017-11-27 20:52:19,3,0,935249952086921216
Let's get our straightforward reform through the Senate.https://twitter.com/FinancialCmte/status/935229741656764416 …,2017-11-27 19:35:13,5,4,935230550503317506
"Way to go, @AuburnU! Awesome game! #BeatBama #WarEagle #GoTigers",2017-11-26 00:37:34,12,1,934581863779373056
"I'm urging my colleagues to oppose the disaster supplemental. There wasn't a Florida orange grove that wasn't affected by the hurricane. I cannot -- I will not -- support a proposal that leaves behind over 60,000 Florida jobs and our state's second-largest economic driver.pic.twitter.com/uqkW8nv3fJ",2017-11-17 21:41:46,15,14,931638518312587264
"More than 50,000 taxpayers in my district who get the Family Credit will get to keep even more of their money thanks to #taxreform's expansion from $1,000 to $1,600.pic.twitter.com/iEL6TbgocA",2017-11-16 21:17:55,7,4,931270127613612033
"A new Family Credit in #taxreform includes expanding the Child Tax Credit from $1,000 to $1,600. Supports families.pic.twitter.com/zbNzH72gsR",2017-11-16 17:57:00,2,1,931219566763454464
