Text,Date,Favorites,Retweets,Tweet ID
Fight over acting director of CFPB isn’t over. #ConsumersFirsthttps://www.housingwire.com/articles/41955-democrats-say-fight-over-acting-director-of-cfpb-isnt-over#.WiBproP-RK8.twitter …,2017-11-30 20:51:00,11,3,936336787043053569
"Happy holidays, and happy health care open enrollment season! #GetCoveredWApic.twitter.com/64eEgfJpdA",2017-11-30 19:46:06,8,4,936320454247161856
I signed on to an amicus brief in support of Acting @CFPB Director Leandra English. https://democrats-financialservices.house.gov/news/documentsingle.aspx?DocumentID=400975 …pic.twitter.com/hd2zsq6zvp,2017-11-28 15:38:28,34,10,935533356426694656
My favorite holiday of the year. Happy Turkey Day!,2017-11-23 16:57:00,34,2,933741182336643073
"Inspired by this conversation about civil discourse btw @WhipHoyer & Whip @SteveScalise. Doesn't always make headlines when Rs & Ds get along, but it happens! Grateful & proud to serve w/ both of them. https://www.youtube.com/watch?v=k2FhIkCrYK0 … #ReviveCivility @FaithNPolitics",2017-11-22 19:45:01,60,21,933421075689504769
Proud to announce that my hardworking constituent services team returned more than $1 million to #WA10 constituents this year.https://dennyheck.house.gov/media-center/press-releases/office-of-us-representative-denny-heck-surpasses-1-million-recovered-for …,2017-11-21 22:57:00,16,3,933107004091936769
"A free & open Internet allows our small businesses to compete in the global marketplace, helps our students - regardless of means - receive a 21st Century education, & spurs innovation. We should keep #NetNeutralityhttps://twitter.com/JRosenworcel/status/933016345201045504 …",2017-11-21 20:20:07,439,281,933067523024662529
Health care is a 12th fan's offensive line. #GetCoveredWApic.twitter.com/AAF90EMonJ,2017-11-20 22:59:06,18,8,932745144020885504
"Lacey’s Barbara Nichols, the oldest living military nurse in America, to raise 12 flag at tonight's @Seahawks game http://www.theolympian.com/news/local/article185353203.html … #WA10 #GoHawks #MondayNightFootball #ATLvsSEApic.twitter.com/r2dKabul0E",2017-11-20 19:07:01,40,11,932686736911675397
GOP tax bill sidelines low-income taxpayers http://www.msnbc.com/weekends-with-alex-witt/watch/gop-tax-bill-sidelines-low-income-taxpayers-rep-denny-heck-1099355203788 … via @msnbc,2017-11-20 16:45:00,30,22,932650999529000962
I’ll be on @MSNBC Live with @AlexWitt in about 5 minutes. Tune in!http://www.msnbc.com/msnbc-live ,2017-11-18 16:55:50,43,13,931928949197811712
"November has flown by. You have until Friday, Dec. 15 to set up your health care for 2018. https://www.wahealthplanfinder.org  #GetCoveredWApic.twitter.com/Fc5eNPFE92",2017-11-17 23:43:03,23,18,931669038605877248
ATTN VETERANS LOOKING FOR WORK: Thurston County @WDVA Hiring Event for Veterans starts down at the Olympia Armory in 1 hour. Noon - 3:30 p.m. today.pic.twitter.com/7sYtfyk9TY,2017-11-17 19:59:00,21,14,931612657852891136
The praise goes to all the dedicated family caregivers in our state. We are so thankful for the tireless support you provide to your loved ones.https://twitter.com/AARPWA/status/931601458679697409 …,2017-11-17 19:47:31,16,12,931609766970953728
WA lawmakers tell Trump -- elephant trophies not welcome http://www.seattlepi.com/local/politics/article/Connelly-Washington-lawmakers-tell-Trump-12364351.php … by @seattlepi @joelconnelly,2017-11-17 18:27:00,52,22,931589505353691137
TODAY: Thurston County Veterans Stand Down & Job Fair @ Oly National Guard Armory.pic.twitter.com/EUiU7jXfxg,2017-11-17 17:15:01,8,2,931571387918979072
".@DepSecDef Shanahan observes military readiness at Joint Base Lewis-McChord, by @ferdinandoDoD https://www.defense.gov/News/Article/Article/1372349/shanahan-observes-military-readiness-at-joint-base-lewis-mcchord/ … @JBLM_PAO #JBLMCentennial",2017-11-15 22:35:00,3,0,930927140018810880
"It has been an honor to work w/ @RichCordrayOH to protect consumers & promote innovation. He has been tireless, honest & effective. His departure is a great loss to @CFPB. I'm sorry to see him go.",2017-11-15 22:18:29,12,1,930922982117081089
I joined my colleague @RepAdamSmith  to call for transparency in the proposed redesign of the @StateDept & @USAID https://adamsmith.house.gov/media-center/press-releases/smith-yoho-lead-colleagues-in-calling-for-transparency-in-proposed …pic.twitter.com/qrAZqXQAC0,2017-11-15 21:30:00,19,5,930910783688626177
"Concordia University Irvine Honors Fallen Alum, Staff Sgt. Matthew Thompsonhttps://www.dvidshub.net/news/255218/concordia-university-irvine-honors-fallen-alum-staff-sgt-matthew-thompson …",2017-11-15 03:30:00,3,1,930638990557962240
"Night Stalkers remember fallen aviator, Chief Warrant Officer Jacob Sims at JBLMhttp://www.nwguardian.com/2017/11/09/28854_night-stalkers-remember-fallen.html …",2017-11-14 17:59:00,4,1,930495293535244288
"Hand sanitizer is handy, but it is not a comprehensive health care plan. For that you need to #GetCoveredWA @WAPlanFinderpic.twitter.com/NdwGtqPNJQ",2017-11-13 22:00:08,28,20,930193587291144198
Ensure their voices live on. Record a veteran’s story for the #VeteransHistoryProject @librarycongress: https://dennyheck.house.gov/vetshistory  #VeteransDay,2017-11-11 22:17:01,13,6,929473061480407041
This #VeteransDay we also recognize the service & sacrifice of our #HiddenHeroes – military caregivers. A grateful nation thanks you!,2017-11-11 17:45:00,21,4,929404609084444673
Respect. Gratitude. Honor. #VeteransDaypic.twitter.com/6e7y1fUQ26,2017-11-11 15:20:01,27,4,929368121378529281
Congratulations to @BoeingDefense's @FlorentGroberg for receiving the @IAVA Veteran Leadership Award tonight. Well-deserved. https://iava.org/people/retired-u-s-army-capt-florent-flo-groberg/ …,2017-11-09 21:45:00,10,6,928740230655381504
"Former Defense Sec. Robert Gates on immigrants who wore the uniform of the U.S. Military: ""through their willingness to shed blood to protect the rest of us, have earned the right to call themselves 'American citizen'"" #DreamActNowhttp://nyti.ms/2hh0VuS ",2017-11-09 17:58:00,34,10,928683103454887939
Great local events to celebrate our  veterans & #VeteransDay gathered by the @thenewstribune:http://www.thenewstribune.com/news/local/article183529966.html …,2017-11-09 01:15:00,4,2,928430690198261761
Want to know more about the Russia investigation? I'm taking your ?s next Thursday on Facebook: https://www.facebook.com/CongressmanDennyHeck/photos/a.553750367969335.137570.547907568553615/1713154908695536/?type=3&theater …,2017-11-07 03:15:00,37,10,927736114554789889
Join me over on Facebook & ask me your questions! https://www.facebook.com/CongressmanDennyHeck/photos/a.553750367969335.137570.547907568553615/1713154908695536/?type=3&theater …pic.twitter.com/YX3hsaId5A,2017-11-06 23:30:00,1,1,927679491010281472
Today I spoke w/ @CNN's Wolf Blitzer on President Trump's most recent distraction tactics. Newsflash: they aren't going to work.pic.twitter.com/vm7xF83yhY,2017-11-03 19:59:25,74,25,926539331707260928
"Why are we bringing in Twitter, Facebook, & Google to talk about their Russian customers? Because they are still operating. We must do more.pic.twitter.com/5zWxNHqush",2017-11-01 22:30:02,94,31,925852458869432320
It ain't over. We must find ways to stop Russian actors from taking advantage of social media platforms b/c our democracy is at stake.pic.twitter.com/2mwwIXMhrL,2017-11-01 21:57:10,45,25,925844187064479744
This is not the beginning of the end. This is the end of the beginning. #FollowtheFactspic.twitter.com/viY8ZZPj2O,2017-10-31 19:48:08,45,23,925449328717688832
Mark your calendars: open enrollment starts tomorrow! Explore your health insurance options at http://www.wahealthplanfinder.org  #GetCovered,2017-10-31 18:15:01,47,37,925425893400510470
I’ll be on @cnn w/ @KateBolduan in a few minutes talking about Mueller indictments & the influence of social media in the 2016 election.,2017-10-31 15:17:12,35,8,925381144660578304
