Text,Date,Favorites,Retweets,Tweet ID
"Hooray - we just passed HR 3017 supporting @EPA's brownfields cleanup program. While serving in Colo. legislature, I wrote the state brownfield program law, boosting Denver’s economic rebound and green space expansion. Here in Congress, I worked on the original 2002 federal law.",2017-11-30 22:05:26,22,5,936355514828587010
"If you haven't figured out that the #GOPTaxScam is a raw deal for working families by now, just look at the important deductions that are on the chopping block. Tax season will be tougher on average Americans while the ultra-wealthy can line more of their pockets.pic.twitter.com/NehWEbqydP",2017-11-30 21:44:20,22,27,936350207926849536
"Wonderful to be reunited with Max Schill, the boy who helped make #21stCenturyCures a reality. I’m so glad he is back in Washington DC as we reflect on the law’s incredible success a year after it passed the House and to advocate for those with #rarediseases.pic.twitter.com/Ju198Tnclg",2017-11-30 16:48:40,12,3,936275798453051392
"Nearly a year after its passage, #21stCenturyCures has already facilitated breakthroughs in critical research, and the best is yet to come. At a @HouseCommerce hearing, I'm reflecting on its initial successes and future potential to save millions of lives.pic.twitter.com/5zGK6Ef4k9",2017-11-30 16:33:39,6,2,936272022535098370
"Who are some of the people the #GOPTaxScam hits the hardest?
Teachers
… and seniors
… and veterans
… and students
… and people with disabilities and chronic illnesses.

Everyday Americans will be seriously hurt if this terrible bill becomes law.",2017-11-29 17:19:47,172,94,935921243978715138
"On @MSNBC, I spoke with @AriMelber on the critical need to renew #CHIP, which could soon be taken away from 100k Colorado kids.pic.twitter.com/40pHw0YjOr",2017-11-29 00:47:30,49,26,935671527315529734
"In just a few minutes, I'll be speaking with @AriMelber on @MSNBC about protecting #CHIP. Republicans' failure to renew this insurance program is forcing many Colorado families to face the difficult prospect of losing their kids' coverage.",2017-11-28 23:30:13,155,68,935652077669376001
"Every day, more #DREAMers are losing DACA protections and put at risk of deportation. We must #ProtectDREAMers and pass the #DREAMAct before the end of the year.pic.twitter.com/2ssJHekYbN",2017-11-28 16:15:59,17,14,935542799193296896
Spoke with @CONonprofits about their vital work in our community and our shared federal tax policy goals: supporting the Johnson amendment and maintaining the universal charitable deduction -- both threatened by the #GOPTaxScam. #protectgivingpic.twitter.com/6VlJOFfhzH,2017-11-28 15:29:39,63,42,935531140982755328
"#DREAMers need us to stand with them. They're our neighbors, classmates, service members, friends and colleagues. We need to #ProtectDreamers through passage of the #DREAMAct before the end of the year. For me, this is non-negotiable. http://bit.ly/2BroSbN .pic.twitter.com/51Jvyr6WAT",2017-11-27 20:35:21,60,35,935245683929550848
Just spoke with @KatyTurNBC about ending #sexualharassment in Congress. Current reporting process must be improved & more transparent.pic.twitter.com/JH2adXe4D8,2017-11-27 20:16:25,19,6,935240920118775808
"In a few minutes, I’ll join @KatyTurNBC to discuss sexual #harassment and what needs to be done to prevent it – in Congress as well as other institutions in this country. We need to take concrete, consistent and transparent steps to end this scourge. @MSNBC",2017-11-27 19:00:07,14,4,935221715935821826
"Stopped by @spinstersis1 - a fresh and friendly Colorado original - for part of my #SmallBusinessSaturday excursion. With the holiday season gearing up, remember to #shopsmall too!pic.twitter.com/KwgOCCS4T5",2017-11-25 21:32:52,24,4,934535381701316609
"#HappyThanksgiving to my fellow Coloradans and all Americans. On this special holiday, let's take the time to give thanks for all of life's blessings that unite us -- family, friends, fulfillment and more. Wishing you and yours a wonderful day.pic.twitter.com/MGHcUQRFhz",2017-11-23 14:03:08,38,5,933697429010042880
On @allinwithchris: discussing how #sexualharassment in Congress must be addressed with more transparency.pic.twitter.com/82QqYKFXX9,2017-11-22 02:58:47,33,9,933167849115455488
"Looking forward to speaking with @chrislhayes in a few minutes about sexual #harassment in Congress and the broader context of American society. Conversations such as these, difficult though they may be, can help bring about much-needed change. @allinwithchris",2017-11-22 01:05:27,347,58,933139328187949056
"I strongly oppose @FCC's plan to rescind #NetNeutrality rules that help safeguard free speech, online grassroots activism and small businesses. I'll push back on this ill-conceived decision and will work to ensure a free and open internet.pic.twitter.com/Dy2bcv3meK",2017-11-21 21:14:33,153,60,933081220610707457
"At Servicios De La Raza's annual Thanksgiving food basket distribution for the homeless, I gave thanks for our community's spirit of service and encouraged the people I met to #GetCovered this #OpenEnrollment season. Shop for health plans at http://connectforhealthco.com .pic.twitter.com/GgXyoP8fvM",2017-11-21 19:33:28,15,8,933055783834734592
"Thanks for the shout-out, @DanRather. It’s no wonder @DENAirport is great – local and federal partners have put a lot of work into it. Glad you like the result!https://twitter.com/DanRather/status/932721101355991040 …",2017-11-21 17:14:33,45,3,933020822180106242
