Text,Date,Favorites,Retweets,Tweet ID
"The #GOPTaxScam is a handout to the rich that “could reshape major areas of American life, from education to health care.” Terrible!https://goo.gl/s5hRDP ",2017-11-30 20:23:03,2,2,936329753006571520
"The holiday season is supposed to be a time for joy and celebration, not fear and uncertainty. I implore my colleagues to honor the wishes of  the American people and do right by history. Let us finally pass the #DREAMAct. #DreamActNow #NJ10 #immigrationpic.twitter.com/YIonqK6eJ0",2017-11-29 15:07:39,20,16,935887991092006919
http://thehill.com/homenews/administration/362070-access-hollywood-fires-back-at-trump-the-tape-is-very-real?amp …,2017-11-29 12:18:15,19,3,935845361436053505
I'm constantly impressed by our nation's young people and their intellectual curiosity. Shout out to Prof. Alain Sanders and his American Government students for inviting me to their class at Saint Peter's University  yesterday.pic.twitter.com/EGoxZHfZAy,2017-11-28 18:05:24,3,2,935570334299942912
"The American people — by a 3-to-1 majority — demand that Congress protect DREAMers. The #DREAMAct is bipartisan, but the @HouseGOP won't allow Congress to vote on a clean DREAM Act. #DreamActNow #PeopleOverPartypic.twitter.com/xKbwd0Oy7z",2017-11-28 16:06:13,10,5,935540341989617670
"Via the CDC:  ""[A]nyone who drank raw milk or consumed raw milk products from Udder Milk in the past six months [should] visit their doctor for antibiotics to prevent illness."" This includes #NJ consumers. More at:https://www.cdc.gov/media/releases/2017/p1121-contaminated-raw-milk.html …",2017-11-21 22:29:53,2,3,933100179141443585
"I have long supported net neutrality, and will continue to stand against efforts to undermine a free and open internet.",2017-11-21 19:01:07,63,15,933047641553952768
"TPS does not weaken us. It strengthens us by showing the world that the United States is morally worthy of its status as a superpower. Haiti is still reeling from disaster, and to ignore that reality is to abandon our national character to the cynical cry of ""America first."" 3/3",2017-11-21 16:26:28,5,6,933008720233226243
"TPS holders own small businesses. They pay taxes. They take out mortgages. They fill jobs that we rely on every day – in construction, hospitality, restaurants, landscaping, and elder care in particular. The economy will suffer because of the administration's decision. 2/",2017-11-21 16:24:46,3,4,933008295236956160
"#TPS is a helping hand that reaches past our national borders to lift people out of the depths of despair brought on by natural disaster, violence, and turmoil. The @realDonaldTrump administration's removal of #Haiti's TPS designation is a cynical act that will harm the USA. 1/",2017-11-21 16:23:00,5,5,933007850993016833
"The #GOP #taxscam will harm real people. It will make students at @CristoRey schools pay taxes on their work-study earnings, which help pay for their tuition. We should be helping financially disadvantaged students, not hurting them.pic.twitter.com/3fKrFqx4Yf",2017-11-17 17:51:13,7,10,931580497599266817
House #GOP passed a tax scam that will slam middle class folks. The Senate #GOP plan does the same. I’ll keep fighting for sensible tax reform that helps out ordinary Americans.https://www.politico.com/story/2017/11/16/senate-tax-plan-middle-class-165141 …,2017-11-16 19:39:31,19,13,931245365873070080
"During #AmericanEducationWeek, let us celebrate our public schools and public universities. And, as Ms. Evelyn Malzberg proved when she graduated from @NJCUniversity, it's never too late to learn.pic.twitter.com/QlWxtOb1Op",2017-11-15 18:55:50,5,2,930871984996667393
Congratulations to #NJ10 native @IbtihajMuhammad for breaking barriers to inclusion and inspiring young people everywhere!http://www.espn.com/espnw/culture/article/21405704/ibtihaj-muhammad-getting-own-barbie-doll-power-inclusion …,2017-11-15 14:41:29,15,7,930807975232528384
"So let’s get this straight... Senate Republicans want to take insurance away from 13,000,000 people to give their billionaire friends big tax cuts. Does that make sense? I don’t think so.http://www.cnn.com/2017/11/14/politics/rand-paul-individual-mandate-tax-bill/index.html …",2017-11-15 12:13:38,81,69,930770767595401216
"It's American Education Week, a time to celebrate our public schools. Let's work together to put public schools back together and back to work for the next generation of leaders. #education #AmericanEducationWeekpic.twitter.com/4clKzqCN0V",2017-11-14 16:12:01,5,4,930468369094070272
"Republicans want to fund their billionaire friends’ tax cuts by taking the state and local tax deduction away from lower- and middle-income families. That doesn’t work for New Jersey, and it doesn’t work for the American people. #TaxScam",2017-11-13 17:52:31,25,13,930131274718736385
So much of the good in this world is because of America’s men and women in uniform. Your service to humanity has brought peace and stability around the world. You have protected the freedom we enjoy in the USA and the dignity of life on every continent. Happy #VeteransDay! ,2017-11-11 12:27:13,18,10,929324632855007232
The Gateway Project is essential to our transportation infrastructure. I fully support my colleagues in the Senate who are seeking to hold the federal government accountable for its share of the project.,2017-11-10 23:19:02,14,10,929126283140837377
"Happy birthday to the Marine Corps. Thank you for your service to our nation. And for all the Marines attending the Marine Corps Ball, enjoy your evening!",2017-11-10 14:18:40,9,3,928990295244591104
Congratulations to the @NewarkMuseum for winning the a National Arts and Humanities Youth Program Award. The Newark Museum is a wonderful institution and anchor in our community.,2017-11-09 17:21:02,25,15,928673799712669697
America's #voting infrastructure is outdated and unsafe. #Congress needs to act now to protect the electoral system.pic.twitter.com/Gva1bgAn2v,2017-11-09 17:13:59,3,3,928672027472551936
@HouseGOP claimed their partisan tax bill would benefit the middle class. Turns out that was another #GOPTaxScam.https://www.nytimes.com/2017/11/06/business/republican-plan-would-raise-taxes-on-millions.html?_r=0 …,2017-11-08 14:59:42,3,7,928275845617258498
"We must restore the Voting Rights Act, end partisan #gerrymandering, and make #voting easier, not harder. #votingrights #votingmatterspic.twitter.com/vXV2mo9lrc",2017-11-08 14:51:48,103,54,928273857957462016
"School districts nationwide were hacked this week, and a pro-ISIS video was posted to them. I’ll be working on a bill to address the issue.pic.twitter.com/OQei2jdGO8",2017-11-08 00:01:29,9,12,928049802377682944
"Without #TPS holders from #Haiti, #ElSalvador, and #Honduras, #NewJersey will lose $864 million from its GDP. Unacceptable! #ProtectTPSpic.twitter.com/A89GDhKRNQ",2017-11-07 21:28:58,27,43,928011420410793995
#TPS for countries like #Haiti is part of our national character. It is the #USA's helping hand reaching out to those in need. #ProtectTPSpic.twitter.com/w24gN5D2cu,2017-11-07 20:27:21,2,6,927995911543934976
My heart goes out to Texas. Americans are tired of seeing families torn apart by guns. Mass shootings are a cancer we must treat w/o delay.,2017-11-05 23:37:52,28,14,927319080910147584
"For a brief update on some of the work I've done over the past few months, check out my newsletter. #NJ10 #Newarkhttps://iqconnect.lmhostediq.com/iqextranet/view_newsletter.aspx?id=104956&c=NJ10DP&__f=tw …",2017-11-03 18:16:57,4,2,926513544903962624
Why does the @HouseGOP want Congress to choose between saving children and protecting public health. False dichotomy! Clean the #CHIP bill.pic.twitter.com/eKpuHu3BJw,2017-11-03 14:01:31,13,10,926449260761108480
"The #GOP would keep ambitious young people in debt, and their #Billionaire friends don’t mind since rich kids don’t have student loans. 2/2",2017-11-03 12:50:23,14,10,926431363552759808
The #Republican tax plan would eliminate the deduction for student loan interest. 1/,2017-11-03 12:46:54,14,7,926430482996322304
"Make no mistake, @realDonaldTrump’s attacks on the #justice system are direct attacks on the #Constitution.",2017-11-02 11:30:26,98,48,926048851936645120
"If you're in #NJ10 and have questions about #OpenEnrollment, give my #Newark office a call to #GetCovered! https://payne.house.gov/contact ",2017-11-01 12:49:01,14,11,925706243431264256
#OpenEnrollment starts today. Go to https://www.healthcare.gov/  to find a plan that works for you. Tell your neighbors to #GetCovered!,2017-11-01 08:02:01,14,18,925634016405008384
I send my deepest condolences to the victims of today's terrorist attack in New York City. The American people mourn with you.,2017-10-31 21:48:31,10,2,925479624938852352
@realDonaldTrump wants ppl to forget that #ACA #OpenEnrollment starts TOMORROW. #GetCovered! #NJ10 can contact my Newark office for help.,2017-10-31 14:40:31,3,1,925371915711246337
Did you negligently hire a foreign agent to run your campaign for President of the United States? That seems like a pretty big story.,2017-10-31 14:10:15,23,3,925364298926477312
I see that someone gave you your phone back.,2017-10-31 12:35:35,29,5,925340474419838976
"TOMORROW is the start of #OpenEnrollment. #GetCovered at https://www.healthcare.gov/ . If you're in #NJ10 and need help, call my Newark office.pic.twitter.com/eYjRxPfBdr",2017-10-31 12:02:01,19,17,925332026353369089
But Dems will do everything to ensure ordinary Americans benefit and don’t lose out to the one-percent.,2017-10-30 22:30:07,4,3,925127704978055168
"Fixed it, @SpeakerRyan: “Nothing’s going to derail what R’s are doing in Congress to raise middle class taxes & give billionaires a cut.”https://twitter.com/rollcall/status/925123916653359104 …",2017-10-30 22:24:09,25,14,925126201701781504
Social media companies must do better for democracy’s sake.https://twitter.com/kylegriffin1/status/925122087999688704 …,2017-10-30 22:14:19,14,7,925123727372771329
I was happy to join @FollowStevens today as they kicked off the ACES initiative to increase minority students' access to STEM education. 2/2pic.twitter.com/apG9BgCWFS,2017-10-30 21:48:04,10,3,925117124351315968
"#STEM careers are growing, but minorities and women are being left behind. 1/",2017-10-30 21:46:51,5,4,925116814438395905
"Despite the barrage of #ManafortMonday news, we cannot forget that #PuertoRico is still reeling from Hurricane Maria.",2017-10-30 21:29:07,11,6,925112352890146816
"Discrimination is wrong, whatever its form and whoever its target. #TransBanhttp://thehill.com/policy/defense/357827-court-partially-blocks-trumps-directive-on-transgender-military-ban …",2017-10-30 21:04:10,7,6,925106074234916864
We must learn from our mistakes and endeavor not to repeat them. #Democracy depends on a full airing of the truth. 7/7,2017-10-30 20:41:51,6,4,925100459110686723
The American people have a right to hear the story of what happened. 6/,2017-10-30 20:41:24,5,5,925100343620460544
"The #Papadopoulos plea is a punch in the gut for #America’s electoral integrity. What did the President know, and when did he know it? 5/",2017-10-30 20:40:37,9,7,925100148560187392
George #Papadopoulos was a Trump-campaign foreign-policy adviser. He pleaded guilty for lying to the FBI about contacts w/ #Russia. 4/,2017-10-30 20:39:34,3,3,925099885443141633
Did Donald Trump negligently hire a foreign agent to run his campaign for #President of the United States? 3/,2017-10-30 20:38:19,3,3,925099570975203328
Trump hired #Manafort. Manafort was indicted for conspiracy against the USA. That's an indictment of Trump's judgment. 2/,2017-10-30 20:37:32,3,3,925099370357411841
#Trump says he hires 'only the best'. 1/,2017-10-30 20:37:03,6,4,925099252539363329
