Text,Date,Favorites,Retweets,Tweet ID
#TeamEvans is looking for interns who are ready to join our #Philly & #DC office. Apply at http://bit.ly/2v5lzap  by December 6th!pic.twitter.com/TWvKlQYHsB,2017-11-30 19:00:04,5,4,936308867658522624
"The Republican party is in the business of helping wealthy corporations, while increasing taxes on middle-class Americans. 

Call your Senator NOW to voice your opposition towards this #GOPTaxScam >>> 202-224-3121",2017-11-30 17:21:27,6,5,936284048317669377
https://twitter.com/RepDwightEvans/status/933055242270314497 …,2017-11-30 17:18:10,0,0,936283224317353984
"9 million children rely on #CHIP and it has yet to be reauthorized by Congress! Enough is ENOUGH, children are already starting to lose their health coverage b/c Members of Congress can’t decide between #CHIP and #taxes. I’m proud to vote to protect our kids any day!",2017-11-30 15:09:14,22,12,936250776791511040
"If #GOPTaxScam passes the Senate, not only will rich families & big corporations receive a hefty tax break, it will make college even more unaffordable. This Republican tax plan hurts our brightest minds and none of us should stand for it!

Call your Senator NOW at 202-224-3121.",2017-11-29 22:08:13,12,4,935993828166832130
"I voted NO on #GOPTaxScam b/c it would grow the national debt, while harming small businesses & hard-working Americans throughout my district.

@GOP Senators, PLEASE heed the warning from analysts who understand the devastating impact this tax plan has on our fellow Americans!",2017-11-29 18:13:40,42,11,935934801890217984
"RT: The GOP tax bill does nothing for our small businesses, in fact many of them oppose the Republican tax plan.http://bit.ly/2zH4GFB ",2017-11-29 16:31:55,3,3,935909196608036870
"#Philadelphia and #Montgomery County residents are deeply concerned about your tax plan, @SenateGOP. 

They don’t want their taxes raised while the rich & wealthy corporations benefit yet again. Do the right thing and vote NO!!",2017-11-28 21:14:47,27,12,935617993446449153
"The #GOPTaxScam does nothing but cause more harm to middle-class and low-income families. 

Senators who vote in favor of this horrendous plan are simply hurting hard-working American families. That is wrong!",2017-11-28 17:48:47,110,78,935566154055208960
The Senate Republican tax plan does nothing for hard-working families in #Philadelphia and #Montgomery County—please vote NO on this horrendous tax plan @SenBobCasey & @SenToomey.,2017-11-28 14:53:22,34,16,935522009139810304
"Sunday night, the Congressional Budget Office announced that the #GOPTaxScam would add $1.4 TRILLION to the deficit over the next decade…I urge Senators to vote NO on this plan! It will cause harm to families nationwide!",2017-11-27 21:09:39,281,193,935254315282960384
https://twitter.com/repdwightevans/status/933055242270314497 …,2017-11-26 02:10:11,1,0,934605170897539072
Surge in ObamaCare signups surprises expertshttp://thehill.com/policy/healthcare/361623-surge-in-obamacare-signups-surprises-experts …,2017-11-24 14:01:24,14,3,934059378101104645
Thankful for @MANNANourishes annual Thanksgiving Day meal prep. 500 volunteers strong. #FoodIsMedicinepic.twitter.com/2RRf42D2CR,2017-11-23 16:11:15,15,2,933729666518671360
"The wonderful people and incredible neighborhoods in PA-02 give us so much to celebrate. Wishing everyone a happy, restful and meaningful Thanksgiving!pic.twitter.com/M8Qu89uEdx",2017-11-23 16:00:57,38,4,933727075420086272
"#SmallBusinessSaturday is November 25th, so I encourage YOU to take part and support your local businesses in #Philadelphia & #Montgomery County! #Shopsmall and you are single-handedly investing in your community!https://twitter.com/PHLCommerce/status/932648527766933506 …",2017-11-22 22:00:02,8,4,933455055864332289
https://twitter.com/RepDwightEvans/status/933055242270314497 …,2017-11-22 15:45:42,0,0,933360852861845505
"2/ If you want to give back to your local food bank, click the following link to find a pantry near you! #giveback http://bit.ly/2fyJYhQ ",2017-11-22 15:29:51,1,0,933356862417883136
"1/ #Thanksgiving is tomorrow and I want to give a shout-out to @FeedingPA & @Philabundance for their continued dedication to feeding the hungry in PHL. 1 in 5 Philadelphians go hungry each & every day, which is unacceptable!",2017-11-22 15:28:29,7,1,933356518753427456
https://twitter.com/RepDwightEvans/status/933055242270314497 …,2017-11-21 19:57:40,0,0,933061874479980545
"The internet must remain open for everyone, not just a select few! Without #NetNeutrality this is what Americans would see on their screens:pic.twitter.com/JYG48ExAYC",2017-11-21 19:31:19,53,29,933055242270314497
24 days left to sign up at http://healthcare.gov/  and #GetCovered—don’t miss your chance to find a wonderful affordable #healthcare plan!pic.twitter.com/ou48KDafxy,2017-11-21 17:15:04,4,2,933020953298182144
"52 days have gone by and 9,000,000 children are STILL at risk of losing health coverage.
 
In #PA alone, CHIP funding dries up in Feb. That’s 177K kids who'll have to go w/o #HealthInsurance b/c of Republicans inability to renew CHIP.
 
Enough is enough!http://bit.ly/2xLahpw ",2017-11-21 15:10:50,18,6,932989690520760320
"#Philadelphia's own, Hazim Hardeman, was named a Rhodes Scholar--the 1st student from @TempleUniv ! Let's all give him a round of applause! #TempleMade http://bit.ly/2zTdPu2 ",2017-11-20 20:15:43,37,14,932704026755559425
"Republicans may say they want to help hard-working Americans in their district, but their vote in favor of the #GOPTaxScam is a prime example of how actions speak louder than words.",2017-11-17 17:14:56,10,1,931571367329267712
"Yesterday, 227 House Republicans voted in favor of raising taxes on hard-working Americans while lining the pockets of the rich. 

This is a vote the American people will not forget!",2017-11-17 14:56:13,44,16,931536460515291136
"I am in the business of ‘Doing No Harm’ for the hard-working families, veterans & seniors in Philadelphia and Montgomery County. Today I had no choice but to vote NO on the destructive & debilitating #GOPTaxScam.",2017-11-16 20:31:24,29,9,931258420715556864
Today I voted NO on the destructive bait-and-switch #GOPTaxScam because this bill is sure to grow the national debt & takes our attention away from the real problems facing the American people—like good-paying #jobs.,2017-11-16 20:27:29,54,7,931257437943992320
3/ RT if you think our government should “Do No Harm” & do all it can to protect our historic national treasures like the #LibertyBell & #IndependenceHall!,2017-11-16 18:04:53,1,4,931221551294418944
"2/ The Republican #budget and #GOPTaxScam does absolutely nothing to move our neighborhoods forward. 

At a time when our cities & suburbs are already pressed for funding & resources why on earth would the federal government want to cause more harm?",2017-11-16 18:04:18,1,1,931221404992733184
1/ The Liberty Bell & Independence Hall are 2 of #Philadelphia’s national treasures--we do not want to run the risk of seeing these historic treasures close. As Americans we have a duty to preserve these treasures for generations to come.pic.twitter.com/vmtMlhMTYW,2017-11-16 18:03:30,4,2,931221203523686400
"Republicans can’t repeal and replace the #ACA, so they NOW have snuck in an Obamcare mandate repeal to the #GOPTaxSCAM. This is wrong.

Call your Senators NOW!",2017-11-16 17:00:00,6,2,931205222868774912
"Not only does the Senate Republican tax plan cuts taxes on the rich & raises taxes on hard-working Americans…it strips healthcare from 13 million people. 

Reminder: this.is. a. tax. bill.pic.twitter.com/m0FVSN7NLq",2017-11-16 16:00:04,3,0,931190138641702917
"Enough of your tired excuses, @GOP. This tax plan will drastically harm constituents in my District and yours, this tax scam only helps rich corporations. That’s just not right!",2017-11-16 15:40:32,19,9,931185221516525568
President Trump and Republicans are doing everything in their power to dismantle #healthcare as we know it! Don’t let this stop you from signing up for health insurance at http://www.healthcare.gov/  #GetCovered,2017-11-16 14:00:03,7,3,931159934871339008
"#PA02 constituents, I want to hear from all of you! Comment below w/ what concerns you most about the Republican tax bill.",2017-11-16 00:00:01,11,5,930948535977168899
".@GOP:

How can our current generation keep moving forward when your #GOPTaxScam taxes graduate students on their tuition waivers?http://n.pr/2hqmGsl ",2017-11-15 21:30:01,21,7,930910786482003968
